Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
tommaso cassandro,Lecce,2000,1,0,13,0,0,0,0,0,0,0,2022-2023,serie-a
michele castagnetti,Cremonese,1989,27,14,1412,0,1,2,0,14,120,10,2022-2023,serie-a
gaetano castrovilli,Fiorentina,1997,15,7,718,2,1,3,0,12,14,16,2022-2023,serie-a
danilo cataldi,Lazio,1994,29,26,1921,0,1,5,0,8,83,14,2022-2023,serie-a
pietro ceccaroni,Lecce,1995,2,0,43,0,0,0,0,0,0,1,2022-2023,serie-a
federico ceccherini,Hellas Verona,1992,22,18,1417,2,0,9,1,25,53,20,2022-2023,serie-a
assan ceesay,Lecce,1994,34,20,1812,6,0,2,0,21,16,111,2022-2023,serie-a
emil ceide,Sassuolo,2001,19,5,515,0,1,0,0,37,19,47,2022-2023,serie-a
zeki celik,Roma,1997,24,16,1504,0,1,7,1,34,67,76,2022-2023,serie-a
michele cerofolini,Fiorentina,1999,5,5,450,0,0,0,0,0,0,0,2022-2023,serie-a
federico chiesa,Juventus,1997,21,6,852,2,5,2,0,46,34,88,2022-2023,serie-a
vlad chiriches,Cremonese,1989,16,14,983,0,0,2,0,2,18,1,2022-2023,serie-a
daniel ciofani,Cremonese,1985,32,10,1060,8,0,1,0,5,10,36,2022-2023,serie-a
tio cipot,Spezia,2003,8,0,139,0,0,0,0,5,5,17,2022-2023,serie-a
patrick ciurria,Monza,1995,36,31,2753,6,5,4,0,67,91,168,2022-2023,serie-a
nicolo cocetta,Udinese,2003,1,0,32,0,0,0,0,0,0,0,2022-2023,serie-a
omar colley,Sampdoria,1992,16,15,1384,1,0,5,0,3,33,2,2022-2023,serie-a
lorenzo colombo,Lecce,2002,33,18,1515,5,2,4,0,14,21,119,2022-2023,serie-a
andrea colpani,Monza,1999,27,10,948,4,1,1,0,31,51,69,2022-2023,serie-a
andrea consigli,Sassuolo,1987,35,35,3150,0,0,0,0,0,1,0,2022-2023,serie-a
andrea conti,Sampdoria,1994,1,0,23,0,0,0,0,0,1,2,2022-2023,serie-a
diego coppola,Hellas Verona,2003,19,11,1177,0,0,5,0,9,42,8,2022-2023,serie-a
alex cordaz,Inter,1983,1,0,26,0,0,0,0,0,0,0,2022-2023,serie-a
joaquin correa,Inter,1994,26,12,950,3,1,1,0,19,29,61,2022-2023,serie-a
alessandro cortinovis,Hellas Verona,2001,1,0,6,0,0,0,0,0,2,2,2022-2023,serie-a
lassana coulibaly,Salernitana,1996,35,34,2892,3,3,12,0,52,120,59,2022-2023,serie-a
alessio cragno,Monza,1994,1,1,90,0,0,0,0,0,0,0,2022-2023,serie-a
bryan cristante,Roma,1995,36,34,2938,1,1,8,1,16,142,27,2022-2023,serie-a
domen crnigoj,Salernitana,1995,7,4,296,0,0,1,0,2,3,9,2022-2023,serie-a
juan cuadrado,Juventus,1988,31,24,2078,1,3,6,1,48,92,125,2022-2023,serie-a
mickael cuisance,Sampdoria,1999,12,9,618,0,0,1,0,11,23,31,2022-2023,serie-a
marco dalessandro,Monza,1991,8,3,290,0,0,2,0,14,3,19,2022-2023,serie-a
danilo dambrosio,Inter,1988,15,8,733,0,2,3,1,8,34,17,2022-2023,serie-a
luca dandrea,Sassuolo,2004,5,5,316,0,1,0,0,11,9,29,2022-2023,serie-a
flavius daniliuc,Salernitana,2001,27,23,2195,0,2,9,0,14,70,5,2022-2023,serie-a
danilo,Juventus,1991,37,35,3184,3,3,5,0,39,176,43,2022-2023,serie-a
matteo darmian,Inter,1989,31,24,2025,1,2,3,0,22,88,96,2022-2023,serie-a
juan david cabal,Hellas Verona,2001,11,3,444,0,0,3,0,4,17,8,2022-2023,serie-a
pawe dawidowicz,Hellas Verona,1995,23,20,1632,1,1,6,1,20,60,17,2022-2023,serie-a
charles de ketelaere,Milan,2001,32,9,1116,0,1,2,0,45,59,69,2022-2023,serie-a
manuel de luca,Sampdoria,1998,2,0,44,0,0,0,0,0,0,4,2022-2023,serie-a
tommaso de nipoti,Atalanta,2003,1,0,4,0,0,0,0,1,1,0,2022-2023,serie-a
mattia de sciglio,Juventus,1992,17,11,1042,0,0,0,0,16,50,40,2022-2023,serie-a
lorenzo de silvestri,Bologna,1988,15,6,672,1,0,1,0,18,31,17,2022-2023,serie-a
koni de winter,Empoli,2002,14,12,1024,0,0,3,0,2,22,0,2022-2023,serie-a
gregoire defrel,Sassuolo,1991,27,13,1167,2,1,3,0,11,10,75,2022-2023,serie-a
duccio deglinnocenti,Empoli,2003,1,0,3,0,0,0,0,0,0,0,2022-2023,serie-a
merih demiral,Atalanta,1998,28,14,1536,1,0,5,0,3,26,4,2022-2023,serie-a
diego demme,Napoli,1991,7,2,146,0,0,0,0,3,16,1,2022-2023,serie-a
