Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
jakov medic,Bochum,1998.0,23,17,1603,1,0,2,0,2,27,3,2024-2025,bundesliga
connor metcalfe,St. Pauli,1999.0,10,3,358,0,0,2,1,6,8,11,2024-2025,bundesliga
karol mets,St. Pauli,1993.0,10,10,900,0,0,1,0,5,54,2,2024-2025,bundesliga
alexander meyer,Dortmund,1991.0,2,2,180,0,0,0,0,0,0,0,2024-2025,bundesliga
florian micheler,Hoffenheim,2005.0,1,0,32,0,0,1,0,1,1,1,2024-2025,bundesliga
enzo millot,Stuttgart,2002.0,29,22,1843,6,5,9,0,44,118,123,2024-2025,bundesliga
kim minjae,Bayern Munich,1996.0,27,27,2283,2,0,2,0,16,181,5,2024-2025,bundesliga
maximilian mittelstadt,Stuttgart,1997.0,31,28,2469,1,7,5,0,62,182,155,2024-2025,bundesliga
koji miyoshi,Bochum,1997.0,15,6,464,1,0,0,1,11,15,23,2024-2025,bundesliga
max moerstedt,Hoffenheim,,12,5,451,0,0,2,0,6,10,36,2024-2025,bundesliga
david mokwa,Hoffenheim,2004.0,2,0,22,0,0,0,0,0,0,0,2024-2025,bundesliga
steve mounie,Augsburg,1994.0,16,1,347,1,0,2,0,8,11,27,2024-2025,bundesliga
nordi mukiele,Leverkusen,1997.0,15,10,899,1,0,4,0,20,36,28,2024-2025,bundesliga
florian muller,Freiburg,1997.0,9,8,753,0,0,0,0,0,0,0,2024-2025,bundesliga
kevin muller,Heidenheim,1991.0,33,33,2939,0,0,0,0,0,1,0,2024-2025,bundesliga
marius muller,Wolfsburg,1993.0,6,5,475,0,0,0,0,0,0,0,2024-2025,bundesliga
thomas muller,Bayern Munich,1989.0,30,12,1225,1,4,3,0,24,50,143,2024-2025,bundesliga
jamal musiala,Bayern Munich,2003.0,25,21,1798,12,2,3,0,71,107,156,2024-2025,bundesliga
florent muslija,Freiburg,1998.0,9,0,168,0,0,0,0,5,7,14,2024-2025,bundesliga
phillipp mwene,Mainz 05,1994.0,32,32,2607,1,4,7,0,62,106,144,2024-2025,bundesliga
joakim mhle,Wolfsburg,1997.0,28,25,2188,3,4,6,0,59,88,117,2024-2025,bundesliga
nathan ngoumou,Gladbach,2000.0,19,9,828,2,1,0,0,30,16,85,2024-2025,bundesliga
stanley nsoki,Hoffenheim,1999.0,22,16,1308,0,0,3,1,10,52,6,2024-2025,bundesliga
nikolas nartey,Stuttgart,2000.0,1,0,22,0,0,0,0,0,0,0,2024-2025,bundesliga
paul nebel,Mainz 05,2002.0,31,26,2345,10,4,5,1,67,91,219,2024-2025,bundesliga
kosta nedeljkovic,RB Leipzig,2005.0,10,6,479,0,0,1,0,10,16,27,2024-2025,bundesliga
ivan nekic,Holstein Kiel,2000.0,1,1,71,0,0,0,0,0,2,0,2024-2025,bundesliga
david nemeth,St. Pauli,2001.0,24,24,2137,0,1,3,0,14,65,5,2024-2025,bundesliga
luca netz,Gladbach,2003.0,24,8,969,0,2,2,0,16,28,55,2024-2025,bundesliga
manuel neuer,Bayern Munich,1986.0,22,22,1980,0,0,0,0,0,10,0,2024-2025,bundesliga
florian neuhaus,Gladbach,1997.0,18,2,382,0,1,1,0,10,27,8,2024-2025,bundesliga
