nombre,club_actual,temporada,liga,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,altura,valor,xG_xA_por_90,eficiencia_gol,asistencias_esperadas_por_90
matus bero,bundesliga,2024-2025,bundesliga,,,,,,,,,,,,,5.08334,4.167452,4.3255634,51,9.487992012873292,3.92092651501298,,,,,,,,,,,,,,
mauro arambarri,laliga,2022-2023,laliga,MF,1995,13,13,992.0,0.0,1.0,5,1,8,33,7,0.2833895,1.5817298,0.2833895,15,2.057035564444959,1.7143537644296885,9,4,1,17.6,14,6,17,5,12,,,0.17,0.0,0.14
maximilian beier,bundesliga,2024-2025,bundesliga,,,,,,,,,,,,,9.488329,3.2100408,9.488329,25,14.034051459282637,4.297043411061168,,,,,,,,,,,,,,
maximilian wittek,bundesliga,2023-2024,bundesliga,"DF,FW",1995,21,13,1070.0,3.0,1.0,4,0,17,49,64,1.3438246,1.0201582,1.3438246,24,3.364954423159361,1.730381866917014,9,11,3,61.9,23,17,12,1,11,,,0.2,2.232434161537958,0.09
maya yoshida,bundesliga,2022-2023,bundesliga,DF,1988,29,28,2553.0,0.0,0.0,4,0,7,85,4,0.9310164,0.1195856,0.9310164,4,2.338767798617482,2.2403703052550554,19,13,2,62.1,34,22,40,29,11,,,0.04,0.0,0.0
mbala nzola,serie-a,2022-2023,serie-a,FW,1996,31,29,2653.0,13.0,2.0,8,0,50,50,215,12.4671335,2.651183,10.183237,28,13.539749652147291,2.6491533778607845,0,6,6,33.3,12,5,20,6,14,,,0.51,1.0427416997679981,0.09
mehdi bourabia,serie-a,2023-2024,serie-a,MF,1991,10,3,200.0,0.0,0.0,1,0,1,7,8,0.15368107,0.022940148,0.15368107,1,0.2740098619833588,0.1203287849202752,1,4,0,50.0,5,4,3,0,3,,,0.08,0.0,0.01
mehdi leris,serie-a,2022-2023,serie-a,"MF,DF",1998,32,29,2460.0,1.0,1.0,13,0,56,62,165,4.0252233,1.7723575,4.0252233,20,7.815881265327334,2.8350184792652726,30,24,9,41.8,63,46,38,6,32,,,0.21,0.2484334250823757,0.06
mehmet aydin,bundesliga,2022-2023,bundesliga,"DF,FW",2002,16,3,567.0,0.0,0.0,0,0,9,15,21,0.3582813,0.68295753,0.3582813,4,1.14112582616508,0.9457641849294304,14,9,2,45.8,25,18,11,0,11,,,0.17,0.0,0.11
michael frey,bundesliga,2022-2023,bundesliga,FW,1994,15,10,868.0,0.0,3.0,2,0,10,22,65,1.9593377,2.0958571,1.9593377,10,4.519075870513916,0.6457106284797192,2,8,3,30.8,13,5,6,0,6,,,0.42,0.0,0.22
michael golding,premier-league,2024-2025,premier-league,MF,2006,1,0,1.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,,0,0,0,0,0,,,0.0,,0.0
michael ndiweni,premier-league,2023-2024,premier-league,FW,2003,1,0,1.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,,0,0,0,0,0,,,0.0,,0.0
