Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
walid cheddira,Espanyol,21,99,86,33,20,20.0,219,6,8,25,9,2024-2025,laliga
chema,Real Madrid,1,1,1,0,0,,0,0,0,1,0,2024-2025,laliga
julian chicco,Leganés,47,109,42,3,4,50.0,231,5,0,12,5,2024-2025,laliga
chiquinho,Mallorca,6,23,48,9,13,38.5,96,2,1,17,8,2024-2025,laliga
andreas christensen,Barcelona,75,160,12,1,0,,362,3,0,1,0,2024-2025,laliga
jasper cillessen,Las Palmas,1066,13,0,0,0,,2050,0,0,4,0,2024-2025,laliga
pathe ciss,Rayo Vallecano,453,854,154,18,23,60.9,1550,24,1,16,20,2024-2025,laliga
seydouba cisse,Leganés,273,869,287,28,45,66.7,1797,34,3,32,33,2024-2025,laliga
silvi clua,Girona,32,72,16,3,4,50.0,217,3,1,1,0,2024-2025,laliga
eray comert,Valladolid,613,474,32,7,4,100.0,1543,3,0,16,2,2024-2025,laliga
santi comesana,Villarreal,453,958,333,64,34,52.9,2451,30,6,35,44,2024-2025,laliga
diego conde,Villarreal,691,5,0,0,0,,1157,0,0,1,0,2024-2025,laliga
tomas conechny,Alavés,66,197,196,34,13,46.2,413,18,2,31,9,2024-2025,laliga
copete,Mallorca,512,446,31,12,5,80.0,1360,3,0,7,2,2024-2025,laliga
iker cordoba,Valencia,5,6,1,0,0,,27,0,0,0,0,2024-2025,laliga
angel correa,Atlético Madrid,54,129,243,82,38,34.2,768,20,13,29,16,2024-2025,laliga
thierry correia,Valencia,177,215,170,12,23,34.8,785,9,6,17,0,2024-2025,laliga
coba da costa,Getafe,75,191,245,47,56,33.9,1076,23,25,26,23,2024-2025,laliga
logan costa,Villarreal,965,758,69,12,2,0.0,2994,16,0,7,0,2024-2025,laliga
samu costa,Mallorca,446,1100,298,34,33,39.4,1591,18,1,42,35,2024-2025,laliga
thibaut courtois,Real Madrid,1083,5,0,0,1,0.0,1989,0,0,0,0,2024-2025,laliga
juan cruz armada,Osasuna,296,401,127,4,4,25.0,668,7,2,10,3,2024-2025,laliga
juan cruz,Leganés,176,381,413,41,78,51.3,1661,43,21,40,24,2024-2025,laliga
pau cubarsi,Barcelona,1045,1672,93,17,8,75.0,4999,16,0,7,1,2024-2025,laliga
cucho,Betis,23,210,237,61,26,65.4,507,9,14,46,14,2024-2025,laliga
arnaut danjuma,Villarreal,1,13,34,8,4,0.0,98,3,2,3,0,2024-2025,laliga
arnaut danjuma,Girona,60,144,389,81,67,35.8,2010,42,38,33,11,2024-2025,laliga
sergi darder,Mallorca,173,887,518,29,74,45.9,2211,58,7,36,30,2024-2025,laliga
rodrigo de paul,Atlético Madrid,308,1144,517,20,35,40.0,4286,66,3,33,24,2024-2025,laliga
mouctar diakhaby,Valencia,271,143,29,19,4,50.0,486,6,0,5,2,2024-2025,laliga
assane diao,Betis,12,42,68,19,11,18.2,145,3,3,15,2,2024-2025,laliga
moussa diarra,Alavés,383,495,139,9,14,50.0,1080,10,2,17,15,2024-2025,laliga
brahim diaz,Real Madrid,76,417,350,66,47,51.1,1223,16,12,44,27,2024-2025,laliga
daniel diaz,Real Sociedad,2,1,3,1,1,0.0,0,0,0,0,0,2024-2025,laliga
pedro diaz,Rayo Vallecano,116,337,265,19,34,58.8,1177,30,2,24,8,2024-2025,laliga
diego,Leganés,20,135,171,44,10,40.0,291,11,5,45,12,2024-2025,laliga
stole dimitrievski,Valencia,135,9,0,0,0,,240,0,0,1,0,2024-2025,laliga
yan diomande,Leganés,49,108,161,42,38,60.5,966,16,20,26,16,2024-2025,laliga
alvaro djalo,Athletic Club,26,77,134,25,36,38.9,562,23,6,29,13,2024-2025,laliga
djene,Getafe,406,606,168,17,17,41.2,1275,10,1,23,17,2024-2025,laliga
marko dmitrovic,Leganés,1132,13,0,0,1,100.0,1877,0,0,1,0,2024-2025,laliga
marc domenech,Mallorca,11,26,49,13,2,50.0,62,2,0,11,3,2024-2025,laliga
carlos dominguez,Celta Vigo,488,609,25,7,3,66.7,1981,12,0,5,0,2024-2025,laliga
israel dominguez,Sevilla,0,2,0,0,0,,0,0,0,0,0,2024-2025,laliga
sergi dominguez,Barcelona,69,121,3,0,0,,284,1,0,0,0,2024-2025,laliga
anastasios douvikas,Celta Vigo,18,84,94,32,13,30.8,150,7,4,23,19,2024-2025,laliga
domingos duarte,Getafe,454,412,22,9,0,,626,2,0,2,2,2024-2025,laliga
duk,Leganés,12,29,56,9,19,52.6,207,4,5,12,5,2024-2025,laliga
pablo duran,Celta Vigo,68,257,265,64,42,28.6,643,14,13,42,20,2024-2025,laliga
hugo duro,Valencia,47,328,265,90,20,35.0,364,8,7,58,32,2024-2025,laliga
chidera ejuke,Sevilla,66,272,292,43,85,55.3,1898,35,26,35,22,2024-2025,laliga
aritz elustondo,Real Sociedad,462,581,53,12,8,37.5,1854,6,1,14,6,2024-2025,laliga
adri embarba,Rayo Vallecano,104,333,433,44,56,35.7,1257,33,12,61,24,2024-2025,laliga
