Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
mahmoud dahoud,Stuttgart,48,157,57,6,2,0.0,241,5,0,6,3,2023-2024,bundesliga
lukas daschner,Bochum,23,97,136,24,22,54.5,318,11,3,15,8,2023-2024,bundesliga
david datro fofana,Union Berlin,21,98,176,42,49,38.8,523,16,13,31,26,2023-2024,bundesliga
alphonso davies,Bayern Munich,547,871,558,64,122,57.4,4482,93,35,40,24,2023-2024,bundesliga
olivier deman,Werder Bremen,318,412,201,28,17,58.8,1023,11,6,24,6,2023-2024,bundesliga
ermedin demirovic,Augsburg,92,388,468,164,65,44.6,890,20,11,77,39,2023-2024,bundesliga
sepp van den berg,Mainz 05,964,845,74,34,5,80.0,1384,4,0,11,4,2023-2024,bundesliga
samuele di benedetto,Stuttgart,3,8,2,1,1,0.0,28,0,0,0,1,2023-2024,bundesliga
justin diehl,Köln,11,31,54,10,15,53.3,204,2,5,9,1,2023-2024,bundesliga
eric dier,Bayern Munich,538,669,47,12,1,100.0,2204,13,0,2,0,2023-2024,bundesliga
florian dietz,Köln,2,17,13,5,0,,3,1,0,2,0,2023-2024,bundesliga
junior dina ebimbe,Eint Frankfurt,230,616,431,94,90,46.7,1760,32,25,59,30,2023-2024,bundesliga
eren dinkci,Heidenheim,182,576,468,76,95,43.2,2416,59,22,98,46,2023-2024,bundesliga
ritsu doan,Freiburg,183,455,417,64,115,46.1,1706,41,9,47,36,2023-2024,bundesliga
danilho doekhi,Union Berlin,634,537,58,25,4,50.0,1599,16,1,9,2,2023-2024,bundesliga
niklas dorsch,Augsburg,252,467,85,2,11,63.6,801,8,1,21,10,2023-2024,bundesliga
nikola dovedan,Heidenheim,46,163,109,24,23,34.8,453,11,4,25,15,2023-2024,bundesliga
damion downs,Köln,4,21,27,8,4,25.0,37,1,1,2,1,2023-2024,bundesliga
dion drena beljo,Augsburg,24,93,126,38,24,45.8,399,13,6,24,5,2023-2024,bundesliga
