Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
danilo,Nott'ham Forest,281,521,191,16,26,65.4,1167,20,3,24,13,2023-2024,premier-league
arnaut danjuma,Everton,23,77,127,32,21,38.1,599,15,11,10,7,2023-2024,premier-league
jayden danns,Liverpool,0,3,4,0,0,,5,1,0,0,0,2023-2024,premier-league
josh dasilva,Brentford,1,6,19,6,4,50.0,69,0,2,2,4,2023-2024,premier-league
david datro fofana,Burnley,36,130,147,45,41,36.6,527,9,11,37,20,2023-2024,premier-league
ben davies,Tottenham,406,473,96,23,10,40.0,2044,13,1,2,3,2023-2024,premier-league
tom davies,Sheffield Utd,44,65,34,5,8,25.0,167,2,1,3,4,2023-2024,premier-league
craig dawson,Wolves,889,592,54,34,3,100.0,1932,7,0,5,2,2023-2024,premier-league
kevin de bruyne,Manchester City,35,354,724,86,33,30.3,1647,40,12,13,20,2023-2024,premier-league
bobby de cordovareid,Fulham,98,301,277,55,25,32.0,900,18,11,33,10,2023-2024,premier-league
hannes delcroix,Burnley,175,204,40,4,6,50.0,451,2,0,5,3,2023-2024,premier-league
leander dendoncker,Aston Villa,31,39,12,2,0,,27,1,0,2,1,2023-2024,premier-league
moussa diaby,Aston Villa,69,298,470,136,70,41.4,2013,43,39,33,30,2023-2024,premier-league
amad diallo,Manchester Utd,28,94,110,24,23,47.8,355,12,4,7,14,2023-2024,premier-league
amadou diallo,Newcastle Utd,0,1,0,0,0,,0,0,0,0,0,2023-2024,premier-league
ruben dias,Manchester City,1002,1600,282,34,1,0.0,6693,70,1,10,7,2023-2024,premier-league
luis diaz,Liverpool,94,529,858,219,140,47.9,3690,77,70,69,72,2023-2024,premier-league
eric dier,Tottenham,106,57,2,2,0,,119,0,0,1,0,2023-2024,premier-league
lucas digne,Aston Villa,468,541,593,56,33,30.3,1786,19,4,16,15,2023-2024,premier-league
issa diop,Fulham,669,568,24,7,1,100.0,2661,8,0,3,5,2023-2024,premier-league
axel disasi,Chelsea,1193,1140,175,24,22,54.5,4223,20,3,16,12,2023-2024,premier-league
ben doak,Liverpool,0,2,4,0,0,,2,0,0,2,0,2023-2024,premier-league
lewis dobbin,Everton,24,42,65,11,21,28.6,211,11,4,12,6,2023-2024,premier-league
matt doherty,Wolves,274,336,205,31,14,42.9,597,8,3,17,6,2023-2024,premier-league
jeremy doku,Manchester City,76,275,825,226,169,51.5,4884,61,147,52,37,2023-2024,premier-league
nicolas dominguez,Nott'ham Forest,266,542,248,33,17,41.2,1106,13,2,21,7,2023-2024,premier-league
jamie donley,Tottenham,4,2,1,0,1,0.0,8,0,0,0,1,2023-2024,premier-league
abdoulaye doucoure,Everton,188,523,495,100,48,52.1,1692,37,17,61,42,2023-2024,premier-league
cheick doucoure,Crystal Palace,145,312,97,7,13,76.9,579,9,1,16,8,2023-2024,premier-league
alfie doughty,Luton Town,541,665,818,76,67,49.3,2794,52,28,51,13,2023-2024,premier-league
tommy doyle,Wolves,265,620,182,6,3,33.3,1408,17,2,7,7,2023-2024,premier-league
radu dragusin,Tottenham,217,189,7,2,3,33.3,738,2,1,1,1,2023-2024,premier-league
martin dubravka,Newcastle Utd,702,7,0,0,0,,1374,0,0,3,0,2023-2024,premier-league
paul dummett,Newcastle Utd,7,16,3,1,0,,33,0,0,0,0,2023-2024,premier-league
lewis dunk,Brighton,1811,1542,145,51,8,62.5,5605,18,2,9,2,2023-2024,premier-league
jader duran,Aston Villa,22,90,80,27,5,40.0,206,5,5,16,14,2023-2024,premier-league
