Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
alessio cragno,Monza,32,0,0,0,0,,61,0,0,0,0,2022-2023,serie-a
bryan cristante,Roma,559,1257,196,39,13,69.2,2063,13,4,25,11,2022-2023,serie-a
domen crnigoj,Salernitana,36,95,32,6,4,50.0,71,2,1,13,1,2022-2023,serie-a
juan cuadrado,Juventus,400,758,433,50,59,42.4,2541,35,20,35,14,2022-2023,serie-a
mickael cuisance,Sampdoria,48,138,109,11,12,66.7,386,14,3,15,16,2022-2023,serie-a
marco dalessandro,Monza,37,55,52,10,5,20.0,329,4,5,4,5,2022-2023,serie-a
danilo dambrosio,Inter,303,269,64,12,6,16.7,988,7,2,7,2,2022-2023,serie-a
luca dandrea,Sassuolo,17,61,53,12,12,33.3,314,4,5,11,7,2022-2023,serie-a
flavius daniliuc,Salernitana,757,572,58,16,5,40.0,1769,10,0,14,4,2022-2023,serie-a
danilo,Juventus,1054,1304,257,45,23,30.4,3479,26,1,22,9,2022-2023,serie-a
matteo darmian,Inter,580,754,241,23,25,36.0,1984,18,4,14,10,2022-2023,serie-a
juan david cabal,Hellas Verona,134,136,16,1,4,75.0,358,5,0,4,3,2022-2023,serie-a
pawe dawidowicz,Hellas Verona,484,450,96,17,8,12.5,1282,13,1,8,4,2022-2023,serie-a
charles de ketelaere,Milan,50,241,252,60,59,61.0,1149,26,14,25,30,2022-2023,serie-a
manuel de luca,Sampdoria,0,9,5,2,0,,7,0,0,2,2,2022-2023,serie-a
tommaso de nipoti,Atalanta,0,5,2,1,1,100.0,23,1,0,0,0,2022-2023,serie-a
mattia de sciglio,Juventus,190,338,127,4,9,22.2,755,12,0,8,7,2022-2023,serie-a
lorenzo de silvestri,Bologna,172,237,81,7,4,50.0,800,12,0,6,5,2022-2023,serie-a
koni de winter,Empoli,405,207,6,0,2,50.0,819,1,0,8,3,2022-2023,serie-a
gregoire defrel,Sassuolo,34,175,159,34,21,33.3,331,12,2,28,17,2022-2023,serie-a
duccio deglinnocenti,Empoli,0,1,0,0,0,,0,0,0,0,0,2022-2023,serie-a
merih demiral,Atalanta,495,319,28,14,9,22.2,564,5,1,6,2,2022-2023,serie-a
diego demme,Napoli,30,153,22,0,4,50.0,270,1,0,3,1,2022-2023,serie-a
fabio depaoli,Hellas Verona,238,411,317,35,46,23.9,972,14,4,38,18,2022-2023,serie-a
fabio depaoli,Sampdoria,28,56,34,3,7,42.9,184,3,0,2,1,2022-2023,serie-a
kastriot dermaku,Lecce,0,2,0,0,0,,0,0,0,0,0,2022-2023,serie-a
cyriel dessers,Cremonese,18,162,289,115,36,36.1,530,10,24,61,21,2022-2023,serie-a
sergino dest,Milan,75,116,61,3,18,44.4,470,3,0,3,5,2022-2023,serie-a
mattia destro,Empoli,12,59,68,26,8,50.0,108,1,3,14,5,2022-2023,serie-a
gerard deulofeu,Udinese,44,295,400,82,45,44.4,2005,39,33,22,18,2022-2023,serie-a
samuel di carmine,Cremonese,0,4,5,2,1,100.0,6,0,0,0,0,2022-2023,serie-a
federico di francesco,Lecce,88,288,383,82,49,34.7,1387,27,18,56,28,2022-2023,serie-a
michele di gregorio,Monza,1600,7,0,0,2,100.0,3519,0,0,1,1,2022-2023,serie-a
giovanni di lorenzo,Napoli,715,1476,788,94,33,36.4,4413,62,4,21,17,2022-2023,serie-a
angel di maria,Juventus,71,372,426,46,80,40.0,1814,43,13,32,26,2022-2023,serie-a
boulaye dia,Salernitana,113,427,364,75,88,39.8,1545,47,13,71,61,2022-2023,serie-a
brahim diaz,Milan,63,538,413,65,86,45.3,2512,68,17,74,48,2022-2023,serie-a
federico dimarco,Inter,312,552,600,72,20,25.0,1846,29,6,18,11,2022-2023,serie-a
