Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
nathan ngoumou,Toulouse,2000,1,1,90,0,0,0,0,1,5,7,2022-2023,ligue-1
youssouf ndayishimiye,Nice,1998,10,6,568,1,0,2,0,7,30,5,2022-2023,ligue-1
papa ndiaga yade,Troyes,2000,14,6,568,0,2,1,1,29,16,45,2022-2023,ligue-1
neymar,Paris S-G,1992,20,18,1545,13,11,6,1,69,161,127,2022-2023,ligue-1
ibrahima niane,Angers,1999,16,15,1136,2,0,4,0,11,24,57,2022-2023,ligue-1
mbaye niang,Auxerre,1994,30,17,1482,6,0,2,2,17,30,87,2022-2023,ligue-1
rasmus nicolaisen,Toulouse,1997,34,34,2995,0,2,7,1,21,114,4,2022-2023,ligue-1
arnaud nordin,Montpellier,1998,36,30,2401,9,3,4,0,109,63,181,2022-2023,ligue-1
riad nouri,Ajaccio,1985,33,16,1693,1,1,3,0,33,39,144,2022-2023,ligue-1
alexander nubel,Monaco,1996,38,38,3420,0,0,2,0,0,1,0,2022-2023,ligue-1
gerzino nyamsi,Strasbourg,1997,20,19,1578,1,1,4,1,13,68,3,2022-2023,ligue-1
wilson odobert,Troyes,2004,32,19,1764,4,2,0,0,72,47,132,2022-2023,ligue-1
florent ogier,Clermont Foot,1989,26,18,1701,0,1,4,0,4,57,3,2022-2023,ligue-1
warmed omari,Rennes,2000,16,15,1363,0,0,2,1,4,58,0,2022-2023,ligue-1
jonas omlin,Montpellier,1994,14,14,1166,0,0,1,1,0,0,0,2022-2023,ligue-1
ado onaiwu,Toulouse,1995,34,9,1082,2,1,0,0,11,30,86,2022-2023,ligue-1
jean onana,Lens,2000,21,9,810,0,0,3,0,12,29,18,2022-2023,ligue-1
lois openda,Lens,2000,38,29,2517,21,4,2,0,61,42,206,2022-2023,ligue-1
dango ouattara,Lorient,2002,18,18,1548,6,5,3,1,64,39,151,2022-2023,ligue-1
zinedine ould khaled,Angers,2000,4,0,51,0,0,0,0,0,5,2,2022-2023,ligue-1
azzedine ounahi,Marseille,2000,7,1,121,1,0,0,0,6,5,8,2022-2023,ligue-1
azzedine ounahi,Angers,2000,15,13,1129,0,0,1,0,53,87,77,2022-2023,ligue-1
adam ounas,Lille,1996,21,12,1064,1,1,2,0,55,66,125,2022-2023,ligue-1
ante palaversa,Troyes,2000,2,0,31,1,0,0,0,0,0,0,2022-2023,ligue-1
nicolas pallois,Nantes,1987,26,26,2213,1,0,4,1,8,86,3,2022-2023,ligue-1
erik palmerbrown,Troyes,1997,38,36,3191,0,0,5,0,6,75,0,2022-2023,ligue-1
lucas paqueta,Lyon,1997,2,2,159,0,0,0,0,3,8,10,2022-2023,ligue-1
leandro paredes,Paris S-G,1994,3,0,52,0,1,0,0,1,6,0,2022-2023,ligue-1
dimitri payet,Marseille,1987,24,9,835,4,3,0,0,22,71,84,2022-2023,ligue-1
theo pellenard,Auxerre,1994,2,1,99,0,0,0,0,0,2,0,2022-2023,ligue-1
timothee pembele,Paris S-G,2002,5,4,263,0,1,0,0,4,5,20,2022-2023,ligue-1
patrick pentz,Reims,1997,7,7,630,0,0,1,0,0,0,0,2022-2023,ligue-1
nicolas pepe,Nice,1995,18,17,1495,6,0,2,0,48,53,151,2022-2023,ligue-1
brayann pereira,Auxerre,2003,2,2,180,0,0,0,0,4,4,8,2022-2023,ligue-1
danilo pereira,Paris S-G,1991,33,27,2410,2,0,3,0,26,154,11,2022-2023,ligue-1
mathias pereira lage,Brest,1996,24,16,1264,2,1,2,0,20,30,98,2022-2023,ligue-1
gaetan perrin,Auxerre,1996,37,15,1391,3,1,1,0,55,69,81,2022-2023,ligue-1
lucas perrin,Strasbourg,1998,26,18,1765,0,1,4,0,13,50,14,2022-2023,ligue-1
ronael pierregabriel,Strasbourg,1998,14,7,653,0,1,3,0,16,22,35,2022-2023,ligue-1
julien ponceau,Lorient,2000,31,20,1655,1,4,1,0,53,101,103,2022-2023,ligue-1
ukasz poreba,Lens,2000,10,3,260,0,1,1,0,3,20,18,2022-2023,ligue-1
jackson porozo,Troyes,2000,22,17,1617,2,0,3,0,6,26,4,2022-2023,ligue-1
sanjin prcic,Strasbourg,1993,29,17,1633,1,1,3,1,14,112,14,2022-2023,ligue-1
mehdi puchherrantz,Ajaccio,2004,4,0,47,0,0,0,0,3,4,1,2022-2023,ligue-1
ghjuvanni quilichini,Ajaccio,2002,1,0,82,0,0,0,0,0,0,0,2022-2023,ligue-1
ionut radu,Auxerre,1997,17,17,1530,0,0,0,0,0,0,0,2022-2023,ligue-1
simon ramet,Lille,2003,1,0,1,0,0,0,0,0,0,0,2022-2023,ligue-1
adil rami,Troyes,1985,20,18,1596,0,1,2,0,4,35,2,2022-2023,ligue-1
sergio ramos,Paris S-G,1986,33,31,2704,2,1,3,1,15,163,10,2022-2023,ligue-1
aaron ramsey,Nice,1990,27,18,1584,1,1,3,0,29,126,84,2022-2023,ligue-1
lilian raolisoa,Angers,2000,7,0,173,1,0,0,0,5,10,16,2022-2023,ligue-1
elba rashani,Clermont Foot,1993,32,26,2162,3,3,3,0,55,54,172,2022-2023,ligue-1
rafael ratao,Toulouse,1995,30,25,1851,5,4,2,0,61,83,216,2022-2023,ligue-1
rayan raveloson,Auxerre,1997,34,27,2431,2,1,0,0,36,100,61,2022-2023,ligue-1
jeff reineadelaide,Troyes,1998,6,3,233,0,1,0,0,10,20,8,2022-2023,ligue-1
jeff reineadelaide,Lyon,1998,14,1,336,0,0,1,0,20,32,25,2022-2023,ligue-1
alexsandro ribeiro,Lille,1999,21,16,1612,3,0,4,0,9,90,7,2022-2023,ligue-1
remy riou,Lyon,1987,7,6,601,0,0,0,0,0,1,0,2022-2023,ligue-1
renaud ripart,Troyes,1993,26,15,1320,4,1,4,0,28,47,104,2022-2023,ligue-1
joe rodon,Rennes,1997,16,16,1417,1,0,2,1,5,49,0,2022-2023,ligue-1
valentin rongier,Marseille,1994,36,34,3032,1,2,8,0,57,238,72,2022-2023,ligue-1
pablo rosario,Nice,1997,31,17,1767,0,1,6,0,18,112,42,2022-2023,ligue-1
anthony rouault,Toulouse,2001,37,37,3314,2,1,4,1,10,136,6,2022-2023,ligue-1
kays ruiz,Auxerre,2002,1,1,62,0,0,1,0,1,0,2,2022-2023,ligue-1
fabian ruiz pena,Paris S-G,1996,27,21,1892,3,2,0,0,32,128,86,2022-2023,ligue-1
halid sabanovic,Angers,1999,15,8,638,2,0,1,1,5,20,30,2022-2023,ligue-1
falaye sacko,Montpellier,1995,35,29,2580,1,3,3,0,50,76,70,2022-2023,ligue-1
wesley said,Lens,1995,21,6,644,5,0,2,0,19,26,67,2022-2023,ligue-1
theo sainteluce,Montpellier,1998,9,7,534,1,1,0,0,5,14,36,2022-2023,ligue-1
hamza sakhi,Auxerre,1996,27,18,1658,1,2,1,0,43,135,75,2022-2023,ligue-1
mamadou sakho,Montpellier,1990,15,7,763,1,0,2,0,0,33,2,2022-2023,ligue-1
ibrahim salah,Rennes,2001,13,1,227,0,0,0,0,13,14,27,2022-2023,ligue-1
amine salama,Angers,2000,25,12,1249,3,1,1,0,35,21,94,2022-2023,ligue-1
yoann salmier,Troyes,1992,32,31,2646,1,0,5,1,24,121,9,2022-2023,ligue-1
