Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
ronnie edwards,Southampton,2003.0,1,0,12,0,0,0,0,0,0,0,2024-2025,premier-league
anthony elanga,Nott'ham Forest,2002.0,38,31,2501,6,11,1,0,102,63,229,2024-2025,premier-league
harvey elliott,Liverpool,2003.0,18,2,371,1,2,1,0,10,44,30,2024-2025,premier-league
yunus emre konak,Brentford,2006.0,10,0,42,0,0,0,0,1,2,2,2024-2025,premier-league
julio enciso,Ipswich Town,2004.0,13,12,869,2,3,3,0,23,28,44,2024-2025,premier-league
julio enciso,Brighton,2004.0,12,2,294,0,0,0,0,11,14,17,2024-2025,premier-league
wataru endo,Liverpool,1993.0,20,1,273,0,0,0,0,1,19,8,2024-2025,premier-league
christian eriksen,Manchester Utd,1992.0,23,11,1061,1,2,4,0,13,55,29,2024-2025,premier-league
romain esse,Crystal Palace,2005.0,7,1,138,1,1,0,0,1,7,14,2024-2025,premier-league
pervis estupinan,Brighton,1998.0,30,26,2402,1,1,5,0,59,132,112,2024-2025,premier-league
evanilson,Bournemouth,1999.0,31,28,2319,10,1,1,1,29,28,99,2024-2025,premier-league
jake evans,Leicester City,,4,0,24,0,0,0,0,0,0,1,2024-2025,premier-league
jonny evans,Manchester Utd,1988.0,7,3,315,0,0,1,0,3,10,3,2024-2025,premier-league
eberechi eze,Crystal Palace,1998.0,34,31,2588,8,8,1,0,69,97,153,2024-2025,premier-league
ukasz fabianski,West Ham,1985.0,14,13,1160,0,0,2,0,0,0,0,2024-2025,premier-league
wout faes,Leicester City,1998.0,34,30,2815,1,0,4,0,12,86,1,2024-2025,premier-league
abdul fatawu issahaku,Leicester City,2004.0,11,6,579,0,2,0,0,42,17,60,2024-2025,premier-league
joao felix,Chelsea,1999.0,12,3,369,1,1,2,0,21,26,30,2024-2025,premier-league
evan ferguson,West Ham,2004.0,8,1,156,0,0,0,0,1,1,7,2024-2025,premier-league
evan ferguson,Brighton,2004.0,13,2,246,1,0,0,0,2,1,9,2024-2025,premier-league
bruno fernandes,Manchester Utd,1994.0,36,35,3018,8,10,5,2,77,325,129,2024-2025,premier-league
mateus fernandes,Southampton,2004.0,36,34,2909,2,4,8,0,76,145,108,2024-2025,premier-league
enzo fernandez,Chelsea,2001.0,36,32,2947,6,7,8,0,60,212,126,2024-2025,premier-league
mark flekken,Brentford,1993.0,37,37,3275,0,2,1,0,0,0,0,2024-2025,premier-league
phil foden,Manchester City,2000.0,28,20,1777,7,2,2,0,50,103,128,2024-2025,premier-league
wesley fofana,Chelsea,2000.0,14,14,1172,0,0,7,0,19,32,4,2024-2025,premier-league
carlos forbs,Wolves,2004.0,10,1,239,0,0,2,0,10,8,28,2024-2025,premier-league
fraser forster,Tottenham,1988.0,7,7,630,0,0,0,0,0,0,0,2024-2025,premier-league
matheus franca,Crystal Palace,2004.0,4,0,55,1,0,0,0,4,3,4,2024-2025,premier-league
ryan fraser,Southampton,1994.0,8,4,306,0,0,0,1,10,8,18,2024-2025,premier-league
tyler fredricson,Manchester Utd,2005.0,2,2,165,0,0,0,0,2,8,0,2024-2025,premier-league
niclas fullkrug,West Ham,1993.0,18,6,790,3,2,2,0,7,14,31,2024-2025,premier-league
cody gakpo,Liverpool,1999.0,35,23,1935,10,4,5,0,59,52,278,2024-2025,premier-league
idrissa gana gueye,Everton,1989.0,37,35,3063,0,3,9,0,27,145,27,2024-2025,premier-league
andres garcia,Aston Villa,2003.0,7,5,318,0,0,0,0,26,15,28,2024-2025,premier-league
alejandro garnacho,Manchester Utd,2004.0,36,23,2199,6,2,3,0,141,56,290,2024-2025,premier-league
james garner,Everton,2001.0,21,17,1594,0,1,5,0,15,50,30,2024-2025,premier-league
tyrique george,Chelsea,2006.0,8,1,183,1,1,1,0,9,3,22,2024-2025,premier-league
morgan gibbswhite,Nott'ham Forest,2000.0,34,34,2803,7,8,11,1,69,164,136,2024-2025,premier-league
billy gilmour,Brighton,2001.0,2,1,98,0,0,0,0,2,11,2,2024-2025,premier-league
ben godfrey,Ipswich Town,1998.0,3,2,159,0,0,1,0,2,4,1,2024-2025,premier-league
martial godo,Fulham,2003.0,2,0,24,0,0,0,0,2,3,6,2024-2025,premier-league
michael golding,Leicester City,2006.0,1,0,1,0,0,0,0,0,0,0,2024-2025,premier-league
joao gomes,Wolves,2001.0,36,35,2974,3,1,11,1,59,165,76,2024-2025,premier-league
rodrigo gomes,Wolves,2003.0,25,7,810,2,0,0,0,23,27,81,2024-2025,premier-league
toti gomes,Wolves,1999.0,31,30,2614,0,1,7,0,27,86,18,2024-2025,premier-league
diego gomez,Brighton,2003.0,16,4,516,1,0,0,0,8,27,23,2024-2025,premier-league
