Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
youssef maziz,Metz,1998,2,2,124,1,0,0,0,2,6,2,2023-2024,ligue1
ethan mbappe,Paris S-G,2006,3,0,48,0,0,0,0,1,1,4,2023-2024,ligue1
kylian mbappe,Paris S-G,1998,29,24,2158,27,7,4,0,114,122,285,2023-2024,ligue1
malick mbaye,Metz,2004,5,1,153,0,0,1,0,8,1,20,2023-2024,ligue1
chancel mbemba,Marseille,1994,25,25,2207,2,2,1,0,16,131,10,2023-2024,ligue1
nolan mbemba,Le Havre,1995,6,0,22,1,0,0,0,0,5,1,2023-2024,ligue1
christ mbondi,Reims,2004,1,0,2,0,0,0,0,0,0,1,2023-2024,ligue1
facundo medina,Lens,1999,31,30,2714,1,3,11,0,51,219,20,2023-2024,ligue1
bamo meite,Marseille,2001,16,6,638,0,0,1,0,11,29,5,2023-2024,ligue1
bamo meite,Lorient,2001,2,2,146,0,0,0,0,0,1,0,2023-2024,ligue1
birger meling,Rennes,1994,1,0,16,0,0,0,0,0,0,0,2023-2024,ligue1
nuno mendes,Paris S-G,2002,6,2,267,1,1,3,0,12,21,25,2023-2024,ligue1
antoine mendy,Nice,2004,10,4,418,0,0,0,0,3,12,6,2023-2024,ligue1
benjamin mendy,Lorient,1994,15,7,711,2,1,3,0,26,34,85,2023-2024,ligue1
formose mendy,Lorient,2001,18,13,1256,0,0,6,0,14,61,13,2023-2024,ligue1
nampalys mendy,Lens,1992,16,13,1052,0,1,2,0,21,84,13,2023-2024,ligue1
quentin merlin,Marseille,2002,10,8,703,0,1,1,0,15,46,56,2023-2024,ligue1
quentin merlin,Nantes,2002,16,15,1283,0,1,0,0,34,98,62,2023-2024,ligue1
bastien meupiyou,Nantes,2006,1,1,8,0,0,0,1,0,0,0,2023-2024,ligue1
lucas michal,Monaco,2005,1,0,7,0,0,0,0,1,0,0,2023-2024,ligue1
georges mikautadze,Metz,2000,20,20,1747,13,4,0,1,52,51,95,2023-2024,ligue1
takumi minamino,Monaco,1995,30,25,2117,9,6,4,0,48,97,198,2023-2024,ligue1
lucas mincarelli,Montpellier,2004,13,12,978,1,1,1,1,24,26,40,2023-2024,ligue1
ignacio miramon,Lille,2003,2,1,39,0,0,0,0,1,3,0,2023-2024,ligue1
terem moffi,Nice,1999,30,23,1949,11,2,4,0,24,27,123,2023-2024,ligue1
mostafa mohamed,Nantes,1997,29,24,2002,8,2,3,1,23,25,115,2023-2024,ligue1
florent mollet,Nantes,1991,29,24,2083,4,4,4,0,27,96,145,2023-2024,ligue1
enzo mongo,Nantes,2005,1,0,10,0,0,0,0,0,0,0,2023-2024,ligue1
diego moreira,Lyon,2004,7,4,270,0,0,1,0,10,12,23,2023-2024,ligue1
lebo mothiba,Strasbourg,1996,15,5,617,3,0,0,0,8,9,27,2023-2024,ligue1
steve mounie,Brest,1994,32,20,1769,6,2,2,1,22,25,111,2023-2024,ligue1
samuel moutoussamy,Nantes,1996,26,11,1107,1,0,2,0,20,59,33,2023-2024,ligue1
loris mouyokolo,Lorient,2001,1,1,90,0,0,0,0,1,0,0,2023-2024,ligue1
francois mughe,Marseille,2004,5,2,177,0,0,1,0,7,7,16,2023-2024,ligue1
nordi mukiele,Paris S-G,1997,16,9,796,0,0,2,0,12,32,26,2023-2024,ligue1
marshall munetsi,Reims,1996,27,25,2173,4,3,5,0,19,67,81,2023-2024,ligue1
yvon mvogo,Lorient,1994,34,34,3060,0,0,1,0,0,0,0,2023-2024,ligue1
joel mvuka,Lorient,2002,7,2,197,0,0,1,0,4,1,16,2023-2024,ligue1
junior mwanga,Strasbourg,2003,22,17,1450,1,1,3,0,28,56,37,2023-2024,ligue1
kevin ndoram,Metz,1996,23,18,1604,0,2,4,0,12,62,3,2023-2024,ligue1
bilal nadir,Marseille,2003,5,1,113,0,0,1,0,3,4,7,2023-2024,ligue1
mahamadou nagida,Rennes,2005,3,1,106,0,0,0,0,5,2,11,2023-2024,ligue1
keito nakamura,Reims,2000,25,17,1381,4,1,1,0,48,56,141,2023-2024,ligue1
keylor navas,Paris S-G,1986,4,4,360,0,0,0,0,0,0,0,2023-2024,ligue1
