Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
jancarlo simic,Milan,2005,4,0,146,1,0,0,0,0,6,0,2023-2024,serie-a
leo skiri stigard,Napoli,1999,25,18,1625,1,0,3,0,13,76,3,2023-2024,serie-a
ukasz skorupski,Bologna,1991,32,32,2880,0,0,2,0,0,1,0,2023-2024,serie-a
chris smalling,Roma,1989,8,4,390,0,0,0,0,1,13,2,2023-2024,serie-a
andrea sodero,Empoli,2004,1,0,5,0,0,0,0,0,0,1,2023-2024,serie-a
ola solbakken,Roma,1998,1,0,23,0,0,0,0,1,0,4,2023-2024,serie-a
daniele sommariva,Genoa,1997,1,0,5,0,0,0,0,0,0,0,2023-2024,serie-a
yann sommer,Inter,1988,34,34,3060,0,0,1,0,0,0,0,2023-2024,serie-a
brandon soppy,Torino,2002,5,2,178,0,0,0,0,9,6,3,2023-2024,serie-a
alessandro sorrentino,Monza,2002,7,5,548,0,0,0,0,0,0,0,2023-2024,serie-a
riccardo sottil,Fiorentina,1999,22,13,1103,2,3,1,0,66,33,139,2023-2024,serie-a
matias soule,Frosinone,2003,36,36,3121,11,3,4,0,115,198,211,2023-2024,serie-a
djed spence,Genoa,2000,16,8,859,0,0,1,0,17,25,31,2023-2024,serie-a
leonardo spinazzola,Roma,1993,24,15,1312,1,2,0,0,108,52,74,2023-2024,serie-a
marco sportiello,Milan,1992,7,7,630,0,0,0,0,0,0,0,2023-2024,serie-a
trivante stewart,Salernitana,2000,4,0,100,0,0,0,0,2,0,6,2023-2024,serie-a
gabriel strefezza,Lecce,1997,19,13,1112,1,0,4,0,34,54,81,2023-2024,serie-a
kevin strootman,Genoa,1990,27,15,1207,0,2,4,0,13,61,22,2023-2024,serie-a
isaac success,Udinese,1996,27,9,880,1,1,4,0,15,17,51,2023-2024,serie-a
ibrahim sulemana,Cagliari,2003,21,16,1339,2,0,4,0,15,27,14,2023-2024,serie-a
tomas suslov,Hellas Verona,2002,32,23,2092,3,5,7,0,46,64,74,2023-2024,serie-a
mile svilar,Roma,1999,15,15,1350,0,0,1,0,0,0,0,2023-2024,serie-a
karol swiderski,Hellas Verona,1997,15,3,504,2,0,0,0,3,13,19,2023-2024,serie-a
wojciech szczesny,Juventus,1990,35,35,3150,0,0,1,0,0,0,0,2023-2024,serie-a
przemysaw szyminski,Frosinone,1994,1,0,9,0,0,0,0,0,0,0,2023-2024,serie-a
adrien tameze,Torino,1994,29,25,2146,0,2,6,1,22,90,39,2023-2024,serie-a
elayis tavsan,Hellas Verona,2001,3,0,50,0,0,0,0,2,2,1,2023-2024,serie-a
loum tchaouna,Salernitana,2003,33,23,2100,4,3,4,0,72,59,151,2023-2024,serie-a
jackson tchatchoua,Hellas Verona,2001,26,19,1725,0,2,2,0,34,53,66,2023-2024,serie-a
filippo terracciano,Hellas Verona,2003,18,14,1296,0,1,1,0,26,51,28,2023-2024,serie-a
filippo terracciano,Milan,2003,3,1,76,0,0,1,0,0,1,1,2023-2024,serie-a
pietro terracciano,Fiorentina,1990,33,33,2970,0,0,3,0,0,0,0,2023-2024,serie-a
florian thauvin,Udinese,1993,29,19,1710,5,3,4,0,72,69,97,2023-2024,serie-a
malick thiaw,Milan,2001,21,19,1619,0,1,5,1,15,70,1,2023-2024,serie-a
morten thorsby,Genoa,1996,24,9,1157,2,2,2,0,6,28,39,2023-2024,serie-a
kristian thorstvedt,Sassuolo,1999,34,30,2397,6,1,7,0,30,130,94,2023-2024,serie-a
marcus thuram,Inter,1997,35,34,2687,13,7,3,0,68,47,192,2023-2024,serie-a
antonio tikvic,Udinese,2004,1,0,1,0,0,0,0,0,0,0,2023-2024,serie-a
jeremy toljan,Sassuolo,1994,25,24,2083,0,5,1,0,35,79,85,2023-2024,serie-a
rafael toloi,Atalanta,1990,18,10,965,0,0,6,1,8,53,10,2023-2024,serie-a
fikayo tomori,Milan,1997,26,24,2121,4,0,8,1,16,63,2,2023-2024,serie-a
