Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
angel correa,Atlético Madrid,1995.0,32,14,1528,9,2,3,0,40,61,128,2023-2024,laliga
thierry correia,Valencia,1999.0,31,25,2154,0,2,4,1,40,80,56,2023-2024,laliga
jaume costa,Mallorca,1988.0,30,19,1682,0,1,7,0,34,50,104,2023-2024,laliga
samu costa,Mallorca,2000.0,34,26,2303,1,1,8,0,16,93,32,2023-2024,laliga
thibaut courtois,Real Madrid,1992.0,4,4,332,0,0,0,0,0,0,0,2023-2024,laliga
yan couto,Girona,2002.0,34,24,2245,1,8,8,0,151,97,240,2023-2024,laliga
crespo,Rayo Vallecano,1996.0,15,4,527,0,0,4,0,13,30,20,2023-2024,laliga
cristian,Valencia,1998.0,1,0,57,0,0,0,0,0,0,0,2023-2024,laliga
juan cruz armada,Osasuna,1992.0,26,18,1667,0,1,3,0,16,77,29,2023-2024,laliga
juan cruz,Betis,2000.0,5,0,76,0,0,0,0,2,3,10,2023-2024,laliga
pau cubarsi,Barcelona,2007.0,19,18,1558,0,0,4,0,8,75,2,2023-2024,laliga
ivan cuellar,Mallorca,1984.0,1,1,90,0,0,0,0,0,0,0,2023-2024,laliga
jorge cuenca,Villarreal,1999.0,29,21,1963,3,1,7,0,11,78,30,2023-2024,laliga
eric curbelo,Las Palmas,1994.0,2,1,102,0,0,0,0,0,4,0,2023-2024,laliga
alberto dadie,Real Sociedad,2002.0,1,0,28,0,0,0,0,0,0,0,2023-2024,laliga
sergi darder,Mallorca,1993.0,36,21,2157,2,5,4,0,56,132,75,2023-2024,laliga
rodrigo de paul,Atlético Madrid,1994.0,34,25,2075,3,5,7,0,73,202,55,2023-2024,laliga
mouctar diakhaby,Valencia,1996.0,14,12,1073,1,0,6,0,7,29,1,2023-2024,laliga
moussa diakite,Cádiz,2003.0,1,0,1,0,0,0,0,0,0,0,2023-2024,laliga
assane diao,Betis,2005.0,18,13,1048,2,0,4,0,33,20,101,2023-2024,laliga
brahim diaz,Real Madrid,1999.0,31,18,1545,8,6,0,0,76,75,166,2023-2024,laliga
victor diaz,Granada,1988.0,4,2,162,0,0,1,0,0,2,0,2023-2024,laliga
