Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
fabio chiarodia,Gladbach,2005.0,7,1,152,0,0,0,0,0,4,1,2023-2024,bundesliga
jacob christensen,Köln,2001.0,7,2,219,0,0,1,0,2,12,1,2023-2024,bundesliga
nnamdi collins,Eint Frankfurt,2004.0,2,1,90,0,0,0,0,1,13,5,2023-2024,bundesliga
kingsley coman,Bayern Munich,1996.0,17,15,1113,3,3,1,0,75,72,210,2023-2024,bundesliga
bambase conte,Hoffenheim,2003.0,7,0,48,0,0,0,0,3,2,8,2023-2024,bundesliga
danny da costa,Mainz 05,1993.0,19,9,830,0,1,1,0,22,40,53,2023-2024,bundesliga
nicolas cozza,Wolfsburg,1999.0,6,3,276,0,0,1,0,5,16,8,2023-2024,bundesliga
tomas cvancara,Gladbach,2000.0,21,7,896,4,1,4,0,12,13,47,2023-2024,bundesliga
finn dahmen,Augsburg,1998.0,31,31,2790,0,0,4,0,0,3,0,2023-2024,bundesliga
mahmoud dahoud,Stuttgart,1996.0,13,1,227,1,0,0,0,1,19,5,2023-2024,bundesliga
lukas daschner,Bochum,1998.0,20,3,536,1,1,2,0,11,17,37,2023-2024,bundesliga
david datro fofana,Union Berlin,2002.0,12,8,682,1,0,0,0,20,14,66,2023-2024,bundesliga
alphonso davies,Bayern Munich,2000.0,29,24,2065,2,5,0,0,121,117,139,2023-2024,bundesliga
olivier deman,Werder Bremen,2000.0,29,14,1365,2,1,5,0,26,40,53,2023-2024,bundesliga
ermedin demirovic,Augsburg,1998.0,33,33,2873,15,9,7,0,28,60,167,2023-2024,bundesliga
sepp van den berg,Mainz 05,2001.0,33,31,2839,3,0,9,0,7,95,6,2023-2024,bundesliga
samuele di benedetto,Stuttgart,2005.0,1,0,7,0,0,0,0,0,0,1,2023-2024,bundesliga
justin diehl,Köln,2004.0,7,1,168,0,0,0,0,6,2,17,2023-2024,bundesliga
eric dier,Bayern Munich,1994.0,15,13,1166,0,0,1,0,8,53,1,2023-2024,bundesliga
florian dietz,Köln,1998.0,5,0,70,0,0,0,0,0,0,8,2023-2024,bundesliga
junior dina ebimbe,Eint Frankfurt,2000.0,31,25,1956,5,3,5,0,57,79,157,2023-2024,bundesliga
eren dinkci,Heidenheim,2001.0,33,33,2650,10,5,8,0,85,89,143,2023-2024,bundesliga
ritsu doan,Freiburg,1998.0,30,26,2246,7,2,2,0,49,78,139,2023-2024,bundesliga
danilho doekhi,Union Berlin,1998.0,24,24,2160,2,0,2,0,7,65,6,2023-2024,bundesliga
niklas dorsch,Augsburg,1998.0,21,16,1386,0,0,5,0,12,47,12,2023-2024,bundesliga
nikola dovedan,Heidenheim,1994.0,21,5,656,3,1,0,1,12,22,25,2023-2024,bundesliga
damion downs,Köln,2004.0,10,0,181,2,0,0,0,1,0,5,2023-2024,bundesliga
dion drena beljo,Augsburg,2002.0,26,3,581,2,0,2,0,16,20,35,2023-2024,bundesliga
tim drexler,Hoffenheim,2005.0,8,6,573,0,0,1,0,6,12,0,2023-2024,bundesliga
marvin ducksch,Werder Bremen,1994.0,33,32,2696,12,9,9,0,17,88,150,2023-2024,bundesliga
julien duranville,Dortmund,2006.0,2,0,12,0,0,0,0,2,0,1,2023-2024,bundesliga
maximilian eggestein,Freiburg,1996.0,33,33,2914,1,2,6,0,42,162,72,2023-2024,bundesliga
lilian egloff,Stuttgart,2002.0,5,1,106,0,0,1,0,2,2,2,2023-2024,bundesliga
hugo ekitike,Eint Frankfurt,2002.0,14,7,716,4,2,3,0,16,9,60,2023-2024,bundesliga
