Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
andrea conti,Sampdoria,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
diego coppola,Hellas Verona,15,10,0,45.8,11,17,14,20,6,14,38,0,2022-2023,serie-a
alex cordaz,Inter,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
joaquin correa,Inter,3,6,3,26.7,4,7,3,4,1,3,0,0,2022-2023,serie-a
alessandro cortinovis,Hellas Verona,1,0,0,,0,0,0,1,0,1,0,0,2022-2023,serie-a
lassana coulibaly,Salernitana,42,35,7,41.1,30,50,25,35,7,28,33,2,2022-2023,serie-a
alessio cragno,Monza,0,0,0,0.0,0,0,0,0,0,0,0,0,2022-2023,serie-a
bryan cristante,Roma,55,49,9,61.1,55,62,18,39,10,29,53,0,2022-2023,serie-a
domen crnigoj,Salernitana,0,7,1,50.0,1,3,9,9,1,8,6,0,2022-2023,serie-a
juan cuadrado,Juventus,34,13,3,41.5,27,34,24,15,2,13,32,0,2022-2023,serie-a
mickael cuisance,Sampdoria,7,5,1,21.7,5,10,5,10,0,10,4,0,2022-2023,serie-a
marco dalessandro,Monza,3,1,0,40.0,2,4,1,2,0,2,3,0,2022-2023,serie-a
danilo dambrosio,Inter,17,7,1,55.6,15,17,10,12,4,8,17,0,2022-2023,serie-a
luca dandrea,Sassuolo,2,1,1,25.0,1,0,1,2,0,2,1,0,2022-2023,serie-a
flavius daniliuc,Salernitana,37,17,3,55.3,26,29,29,30,13,17,76,0,2022-2023,serie-a
danilo,Juventus,61,23,8,71.2,52,62,47,39,20,19,114,1,2022-2023,serie-a
matteo darmian,Inter,29,15,12,66.0,31,30,21,33,5,28,36,0,2022-2023,serie-a
juan david cabal,Hellas Verona,7,3,0,58.3,7,6,13,8,5,3,12,0,2022-2023,serie-a
pawe dawidowicz,Hellas Verona,28,17,3,71.0,22,31,23,14,9,5,71,0,2022-2023,serie-a
charles de ketelaere,Milan,7,14,5,43.3,13,12,4,14,2,12,9,0,2022-2023,serie-a
manuel de luca,Sampdoria,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
tommaso de nipoti,Atalanta,0,1,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
mattia de sciglio,Juventus,8,3,3,64.3,9,7,4,9,3,6,20,0,2022-2023,serie-a
lorenzo de silvestri,Bologna,2,0,1,42.9,3,2,3,6,5,1,20,0,2022-2023,serie-a
koni de winter,Empoli,11,3,0,38.5,5,9,6,14,12,2,65,0,2022-2023,serie-a
gregoire defrel,Sassuolo,5,2,2,30.8,4,7,2,11,0,11,5,0,2022-2023,serie-a
duccio deglinnocenti,Empoli,0,0,0,,0,0,1,0,0,0,0,0,2022-2023,serie-a
merih demiral,Atalanta,30,11,0,72.2,26,29,24,24,7,17,57,1,2022-2023,serie-a
diego demme,Napoli,1,0,0,0.0,0,0,0,2,0,2,1,0,2022-2023,serie-a
fabio depaoli,Hellas Verona,25,16,7,56.8,25,28,18,32,6,26,33,3,2022-2023,serie-a
fabio depaoli,Sampdoria,2,3,0,75.0,3,3,1,1,0,1,4,0,2022-2023,serie-a
kastriot dermaku,Lecce,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
cyriel dessers,Cremonese,4,4,3,33.3,2,4,3,14,2,12,5,0,2022-2023,serie-a
sergino dest,Milan,3,5,4,75.0,3,6,4,1,0,1,2,0,2022-2023,serie-a
mattia destro,Empoli,0,1,0,,0,1,1,2,0,2,5,0,2022-2023,serie-a
gerard deulofeu,Udinese,5,1,2,33.3,5,5,2,8,1,7,1,0,2022-2023,serie-a
samuel di carmine,Cremonese,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
federico di francesco,Lecce,7,11,10,47.4,9,16,8,16,0,16,14,0,2022-2023,serie-a
