Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
patrick pentz,Reims,221,0,0,0,221,0,,0,,503,1,1,0,0,2022-2023,ligue-1
nicolas pepe,Nice,88,392,455,90,915,76,44.7,33,43.4,1872,29,26,45,52,2022-2023,ligue-1
brayann pereira,Auxerre,40,39,34,1,112,13,46.2,5,38.5,136,2,1,6,0,2022-2023,ligue-1
danilo pereira,Paris S-G,695,1442,162,29,2277,15,66.7,5,33.3,5205,35,2,14,10,2022-2023,ligue-1
mathias pereira lage,Brest,81,263,203,41,539,26,34.6,13,50.0,911,13,7,24,18,2022-2023,ligue-1
gaetan perrin,Auxerre,100,286,259,37,627,93,63.4,31,33.3,1886,36,15,49,42,2022-2023,ligue-1
lucas perrin,Strasbourg,423,501,89,18,1006,12,50.0,3,25.0,2243,12,1,6,4,2022-2023,ligue-1
ronael pierregabriel,Strasbourg,132,220,114,9,464,16,68.8,5,31.3,774,17,1,10,6,2022-2023,ligue-1
julien ponceau,Lorient,168,534,328,43,1014,30,33.3,17,56.7,2245,53,7,39,18,2022-2023,ligue-1
ukasz poreba,Lens,20,93,57,1,170,2,50.0,1,50.0,223,8,0,5,2,2022-2023,ligue-1
jackson porozo,Troyes,463,348,47,22,851,11,63.6,4,36.4,1222,5,1,10,7,2022-2023,ligue-1
sanjin prcic,Strasbourg,292,708,235,7,1218,20,70.0,5,25.0,1921,35,1,9,7,2022-2023,ligue-1
mehdi puchherrantz,Ajaccio,7,17,13,2,37,1,100.0,0,0.0,62,1,2,3,2,2022-2023,ligue-1
ghjuvanni quilichini,Ajaccio,37,0,0,0,37,0,,0,,112,0,0,0,0,2022-2023,ligue-1
ionut radu,Auxerre,626,4,0,0,630,1,100.0,0,0.0,1443,0,0,1,0,2022-2023,ligue-1
