Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
marco grull,Werder Bremen,43,215,245,53,495,39,33.3,23,59.0,623,19,9,43,39,2024-2025,bundesliga
raphael guerreiro,Bayern Munich,253,687,554,55,1487,20,50.0,9,45.0,1831,40,5,16,15,2024-2025,bundesliga
morgan guilavogui,St. Pauli,116,343,384,103,832,48,43.8,22,45.8,1035,28,22,50,24,2024-2025,bundesliga
serhou guirassy,Dortmund,76,485,410,160,961,39,28.2,21,53.8,904,22,12,76,30,2024-2025,bundesliga
peter gulacsi,RB Leipzig,975,20,0,0,994,0,,0,,1221,0,0,1,0,2024-2025,bundesliga
robert gumny,Augsburg,41,59,70,5,170,8,25.0,4,50.0,138,4,0,3,1,2024-2025,bundesliga
christian gunter,Freiburg,360,521,427,27,1304,9,33.3,6,66.7,970,19,7,15,4,2024-2025,bundesliga
janik haberer,Union Berlin,244,505,172,17,911,6,33.3,3,50.0,606,4,0,13,11,2024-2025,bundesliga
robin hack,Gladbach,208,565,431,84,1186,63,39.7,33,52.4,1823,46,21,65,44,2024-2025,bundesliga
amadou haidara,RB Leipzig,257,693,157,14,1100,12,58.3,5,41.7,733,6,0,6,7,2024-2025,bundesliga
andreas hancheolsen,Mainz 05,453,325,38,21,812,1,100.0,0,0.0,581,4,0,8,3,2024-2025,bundesliga
phil harres,Holstein Kiel,59,262,165,61,481,24,20.8,17,70.8,375,15,10,64,24,2024-2025,bundesliga
ramon hendriks,Stuttgart,338,418,86,11,839,9,55.6,4,44.4,761,5,2,6,4,2024-2025,bundesliga
paul hennrich,Hoffenheim,2,0,4,0,6,2,0.0,1,50.0,10,0,0,1,0,2024-2025,bundesliga
benjamin henrichs,RB Leipzig,189,269,154,8,606,13,69.2,4,30.8,438,7,0,9,6,2024-2025,bundesliga
mario hermoso,Leverkusen,84,165,39,6,288,5,60.0,2,40.0,265,8,0,3,1,2024-2025,bundesliga
piero hincapie,Leverkusen,824,1288,350,48,2456,17,29.4,10,58.8,4318,48,6,19,5,2024-2025,bundesliga
adam hlozek,Hoffenheim,73,334,367,114,761,64,51.6,27,42.2,1336,31,19,51,37,2024-2025,bundesliga
nicolas hofler,Freiburg,134,284,68,4,482,4,100.0,0,0.0,191,3,1,10,10,2024-2025,bundesliga
jonas hofmann,Leverkusen,24,87,108,16,218,4,50.0,2,50.0,323,7,3,5,2,2024-2025,bundesliga
philipp hofmann,Bochum,88,548,307,100,938,20,50.0,10,50.0,456,15,2,55,32,2024-2025,bundesliga
lucas holer,Freiburg,132,382,352,89,853,34,52.9,13,38.2,673,12,7,52,24,2024-2025,bundesliga
benedict hollerbach,Union Berlin,125,446,567,138,1112,115,36.5,62,53.9,2582,68,52,111,94,2024-2025,bundesliga
lewis holtby,Holstein Kiel,252,429,171,14,847,15,46.7,7,46.7,698,10,1,15,8,2024-2025,bundesliga
gerrit holtmann,Bochum,111,188,281,28,571,20,30.0,13,65.0,1163,29,9,33,10,2024-2025,bundesliga
franck honorat,Gladbach,127,260,389,60,762,32,37.5,19,59.4,1549,35,26,22,12,2024-2025,bundesliga
mathias honsak,Heidenheim,162,288,205,33,646,23,39.1,13,56.5,987,28,9,38,12,2024-2025,bundesliga
timo horn,Bochum,525,10,0,0,535,0,,0,,807,0,0,1,0,2024-2025,bundesliga
lukas hradecky,Leverkusen,952,11,0,0,962,0,,0,,1638,0,0,0,0,2024-2025,bundesliga
robin hranac,Hoffenheim,64,104,3,1,170,0,,0,,248,2,0,1,0,2024-2025,bundesliga
hong hyunseok,Mainz 05,35,149,114,16,292,10,40.0,4,40.0,419,9,2,11,12,2024-2025,bundesliga
oscar hjlund,Eint Frankfurt,125,292,83,11,497,11,72.7,3,27.3,625,8,5,18,11,2024-2025,bundesliga
arijon ibrahimovic,Bayern Munich,2,1,0,0,3,1,100.0,0,0.0,5,0,0,0,0,2024-2025,bundesliga
andrej ilic,Union Berlin,32,139,135,45,301,7,14.3,6,85.7,167,6,4,32,9,2024-2025,bundesliga
jackson irvine,St. Pauli,330,689,283,75,1286,23,39.1,13,56.5,897,18,5,42,13,2024-2025,bundesliga
ko itakura,Gladbach,1187,916,80,32,2170,23,52.2,10,43.5,3528,17,0,9,8,2024-2025,bundesliga
hiroki ito,Bayern Munich,65,129,52,5,245,3,33.3,2,66.7,240,6,1,3,1,2024-2025,bundesliga
marko ivezic,Holstein Kiel,683,468,34,14,1176,7,57.1,2,28.6,1282,7,0,17,7,2024-2025,bundesliga
lee jaesung,Mainz 05,220,644,535,124,1385,30,36.7,16,53.3,928,23,10,73,27,2024-2025,bundesliga
kristijan jakic,Augsburg,322,790,263,34,1361,29,48.3,13,44.8,1324,13,3,39,21,2024-2025,bundesliga
luca jaquez,Stuttgart,82,133,13,1,227,0,,0,,621,2,0,1,0,2024-2025,bundesliga
dominik javorcek,Holstein Kiel,104,60,57,2,221,5,80.0,1,20.0,249,2,0,5,1,2024-2025,bundesliga
finn jeltsch,Stuttgart,234,461,34,2,727,3,66.7,1,33.3,1472,11,1,10,1,2024-2025,bundesliga
fredrik jensen,Augsburg,44,122,156,24,318,13,53.8,6,46.2,390,8,3,16,10,2024-2025,bundesliga
moritz jenz,Mainz 05,565,500,36,20,1098,5,40.0,2,40.0,958,2,1,7,0,2024-2025,bundesliga
carl johansson,Holstein Kiel,265,120,15,11,396,0,,0,,189,0,0,2,0,2024-2025,bundesliga
anthony jung,Werder Bremen,901,733,72,1,1695,9,77.8,1,11.1,2322,20,0,13,2,2024-2025,bundesliga
josip juranovic,Union Berlin,212,287,222,7,709,24,45.8,8,33.3,797,12,3,12,3,2024-2025,bundesliga
david jurasek,Hoffenheim,132,194,176,9,499,12,25.0,8,66.7,599,21,1,6,5,2024-2025,bundesliga
yusuf kabaday,Augsburg,2,16,25,2,42,6,33.3,3,50.0,73,4,0,6,0,2024-2025,bundesliga
almugera kabar,Dortmund,27,68,20,1,114,2,50.0,0,0.0,101,3,0,0,3,2024-2025,bundesliga
