Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
aaron cresswell,West Ham,125,141,61,1,326,1,0.0,1,100.0,220,5,0,0,2,2023-2024,premier-league
marc cucurella,Chelsea,575,590,270,27,1426,13,30.8,7,53.8,1579,15,3,15,6,2023-2024,premier-league
josh cullen,Burnley,342,905,321,18,1555,13,23.1,5,38.5,1691,21,2,17,10,2023-2024,premier-league
matheus cunha,Wolves,169,611,474,121,1219,140,45.7,61,43.6,3203,79,38,80,53,2023-2024,premier-league
sam curtis,Sheffield Utd,8,4,2,0,14,0,,0,,0,0,0,0,1,2023-2024,premier-league
mahmoud dahoud,Brighton,86,225,58,4,368,5,40.0,3,60.0,406,3,1,6,5,2023-2024,premier-league
ameen aldakhil,Burnley,355,339,58,10,749,5,60.0,2,40.0,1351,9,0,8,6,2023-2024,premier-league
diogo dalot,Manchester Utd,752,873,587,48,2196,52,59.6,18,34.6,2901,43,10,24,11,2023-2024,premier-league
mikkel damsgaard,Brentford,108,260,195,20,555,20,45.0,11,55.0,846,11,3,18,8,2023-2024,premier-league
danilo,Nott'ham Forest,281,521,191,16,977,26,65.4,9,34.6,1167,20,3,24,13,2023-2024,premier-league
arnaut danjuma,Everton,23,77,127,32,223,21,38.1,11,52.4,599,15,11,10,7,2023-2024,premier-league
jayden danns,Liverpool,0,3,4,0,7,0,,0,,5,1,0,0,0,2023-2024,premier-league
josh dasilva,Brentford,1,6,19,6,26,4,50.0,2,50.0,69,0,2,2,4,2023-2024,premier-league
david datro fofana,Burnley,36,130,147,45,307,41,36.6,22,53.7,527,9,11,37,20,2023-2024,premier-league
ben davies,Tottenham,406,473,96,23,972,10,40.0,6,60.0,2044,13,1,2,3,2023-2024,premier-league
tom davies,Sheffield Utd,44,65,34,5,142,8,25.0,5,62.5,167,2,1,3,4,2023-2024,premier-league
