Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
pasquale mazzocchi,Napoli,118,145,129,10,385,17,58.8,4,23.5,707,13,2,13,11,2024-2025,serie-a
samuel mbangula,Juventus,46,147,159,20,349,27,33.3,13,48.1,711,11,7,13,10,2024-2025,serie-a
weston mckennie,Juventus,259,593,508,57,1350,34,58.8,11,32.4,1353,31,7,41,26,2024-2025,serie-a
scott mctominay,Napoli,236,718,384,106,1314,88,44.3,35,39.8,1993,40,15,68,48,2024-2025,serie-a
filippo melegoni,Genoa,12,8,7,1,27,2,50.0,1,50.0,28,1,0,3,1,2024-2025,serie-a
alex meret,Napoli,1284,6,0,0,1290,0,,0,,1930,0,0,1,0,2024-2025,serie-a
junior messias,Genoa,63,192,151,18,396,44,22.7,25,56.8,1027,26,5,34,5,2024-2025,serie-a
valentin mihaila,Parma,58,226,311,31,582,27,37.0,14,51.9,835,26,11,29,20,2024-2025,serie-a
vanja milinkovicsavic,Torino,1706,32,0,0,1737,0,,0,,3843,0,0,1,1,2024-2025,serie-a
yerry mina,Cagliari,1047,686,89,43,1797,8,37.5,2,25.0,2737,11,0,20,13,2024-2025,serie-a
juan miranda,Bologna,588,848,655,20,2080,20,35.0,12,60.0,1792,27,4,23,8,2024-2025,serie-a
fabio miretti,Genoa,137,407,316,56,847,73,34.2,38,52.1,1209,22,14,63,36,2024-2025,serie-a
henrikh mkhitaryan,Inter,259,954,541,44,1747,26,26.9,19,73.1,2799,56,13,27,15,2024-2025,serie-a
rui modesto,Udinese,76,165,153,14,388,8,37.5,5,62.5,518,6,4,9,3,2024-2025,serie-a
lorenzo montipo,Hellas Verona,1150,20,0,0,1170,0,,0,,1873,0,0,1,0,2024-2025,serie-a
alvaro morata,Milan,34,180,170,61,383,17,35.3,7,41.2,519,13,7,24,16,2024-2025,serie-a
alberto moreno,Como,391,563,283,17,1224,7,42.9,3,42.9,1350,30,4,18,3,2024-2025,serie-a
matias moreno,Fiorentina,41,48,10,1,98,3,100.0,0,0.0,145,0,0,1,1,2024-2025,serie-a
tete morente,Lecce,146,465,388,40,983,55,54.5,22,40.0,1689,43,6,43,15,2024-2025,serie-a
nikola moro,Bologna,148,579,201,3,923,12,58.3,4,33.3,968,11,0,11,4,2024-2025,serie-a
daniel mosquera,Hellas Verona,36,246,236,74,509,25,64.0,8,32.0,490,15,9,43,17,2024-2025,serie-a
dany mota,Monza,85,376,368,80,820,39,33.3,22,56.4,1295,29,12,63,29,2024-2025,serie-a
bob murphy omoregbe,Milan,0,0,2,1,2,0,,0,,9,0,0,0,0,2024-2025,serie-a
yunus musah,Milan,144,468,293,37,888,37,56.8,12,32.4,2074,44,12,46,13,2024-2025,serie-a
juan musso,Atalanta,35,0,0,0,35,0,,0,,48,0,0,0,0,2024-2025,serie-a
kingstone mutandwa,Cagliari,4,24,16,4,44,3,33.3,2,66.7,41,1,0,7,0,2024-2025,serie-a
obite ndicka,Roma,1348,1401,85,26,2823,3,0.0,2,66.7,4009,19,0,20,3,2024-2025,serie-a
konan ndri,Lecce,5,36,82,9,122,20,35.0,9,45.0,424,13,2,11,8,2024-2025,serie-a
michel ndary adopo,Cagliari,268,713,254,32,1222,42,45.2,20,47.6,1212,21,1,39,26,2024-2025,serie-a
cher ndour,Fiorentina,50,146,72,8,265,4,50.0,1,25.0,388,7,1,5,6,2024-2025,serie-a
dan ndoye,Bologna,74,410,560,105,1019,96,38.5,43,44.8,3035,54,50,82,46,2024-2025,serie-a
victor nelsson,Roma,61,73,8,2,141,1,100.0,0,0.0,149,0,0,4,0,2024-2025,serie-a
david neres,Napoli,73,287,388,60,724,75,44.0,36,48.0,1903,37,30,38,23,2024-2025,serie-a
cyril ngonge,Napoli,14,58,74,10,145,21,33.3,10,47.6,276,5,4,4,7,2024-2025,serie-a
hans nicolussi caviglia,Venezia,389,997,375,11,1739,50,34.0,29,58.0,1704,24,1,40,37,2024-2025,serie-a
oliver nielsen,Lazio,9,12,2,0,23,0,,0,,11,0,0,0,0,2024-2025,serie-a
eybi nije,Torino,21,61,86,14,167,19,36.8,11,57.9,276,7,5,14,9,2024-2025,serie-a
brooke nortoncuffy,Genoa,104,175,70,8,344,20,35.0,11,55.0,480,12,3,14,9,2024-2025,serie-a
tijjani noslin,Lazio,31,150,167,47,347,19,42.1,10,52.6,495,12,6,24,13,2024-2025,serie-a
adam obert,Cagliari,309,312,105,13,710,14,35.7,9,64.3,797,9,0,26,7,2024-2025,serie-a
jens odgaard,Bologna,60,340,368,68,759,53,28.3,29,54.7,1024,26,12,56,33,2024-2025,serie-a
noah okafor,Milan,10,62,97,28,163,25,48.0,11,44.0,563,11,10,12,9,2024-2025,serie-a
noah okafor,Napoli,7,10,13,6,29,7,28.6,4,57.1,117,2,3,2,2,2024-2025,serie-a
yllan okou,Hellas Verona,2,0,1,0,3,0,,0,,1,0,0,0,0,2024-2025,serie-a
maduka okoye,Udinese,930,10,0,0,940,0,,0,,1484,0,0,0,0,2024-2025,serie-a
mathias olivera,Napoli,639,962,295,42,1884,16,31.3,9,56.3,2527,23,6,27,13,2024-2025,serie-a
jean onana,Genoa,49,115,20,1,183,4,50.0,1,25.0,65,1,0,6,7,2024-2025,serie-a
jacob ondrejka,Parma,30,73,91,19,192,8,75.0,1,12.5,352,11,8,10,3,2024-2025,serie-a
gaetano oristanio,Venezia,70,300,416,88,757,123,44.7,59,48.0,2046,48,30,80,72,2024-2025,serie-a
riccardo orsolini,Bologna,85,349,494,88,913,73,45.2,35,47.9,1777,27,25,48,25,2024-2025,serie-a
yordan osorio,Parma,73,63,5,1,141,0,,0,,180,0,0,1,0,2024-2025,serie-a
sebastian otoa,Genoa,56,31,1,0,88,0,,0,,36,0,0,2,1,2024-2025,serie-a
remi oudin,Lecce,34,75,61,2,168,6,50.0,3,50.0,139,5,0,5,3,2024-2025,serie-a
cheick oumar conde,Venezia,22,43,17,3,80,5,40.0,2,40.0,86,4,0,2,5,2024-2025,serie-a
daniel oyegoke,Hellas Verona,21,17,27,1,65,3,66.7,1,33.3,42,0,0,2,2,2024-2025,serie-a
daniele padelli,Udinese,22,0,0,0,22,0,,0,,19,0,0,0,0,2024-2025,serie-a
simone pafundi,Udinese,8,47,41,1,95,7,14.3,2,28.6,131,9,0,2,1,2024-2025,serie-a
tomas palacios,Monza,229,178,16,1,417,9,88.9,1,11.1,683,1,0,3,4,2024-2025,serie-a
tomas palacios,Inter,2,12,1,0,15,0,,0,,32,0,0,0,0,2024-2025,serie-a
alberto paleari,Torino,37,0,0,0,37,0,,0,,65,0,0,0,0,2024-2025,serie-a
marco palestra,Atalanta,30,54,53,12,137,12,33.3,5,41.7,411,6,6,3,1,2024-2025,serie-a
matteo palma,Udinese,3,6,0,0,9,0,,0,,4,0,0,0,0,2024-2025,serie-a
leandro paredes,Roma,357,827,208,5,1379,3,100.0,0,0.0,2020,16,0,6,1,2024-2025,serie-a
fabiano parisi,Fiorentina,198,263,159,16,607,26,38.5,11,42.3,1128,17,10,18,16,2024-2025,serie-a
mario pasalic,Atalanta,278,923,391,70,1579,18,27.8,12,66.7,2729,52,6,24,22,2024-2025,serie-a
