Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
abdon prats,Mallorca,34,171,181,43,376,18,44.4,10,55.6,285,9,5,41,10,2023-2024,laliga
marc pubill,Almería,435,555,278,33,1250,65,50.8,23,35.4,1864,42,7,33,14,2023-2024,laliga
antonio puertas,Granada,43,137,148,33,319,31,48.4,15,48.4,476,18,7,24,11,2023-2024,laliga
arnau puigmal,Almería,20,56,48,2,122,7,28.6,4,57.1,210,3,0,7,2,2023-2024,laliga
nemanja radonjic,Mallorca,18,71,98,19,181,33,63.6,11,33.3,589,8,13,13,5,2023-2024,laliga
aleksandar radovanovic,Almería,177,100,3,2,279,1,0.0,1,100.0,142,0,0,2,0,2023-2024,laliga
abdellah raihani,Atlético Madrid,0,0,1,1,1,0,,0,,0,0,0,1,0,2023-2024,laliga
antonio raillo,Mallorca,743,626,76,41,1437,2,50.0,1,50.0,2963,11,1,10,7,2023-2024,laliga
predrag rajkovic,Mallorca,1304,22,0,0,1325,3,100.0,0,0.0,2410,0,0,1,0,2023-2024,laliga
ivan rakitic,Sevilla,169,685,412,23,1251,20,40.0,9,45.0,1588,21,1,30,5,2023-2024,laliga
largie ramazani,Almería,90,251,263,59,578,74,41.9,38,51.4,1775,41,27,45,33,2023-2024,laliga
benito ramirez,Las Palmas,32,106,112,10,245,11,18.2,9,81.8,471,8,5,10,3,2023-2024,laliga
sandro ramirez,Las Palmas,68,328,515,81,900,54,40.7,25,46.3,1302,26,30,65,23,2023-2024,laliga
chris ramos,Cádiz,100,323,479,136,896,69,26.1,44,63.8,701,24,21,95,53,2023-2024,laliga
sergio ramos,Sevilla,1000,801,85,29,1870,11,54.5,3,27.3,2701,10,3,13,6,2023-2024,laliga
raphinha,Barcelona,80,338,484,81,893,46,52.2,19,41.3,1418,22,23,41,8,2023-2024,laliga
andrei ratiu,Rayo Vallecano,121,157,116,18,392,29,44.8,14,48.3,729,19,8,14,7,2023-2024,laliga
raul,Osasuna,35,199,224,64,455,21,28.6,13,61.9,381,11,7,36,16,2023-2024,laliga
abderrahman rebbach,Alavés,46,102,198,36,343,28,35.7,16,57.1,763,15,18,28,12,2023-2024,laliga
pepe reina,Villarreal,73,0,0,0,73,0,,0,,156,0,0,0,0,2023-2024,laliga
alex remiro,Real Sociedad,1338,15,0,0,1353,0,,0,,1947,0,0,2,0,2023-2024,laliga
chadi riad,Betis,871,532,27,15,1426,0,,0,,1926,7,0,9,2,2023-2024,laliga
diego rico,Getafe,458,900,467,6,1809,33,33.3,20,60.6,1419,36,1,33,20,2023-2024,laliga
luis rioja,Alavés,150,382,619,62,1119,71,57.7,23,32.4,2161,51,18,56,20,2023-2024,laliga
rodrigo riquelme,Atlético Madrid,172,302,457,85,918,64,37.5,38,59.4,2241,54,28,47,16,2023-2024,laliga
alberto risco,Getafe,5,26,34,5,65,4,50.0,1,25.0,84,2,0,6,2,2023-2024,laliga
mihailo ristic,Celta Vigo,161,266,203,8,624,23,30.4,11,47.8,1006,22,3,16,8,2023-2024,laliga
gorka rivera alonso,Getafe,3,2,1,0,6,0,,0,,1,0,0,0,0,2023-2024,laliga
sergi roberto,Barcelona,112,448,179,28,737,6,50.0,1,16.7,1028,18,4,22,7,2023-2024,laliga
lucas robertone,Almería,405,975,316,17,1675,21,38.1,9,42.9,2061,27,4,27,16,2023-2024,laliga
marc roca,Betis,333,858,229,23,1403,21,52.4,9,42.9,2096,22,6,19,18,2023-2024,laliga
sergio rodelas,Granada,10,19,24,6,53,6,33.3,3,50.0,74,3,1,8,1,2023-2024,laliga
rodri,Betis,98,325,299,43,711,57,42.1,24,42.1,1607,30,14,28,18,2023-2024,laliga
alvaro rodriguez,Real Madrid,2,1,0,0,3,2,100.0,0,0.0,0,1,0,1,1,2023-2024,laliga
oscar rodriguez arnaiz,Getafe,56,287,259,30,595,31,45.2,16,51.6,757,24,4,35,12,2023-2024,laliga
damian rodriguez,Celta Vigo,42,132,54,1,227,0,,0,,239,4,1,1,2,2023-2024,laliga
dani rodriguez,Mallorca,178,636,524,44,1316,79,41.8,40,50.6,1991,47,9,55,60,2023-2024,laliga
guido rodriguez,Betis,360,747,156,19,1259,14,71.4,3,21.4,1129,13,1,20,17,2023-2024,laliga
kirian rodriguez,Las Palmas,712,2088,560,19,3337,37,70.3,9,24.3,4802,45,0,49,48,2023-2024,laliga
miguel rodriguez,Celta Vigo,16,61,97,6,170,17,17.6,11,64.7,430,12,3,4,4,2023-2024,laliga
rodrygo,Real Madrid,50,414,905,206,1351,147,40.8,68,46.3,4344,106,84,72,30,2023-2024,laliga
carlos romero,Villarreal,78,70,55,7,203,6,50.0,3,50.0,257,3,1,5,2,2023-2024,laliga
isaac romero,Sevilla,35,143,202,63,370,31,41.9,16,51.6,657,12,14,42,9,2023-2024,laliga
luka romero,Almería,39,118,71,5,226,16,43.8,8,50.0,341,12,1,20,9,2023-2024,laliga
oriol romeu,Barcelona,148,615,161,4,922,5,80.0,1,20.0,1245,25,0,9,8,2023-2024,laliga
unai ropero,Alavés,1,1,5,1,7,2,0.0,2,100.0,6,0,0,0,0,2023-2024,laliga
vitor roque,Barcelona,11,43,74,22,126,15,26.7,9,60.0,334,6,6,11,8,2023-2024,laliga
antonio rudiger,Real Madrid,1000,964,65,25,2022,3,33.3,2,66.7,4149,10,1,4,2,2023-2024,laliga
javier rueda garcia,Celta Vigo,6,8,3,0,17,0,,0,,4,1,0,1,0,2023-2024,laliga
aitor ruibal,Betis,232,318,209,25,744,45,60.0,14,31.1,1016,15,9,19,9,2023-2024,laliga
sergio ruiz,Granada,486,927,199,26,1578,54,42.6,17,31.5,2665,24,6,37,15,2023-2024,laliga
youssouf sabaly,Betis,250,340,178,14,761,23,52.2,8,34.8,1089,22,2,18,13,2023-2024,laliga
umar sadiq,Real Sociedad,17,147,206,60,363,49,63.3,17,34.7,427,11,10,49,39,2023-2024,laliga
pablo saenz,Granada,3,2,3,1,8,0,,0,,11,0,0,0,0,2023-2024,laliga
kike salas,Sevilla,554,570,122,33,1237,8,0.0,7,87.5,1105,3,1,10,8,2023-2024,laliga
salvi,Rayo Vallecano,1,9,4,0,14,1,100.0,0,0.0,47,2,0,0,2,2023-2024,laliga
diadie samassekou,Cádiz,16,37,9,0,60,2,100.0,0,0.0,110,4,0,2,0,2023-2024,laliga
fede san emeterio,Cádiz,20,41,6,1,67,1,0.0,0,0.0,68,0,0,1,0,2023-2024,laliga
oihan sancet,Athletic Club,67,497,516,83,1057,56,46.4,23,41.1,2121,68,14,78,43,2023-2024,laliga
ricard sanchez,Granada,395,534,417,39,1338,34,55.9,13,38.2,1929,35,4,37,15,2023-2024,laliga
antonio sanchez,Mallorca,159,356,231,31,730,26,53.8,12,46.2,1014,26,5,41,27,2023-2024,laliga
juanlu sanchez,Sevilla,281,357,317,20,943,51,49.0,24,47.1,1373,21,7,21,4,2023-2024,laliga
manu sanchez,Celta Vigo,332,473,310,23,1104,28,39.3,16,57.1,1490,25,5,32,11,2023-2024,laliga
jesus santiago,Getafe,47,148,51,8,244,8,37.5,5,62.5,311,4,1,9,4,2023-2024,laliga
paco sanz,Almería,11,4,0,0,15,0,,0,,11,0,0,1,0,2023-2024,laliga
stefan savic,Atlético Madrid,595,533,38,10,1162,8,100.0,0,0.0,2334,6,0,5,0,2023-2024,laliga
savio,Girona,169,486,878,158,1490,236,44.1,90,38.1,5124,93,80,98,49,2023-2024,laliga
aleksandar sedlar,Alavés,277,204,18,6,497,3,66.7,0,0.0,794,4,0,3,2,2023-2024,laliga
andre silva,Real Sociedad,13,99,128,25,238,23,26.1,16,69.6,242,5,4,17,18,2023-2024,laliga
rui silva,Betis,1012,5,0,0,1017,1,100.0,0,0.0,1563,0,0,0,0,2023-2024,laliga
giuliano simeone,Alavés,43,80,137,27,253,22,40.9,12,54.5,513,8,5,15,9,2023-2024,laliga
unai simon,Athletic Club,1293,8,0,0,1301,0,,0,,2165,0,0,0,0,2023-2024,laliga
daley sinkgraven,Las Palmas,90,181,49,1,319,3,0.0,3,100.0,285,4,0,3,2,2023-2024,laliga
jailson siqueira,Celta Vigo,238,330,49,6,607,10,60.0,4,40.0,1358,12,1,9,9,2023-2024,laliga
antonio sivera,Alavés,1157,28,0,0,1185,0,,0,,2069,0,0,3,0,2023-2024,laliga
ruben sobrino,Cádiz,162,346,279,38,780,41,39.0,23,56.1,979,26,5,39,28,2023-2024,laliga
alex sola,Alavés,110,218,316,48,630,75,57.3,27,36.0,1300,24,12,31,17,2023-2024,laliga
alex sola,Real Sociedad,5,13,3,0,21,0,,0,,31,1,0,0,1,2023-2024,laliga
jhon solis,Girona,59,178,58,5,293,12,50.0,6,50.0,509,8,0,10,11,2023-2024,laliga
david soria,Getafe,1386,7,0,0,1393,0,,0,,2528,1,1,4,0,2023-2024,laliga
alberto soro,Granada,0,1,4,1,5,0,,0,,0,0,0,1,0,2023-2024,laliga
hugo sotelo,Celta Vigo,89,377,195,8,655,14,64.3,5,35.7,826,15,2,11,12,2023-2024,laliga
boubakary soumare,Sevilla,396,876,160,5,1421,31,67.7,5,16.1,1913,15,2,31,14,2023-2024,laliga
djibril sow,Sevilla,159,479,207,33,840,8,62.5,2,25.0,1174,17,0,23,3,2023-2024,laliga
caglar soyuncu,Atlético Madrid,47,48,3,1,97,1,100.0,0,0.0,150,2,1,0,2,2023-2024,laliga
carl starfelt,Celta Vigo,847,459,32,17,1333,1,0.0,1,100.0,1142,2,1,6,1,2023-2024,laliga
jrgen strand larsen,Celta Vigo,69,472,471,165,997,74,39.2,39,52.7,975,24,26,115,50,2023-2024,laliga
cristhian stuani,Girona,34,90,94,47,218,5,20.0,4,80.0,119,1,3,17,3,2023-2024,laliga
alex suarez,Las Palmas,713,1019,132,16,1851,16,68.8,2,12.5,2044,15,0,16,11,2023-2024,laliga
damian suarez,Getafe,197,387,195,12,771,21,42.9,10,47.6,743,11,4,19,6,2023-2024,laliga
denis suarez,Villarreal,21,59,35,5,114,10,50.0,3,30.0,269,1,1,3,2,2023-2024,laliga
suso,Sevilla,131,424,522,29,1064,48,56.3,16,33.3,1705,39,7,37,22,2023-2024,laliga
max svensson,Osasuna,0,0,2,2,2,0,,0,,0,0,0,1,0,2023-2024,laliga
williot swedberg,Celta Vigo,22,68,87,23,175,14,50.0,5,35.7,273,6,4,10,10,2023-2024,laliga
mamadou sylla,Alavés,3,6,4,0,13,1,0.0,1,100.0,10,0,0,1,1,2023-2024,laliga
alexander srloth,Villarreal,61,326,417,150,797,72,41.7,40,55.6,1104,35,29,97,61,2023-2024,laliga
yassin tallal,Getafe,0,1,2,0,3,0,,0,,11,0,0,0,0,2023-2024,laliga
renato tapia,Celta Vigo,318,503,140,13,949,39,69.2,9,23.1,1057,13,0,20,10,2023-2024,laliga
cesar tarrega,Valencia,6,1,0,0,7,0,,0,,0,0,0,0,0,2023-2024,laliga
marciano tchami,Almería,2,17,9,0,28,0,,0,,24,1,0,1,1,2023-2024,laliga
aurelien tchouameni,Real Madrid,539,985,211,20,1722,13,46.2,3,23.1,3569,41,1,13,12,2023-2024,laliga
nahuel tenaglia,Alavés,275,251,85,13,604,14,50.0,2,14.3,1020,10,1,6,5,2023-2024,laliga
marcandre ter stegen,Barcelona,1068,13,0,0,1080,0,,0,,2503,0,0,1,0,2023-2024,laliga
ramon terrats,Villarreal,108,299,158,12,560,25,44.0,9,36.0,843,13,3,12,11,2023-2024,laliga
kieran tierney,Real Sociedad,297,552,214,10,1056,17,41.2,8,47.1,1177,21,2,13,3,2023-2024,laliga
raul de tomas,Rayo Vallecano,33,226,183,58,438,44,45.5,19,43.2,372,5,4,44,27,2023-2024,laliga
pablo torre,Girona,68,260,195,24,518,19,31.6,10,52.6,909,18,4,17,13,2023-2024,laliga
raul torrente,Granada,580,321,15,9,915,1,0.0,1,100.0,1422,1,1,1,1,2023-2024,laliga
ferran torres,Barcelona,42,237,309,56,583,24,41.7,11,45.8,789,21,15,35,13,2023-2024,laliga
oliver torres,Sevilla,169,555,326,26,1040,24,45.8,12,50.0,1296,15,5,27,24,2023-2024,laliga
lucas torro,Osasuna,223,551,214,35,986,8,75.0,1,12.5,555,7,1,14,10,2023-2024,laliga
bertrand traore,Villarreal,37,110,163,24,305,27,29.6,19,70.4,836,15,7,16,6,2023-2024,laliga
hamari traore,Real Sociedad,444,950,356,18,1737,27,59.3,9,33.3,2188,31,4,23,9,2023-2024,laliga
oscar trejo,Rayo Vallecano,76,546,411,51,1016,85,38.8,43,50.6,1054,24,10,45,60,2023-2024,laliga
manu trigueros,Villarreal,50,91,60,5,201,1,0.0,1,100.0,179,4,2,5,4,2023-2024,laliga
viktor tsyhankov,Girona,161,443,567,104,1162,53,41.5,24,45.3,2078,50,31,45,35,2023-2024,laliga
benat turrientes,Real Sociedad,178,518,200,11,880,43,48.8,14,32.6,1387,23,2,26,14,2023-2024,laliga
enes unal,Getafe,7,18,25,6,49,4,50.0,1,25.0,78,2,0,2,1,2023-2024,laliga
myrto uzuni,Granada,64,219,244,91,513,27,48.1,13,48.1,592,13,10,46,34,2023-2024,laliga
oscar valentin,Rayo Vallecano,401,1032,162,18,1583,13,53.8,4,30.8,1937,24,1,33,10,2023-2024,laliga
martin valjent,Mallorca,670,556,111,15,1330,3,33.3,2,66.7,1812,12,1,14,2,2023-2024,laliga
jesus vallejo,Granada,44,51,3,0,98,1,100.0,0,0.0,157,0,0,2,0,2023-2024,laliga
alvaro valles,Las Palmas,1985,73,0,0,2056,1,100.0,0,0.0,3266,0,0,2,0,2023-2024,laliga
federico valverde,Real Madrid,384,1382,708,69,2448,44,50.0,21,47.7,5027,102,15,28,12,2023-2024,laliga
siebe van der heyden,Mallorca,70,59,9,3,138,0,,0,,112,2,0,0,0,2023-2024,laliga
jose luis garcia vaya,Valencia,539,1460,476,14,2439,26,46.2,10,38.5,2629,31,3,16,21,2023-2024,laliga
borja vazquez,Cádiz,2,1,2,0,5,0,,0,,5,0,0,0,0,2023-2024,laliga
jesus vazquez,Valencia,121,142,137,14,395,20,30.0,12,60.0,477,14,0,19,13,2023-2024,laliga
kevin vazquez,Celta Vigo,140,253,70,3,461,9,33.3,4,44.4,358,6,0,6,1,2023-2024,laliga
lucas vazquez,Real Madrid,327,498,466,68,1286,47,51.1,19,40.4,1454,22,12,18,15,2023-2024,laliga
gabriel veiga,Celta Vigo,0,4,3,0,7,1,0.0,1,100.0,4,0,0,1,1,2023-2024,laliga
alejo veliz,Sevilla,2,6,6,2,14,0,,0,,0,0,0,3,0,2023-2024,laliga
arthur vermeeren,Atlético Madrid,25,73,20,1,115,1,0.0,1,100.0,128,0,0,6,2,2023-2024,laliga
mikel vesga,Athletic Club,201,645,196,22,1033,12,16.7,10,83.3,1002,13,1,18,11,2023-2024,laliga
carlos vicente,Alavés,63,172,268,41,499,39,38.5,23,59.0,541,8,10,39,11,2023-2024,laliga
nacho vidal,Osasuna,20,21,21,4,62,2,50.0,1,50.0,32,1,0,1,2,2023-2024,laliga
nacho vidal,Mallorca,60,120,82,14,262,12,16.7,8,66.7,247,3,2,5,2,2023-2024,laliga
fran vieites,Betis,129,1,0,0,130,0,,0,,204,0,0,0,0,2023-2024,laliga
jonathan viera,Las Palmas,40,331,203,22,563,22,45.5,7,31.8,993,21,5,15,9,2023-2024,laliga
jonathan viera,Almería,79,357,198,19,629,19,47.4,10,52.6,1145,29,6,17,9,2023-2024,laliga
toni villa,Girona,0,5,8,1,12,1,0.0,1,100.0,36,0,1,1,0,2023-2024,laliga
asier villalibre,Athletic Club,18,64,98,31,179,11,36.4,6,54.5,195,5,6,12,11,2023-2024,laliga
gonzalo villar,Granada,294,674,215,24,1152,44,52.3,15,34.1,1965,32,2,22,28,2023-2024,laliga
ivan villar,Celta Vigo,348,0,0,0,348,0,,0,,550,0,0,0,0,2023-2024,laliga
ricardo visus,Betis,51,30,0,0,81,0,,0,,86,0,0,0,0,2023-2024,laliga
daniel vivian,Athletic Club,950,1021,75,27,2032,10,50.0,4,40.0,3422,10,2,27,5,2023-2024,laliga
shon weissman,Granada,1,13,14,3,28,2,50.0,1,50.0,45,1,0,2,0,2023-2024,laliga
inaki williams,Athletic Club,134,463,859,175,1435,120,40.8,60,50.0,2913,66,51,86,48,2023-2024,laliga
nico williams,Athletic Club,112,372,746,148,1203,193,44.6,92,47.7,3736,77,62,76,51,2023-2024,laliga
axel witsel,Atlético Madrid,1091,950,71,22,2107,8,62.5,3,37.5,3215,16,0,14,6,2023-2024,laliga
xeber,Alavés,25,33,80,17,137,7,42.9,4,57.1,133,2,3,7,3,2023-2024,laliga
