Player,Squad,Liga,Season,GA,SoTA,Save%,CS%,PKatt,P_Save%
bart verbruggen,brighton,Premier-League,2025-2026,6,13,0.615,0.0,1,0.0
guglielmo vicario,tottenham,Premier-League,2025-2026,1,18,0.9440000000000001,0.75,0,
emil audero,cremonese,Serie-A,2025-2026,3,11,0.818,0.0,1,0.0
jean butez,como,Serie-A,2025-2026,1,3,0.667,0.5,0,
elia caprile,cagliari,Serie-A,2025-2026,2,12,0.833,0.33299999999999996,0,
marco carnesecchi,atalanta,Serie-A,2025-2026,2,5,0.6,0.0,0,
michele di gregorio,juventus,Serie-A,2025-2026,3,6,0.5,0.667,0,
wladimiro falcone,lecce,Serie-A,2025-2026,2,8,0.75,0.5,0,
david de gea,fiorentina,Serie-A,2025-2026,4,17,0.8240000000000001,0.33299999999999996,1,0.0
franco israel,torino,Serie-A,2025-2026,5,12,0.583,0.5,0,
nicola leali,genoa,Serie-A,2025-2026,1,3,0.667,0.5,0,
mike maignan,milan,Serie-A,2025-2026,2,5,0.6,0.5,0,
alex meret,napoli,Serie-A,2025-2026,0,3,1.0,1.0,0,
vanja milinkovicsavic,napoli,Serie-A,2025-2026,1,3,0.667,0.0,0,
lorenzo montipo,hellas verona,Serie-A,2025-2026,5,10,0.5,0.0,0,
arijanet muric,sassuolo,Serie-A,2025-2026,3,6,0.667,0.0,1,0.0
ivan provedel,lazio,Serie-A,2025-2026,2,10,0.8,0.5,0,
razvan sava,udinese,Serie-A,2025-2026,2,6,0.667,0.0,0,
adrian semper,pisa,Serie-A,2025-2026,2,11,0.818,0.0,0,
ukasz skorupski,bologna,Serie-A,2025-2026,1,6,0.833,0.5,0,
yann sommer,inter,Serie-A,2025-2026,6,13,0.615,0.33299999999999996,1,0.0
zion suzuki,parma,Serie-A,2025-2026,5,16,0.688,0.0,0,
mile svilar,roma,Serie-A,2025-2026,0,5,1.0,1.0,0,
stefano turati,sassuolo,Serie-A,2025-2026,2,4,0.5,0.0,0,
noah atubolu,freiburg,Bundesliga,2025-2026,8,13,0.385,0.0,0,
mio backhaus,werder bremen,Bundesliga,2025-2026,7,9,0.33299999999999996,0.0,1,0.0
oliver baumann,hoffenheim,Bundesliga,2025-2026,6,14,0.5710000000000001,0.0,0,
finn dahmen,augsburg,Bundesliga,2025-2026,4,14,0.7859999999999999,0.0,1,0.0
mark flekken,leverkusen,Bundesliga,2025-2026,6,12,0.583,0.0,1,0.0
kamil grabara,wolfsburg,Bundesliga,2025-2026,5,13,0.6920000000000001,0.0,1,0.0
peter gulacsi,rb leipzig,Bundesliga,2025-2026,6,14,0.5710000000000001,0.667,0,
daniel heuer fernandes,hamburger sv,Bundesliga,2025-2026,7,22,0.727,0.33299999999999996,1,0.0
gregor kobel,dortmund,Bundesliga,2025-2026,3,11,0.818,0.667,1,0.0
manuel neuer,bayern munich,Bundesliga,2025-2026,2,6,0.667,0.667,0,
moritz nicolas,gladbach,Bundesliga,2025-2026,1,6,0.833,0.5,0,
alexander nubel,stuttgart,Bundesliga,2025-2026,5,14,0.7140000000000001,0.33299999999999996,1,0.0
diant ramaj,heidenheim,Bundesliga,2025-2026,7,18,0.667,0.0,1,0.0
frederik rnnow,union berlin,Bundesliga,2025-2026,8,20,0.7,0.0,2,0.0
marvin schwabe,koln,Bundesliga,2025-2026,4,10,0.6,0.33299999999999996,0,
nikola vasilj,st pauli,Bundesliga,2025-2026,3,9,0.667,0.5,1,1.0
robin zentner,mainz,Bundesliga,2025-2026,3,8,0.625,0.0,0,
michael zetterer,eint frankfurt,Bundesliga,2025-2026,5,17,0.765,0.0,1,0.0
lucas chevalier,paris sg,Ligue-1,2025-2026,3,6,0.5,0.667,1,1.0
gregoire coudert,brest,Ligue-1,2025-2026,3,7,0.7140000000000001,,1,0.0
jeffrey de lange,marseille,Ligue-1,2025-2026,0,1,1.0,1.0,0,
theo de percin,auxerre,Ligue-1,2025-2026,4,11,0.636,0.0,0,
remy descamps,lyon,Ligue-1,2025-2026,0,8,1.0,1.0,0,
mory diaw,le havre,Ligue-1,2025-2026,6,9,0.444,0.0,1,0.0
yehvann diouf,nice,Ligue-1,2025-2026,5,21,0.762,0.25,0,
jonathan fischer,metz,Ligue-1,2025-2026,7,20,0.7,0.0,1,0.0
lukas hradecky,monaco,Ligue-1,2025-2026,4,8,0.625,0.0,2,0.0
karljohan johnsson,strasbourg,Ligue-1,2025-2026,0,2,1.0,1.0,0,
bingourou kamara,lorient,Ligue-1,2025-2026,8,15,0.467,0.33299999999999996,1,
herve koffi,angers,Ligue-1,2025-2026,2,18,0.889,0.33299999999999996,1,
philipp kohn,monaco,Ligue-1,2025-2026,1,3,0.667,0.0,0,
donovan leon,auxerre,Ligue-1,2025-2026,2,4,0.5,0.5,0,
anthony lopes,nantes,Ligue-1,2025-2026,3,20,0.85,0.25,0,
radosaw majecki,brest,Ligue-1,2025-2026,5,12,0.583,0.0,0,
yvon mvogo,lorient,Ligue-1,2025-2026,4,8,0.625,0.0,1,0.0
obed nkambadio,paris fc,Ligue-1,2025-2026,6,9,0.444,0.0,2,0.0
berke ozer,lille,Ligue-1,2025-2026,4,8,0.5,0.33299999999999996,1,1.0
mike penders,strasbourg,Ligue-1,2025-2026,3,4,0.25,0.5,0,
guillaume restes,toulouse,Ligue-1,2025-2026,6,12,0.667,0.667,2,0.0
robin risser,lens,Ligue-1,2025-2026,3,11,0.727,0.0,0,
geronimo rulli,marseille,Ligue-1,2025-2026,4,14,0.7140000000000001,0.0,0,
brice samba,rennes,Ligue-1,2025-2026,5,16,0.688,0.33299999999999996,0,
kevin trapp,paris fc,Ligue-1,2025-2026,2,2,0.0,0.0,0,
