Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
pascu,Villarreal,1,1,1.0,0.1,0.1,0.14,0.9,2022-2023,laliga
javier pastore,Elche,0,0,,0.0,0.0,,0.0,2022-2023,laliga
gabriel paulista,Valencia,14,2,0.07,0.7,0.7,0.05,0.3,2022-2023,laliga
alfonso pedraza,Villarreal,26,10,0.0,1.2,1.2,0.05,-1.2,2022-2023,laliga
pedri,Barcelona,22,9,0.27,4.9,4.9,0.22,1.1,2022-2023,laliga
adria pedrosa,Espanyol,1,0,0.0,0.1,0.1,0.05,-0.1,2022-2023,laliga
inaki pena,Barcelona,0,0,,0.0,0.0,,0.0,2022-2023,laliga
ruben pena,Osasuna,12,2,0.0,1.2,1.2,0.1,-1.2,2022-2023,laliga
alberto perea,Cádiz,0,0,,0.0,0.0,,0.0,2022-2023,laliga
ayoze perez,Betis,34,14,0.09,4.6,4.6,0.14,-1.6,2022-2023,laliga
carles perez,Celta Vigo,54,20,0.06,2.7,2.7,0.05,0.3,2022-2023,laliga
francisco perez,Valencia,1,0,0.0,0.0,0.0,0.02,0.0,2022-2023,laliga
kike perez,Valladolid,46,10,0.02,2.3,2.3,0.05,-1.3,2022-2023,laliga
lucas perez,Cádiz,17,6,0.18,2.0,2.0,0.12,1.0,2022-2023,laliga
luis perez,Valladolid,4,0,0.0,0.1,0.1,0.03,-0.1,2022-2023,laliga
german pezzella,Betis,10,0,0.0,0.9,0.9,0.09,-0.9,2022-2023,laliga
ronael pierregabriel,Espanyol,2,1,0.5,0.2,0.2,0.08,0.8,2022-2023,laliga
yeremi pino,Villarreal,50,19,0.08,8.0,8.0,0.16,-4.0,2022-2023,laliga
gerard pique,Barcelona,3,0,0.0,0.4,0.4,0.13,-0.4,2022-2023,laliga
oscar plano,Valladolid,30,10,0.03,2.8,2.8,0.09,-1.8,2022-2023,laliga
gonzalo plata,Valladolid,37,13,0.03,3.7,3.7,0.1,-2.7,2022-2023,laliga
ezequiel ponce,Elche,29,9,0.14,3.6,3.6,0.12,0.4,2022-2023,laliga
francisco portillo,Almería,5,2,0.4,0.7,0.7,0.14,1.3,2022-2023,laliga
portu,Getafe,15,5,0.0,1.7,1.7,0.12,-1.7,2022-2023,laliga
jose pozo,Rayo Vallecano,1,0,0.0,0.0,0.0,0.04,0.0,2022-2023,laliga
manuel pozo,Valladolid,1,0,0.0,0.1,0.1,0.1,-0.1,2022-2023,laliga
alejandro pozo pozo,Almería,10,2,0.0,0.5,0.5,0.05,-0.5,2022-2023,laliga
abdon prats,Mallorca,6,4,0.17,0.7,0.7,0.12,0.3,2022-2023,laliga
javi puado,Espanyol,57,23,0.12,7.8,7.8,0.14,-0.8,2022-2023,laliga
arnau puigmal,Almería,17,6,0.06,1.1,1.1,0.07,-0.1,2022-2023,laliga
domingos quina,Elche,6,0,0.0,0.2,0.2,0.03,-0.2,2022-2023,laliga
ruben quintanilla,Mallorca,0,0,,0.0,0.0,,0.0,2022-2023,laliga
antonio raillo,Mallorca,13,5,0.15,0.6,0.6,0.05,1.4,2022-2023,laliga
predrag rajkovic,Mallorca,0,0,,0.0,0.0,,0.0,2022-2023,laliga
ivan rakitic,Sevilla,29,8,0.0,3.3,1.7,0.06,-2.3,2022-2023,laliga
largie ramazani,Almería,40,18,0.08,4.2,3.4,0.08,-1.2,2022-2023,laliga
chris ramos,Cádiz,31,6,0.03,3.0,3.0,0.1,-2.0,2022-2023,laliga
raphinha,Barcelona,79,25,0.09,9.3,9.3,0.12,-2.3,2022-2023,laliga
sergio reguilon,Atlético Madrid,3,1,0.0,0.2,0.2,0.08,-0.2,2022-2023,laliga
pepe reina,Villarreal,0,0,,0.0,0.0,,0.0,2022-2023,laliga
reinier,Girona,10,4,0.2,1.5,1.5,0.15,0.5,2022-2023,laliga
karim rekik,Sevilla,8,1,0.13,0.8,0.8,0.1,0.2,2022-2023,laliga
alex remiro,Real Sociedad,0,0,,0.0,0.0,,0.0,2022-2023,laliga
alejandro revuelta montero,Getafe,0,0,,0.0,0.0,,0.0,2022-2023,laliga
chadi riad,Barcelona,0,0,,0.0,0.0,,0.0,2022-2023,laliga
nico ribaudo,Espanyol,33,11,0.03,3.7,3.7,0.11,-2.7,2022-2023,laliga
diego rico,Real Sociedad,9,3,0.0,0.2,0.2,0.03,-0.2,2022-2023,laliga
rodrigo riquelme,Girona,56,22,0.07,4.0,4.0,0.07,0.0,2022-2023,laliga
sergi roberto,Barcelona,18,6,0.22,2.4,2.4,0.13,1.6,2022-2023,laliga
lucas robertone,Almería,37,7,0.05,2.6,2.6,0.07,-0.6,2022-2023,laliga
joel roca,Girona,4,2,0.0,0.3,0.3,0.06,-0.3,2022-2023,laliga
enzo roco,Elche,10,3,0.0,0.6,0.6,0.06,-0.6,2022-2023,laliga
rodri,Betis,15,6,0.13,1.4,1.4,0.09,0.6,2022-2023,laliga
alvaro rodriguez,Real Madrid,2,1,0.5,0.2,0.2,0.12,0.8,2022-2023,laliga
angel rodriguez,Mallorca,13,6,0.08,2.8,2.8,0.21,-1.8,2022-2023,laliga
oscar rodriguez arnaiz,Celta Vigo,43,17,0.05,3.6,3.6,0.08,-1.6,2022-2023,laliga
dani rodriguez,Mallorca,25,10,0.12,2.4,2.4,0.1,0.6,2022-2023,laliga
guido rodriguez,Betis,22,6,0.05,1.2,1.2,0.06,-0.2,2022-2023,laliga
miguel rodriguez,Celta Vigo,3,2,0.33,0.2,0.2,0.07,0.8,2022-2023,laliga
rodrygo,Real Madrid,97,31,0.08,13.7,12.9,0.13,-4.7,2022-2023,laliga
leo roman,Mallorca,0,0,,0.0,0.0,,0.0,2022-2023,laliga
ivan romero,Sevilla,0,0,,0.0,0.0,,0.0,2022-2023,laliga
oriol romeu,Girona,24,5,0.08,1.6,1.6,0.07,0.4,2022-2023,laliga
ruben,Espanyol,9,0,0.0,0.5,0.5,0.06,-0.5,2022-2023,laliga
antonio rudiger,Real Madrid,22,4,0.05,1.8,1.8,0.08,-0.8,2022-2023,laliga
aitor ruibal,Betis,15,6,0.0,0.8,0.8,0.06,-0.8,2022-2023,laliga
victor ruiz,Betis,1,0,0.0,0.1,0.1,0.11,-0.1,2022-2023,laliga
geronimo rulli,Villarreal,0,0,,0.0,0.0,,0.0,2022-2023,laliga
franco russo,Mallorca,0,0,,0.0,0.0,,0.0,2022-2023,laliga
youssouf sabaly,Betis,12,3,0.08,0.5,0.5,0.04,0.5,2022-2023,laliga
umar sadiq,Almería,7,3,0.29,1.5,1.5,0.21,0.5,2022-2023,laliga
umar sadiq,Real Sociedad,1,1,1.0,0.4,0.4,0.43,0.6,2022-2023,laliga
samuel saiz,Girona,2,1,0.0,1.7,0.1,0.05,0.3,2022-2023,laliga
kike salas,Sevilla,3,1,0.33,0.2,0.2,0.05,0.8,2022-2023,laliga
salvi,Rayo Vallecano,9,3,0.0,0.8,0.8,0.08,-0.8,2022-2023,laliga
fede san emeterio,Cádiz,6,1,0.0,0.3,0.3,0.05,-0.3,2022-2023,laliga
oihan sancet,Athletic Club,56,19,0.14,7.6,6.0,0.11,2.4,2022-2023,laliga
antonio sanchez,Mallorca,12,5,0.0,0.6,0.6,0.05,-0.6,2022-2023,laliga
ivan sanchez,Valladolid,17,7,0.06,0.8,0.8,0.05,0.2,2022-2023,laliga
javi sanchez,Valladolid,9,2,0.11,0.7,0.7,0.08,0.3,2022-2023,laliga
manu sanchez,Osasuna,10,3,0.0,0.8,0.8,0.08,-0.8,2022-2023,laliga
esteban saveljich,Rayo Vallecano,0,0,,0.0,0.0,,0.0,2022-2023,laliga
stefan savic,Atlético Madrid,2,1,0.0,0.2,0.2,0.09,-0.2,2022-2023,laliga
haris seferovic,Celta Vigo,13,7,0.23,1.8,1.8,0.14,1.2,2022-2023,laliga
jaime seoane,Getafe,2,0,0.0,0.1,0.1,0.04,-0.1,2022-2023,laliga
david silva,Real Sociedad,30,13,0.07,3.8,3.8,0.13,-1.8,2022-2023,laliga
rui silva,Betis,0,0,,0.0,0.0,,0.0,2022-2023,laliga
simo,Espanyol,0,0,,0.0,0.0,,0.0,2022-2023,laliga
unai simon,Athletic Club,0,0,,0.0,0.0,,0.0,2022-2023,laliga
ruben sobrino,Cádiz,33,12,0.09,4.9,4.9,0.15,-1.9,2022-2023,laliga
alex sola,Real Sociedad,4,1,0.0,0.1,0.1,0.02,-0.1,2022-2023,laliga
augusto solari,Celta Vigo,2,0,0.0,0.3,0.3,0.14,-0.3,2022-2023,laliga
carlos soler,Valencia,4,1,0.0,0.9,0.2,0.04,0.1,2022-2023,laliga
david soria,Getafe,0,0,,0.0,0.0,,0.0,2022-2023,laliga
hugo sotelo,Celta Vigo,1,0,0.0,0.0,0.0,0.04,0.0,2022-2023,laliga
dyego sousa,Almería,13,4,0.0,1.2,1.2,0.09,-1.2,2022-2023,laliga
vinicius souza,Espanyol,10,4,0.1,0.8,0.8,0.08,0.2,2022-2023,laliga
jrgen strand larsen,Celta Vigo,41,15,0.1,5.6,5.6,0.14,-1.6,2022-2023,laliga
cristhian stuani,Girona,29,15,0.14,9.7,5.0,0.17,-0.7,2022-2023,laliga
damian suarez,Getafe,6,1,0.17,1.1,1.1,0.18,-0.1,2022-2023,laliga
denis suarez,Espanyol,4,2,0.0,0.5,0.5,0.12,-0.5,2022-2023,laliga
mario suarez,Rayo Vallecano,0,0,,0.0,0.0,,0.0,2022-2023,laliga
suso,Sevilla,24,9,0.08,1.1,1.1,0.05,0.9,2022-2023,laliga
williot swedberg,Celta Vigo,0,0,,0.0,0.0,,0.0,2022-2023,laliga
alexander srloth,Real Sociedad,63,27,0.19,12.7,12.7,0.2,-0.7,2022-2023,laliga
renato tapia,Celta Vigo,15,3,0.0,1.0,1.0,0.06,-1.0,2022-2023,laliga
aurelien tchouameni,Real Madrid,38,6,0.0,1.8,1.8,0.05,-1.8,2022-2023,laliga
alex telles,Sevilla,12,1,0.0,0.4,0.4,0.04,-0.4,2022-2023,laliga
marcandre ter stegen,Barcelona,0,0,,0.0,0.0,,0.0,2022-2023,laliga
ramon terrats,Villarreal,15,6,0.07,0.9,0.9,0.06,0.1,2022-2023,laliga
ramon terrats,Girona,4,0,0.0,0.2,0.2,0.05,-0.2,2022-2023,laliga
raul de tomas,Rayo Vallecano,41,14,0.07,5.1,3.5,0.09,-1.1,2022-2023,laliga
pablo torre,Barcelona,1,0,0.0,0.0,0.0,0.02,0.0,2022-2023,laliga
david torres,Valladolid,1,0,0.0,0.5,0.5,0.54,-0.5,2022-2023,laliga
ferran torres,Barcelona,37,11,0.11,4.9,4.1,0.11,-0.9,2022-2023,laliga
oliver torres,Sevilla,22,7,0.14,2.6,2.6,0.12,0.4,2022-2023,laliga
pau torres,Villarreal,12,5,0.08,2.4,2.4,0.2,-1.4,2022-2023,laliga
roberto torres,Osasuna,0,0,,0.0,0.0,,0.0,2022-2023,laliga
lucas torro,Osasuna,28,4,0.04,1.4,1.4,0.05,-0.4,2022-2023,laliga
nabil touaizi,Espanyol,0,0,,0.0,0.0,,0.0,2022-2023,laliga
oscar trejo,Rayo Vallecano,23,6,0.09,3.4,1.8,0.08,-0.4,2022-2023,laliga
manu trigueros,Villarreal,8,2,0.0,0.4,0.4,0.05,-0.4,2022-2023,laliga
viktor tsyhankov,Girona,19,9,0.16,2.8,2.8,0.15,0.2,2022-2023,laliga
benat turrientes,Real Sociedad,0,0,,0.0,0.0,,0.0,2022-2023,laliga
enes unal,Getafe,82,31,0.11,11.7,7.1,0.09,2.3,2022-2023,laliga
oscar urena,Girona,1,1,0.0,0.2,0.2,0.18,-0.2,2022-2023,laliga
oscar valentin,Rayo Vallecano,13,1,0.0,0.5,0.5,0.04,-0.5,2022-2023,laliga
martin valjent,Mallorca,6,2,0.0,0.3,0.3,0.06,-0.3,2022-2023,laliga
jesus vallejo,Real Madrid,1,1,0.0,0.3,0.3,0.32,-0.3,2022-2023,laliga
manu vallejo,Girona,1,1,0.0,0.0,0.0,0.04,0.0,2022-2023,laliga
federico valverde,Real Madrid,63,21,0.11,4.3,4.3,0.07,2.7,2022-2023,laliga
jesus vazquez,Valencia,6,1,0.0,0.2,0.2,0.03,-0.2,2022-2023,laliga
kevin vazquez,Celta Vigo,0,0,,0.0,0.0,,0.0,2022-2023,laliga
lucas vazquez,Real Madrid,14,7,0.29,1.9,1.9,0.14,2.1,2022-2023,laliga
gabriel veiga,Celta Vigo,62,29,0.18,6.1,6.1,0.1,4.9,2022-2023,laliga
unai vencedor paris,Athletic Club,3,1,0.0,0.5,0.5,0.16,-0.5,2022-2023,laliga
gonzalo verdu,Elche,9,2,0.11,0.6,0.6,0.07,0.4,2022-2023,laliga
mikel vesga,Athletic Club,25,3,0.04,3.9,1.5,0.06,-0.9,2022-2023,laliga
aleix vidal,Espanyol,3,2,0.0,0.1,0.1,0.04,-0.1,2022-2023,laliga
nacho vidal,Osasuna,9,2,0.0,0.6,0.6,0.06,-0.6,2022-2023,laliga
toni villa,Valladolid,0,0,,0.0,0.0,,0.0,2022-2023,laliga
toni villa,Girona,17,3,0.06,1.0,1.0,0.06,0.0,2022-2023,laliga
asier villalibre,Athletic Club,4,1,0.0,0.3,0.3,0.08,-0.3,2022-2023,laliga
gonzalo villar,Getafe,3,1,0.0,0.1,0.1,0.04,-0.1,2022-2023,laliga
ivan villar,Celta Vigo,0,0,,0.0,0.0,,0.0,2022-2023,laliga
daniel vivian,Athletic Club,13,2,0.08,1.2,1.2,0.09,-0.2,2022-2023,laliga
shon weissman,Valladolid,18,7,0.06,2.3,2.3,0.13,-1.3,2022-2023,laliga
axel werner,Elche,0,0,,0.0,0.0,,0.0,2022-2023,laliga
inaki williams,Athletic Club,83,32,0.11,10.7,9.1,0.11,-0.7,2022-2023,laliga
nico williams,Athletic Club,61,20,0.1,4.9,4.9,0.08,1.1,2022-2023,laliga
axel witsel,Atlético Madrid,9,0,0.0,0.6,0.6,0.07,-0.6,2022-2023,laliga
lamine yamal,Barcelona,1,1,0.0,0.4,0.4,0.35,-0.4,2022-2023,laliga
jawad el yamiq,Valladolid,17,4,0.06,1.1,1.1,0.07,-0.1,2022-2023,laliga
joseba zaldua,Cádiz,1,0,0.0,0.0,0.0,0.01,0.0,2022-2023,laliga
oier zarraga,Athletic Club,18,5,0.0,1.3,1.3,0.07,-1.3,2022-2023,laliga
igor zubeldia,Real Sociedad,6,1,0.17,0.9,0.9,0.14,0.1,2022-2023,laliga
martin zubimendi,Real Sociedad,13,2,0.08,1.9,1.9,0.15,-0.9,2022-2023,laliga
