Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
josip brekalo,Fiorentina,9,4,0.11,0.4,0.4,0.04,0.6,2023-2024,serie-a
gleison bremer,Juventus,18,4,0.17,1.4,1.4,0.08,1.6,2023-2024,serie-a
brenner,Udinese,4,2,0.0,0.4,0.4,0.1,-0.4,2023-2024,serie-a
marco brescianini,Frosinone,31,10,0.13,2.3,2.3,0.07,1.7,2023-2024,serie-a
dylan bronn,Salernitana,1,0,0.0,0.0,0.0,0.03,0.0,2023-2024,serie-a
tajon buchanan,Inter,4,1,0.25,0.2,0.2,0.05,0.8,2023-2024,serie-a
alessandro buongiorno,Torino,13,6,0.23,1.6,1.6,0.12,1.4,2023-2024,serie-a
rarescatalin burnete,Lecce,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
jovane cabral,Salernitana,25,9,0.04,1.2,1.2,0.05,-0.2,2023-2024,serie-a
liberato cacace,Empoli,13,2,0.0,0.4,0.4,0.03,-0.4,2023-2024,serie-a
jens cajuste,Napoli,16,3,0.0,1.5,1.5,0.09,-1.5,2023-2024,serie-a
davide calabria,Milan,21,8,0.05,1.3,1.3,0.06,-0.3,2023-2024,serie-a
riccardo calafiori,Bologna,17,6,0.12,1.4,1.4,0.08,0.6,2023-2024,serie-a
mattia caldara,Milan,1,0,0.0,0.2,0.2,0.21,-0.2,2023-2024,serie-a
luca caldirola,Monza,9,2,0.11,0.5,0.5,0.05,0.5,2023-2024,serie-a
hakan calhanoglu,Inter,52,13,0.06,10.1,2.3,0.04,2.9,2023-2024,serie-a
francesco camarda,Milan,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
nicolo cambiaghi,Empoli,71,17,0.01,3.9,3.9,0.05,-2.9,2023-2024,serie-a
andrea cambiaso,Juventus,29,8,0.07,2.2,2.2,0.08,-0.2,2023-2024,serie-a
matteo cancellieri,Empoli,40,12,0.1,4.7,4.7,0.12,-0.7,2023-2024,serie-a
antonio candreva,Salernitana,64,20,0.08,4.9,4.1,0.06,1.1,2023-2024,serie-a
luigi canotto,Frosinone,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
gianluca caprari,Monza,8,0,0.0,0.7,0.7,0.09,-0.7,2023-2024,serie-a
elia caprile,Empoli,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
francesco caputo,Empoli,22,9,0.09,3.4,2.6,0.12,-0.4,2023-2024,serie-a
andrea carboni,Monza,18,4,0.06,1.2,1.2,0.07,-0.2,2023-2024,serie-a
valentin carboni,Monza,23,7,0.09,2.3,2.3,0.1,-0.3,2023-2024,serie-a
marco carnesecchi,Atalanta,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
nicolo casale,Lazio,7,1,0.0,0.9,0.9,0.12,-0.9,2023-2024,serie-a
giuseppe caso,Frosinone,7,4,0.0,0.3,0.3,0.04,-0.3,2023-2024,serie-a
valentin castellanos,Lazio,54,19,0.07,7.3,7.3,0.14,-3.3,2023-2024,serie-a
samu castillejo,Sassuolo,6,2,0.0,0.3,0.3,0.04,-0.3,2023-2024,serie-a
santiago castro,Bologna,7,3,0.14,1.0,1.0,0.14,0.0,2023-2024,serie-a
gaetano castrovilli,Fiorentina,5,2,0.2,0.3,0.3,0.07,0.7,2023-2024,serie-a
danilo cataldi,Lazio,12,2,0.08,0.4,0.4,0.03,0.6,2023-2024,serie-a
emil ceide,Sassuolo,2,0,0.0,0.1,0.1,0.05,-0.1,2023-2024,serie-a
zeki celik,Roma,2,1,0.0,0.2,0.2,0.08,-0.2,2023-2024,serie-a
fabien centonze,Hellas Verona,1,0,0.0,0.0,0.0,0.02,0.0,2023-2024,serie-a
michele cerofolini,Frosinone,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
alberto cerri,Empoli,10,3,0.1,1.2,1.2,0.12,-0.2,2023-2024,serie-a
leonardo cerri,Juventus,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
charlys,Hellas Verona,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
walid cheddira,Frosinone,59,26,0.1,9.0,8.2,0.14,-2.0,2023-2024,serie-a
federico chiesa,Juventus,74,25,0.11,6.4,5.6,0.08,2.6,2023-2024,serie-a
oliver christensen,Fiorentina,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
samuel chukwueze,Milan,28,8,0.04,1.7,1.7,0.06,-0.7,2023-2024,serie-a
alphadjo cisse,Hellas Verona,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
giorgio cittadini,Monza,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
giorgio cittadini,Genoa,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
patrick ciurria,Monza,28,7,0.0,1.5,1.5,0.05,-1.5,2023-2024,serie-a
lorenzo colombo,Monza,37,10,0.11,3.6,3.6,0.1,0.4,2023-2024,serie-a
andrea colpani,Monza,65,19,0.12,4.8,4.8,0.07,3.2,2023-2024,serie-a
pietro comuzzo,Fiorentina,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
andrea consigli,Sassuolo,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
nikita contini baranovsky,Napoli,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
diego coppola,Hellas Verona,13,3,0.15,1.2,1.2,0.09,0.8,2023-2024,serie-a
tommaso corazza,Bologna,1,0,0.0,0.1,0.1,0.1,-0.1,2023-2024,serie-a
jeppe corfitzen,Lecce,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
giacomo corona,Empoli,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
joao costa,Roma,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
benoit costil,Salernitana,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
lassana coulibaly,Salernitana,13,3,0.0,0.6,0.6,0.05,-0.6,2023-2024,serie-a
mamadou coulibaly,Salernitana,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
alessio cragno,Sassuolo,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
bryan cristante,Roma,54,8,0.06,4.0,4.0,0.07,-1.0,2023-2024,serie-a
juan cruz,Hellas Verona,1,0,0.0,0.0,0.0,0.04,0.0,2023-2024,serie-a
juan cuadrado,Inter,5,0,0.0,0.2,0.2,0.04,-0.2,2023-2024,serie-a
marvin cuni,Frosinone,10,2,0.1,1.3,1.3,0.13,-0.3,2023-2024,serie-a
danilo dambrosio,Monza,14,4,0.0,0.7,0.7,0.05,-0.7,2023-2024,serie-a
flavius daniliuc,Salernitana,2,0,0.0,0.2,0.2,0.12,-0.2,2023-2024,serie-a
danilo,Juventus,17,2,0.06,1.3,1.3,0.08,-0.3,2023-2024,serie-a
matteo darmian,Inter,10,5,0.2,1.2,1.2,0.12,0.8,2023-2024,serie-a
juan david cabal,Hellas Verona,12,3,0.0,0.5,0.5,0.04,-0.5,2023-2024,serie-a
keinan davis,Udinese,6,3,0.17,0.5,0.5,0.08,0.5,2023-2024,serie-a
pawe dawidowicz,Hellas Verona,9,1,0.0,0.5,0.5,0.06,-0.5,2023-2024,serie-a
charles de ketelaere,Atalanta,44,24,0.2,7.1,6.3,0.14,2.9,2023-2024,serie-a
mattia de sciglio,Juventus,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
lorenzo de silvestri,Bologna,4,2,0.5,0.2,0.2,0.05,1.8,2023-2024,serie-a
koni de winter,Genoa,11,1,0.0,0.8,0.8,0.07,-0.8,2023-2024,serie-a
gregoire defrel,Sassuolo,12,3,0.08,1.0,1.0,0.08,0.0,2023-2024,serie-a
alessandro deiola,Cagliari,25,6,0.04,2.5,2.5,0.1,-1.5,2023-2024,serie-a
alessandro dellavalle,Torino,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
diego demme,Napoli,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
leander dendoncker,Napoli,1,0,0.0,0.0,0.0,0.03,0.0,2023-2024,serie-a
mattia destro,Empoli,11,4,0.0,1.2,1.2,0.11,-1.2,2023-2024,serie-a
federico di francesco,Lecce,2,1,0.5,0.1,0.1,0.04,0.9,2023-2024,serie-a
raffaele di gennaro,Inter,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
michele di gregorio,Monza,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
giovanni di lorenzo,Napoli,37,6,0.03,3.1,3.1,0.08,-2.1,2023-2024,serie-a
alessandro di pardo,Cagliari,3,0,0.0,0.1,0.1,0.03,-0.1,2023-2024,serie-a
boulaye dia,Salernitana,28,9,0.11,3.9,3.1,0.11,0.1,2023-2024,serie-a
federico dimarco,Inter,51,19,0.1,2.9,2.7,0.05,2.1,2023-2024,serie-a
tiago djalo,Juventus,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
koffi djidji,Torino,2,0,0.0,0.1,0.1,0.03,-0.1,2023-2024,serie-a
berat djimsiti,Atalanta,13,0,0.0,0.8,0.8,0.06,-0.8,2023-2024,serie-a
dodo,Fiorentina,2,1,0.0,0.1,0.1,0.04,-0.1,2023-2024,serie-a
josh doig,Hellas Verona,5,1,0.0,0.2,0.2,0.04,-0.2,2023-2024,serie-a
