Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
manuel de luca,Sampdoria,3,0,0,1,0.0,2022-2023,serie-a
tommaso de nipoti,Atalanta,0,0,0,1,100.0,2022-2023,serie-a
mattia de sciglio,Juventus,4,0,26,40,47.6,2022-2023,serie-a
lorenzo de silvestri,Bologna,6,2,7,39,53.8,2022-2023,serie-a
koni de winter,Empoli,13,0,0,58,59.3,2022-2023,serie-a
gregoire defrel,Sassuolo,14,6,1,29,20.0,2022-2023,serie-a
duccio deglinnocenti,Empoli,0,0,0,0,,2022-2023,serie-a
merih demiral,Atalanta,13,1,2,123,64.2,2022-2023,serie-a
diego demme,Napoli,2,0,0,5,66.7,2022-2023,serie-a
fabio depaoli,Hellas Verona,43,4,60,113,38.1,2022-2023,serie-a
fabio depaoli,Sampdoria,1,0,8,6,0.0,2022-2023,serie-a
kastriot dermaku,Lecce,0,0,0,0,,2022-2023,serie-a
cyriel dessers,Cremonese,34,24,8,30,25.0,2022-2023,serie-a
sergino dest,Milan,6,0,4,29,75.0,2022-2023,serie-a
mattia destro,Empoli,12,7,2,9,28.6,2022-2023,serie-a
gerard deulofeu,Udinese,8,8,59,44,20.0,2022-2023,serie-a
samuel di carmine,Cremonese,0,0,0,1,0.0,2022-2023,serie-a
federico di francesco,Lecce,43,13,45,86,25.0,2022-2023,serie-a
michele di gregorio,Monza,0,0,0,31,80.0,2022-2023,serie-a
giovanni di lorenzo,Napoli,31,4,88,171,54.7,2022-2023,serie-a
angel di maria,Juventus,6,4,97,52,14.3,2022-2023,serie-a
boulaye dia,Salernitana,28,13,6,97,25.6,2022-2023,serie-a
brahim diaz,Milan,29,2,20,100,14.3,2022-2023,serie-a
federico dimarco,Inter,12,5,207,122,29.4,2022-2023,serie-a
koffi djidji,Torino,27,1,13,141,48.5,2022-2023,serie-a
berat djimsiti,Atalanta,15,0,0,112,58.4,2022-2023,serie-a
dodo,Fiorentina,28,0,61,184,59.4,2022-2023,serie-a
josh doig,Hellas Verona,14,2,46,93,41.0,2022-2023,serie-a
nicolas dominguez,Bologna,43,2,19,167,57.8,2022-2023,serie-a
giulio donati,Monza,7,0,9,21,57.1,2022-2023,serie-a
bartomiej dragowski,Spezia,0,0,0,38,88.9,2022-2023,serie-a
ondrej duda,Hellas Verona,17,0,14,107,44.0,2022-2023,serie-a
denzel dumfries,Inter,31,2,82,90,50.0,2022-2023,serie-a
alfred duncan,Fiorentina,26,1,26,67,56.3,2022-2023,serie-a
paulo dybala,Roma,10,5,82,81,20.0,2022-2023,serie-a
edin dzeko,Inter,26,10,24,60,48.8,2022-2023,serie-a
festy ebosele,Udinese,11,0,16,36,60.0,2022-2023,serie-a
enzo ebosse,Udinese,9,1,15,48,51.7,2022-2023,serie-a
tyronne ebuehi,Empoli,12,3,28,91,37.3,2022-2023,serie-a
ederson,Atalanta,28,0,15,168,48.8,2022-2023,serie-a
kingsley ehizibue,Udinese,33,1,37,84,46.9,2022-2023,serie-a
albin ekdal,Spezia,32,0,4,126,63.2,2022-2023,serie-a
emmanuel ekong,Empoli,0,1,0,2,0.0,2022-2023,serie-a
mikael ellertsson,Spezia,6,0,3,7,50.0,2022-2023,serie-a
elif elmas,Napoli,22,3,30,77,26.3,2022-2023,serie-a
martin erlic,Sassuolo,21,0,2,126,55.1,2022-2023,serie-a
gonzalo escalante,Cremonese,6,0,1,39,50.0,2022-2023,serie-a
salvatore esposito,Spezia,11,2,54,63,63.6,2022-2023,serie-a
nicolo fagioli,Juventus,20,1,23,102,12.5,2022-2023,serie-a
wladimiro falcone,Lecce,1,0,0,45,85.7,2022-2023,serie-a
davide faraoni,Hellas Verona,21,4,37,85,40.0,2022-2023,serie-a
federico fazio,Salernitana,11,0,4,74,73.5,2022-2023,serie-a
jacopo fazzini,Empoli,20,0,11,55,31.8,2022-2023,serie-a
lewis ferguson,Bologna,50,6,13,106,42.9,2022-2023,serie-a
alex ferrari,Sampdoria,12,0,4,62,58.3,2022-2023,serie-a
alex ferrari,Cremonese,8,0,6,70,71.4,2022-2023,serie-a
salvador ferrer,Spezia,2,0,1,7,62.5,2022-2023,serie-a
vincenzo fiorillo,Salernitana,0,0,0,0,,2022-2023,serie-a
alessandro florenzi,Milan,2,0,22,14,100.0,2022-2023,serie-a
davide frattesi,Sassuolo,39,0,21,153,48.9,2022-2023,serie-a
matteo gabbia,Milan,8,0,2,37,78.9,2022-2023,serie-a
manolo gabbiadini,Sampdoria,41,13,25,72,36.8,2022-2023,serie-a
gianluca gaetano,Napoli,2,0,1,6,,2022-2023,serie-a
roberto gagliardini,Inter,20,0,7,38,69.6,2022-2023,serie-a
adolfo gaich,Hellas Verona,17,4,0,14,32.9,2022-2023,serie-a
pablo galdames millan,Cremonese,13,0,22,43,40.0,2022-2023,serie-a
antonino gallo,Lecce,13,2,89,198,46.3,2022-2023,serie-a
federico gatti,Juventus,16,0,3,97,55.2,2022-2023,serie-a
valentin gendrey,Lecce,23,1,74,198,52.7,2022-2023,serie-a
paolo ghiglione,Cremonese,16,2,39,42,38.5,2022-2023,serie-a
mario gila,Lazio,1,0,0,6,0.0,2022-2023,serie-a
gvidas gineitis,Torino,6,0,0,11,0.0,2022-2023,serie-a
olivier giroud,Milan,38,16,5,48,61.6,2022-2023,serie-a
pierluigi gollini,Fiorentina,0,0,0,2,,2022-2023,serie-a
pierluigi gollini,Napoli,0,0,0,5,,2022-2023,serie-a
joan gonzalez,Lecce,36,2,26,135,32.3,2022-2023,serie-a
nicolas gonzalez,Fiorentina,16,4,31,60,64.0,2022-2023,serie-a
robin gosens,Inter,17,3,43,52,62.5,2022-2023,serie-a
alberto grassi,Empoli,22,0,0,91,70.3,2022-2023,serie-a
andrew gravillon,Torino,9,0,3,10,54.5,2022-2023,serie-a
axel guessand,Udinese,1,0,0,1,33.3,2022-2023,serie-a
koray gunter,Hellas Verona,17,0,3,81,51.2,2022-2023,serie-a
koray gunter,Sampdoria,7,0,1,47,72.7,2022-2023,serie-a
emmanuel gyasi,Spezia,47,23,22,120,25.4,2022-2023,serie-a
norbert gyomber,Salernitana,22,0,5,106,64.3,2022-2023,serie-a
christian gytkjr,Monza,11,10,1,9,33.3,2022-2023,serie-a
nicolas haas,Empoli,20,1,11,62,24.0,2022-2023,serie-a
samir handanovic,Inter,0,0,0,15,,2022-2023,serie-a
abdou harroui,Sassuolo,13,1,11,38,64.3,2022-2023,serie-a
hans hateboer,Atalanta,19,1,23,50,63.2,2022-2023,serie-a
liam henderson,Empoli,35,2,35,61,35.3,2022-2023,serie-a
jack hendry,Cremonese,2,0,1,14,72.7,2022-2023,serie-a
matheus henrique,Sassuolo,22,1,9,97,36.7,2022-2023,serie-a
thomas henry,Hellas Verona,27,9,5,29,54.1,2022-2023,serie-a
