nombre,club_actual,temporada,liga
abdoulie ceesay,fc st pauli,2024-2025,bundesliga
abdukodir khusanov,manchester city,2024-2025,premier-league
abdul mumin,rayo vallecano,2023-2024,laliga
abdul mumin,chelsea,2022-2023,premier-league
abdul mumin,rayo vallecano,2022-2023,laliga
abdul mumin,rayo vallecano,2024-2025,laliga
abel,osasuna,2024-2025,laliga
abel ruiz,girona,2024-2025,laliga
abner,betis,2022-2023,laliga
abraham del moral,villarreal,2023-2024,laliga
adam aznou,bayern munich,2023-2024,bundesliga
adam aznou,bayern munich,2024-2025,bundesliga
adam dzwigala,fc st pauli,2024-2025,bundesliga
adam forshaw,leeds united,2022-2023,premier-league
adam harrison,newcastle utd,2023-2024,premier-league
adam hlozek,leverkusen,2023-2024,bundesliga
adam hlozek,leverkusen,2022-2023,bundesliga
adam hlozek,hoffenheim,2024-2025,bundesliga
adam lallana,brighton,2023-2024,premier-league
adam lallana,brighton,2022-2023,premier-league
adam marusic,lazio,2022-2023,serie-a
adam marusic,lazio,2023-2024,serie-a
adam marusic,lazio,2024-2025,serie-a
adam masina,torino,2024-2025,serie-a
adam masina,udinese,2023-2024,serie-a
adam masina,udinese,2022-2023,serie-a
adam masina,torino,2023-2024,serie-a
adam obert,cagliari,2023-2024,serie-a
adam obert,cagliari,2024-2025,serie-a
adam ounas,napoli,2022-2023,serie-a
adam smith,bournemouth,2024-2025,premier-league
adam smith,bournemouth,2022-2023,premier-league
adam smith,bournemouth,2023-2024,premier-league
adam webster,brighton,2022-2023,premier-league
adam webster,brighton,2024-2025,premier-league
adam webster,brighton,2023-2024,premier-league
adam wharton,crystal palace,2023-2024,premier-league
adam wharton,crystal palace,2024-2025,premier-league
adama boiro,athletic bilbao,2024-2025,laliga
adama soumaoro,bologna,2023-2024,serie-a
adama soumaoro,bologna,2022-2023,serie-a
adama traore,fulham,2024-2025,premier-league
adama traore,wolverhampton wanderers,2022-2023,premier-league
adama traore,fulham,2023-2024,premier-league
ademola lookman,atalanta,2024-2025,serie-a
ademola lookman,atalanta,2023-2024,serie-a
ademola lookman,atalanta,2022-2023,serie-a
ademola olaadebomi,crystal palace,2023-2024,premier-league
adler nascimento,crystal palace,2022-2023,premier-league
adnan januzaj,sevilla,2022-2023,laliga
adnan januzaj,sevilla,2023-2024,laliga
adnan kanuric,nottham forest,2022-2023,premier-league
adolfo gaich,hellas verona,2022-2023,serie-a
adri embarba,barcelona,2022-2023,laliga
adri embarba,rayo vallecano,2024-2025,laliga
adria altimira,villarreal,2023-2024,laliga
adria pedrosa,sevilla,2024-2025,laliga
adria pedrosa,sevilla,2023-2024,laliga
adria pedrosa,barcelona,2022-2023,laliga
adrian,atletico madrid,2022-2023,laliga
adrian,rayo vallecano,2024-2025,laliga
adrian,betis,2024-2025,laliga
adrian,liverpool,2023-2024,premier-league
adrian,villarreal,2022-2023,laliga
adrian,sassuolo,2022-2023,serie-a
adrian,alaves,2024-2025,laliga
adrian,liverpool,2022-2023,premier-league
adrian beck,heidenheim,2023-2024,bundesliga
adrian beck,heidenheim,2024-2025,bundesliga
adrian benedyczak,parma,2024-2025,serie-a
adrian bernabe,parma,2024-2025,serie-a
adrian nino,atletico madrid,2024-2025,laliga
adrian nino,atletico madrid,2023-2024,laliga
adrian rodriguez,alaves,2024-2025,laliga
adrian rodriguez,alaves,2023-2024,laliga
adrien rabiot,juventus,2022-2023,serie-a
adrien rabiot,juventus,2023-2024,serie-a
adrien tameze,torino,2024-2025,serie-a
adrien tameze,hellas verona,2022-2023,serie-a
adrien tameze,torino,2023-2024,serie-a
adrion pajaziti,fulham,2022-2023,premier-league
adu ares,athletic bilbao,2024-2025,laliga
adu ares,athletic bilbao,2023-2024,laliga
adu ares,athletic bilbao,2022-2023,laliga
agustin alvarez,sassuolo,2023-2024,serie-a
agustin alvarez,sassuolo,2022-2023,serie-a
agustin marchesin,celta vigo,2022-2023,laliga
ahmed touba,lecce,2023-2024,serie-a
aidan borland,aston villa,2024-2025,premier-league
aidan harris,newcastle utd,2023-2024,premier-league
aihen munoz,real sociedad,2023-2024,laliga
aihen munoz,real sociedad,2024-2025,laliga
aihen munoz,real sociedad,2022-2023,laliga
aimar oroz,athletic bilbao,2024-2025,laliga
aimar oroz,osasuna,2023-2024,laliga
aimar oroz,osasuna,2022-2023,laliga
aimar oroz,osasuna,2024-2025,laliga
aingeru olabarrieta,athletic bilbao,2023-2024,laliga
aingeru olabarrieta,athletic bilbao,2024-2025,laliga
ainsley maitlandniles,arsenal,2022-2023,premier-league
aissa laidouni,union berlin,2022-2023,bundesliga
aissa laidouni,union berlin,2023-2024,bundesliga
aissa mandi,villarreal,2023-2024,laliga
aissa mandi,villarreal,2022-2023,laliga
aitor fernandez,osasuna,2022-2023,laliga
aitor fernandez,osasuna,2023-2024,laliga
aitor fernandez,osasuna,2024-2025,laliga
aitor fraga,real sociedad,2023-2024,laliga
aitor fraga,real sociedad,2024-2025,laliga
aitor gismera,atletico madrid,2024-2025,laliga
aitor gismera,atletico madrid,2022-2023,laliga
aitor gismera,atletico madrid,2023-2024,laliga
aitor paredes,athletic bilbao,2022-2023,laliga
aitor paredes,athletic bilbao,2023-2024,laliga
aitor paredes,athletic bilbao,2024-2025,laliga
aitor ruibal,betis,2022-2023,laliga
aitor ruibal,betis,2024-2025,laliga
ajdin hrustic,hellas verona,2022-2023,serie-a
ajdin hrustic,hellas verona,2023-2024,serie-a
akor adams,sevilla,2024-2025,laliga
alain taho,inter,2024-2025,serie-a
alan matturro,genoa,2024-2025,serie-a
alan matturro,genoa,2023-2024,serie-a
alassane diatta,villarreal,2024-2025,laliga
alassane plea,gladbach,2022-2023,bundesliga
alassane plea,gladbach,2024-2025,bundesliga
albert gumundsson,fiorentina,2024-2025,serie-a
albert gumundsson,genoa,2023-2024,serie-a
albert sambi lokonga,sevilla,2024-2025,laliga
albert sambi lokonga,arsenal,2022-2023,premier-league
albert sambi lokonga,crystal palace,2022-2023,premier-league
albert sambi lokonga,arsenal,2023-2024,premier-league
alberto basso,cremonese,2022-2023,serie-a
alberto centis,udinese,2022-2023,serie-a
alberto cerri,como,2024-2025,serie-a
alberto collado,sevilla,2024-2025,laliga
alberto collado,sevilla,2023-2024,laliga
alberto costa,juventus,2024-2025,serie-a
alberto dadie,real sociedad,2023-2024,laliga
alberto del moral,villarreal,2022-2023,laliga
alberto dossena,como,2024-2025,serie-a
alberto dossena,cagliari,2023-2024,serie-a
alberto flores,sevilla,2022-2023,laliga
alberto flores,sevilla,2023-2024,laliga
alberto flores,sevilla,2024-2025,laliga
alberto manzoni,atalanta,2023-2024,serie-a
alberto manzoni,atalanta,2024-2025,serie-a
alberto mari,valencia,2024-2025,laliga
alberto mari,valencia,2023-2024,laliga
alberto mari,valencia,2022-2023,laliga
alberto moreno,villarreal,2023-2024,laliga
alberto moreno,villarreal,2022-2023,laliga
alberto moreno,como,2024-2025,serie-a
alberto moreno,atletico madrid,2022-2023,laliga
alberto paleari,torino,2024-2025,serie-a
alberto risco,getafe,2023-2024,laliga
alberto risco,getafe,2024-2025,laliga
aleix garcia,girona,2022-2023,laliga
aleix garcia,girona,2023-2024,laliga
aleix garcia,leverkusen,2024-2025,bundesliga
aleix garrido,barcelona,2022-2023,laliga
aleix garrido,barcelona,2023-2024,laliga
aleix vidal,barcelona,2022-2023,laliga
alejandro alfaro,elche,2022-2023,laliga
alejandro balde,barcelona,2024-2025,laliga
alejandro balde,barcelona,2022-2023,laliga
alejandro balde,barcelona,2023-2024,laliga
alejandro frances,girona,2024-2025,laliga
alejandro garnacho,manchester utd,2023-2024,premier-league
alejandro garnacho,manchester utd,2024-2025,premier-league
alejandro garnacho,manchester utd,2022-2023,premier-league
alejandro grimaldo,leverkusen,2024-2025,bundesliga
alejandro grimaldo,leverkusen,2023-2024,bundesliga
alejandro revuelta montero,getafe,2023-2024,laliga
alejandro revuelta montero,atletico madrid,2022-2023,laliga
alejandro revuelta montero,alaves,2024-2025,laliga
alejandro revuelta montero,atletico madrid,2024-2025,laliga
alejandro revuelta montero,athletic bilbao,2024-2025,laliga
alejo sarco,leverkusen,2024-2025,bundesliga
alejo veliz,tottenham,2023-2024,premier-league
alejo veliz,barcelona,2024-2025,laliga
alejo veliz,sevilla,2023-2024,laliga
aleksa terzic,fiorentina,2022-2023,serie-a
aleksandar mitrovic,fulham,2022-2023,premier-league
aleksandar mitrovic,fulham,2023-2024,premier-league
aleksandar pavlovic,bayern munich,2023-2024,bundesliga
aleksandar pavlovic,bayern munich,2024-2025,bundesliga
aleksandar pavlovic,bayern munich,2022-2023,bundesliga
aleksandar sedlar,alaves,2023-2024,laliga
aleksandar sedlar,alaves,2024-2025,laliga
aleksandar stankovic,inter,2023-2024,serie-a
aleksandar stankovic,inter,2022-2023,serie-a
aleksandr kokorin,fiorentina,2023-2024,serie-a
aleksei miranchuk,torino,2022-2023,serie-a
aleksei miranchuk,atalanta,2023-2024,serie-a
alen sherri,cagliari,2024-2025,serie-a
alessandro bastoni,inter,2022-2023,serie-a
alessandro bastoni,inter,2023-2024,serie-a
alessandro bastoni,inter,2024-2025,serie-a
alessandro berardi,hellas verona,2023-2024,serie-a
alessandro berardi,hellas verona,2024-2025,serie-a
alessandro berardi,hellas verona,2022-2023,serie-a
alessandro bianco,fiorentina,2022-2023,serie-a
alessandro bianco,fiorentina,2024-2025,serie-a
alessandro buongiorno,torino,2022-2023,serie-a
alessandro buongiorno,napoli,2024-2025,serie-a
alessandro buongiorno,torino,2023-2024,serie-a
alessandro calligaris,inter,2023-2024,serie-a
alessandro calligaris,inter,2024-2025,serie-a
alessandro circati,parma,2024-2025,serie-a
alessandro cortinovis,hellas verona,2022-2023,serie-a
alessandro cortinovis,atalanta,2023-2024,serie-a
alessandro deiola,cagliari,2024-2025,serie-a
alessandro deiola,cagliari,2023-2024,serie-a
alessandro dellavalle,torino,2023-2024,serie-a
alessandro dellavalle,torino,2024-2025,serie-a
alessandro di pardo,cagliari,2023-2024,serie-a
alessandro di pardo,cagliari,2024-2025,serie-a
alessandro florenzi,milan,2022-2023,serie-a
alessandro florenzi,milan,2023-2024,serie-a
alessandro florenzi,atalanta,2022-2023,serie-a
alessandro fontanarosa,inter,2022-2023,serie-a
alessandro fontanarosa,inter,2024-2025,serie-a
alessandro gabrielloni,como,2024-2025,serie-a
alessandro marcandalli,genoa,2024-2025,serie-a
alessandro milani,lazio,2024-2025,serie-a
alessandro pietrelli,juventus,2024-2025,serie-a
alessandro pio riccio,juventus,2022-2023,serie-a
alessandro romano,roma,2024-2025,serie-a
alessandro russo,sassuolo,2022-2023,serie-a
alessandro scacchetti,sassuolo,2023-2024,serie-a
alessandro sersanti,juventus,2022-2023,serie-a
alessandro vinciguerra,cagliari,2024-2025,serie-a
alessandro vinciguerra,cagliari,2023-2024,serie-a
alessandro vogliacco,genoa,2024-2025,serie-a
alessandro vogliacco,genoa,2023-2024,serie-a
alessandro vogliacco,parma,2024-2025,serie-a
alessandro zanoli,napoli,2023-2024,serie-a
alessandro zanoli,genoa,2024-2025,serie-a
alessandro zanoli,napoli,2022-2023,serie-a
alessio cacciamani,torino,2024-2025,serie-a
alessio chiesa,como,2024-2025,serie-a
alessio cragno,sassuolo,2023-2024,serie-a
alessio furlanetto,lazio,2024-2025,serie-a
alessio furlanetto,lazio,2023-2024,serie-a
alessio iovine,como,2024-2025,serie-a
alessio marcaccini,roma,2024-2025,serie-a
alessio raballo,torino,2024-2025,serie-a
alessio romagnoli,lazio,2023-2024,serie-a
alessio romagnoli,lazio,2022-2023,serie-a
alessio romagnoli,lazio,2024-2025,serie-a
alessio zerbin,napoli,2024-2025,serie-a
alessio zerbin,napoli,2022-2023,serie-a
alessio zerbin,napoli,2023-2024,serie-a
alex baena,villarreal,2023-2024,laliga
alex baena,villarreal,2022-2023,laliga
alex baena,villarreal,2024-2025,laliga
alex berenguer,athletic bilbao,2023-2024,laliga
alex berenguer,athletic bilbao,2024-2025,laliga
alex berenguer,athletic bilbao,2022-2023,laliga
alex collado,elche,2022-2023,laliga
alex cordaz,inter,2022-2023,serie-a
alex ferrari,cremonese,2022-2023,serie-a
alex iwobi,everton,2022-2023,premier-league
alex iwobi,fulham,2024-2025,premier-league
alex iwobi,fulham,2023-2024,premier-league
alex iwobi,everton,2023-2024,premier-league
alex kral,barcelona,2024-2025,laliga
alex kral,union berlin,2023-2024,bundesliga
alex kral,nottham forest,2022-2023,premier-league
alex kral,manchester city,2022-2023,premier-league
alex kral,valencia,2024-2025,laliga
alex matos,chelsea,2023-2024,premier-league
alex meret,napoli,2022-2023,serie-a
alex meret,napoli,2023-2024,serie-a
alex meret,napoli,2024-2025,serie-a
alex mighten,nottham forest,2023-2024,premier-league
alex mighten,nottham forest,2022-2023,premier-league
alex moreno,betis,2022-2023,laliga
alex moreno,nottham forest,2024-2025,premier-league
alex moreno,aston villa,2023-2024,premier-league
alex moreno,aston villa,2022-2023,premier-league
alex murphy,newcastle utd,2023-2024,premier-league
alex murphy,newcastle utd,2024-2025,premier-league
alex oxladechamberlain,real sociedad,2024-2025,laliga
alex oxladechamberlain,girona,2023-2024,laliga
alex oxladechamberlain,milan,2023-2024,serie-a
alex oxladechamberlain,liverpool,2022-2023,premier-league
alex oxladechamberlain,villarreal,2023-2024,laliga
alex oxladechamberlain,barcelona,2024-2025,laliga
alex oxladechamberlain,brentford,2022-2023,premier-league
alex oxladechamberlain,mallorca,2023-2024,laliga
alex padilla,athletic bilbao,2023-2024,laliga
alex padilla,athletic bilbao,2024-2025,laliga
alex remiro,real sociedad,2022-2023,laliga
alex remiro,real sociedad,2024-2025,laliga
alex remiro,real sociedad,2023-2024,laliga
alex sandro,juventus,2023-2024,serie-a
alex sandro,juventus,2022-2023,serie-a
alex scott,bournemouth,2023-2024,premier-league
alex scott,bournemouth,2024-2025,premier-league
alex sola,real sociedad,2023-2024,laliga
alex sola,alaves,2023-2024,laliga
alex sola,getafe,2024-2025,laliga
alex sola,girona,2022-2023,laliga
alex sola,real sociedad,2022-2023,laliga
alex telles,sevilla,2022-2023,laliga
alex valle,barcelona,2024-2025,laliga
alex valle,barcelona,2022-2023,laliga
alex valle,como,2024-2025,serie-a
alexander callens,girona,2022-2023,laliga
alexander hack,mainz,2022-2023,bundesliga
alexander isak,real sociedad,2022-2023,laliga
alexander isak,newcastle utd,2023-2024,premier-league
alexander isak,newcastle utd,2024-2025,premier-league
alexander isak,newcastle utd,2022-2023,premier-league
alexander meyer,dortmund,2022-2023,bundesliga
alexander meyer,dortmund,2023-2024,bundesliga
alexander nubel,stuttgart,2024-2025,bundesliga
alexander nubel,stuttgart,2023-2024,bundesliga
alexander prass,hoffenheim,2024-2025,bundesliga
alexander schwolow,union berlin,2024-2025,bundesliga
alexander schwolow,union berlin,2023-2024,bundesliga
alexander srloth,villarreal,2023-2024,laliga
alexander srloth,real sociedad,2022-2023,laliga
alexander srloth,rb leipzig,2022-2023,bundesliga
alexander srloth,atletico madrid,2024-2025,laliga
alexandru borbei,lecce,2023-2024,serie-a
alexandru borbei,lecce,2024-2025,serie-a
alexei rojas,arsenal,2024-2025,premier-league
alexis blin,augsburg,2024-2025,bundesliga
alexis blin,lecce,2023-2024,serie-a
alexis mac allister,liverpool,2024-2025,premier-league
alexis mac allister,liverpool,2023-2024,premier-league
alexis mac allister,brighton,2022-2023,premier-league
alexis olmedo,barcelona,2024-2025,laliga
alexis saelemaekers,roma,2024-2025,serie-a
alexis saelemaekers,milan,2022-2023,serie-a
alexis saelemaekers,bologna,2023-2024,serie-a
alexis sanchez,udinese,2024-2025,serie-a
alexis sanchez,inter,2023-2024,serie-a
alfie devine,tottenham,2022-2023,premier-league
alfie devine,tottenham,2024-2025,premier-league
alfie dorrington,tottenham,2023-2024,premier-league
alfie dorrington,tottenham,2024-2025,premier-league
alfie gilchrist,chelsea,2023-2024,premier-league
alfie gilchrist,chelsea,2022-2023,premier-league
alfie pond,wolverhampton wanderers,2023-2024,premier-league
alfie pond,wolverhampton wanderers,2024-2025,premier-league
alfie pond,leeds united,2022-2023,premier-league
alfie whiteman,tottenham,2022-2023,premier-league
alfie whiteman,tottenham,2024-2025,premier-league
alfie whiteman,tottenham,2023-2024,premier-league
alfon,celta vigo,2024-2025,laliga
alfon,juventus,2024-2025,serie-a
alfonso espino,rayo vallecano,2024-2025,laliga
alfonso espino,rayo vallecano,2023-2024,laliga
alfonso pedraza,villarreal,2023-2024,laliga
alfonso pedraza,villarreal,2024-2025,laliga
alfonso pedraza,villarreal,2022-2023,laliga
alfred duncan,fiorentina,2022-2023,serie-a
alfred duncan,fiorentina,2023-2024,serie-a
ali dembele,torino,2022-2023,serie-a
ali dembele,torino,2023-2024,serie-a
ali dembele,torino,2024-2025,serie-a
ali jasim,como,2024-2025,serie-a
alieu fadera,como,2024-2025,serie-a
alieu njie,torino,2023-2024,serie-a
alieu njie,torino,2024-2025,serie-a
alisson,liverpool,2022-2023,premier-league
alisson,liverpool,2024-2025,premier-league
alisson,liverpool,2023-2024,premier-league
aljoscha kemlein,union berlin,2023-2024,bundesliga
aljoscha kemlein,union berlin,2022-2023,bundesliga
aljoscha kemlein,union berlin,2024-2025,bundesliga
allan nyom,getafe,2024-2025,laliga
allan saintmaximin,newcastle utd,2022-2023,premier-league
almamy toure,eintracht frankfurt,2022-2023,bundesliga
alou kuol,stuttgart,2022-2023,bundesliga
alphadjo cisse,hellas verona,2024-2025,serie-a
alphadjo cisse,hellas verona,2022-2023,serie-a
alphadjo cisse,hellas verona,2023-2024,serie-a
alphonse areola,west ham,2022-2023,premier-league
alphonse areola,west ham,2024-2025,premier-league
alphonse areola,west ham,2023-2024,premier-league
alphonso davies,bayern munich,2023-2024,bundesliga
alphonso davies,bayern munich,2024-2025,bundesliga
alphonso davies,bayern munich,2022-2023,bundesliga
altay bayndr,manchester utd,2023-2024,premier-league
altay bayndr,manchester utd,2024-2025,premier-league
alvaro aguado,barcelona,2024-2025,laliga
alvaro carreras,manchester utd,2022-2023,premier-league
alvaro carreras,manchester utd,2023-2024,premier-league
alvaro carrillo,real madrid,2023-2024,laliga
alvaro cortes,barcelona,2024-2025,laliga
alvaro djalo,athletic bilbao,2024-2025,laliga
alvaro fernandez,barcelona,2022-2023,laliga
alvaro fernandez,sevilla,2024-2025,laliga
alvaro garcia,rayo vallecano,2023-2024,laliga
alvaro garcia,alaves,2023-2024,laliga
alvaro garcia,rayo vallecano,2024-2025,laliga
alvaro garcia,rayo vallecano,2022-2023,laliga
alvaro morata,atletico madrid,2023-2024,laliga
alvaro morata,atletico madrid,2022-2023,laliga
alvaro odriozola,real sociedad,2023-2024,laliga
alvaro odriozola,real sociedad,2024-2025,laliga
alvaro odriozola,real madrid,2022-2023,laliga
alvaro odriozola,real madrid,2023-2024,laliga
alvaro rodriguez,getafe,2024-2025,laliga
alvaro rodriguez,real madrid,2022-2023,laliga
alvaro rodriguez,real madrid,2023-2024,laliga
alvaro sanz,barcelona,2022-2023,laliga
alvaro tejero,barcelona,2024-2025,laliga
amad diallo,manchester utd,2022-2023,premier-league
amad diallo,manchester utd,2023-2024,premier-league
amad diallo,manchester utd,2024-2025,premier-league
amadou diallo,newcastle utd,2023-2024,premier-league
amadou haidara,rb leipzig,2023-2024,bundesliga
amadou haidara,rb leipzig,2024-2025,bundesliga
amadou haidara,rb leipzig,2022-2023,bundesliga
amadou onana,aston villa,2024-2025,premier-league
amadou onana,everton,2023-2024,premier-league
amadou onana,everton,2022-2023,premier-league
amadou sarr,inter,2023-2024,serie-a
amara nallo,liverpool,2023-2024,premier-league
amara nallo,liverpool,2024-2025,premier-league
amari miller,leeds united,2022-2023,premier-league
amario cozierduberry,arsenal,2022-2023,premier-league
amario cozierduberry,brighton,2024-2025,premier-league
amario cozierduberry,arsenal,2023-2024,premier-league
amath,mallorca,2023-2024,laliga
amath,mallorca,2022-2023,laliga
ameen aldakhil,burnley,2023-2024,premier-league
ameen aldakhil,stuttgart,2024-2025,bundesliga
amin sarr,wolfsburg,2023-2024,bundesliga
amin sarr,hellas verona,2024-2025,serie-a
amine adli,leverkusen,2022-2023,bundesliga
amine adli,leverkusen,2023-2024,bundesliga
amine adli,leverkusen,2024-2025,bundesliga
amine salama,torino,2024-2025,serie-a
amir richardson,fiorentina,2024-2025,serie-a
amir rrahmani,napoli,2024-2025,serie-a
amir rrahmani,napoli,2022-2023,serie-a
amir rrahmani,napoli,2023-2024,serie-a
amos pieper,werder bremen,2022-2023,bundesliga
amos pieper,werder bremen,2023-2024,bundesliga
amos pieper,werder bremen,2024-2025,bundesliga
anass salaheddine,roma,2024-2025,serie-a
anass zaroury,burnley,2023-2024,premier-league
anastasios douvikas,celta vigo,2024-2025,laliga
anastasios douvikas,como,2024-2025,serie-a
ander barrenetxea,real sociedad,2022-2023,laliga
ander barrenetxea,real sociedad,2023-2024,laliga
ander barrenetxea,real sociedad,2024-2025,laliga
ander barrenetxea,athletic bilbao,2022-2023,laliga
ander capa,athletic bilbao,2022-2023,laliga
ander capa,barcelona,2023-2024,laliga
ander capa,barcelona,2022-2023,laliga
ander capa,barcelona,2024-2025,laliga
ander guevara,real sociedad,2022-2023,laliga
ander guevara,alaves,2023-2024,laliga
ander guevara,alaves,2024-2025,laliga
ander herrera,athletic bilbao,2024-2025,laliga
ander herrera,athletic bilbao,2022-2023,laliga
ander herrera,athletic bilbao,2023-2024,laliga
ander izagirre,athletic bilbao,2024-2025,laliga
ander martin,real sociedad,2022-2023,laliga
ander sanchez,alaves,2023-2024,laliga
anders brset,wolfsburg,2023-2024,bundesliga
anderson lucoqui,mainz,2022-2023,bundesliga
andoni gorosabel,alaves,2023-2024,laliga
andoni gorosabel,athletic bilbao,2024-2025,laliga
andoni gorosabel,real sociedad,2022-2023,laliga
andoni zubiaurre,real sociedad,2022-2023,laliga
andras schafer,union berlin,2022-2023,bundesliga
andras schafer,union berlin,2024-2025,bundesliga
andras schafer,union berlin,2023-2024,bundesliga
andre,union berlin,2024-2025,bundesliga
andre,milan,2022-2023,serie-a
andre,sevilla,2024-2025,laliga
andre,girona,2024-2025,laliga
andre,fc st pauli,2024-2025,bundesliga
andre,cagliari,2024-2025,serie-a
andre,milan,2022-2023,serie-a
andre,lazio,2022-2023,serie-a
andre,lazio,2023-2024,serie-a
andre,valencia,2022-2023,laliga
andre,milan,2023-2024,serie-a
andre,milan,2022-2023,serie-a
andre,leverkusen,2022-2023,bundesliga
andre,valencia,2024-2025,laliga
andre,wolfsburg,2024-2025,bundesliga
andre,wolverhampton wanderers,2024-2025,premier-league
andre,lazio,2023-2024,serie-a
andre,valencia,2023-2024,laliga
andre,atalanta,2023-2024,serie-a
andre,genoa,2023-2024,serie-a
andre,union berlin,2022-2023,bundesliga
andre,barcelona,2024-2025,laliga
andre,leverkusen,2024-2025,bundesliga
andre,atalanta,2023-2024,serie-a
andre,lazio,2024-2025,serie-a
andre,west ham,2024-2025,premier-league
andre ayew,nottham forest,2022-2023,premier-league
andre gomes,everton,2022-2023,premier-league
andre gomes,everton,2023-2024,premier-league
andre hahn,augsburg,2022-2023,bundesliga
andre onana,inter,2022-2023,serie-a
andre onana,manchester utd,2023-2024,premier-league
andre onana,manchester utd,2024-2025,premier-league
andre silva,real sociedad,2023-2024,laliga
andre silva,werder bremen,2024-2025,bundesliga
andre silva,rb leipzig,2022-2023,bundesliga
andre silva,rb leipzig,2024-2025,bundesliga
andrea belotti,fiorentina,2023-2024,serie-a
andrea belotti,como,2024-2025,serie-a
andrea belotti,roma,2023-2024,serie-a
andrea cambiaso,juventus,2024-2025,serie-a
andrea cambiaso,juventus,2023-2024,serie-a
andrea cambiaso,bologna,2022-2023,serie-a
andrea colpani,fiorentina,2024-2025,serie-a
andrea consigli,sassuolo,2023-2024,serie-a
andrea consigli,sassuolo,2022-2023,serie-a
andrea petagna,cagliari,2023-2024,serie-a
andrea pinamonti,genoa,2024-2025,serie-a
andrea pinamonti,sassuolo,2022-2023,serie-a
andrea pinamonti,sassuolo,2023-2024,serie-a
andreas christensen,barcelona,2023-2024,laliga
andreas christensen,barcelona,2024-2025,laliga
andreas christensen,barcelona,2022-2023,laliga
andreas hancheolsen,mainz,2022-2023,bundesliga
andreas hancheolsen,mainz,2023-2024,bundesliga
andreas hancheolsen,mainz,2024-2025,bundesliga
andreas pereira,fulham,2023-2024,premier-league
andreas pereira,fulham,2024-2025,premier-league
andreas pereira,fulham,2022-2023,premier-league
andrei ratiu,rayo vallecano,2024-2025,laliga
andrei ratiu,rayo vallecano,2023-2024,laliga
andrej kramaric,hoffenheim,2024-2025,bundesliga
andrej kramaric,hoffenheim,2022-2023,bundesliga
andres garcia,aston villa,2024-2025,premier-league
andres guardado,betis,2022-2023,laliga
andres martin,rayo vallecano,2022-2023,laliga
andrew gravillon,torino,2022-2023,serie-a
andrew moran,brighton,2023-2024,premier-league
andrew moran,brighton,2022-2023,premier-league
andrew omobamidele,nottham forest,2023-2024,premier-league
andrew omobamidele,nottham forest,2024-2025,premier-league
andrew robertson,liverpool,2023-2024,premier-league
andrew robertson,liverpool,2022-2023,premier-league
andrew robertson,liverpool,2024-2025,premier-league
andrey santos,nottham forest,2023-2024,premier-league
andrey santos,chelsea,2023-2024,premier-league
andrey santos,chelsea,2024-2025,premier-league
andri fannar baldursson,bologna,2024-2025,serie-a
