nombre,club_actual,altura,valor,temporada,liga
mathys tel,bayern munich,1.83,35000000.0,2024-2025,bundesliga
jonah kusiasare,bayern munich,1.96,2500000.0,2024-2025,bundesliga
matej kovar,bayer leverkusen,1.96,5000000.0,2024-2025,bundesliga
lukas hradecky,bayer leverkusen,1.92,2000000.0,2024-2025,bundesliga
niklas lomb,bayer leverkusen,1.86,250000.0,2024-2025,bundesliga
simeon rapsch,bayer leverkusen,1.9,,2024-2025,bundesliga
luca novodomsky,bayer leverkusen,,,2024-2025,bundesliga
piero hincapie,bayer leverkusen,1.84,50000000.0,2024-2025,bundesliga
edmond tapsoba,bayer leverkusen,1.94,35000000.0,2024-2025,bundesliga
jonathan tah,bayer leverkusen,1.95,30000000.0,2024-2025,bundesliga
odilon kossounou,bayer leverkusen,1.91,25000000.0,2024-2025,bundesliga
jeanuel belocian,bayer leverkusen,1.86,15000000.0,2024-2025,bundesliga
mario hermoso,bayer leverkusen,1.84,7000000.0,2024-2025,bundesliga
andrea natali,bayer leverkusen,1.86,,2024-2025,bundesliga
ben hawighorst,bayer leverkusen,1.85,,2024-2025,bundesliga
alejandro grimaldo,bayer leverkusen,1.71,30000000.0,2024-2025,bundesliga
jeremie frimpong,bayer leverkusen,1.72,50000000.0,2024-2025,bundesliga
nordi mukiele,bayer leverkusen,1.87,10000000.0,2024-2025,bundesliga
arthur,bayer leverkusen,1.74,7000000.0,2024-2025,bundesliga
othniel raterink,bayer leverkusen,1.89,,2024-2025,bundesliga
granit xhaka,bayer leverkusen,1.86,12000000.0,2024-2025,bundesliga
robert andrich,bayer leverkusen,1.87,9000000.0,2024-2025,bundesliga
exequiel palacios,bayer leverkusen,1.78,40000000.0,2024-2025,bundesliga
aleix garcia,bayer leverkusen,1.73,20000000.0,2024-2025,bundesliga
florian wirtz,bayer leverkusen,1.77,140000000.0,2024-2025,bundesliga
emiliano buendia,bayer leverkusen,1.72,15000000.0,2024-2025,bundesliga
