Player,Pos,Squad,Height,Value,Season,Competition
nikita contini,Goalkeeper,SSC Napoli,1.9,400000.0,2023-2024,serie-a
hubert idasiak,Goalkeeper,SSC Napoli,1.88,150000.0,2023-2024,serie-a
amir rrahmani,Centre-Back,SSC Napoli,1.92,15000000.0,2023-2024,serie-a
natan,Centre-Back,SSC Napoli,1.88,12000000.0,2023-2024,serie-a
leo stigard,Centre-Back,SSC Napoli,1.83,8000000.0,2023-2024,serie-a
juan jesus,Centre-Back,SSC Napoli,1.85,2500000.0,2023-2024,serie-a
luigi davino,Centre-Back,SSC Napoli,1.86,125000.0,2023-2024,serie-a
mathias olivera,Left-Back,SSC Napoli,1.85,15000000.0,2023-2024,serie-a
mario rui,Left-Back,SSC Napoli,1.68,3500000.0,2023-2024,serie-a
giovanni di lorenzo,Right-Back,SSC Napoli,1.83,15000000.0,2023-2024,serie-a
alessandro zanoli,Right-Back,SSC Napoli,1.88,5000000.0,2023-2024,serie-a
pasquale mazzocchi,Right-Back,SSC Napoli,1.83,3000000.0,2023-2024,serie-a
stanislav lobotka,Defensive Midfield,SSC Napoli,1.68,28000000.0,2023-2024,serie-a
jens cajuste,Defensive Midfield,SSC Napoli,1.88,10000000.0,2023-2024,serie-a
leander dendoncker,Defensive Midfield,SSC Napoli,1.88,7000000.0,2023-2024,serie-a
diego demme,Defensive Midfield,SSC Napoli,1.7,800000.0,2023-2024,serie-a
francesco gioielli,Defensive Midfield,SSC Napoli,,175000.0,2023-2024,serie-a
lorenzo russo,Defensive Midfield,SSC Napoli,1.82,100000.0,2023-2024,serie-a
frank anguissa,Central Midfield,SSC Napoli,1.84,27000000.0,2023-2024,serie-a
piotr zielinski,Central Midfield,SSC Napoli,1.8,22000000.0,2023-2024,serie-a
karim zedadka,Left Midfield,SSC Napoli,1.84,250000.0,2023-2024,serie-a
hamed junior traore,Attacking Midfield,SSC Napoli,1.77,17000000.0,2023-2024,serie-a
gianluca gaetano,Attacking Midfield,SSC Napoli,1.83,6000000.0,2023-2024,serie-a
khvicha kvaratskhelia,Left Winger,SSC Napoli,1.83,80000000.0,2023-2024,serie-a
eljif elmas,Left Winger,SSC Napoli,1.84,20000000.0,2023-2024,serie-a
hirving lozano,Left Winger,SSC Napoli,1.75,15000000.0,2023-2024,serie-a
alessio zerbin,Left Winger,SSC Napoli,1.82,4000000.0,2023-2024,serie-a
jesper lindstrm,Right Winger,SSC Napoli,1.82,22000000.0,2023-2024,serie-a
matteo politano,Right Winger,SSC Napoli,1.71,13000000.0,2023-2024,serie-a
cyril ngonge,Right Winger,SSC Napoli,1.8,12000000.0,2023-2024,serie-a
giacomo raspadori,Second Striker,SSC Napoli,1.72,25000000.0,2023-2024,serie-a
victor osimhen,Centre-Forward,SSC Napoli,1.86,100000000.0,2023-2024,serie-a
giovanni simeone,Centre-Forward,SSC Napoli,1.8,10000000.0,2023-2024,serie-a
wojciech szczesny,Goalkeeper,Juventus FC,1.95,6000000.0,2023-2024,serie-a
mattia perin,Goalkeeper,Juventus FC,1.88,3000000.0,2023-2024,serie-a
giovanni daffara,Goalkeeper,Juventus FC,1.94,300000.0,2023-2024,serie-a
carlo pinsoglio,Goalkeeper,Juventus FC,1.94,200000.0,2023-2024,serie-a
giovanni garofani,Goalkeeper,Juventus FC,1.88,100000.0,2023-2024,serie-a
gian marco crespi,Goalkeeper,Juventus FC,1.89,100000.0,2023-2024,serie-a
simone scaglia,Goalkeeper,Juventus FC,1.96,25000.0,2023-2024,serie-a
bremer,Centre-Back,Juventus FC,1.88,60000000.0,2023-2024,serie-a
federico gatti,Centre-Back,Juventus FC,1.9,18000000.0,2023-2024,serie-a
tiago djalo,Centre-Back,Juventus FC,1.9,12000000.0,2023-2024,serie-a
danilo,Centre-Back,Juventus FC,1.84,10000000.0,2023-2024,serie-a
dean huijsen,Centre-Back,Juventus FC,1.97,10000000.0,2023-2024,serie-a
daniele rugani,Centre-Back,Juventus FC,1.9,4000000.0,2023-2024,serie-a
tarik muharemovic,Centre-Back,Juventus FC,1.87,1200000.0,2023-2024,serie-a
andrea cambiaso,Left-Back,Juventus FC,1.82,25000000.0,2023-2024,serie-a
alex sandro,Left-Back,Juventus FC,1.8,2000000.0,2023-2024,serie-a
mattia de sciglio,Right-Back,Juventus FC,1.83,1000000.0,2023-2024,serie-a
manuel locatelli,Defensive Midfield,Juventus FC,1.85,28000000.0,2023-2024,serie-a
adrien rabiot,Central Midfield,Juventus FC,1.91,35000000.0,2023-2024,serie-a
weston mckennie,Central Midfield,Juventus FC,1.85,28000000.0,2023-2024,serie-a
fabio miretti,Central Midfield,Juventus FC,1.8,15000000.0,2023-2024,serie-a
nicolo fagioli,Central Midfield,Juventus FC,1.78,15000000.0,2023-2024,serie-a
carlos alcaraz,Central Midfield,Juventus FC,1.76,15000000.0,2023-2024,serie-a
hans nicolussi caviglia,Central Midfield,Juventus FC,1.84,3000000.0,2023-2024,serie-a
joseph nonge,Central Midfield,Juventus FC,1.84,3000000.0,2023-2024,serie-a
luis hasa,Central Midfield,Juventus FC,1.72,1000000.0,2023-2024,serie-a
paul pogba,Central Midfield,Juventus FC,1.91,,2023-2024,serie-a
filip kostic,Left Midfield,Juventus FC,1.84,6500000.0,2023-2024,serie-a
nikola sekulov,Attacking Midfield,Juventus FC,1.85,800000.0,2023-2024,serie-a
kenan yldz,Left Winger,Juventus FC,1.87,30000000.0,2023-2024,serie-a
samuel ilingjunior,Left Winger,Juventus FC,1.82,13000000.0,2023-2024,serie-a
federico chiesa,Right Winger,Juventus FC,1.75,35000000.0,2023-2024,serie-a
matias soule,Right Winger,Juventus FC,1.82,25000000.0,2023-2024,serie-a
timothy weah,Right Winger,Juventus FC,1.83,12000000.0,2023-2024,serie-a
dusan vlahovic,Centre-Forward,Juventus FC,1.9,65000000.0,2023-2024,serie-a
moise kean,Centre-Forward,Juventus FC,1.83,14000000.0,2023-2024,serie-a
arkadiusz milik,Centre-Forward,Juventus FC,1.86,6000000.0,2023-2024,serie-a
leonardo cerri,Centre-Forward,Juventus FC,1.98,800000.0,2023-2024,serie-a
tommaso mancini,Centre-Forward,Juventus FC,1.9,500000.0,2023-2024,serie-a
marco carnesecchi,Goalkeeper,Atalanta BC,1.91,16000000.0,2023-2024,serie-a
juan musso,Goalkeeper,Atalanta BC,1.91,5000000.0,2023-2024,serie-a
paolo vismara,Goalkeeper,Atalanta BC,1.95,600000.0,2023-2024,serie-a
francesco rossi,Goalkeeper,Atalanta BC,1.93,100000.0,2023-2024,serie-a
giorgio scalvini,Centre-Back,Atalanta BC,1.94,45000000.0,2023-2024,serie-a
isak hien,Centre-Back,Atalanta BC,1.91,20000000.0,2023-2024,serie-a
berat djimsiti,Centre-Back,Atalanta BC,1.9,10000000.0,2023-2024,serie-a
sead kolasinac,Centre-Back,Atalanta BC,1.83,10000000.0,2023-2024,serie-a
caleb okoli,Centre-Back,Atalanta BC,1.91,8000000.0,2023-2024,serie-a
rafael toloi,Centre-Back,Atalanta BC,1.85,2500000.0,2023-2024,serie-a
giovanni bonfanti,Centre-Back,Atalanta BC,1.87,1000000.0,2023-2024,serie-a
jose luis palomino,Centre-Back,Atalanta BC,1.88,700000.0,2023-2024,serie-a
andrea ceresoli,Centre-Back,Atalanta BC,1.77,500000.0,2023-2024,serie-a
tommaso del lungo,Centre-Back,Atalanta BC,1.86,250000.0,2023-2024,serie-a
pietro comi,Centre-Back,Atalanta BC,,250000.0,2023-2024,serie-a
matteo ruggeri,Left-Back,Atalanta BC,1.87,20000000.0,2023-2024,serie-a
mitchel bakker,Left-Back,Atalanta BC,1.89,6500000.0,2023-2024,serie-a
emil holm,Right-Back,Atalanta BC,1.91,12000000.0,2023-2024,serie-a
hans hateboer,Right-Back,Atalanta BC,1.87,3500000.0,2023-2024,serie-a
marten de roon,Defensive Midfield,Atalanta BC,1.85,7000000.0,2023-2024,serie-a
leonardo mendicino,Defensive Midfield,Atalanta BC,1.82,800000.0,2023-2024,serie-a
matteo colombo,Defensive Midfield,Atalanta BC,1.82,150000.0,2023-2024,serie-a
ederson,Central Midfield,Atalanta BC,1.83,40000000.0,2023-2024,serie-a
mario pasalic,Central Midfield,Atalanta BC,1.88,13000000.0,2023-2024,serie-a
michel adopo,Central Midfield,Atalanta BC,1.87,1000000.0,2023-2024,serie-a
alberto manzoni,Central Midfield,Atalanta BC,1.78,300000.0,2023-2024,serie-a
davide zappacosta,Right Midfield,Atalanta BC,1.82,6000000.0,2023-2024,serie-a
nadir zortea,Right Midfield,Atalanta BC,1.87,3000000.0,2023-2024,serie-a
marco palestra,Right Midfield,Atalanta BC,1.86,1000000.0,2023-2024,serie-a
teun koopmeiners,Attacking Midfield,Atalanta BC,1.84,50000000.0,2023-2024,serie-a
charles de ketelaere,Attacking Midfield,Atalanta BC,1.92,34000000.0,2023-2024,serie-a
aleksey miranchuk,Attacking Midfield,Atalanta BC,1.82,10000000.0,2023-2024,serie-a
alessandro cortinovis,Attacking Midfield,Atalanta BC,1.8,400000.0,2023-2024,serie-a
andrea bonanomi,Attacking Midfield,Atalanta BC,,,2023-2024,serie-a
ademola lookman,Second Striker,Atalanta BC,1.74,40000000.0,2023-2024,serie-a
tommaso de nipoti,Second Striker,Atalanta BC,1.8,200000.0,2023-2024,serie-a
gianluca scamacca,Centre-Forward,Atalanta BC,1.95,35000000.0,2023-2024,serie-a
el bilal toure,Centre-Forward,Atalanta BC,1.85,20000000.0,2023-2024,serie-a
duvan zapata,Centre-Forward,Atalanta BC,1.88,8000000.0,2023-2024,serie-a
luis muriel,Centre-Forward,Atalanta BC,1.8,2000000.0,2023-2024,serie-a
siren diao,Centre-Forward,Atalanta BC,1.89,1500000.0,2023-2024,serie-a
moustapha cisse,Centre-Forward,Atalanta BC,1.82,800000.0,2023-2024,serie-a
lukasz skorupski,Goalkeeper,Bologna FC 1909,1.88,3500000.0,2023-2024,serie-a
federico ravaglia,Goalkeeper,Bologna FC 1909,1.96,1000000.0,2023-2024,serie-a
nicola bagnolini,Goalkeeper,Bologna FC 1909,1.94,200000.0,2023-2024,serie-a
tito gasperini,Goalkeeper,Bologna FC 1909,,,2023-2024,serie-a
sam beukema,Centre-Back,Bologna FC 1909,1.88,18000000.0,2023-2024,serie-a
jhon lucumi,Centre-Back,Bologna FC 1909,1.87,17000000.0,2023-2024,serie-a
stefan posch,Centre-Back,Bologna FC 1909,1.9,14000000.0,2023-2024,serie-a
mihajlo ilic,Centre-Back,Bologna FC 1909,1.92,4000000.0,2023-2024,serie-a
adama soumaoro,Centre-Back,Bologna FC 1909,1.87,2000000.0,2023-2024,serie-a
kevin bonifazi,Centre-Back,Bologna FC 1909,1.87,1800000.0,2023-2024,serie-a
joaquin sosa,Centre-Back,Bologna FC 1909,1.89,1500000.0,2023-2024,serie-a
riccardo stivanello,Centre-Back,Bologna FC 1909,1.88,200000.0,2023-2024,serie-a
riccardo calafiori,Left-Back,Bologna FC 1909,1.88,30000000.0,2023-2024,serie-a
victor kristiansen,Left-Back,Bologna FC 1909,1.81,15000000.0,2023-2024,serie-a
