nombre,club_actual,altura,valor,temporada,liga
juan musso,atletico de madrid,1.91,3500000.0,2024-2025,laliga
horatiu moldovan,atletico de madrid,1.86,2200000.0,2024-2025,laliga
alejandro iturbe,atletico de madrid,1.86,2000000.0,2024-2025,laliga
antonio gomis,atletico de madrid,1.91,150000.0,2024-2025,laliga
robin le normand,atletico de madrid,1.87,40000000.0,2024-2025,laliga
jose maria gimenez,atletico de madrid,1.85,20000000.0,2024-2025,laliga
clement lenglet,atletico de madrid,1.86,7500000.0,2024-2025,laliga
santiago mourino,atletico de madrid,1.86,3000000.0,2024-2025,laliga
axel witsel,atletico de madrid,1.86,2000000.0,2024-2025,laliga
cesar azpilicueta,atletico de madrid,1.78,1500000.0,2024-2025,laliga
ilias kostis,atletico de madrid,1.88,500000.0,2024-2025,laliga
geronimo spina,atletico de madrid,1.87,200000.0,2024-2025,laliga
reinildo mandava,atletico de madrid,1.8,5000000.0,2024-2025,laliga
javi galan,atletico de madrid,1.72,4000000.0,2024-2025,laliga
nahuel molina,atletico de madrid,1.75,20000000.0,2024-2025,laliga
carlos gimenez,atletico de madrid,1.8,250000.0,2024-2025,laliga
arthur vermeeren,atletico de madrid,1.8,22000000.0,2024-2025,laliga
pablo barrios,atletico de madrid,1.81,55000000.0,2024-2025,laliga
conor gallagher,atletico de madrid,1.82,40000000.0,2024-2025,laliga
rodrigo de paul,atletico de madrid,1.8,25000000.0,2024-2025,laliga
koke,atletico de madrid,1.76,8000000.0,2024-2025,laliga
javi serrano,atletico de madrid,1.78,700000.0,2024-2025,laliga
aitor gismera,atletico de madrid,1.82,250000.0,2024-2025,laliga
marcos llorente,atletico de madrid,1.84,25000000.0,2024-2025,laliga
thomas lemar,atletico de madrid,1.71,5000000.0,2024-2025,laliga
samuel lino,atletico de madrid,1.77,22000000.0,2024-2025,laliga
rodrigo riquelme,atletico de madrid,1.74,12000000.0,2024-2025,laliga
rayane belaid,atletico de madrid,1.75,600000.0,2024-2025,laliga
marcos paulo,atletico de madrid,1.86,450000.0,2024-2025,laliga
giuliano simeone,atletico de madrid,1.73,35000000.0,2024-2025,laliga
angel correa,atletico de madrid,1.71,10000000.0,2024-2025,laliga
german valera,atletico de madrid,1.7,1500000.0,2024-2025,laliga
victor mollejo,atletico de madrid,1.77,300000.0,2024-2025,laliga
julian alvarez,atletico de madrid,1.7,100000000.0,2024-2025,laliga
alexander srloth,atletico de madrid,1.95,25000000.0,2024-2025,laliga
antoine griezmann,atletico de madrid,1.76,18000000.0,2024-2025,laliga
carlos martin,atletico de madrid,1.8,2800000.0,2024-2025,laliga
omar janneh,atletico de madrid,1.88,1000000.0,2024-2025,laliga
adrian nino,atletico de madrid,1.84,800000.0,2024-2025,laliga
borja garces,atletico de madrid,1.83,300000.0,2024-2025,laliga
unai simon,athletic bilbao,1.9,28000000.0,2024-2025,laliga
julen agirrezabala,athletic bilbao,1.87,15000000.0,2024-2025,laliga
alex padilla,athletic bilbao,1.9,3000000.0,2024-2025,laliga
oier gastesi,athletic bilbao,1.9,150000.0,2024-2025,laliga
dani vivian,athletic bilbao,1.84,40000000.0,2024-2025,laliga
aitor paredes,athletic bilbao,1.85,22000000.0,2024-2025,laliga
yeray alvarez,athletic bilbao,1.82,7000000.0,2024-2025,laliga
unai nunez,athletic bilbao,1.86,3000000.0,2024-2025,laliga
unai egiluz,athletic bilbao,1.86,600000.0,2024-2025,laliga
aimar dunabeitia,athletic bilbao,1.84,150000.0,2024-2025,laliga
ander izagirre,athletic bilbao,,50000.0,2024-2025,laliga
adama boiro,athletic bilbao,1.83,2500000.0,2024-2025,laliga
yuri berchiche,athletic bilbao,1.81,1400000.0,2024-2025,laliga
andoni gorosabel,athletic bilbao,1.74,5000000.0,2024-2025,laliga
inigo lekue,athletic bilbao,1.8,2000000.0,2024-2025,laliga
oscar de marcos,athletic bilbao,1.82,1500000.0,2024-2025,laliga
mikel vesga,athletic bilbao,1.91,2500000.0,2024-2025,laliga
mikel jauregizar,athletic bilbao,1.77,30000000.0,2024-2025,laliga
benat prados,athletic bilbao,1.8,18000000.0,2024-2025,laliga
inigo ruiz de galarreta,athletic bilbao,1.75,3000000.0,2024-2025,laliga
ander herrera,athletic bilbao,1.82,800000.0,2024-2025,laliga
alejandro rego,athletic bilbao,1.92,300000.0,2024-2025,laliga
