nombre,club_actual,altura,valor,temporada,liga
gabriel magalhaes,arsenal fc,1.9,75000000.0,2024-2025,premier-league
jakub kiwior,arsenal fc,1.89,28000000.0,2024-2025,premier-league
ayden heaven,arsenal fc,1.89,5000000.0,2024-2025,premier-league
zane monlouis,arsenal fc,1.86,400000.0,2024-2025,premier-league
maldini kacurri,arsenal fc,1.89,300000.0,2024-2025,premier-league
brayden clarke,arsenal fc,,,2024-2025,premier-league
myles lewisskelly,arsenal fc,1.78,45000000.0,2024-2025,premier-league
riccardo calafiori,arsenal fc,1.88,35000000.0,2024-2025,premier-league
oleksandr zinchenko,arsenal fc,1.75,20000000.0,2024-2025,premier-league
kieran tierney,arsenal fc,1.8,9000000.0,2024-2025,premier-league
jurrien timber,arsenal fc,1.79,55000000.0,2024-2025,premier-league
ben white,arsenal fc,1.86,45000000.0,2024-2025,premier-league
takehiro tomiyasu,arsenal fc,1.88,18000000.0,2024-2025,premier-league
josh robinson,arsenal fc,,,2024-2025,premier-league
josh nichols,arsenal fc,,,2024-2025,premier-league
thomas partey,arsenal fc,1.85,14000000.0,2024-2025,premier-league
jorginho,arsenal fc,1.8,6000000.0,2024-2025,premier-league
jack henryfrancis,arsenal fc,1.81,200000.0,2024-2025,premier-league
michal rosiak,arsenal fc,1.8,,2024-2025,premier-league
declan rice,arsenal fc,1.88,120000000.0,2024-2025,premier-league
mikel merino,arsenal fc,1.89,35000000.0,2024-2025,premier-league
salaheddine oulad mhand,arsenal fc,1.77,400000.0,2024-2025,premier-league
jimi gower,arsenal fc,1.81,,2024-2025,premier-league
martin degaard,arsenal fc,1.78,85000000.0,2024-2025,premier-league
gabriel martinelli,arsenal fc,1.78,55000000.0,2024-2025,premier-league
leandro trossard,arsenal fc,1.72,22000000.0,2024-2025,premier-league
bukayo saka,arsenal fc,1.78,150000000.0,2024-2025,premier-league
ethan nwaneri,arsenal fc,1.76,55000000.0,2024-2025,premier-league
reiss nelson,arsenal fc,1.75,16000000.0,2024-2025,premier-league
raheem sterling,arsenal fc,1.7,10000000.0,2024-2025,premier-league
ismeal kabia,arsenal fc,,,2024-2025,premier-league
kai havertz,arsenal fc,1.93,65000000.0,2024-2025,premier-league
gabriel jesus,arsenal fc,1.75,32000000.0,2024-2025,premier-league
eddie nketiah,arsenal fc,1.75,18000000.0,2024-2025,premier-league
nathan butleroyedeji,arsenal fc,1.77,1000000.0,2024-2025,premier-league
alisson,liverpool fc,1.93,20000000.0,2024-2025,premier-league
caoimhin kelleher,liverpool fc,1.88,20000000.0,2024-2025,premier-league
vitezslav jaros,liverpool fc,1.9,4000000.0,2024-2025,premier-league
harvey davies,liverpool fc,1.9,500000.0,2024-2025,premier-league
ibrahima konate,liverpool fc,1.94,60000000.0,2024-2025,premier-league
