nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
jhon lucumi,bologna,31,17,0,75.0,48,29,32,17,15,2023-2024,serie-a
jose luis palomino,atalanta,1,1,0,100.0,2,1,2,1,1,2023-2024,serie-a
romelu lukaku,roma,1,2,3,50.0,6,5,7,1,6,2023-2024,serie-a
karlo lulic,frosinone,0,0,0,,0,0,1,0,1,2023-2024,serie-a
sebastiano luperto,empoli,25,10,2,62.5,37,26,46,35,11,2023-2024,serie-a
mateus lusuardi,frosinone,1,1,0,33.3,2,1,4,2,2,2023-2024,serie-a
zito luvumbo,cagliari,5,2,2,26.7,9,6,19,0,19,2023-2024,serie-a
charalampos lykogiannis,bologna,5,4,1,50.0,10,6,15,5,10,2023-2024,serie-a
giulio maggiore,salernitana,26,22,1,47.6,49,29,27,5,22,2023-2024,serie-a
giangiacomo magnani,hellas verona,23,10,0,60.0,33,18,50,28,22,2023-2024,serie-a
mike maignan,milan,1,0,0,100.0,1,0,1,0,1,2023-2024,serie-a
antoine makoumbou,cagliari,21,15,5,50.0,41,24,23,4,19,2023-2024,serie-a
daniel maldini,monza,0,2,1,50.0,3,2,2,0,2,2023-2024,serie-a
daniel maldini,empoli,0,2,2,100.0,4,2,5,0,5,2023-2024,serie-a
youssef maleh,empoli,30,36,8,44.2,74,48,62,7,55,2023-2024,serie-a
ruslan malinovskyi,genoa,18,11,6,41.5,35,20,22,8,14,2023-2024,serie-a
gianluca mancini,roma,21,11,2,40.7,34,20,38,26,12,2023-2024,serie-a
marco mancosu,cagliari,0,2,1,50.0,3,0,0,0,0,2023-2024,serie-a
christos mandas,lazio,0,0,0,0.0,0,0,0,0,0,2023-2024,serie-a
rolando mandragora,fiorentina,8,13,5,45.5,26,11,14,3,11,2023-2024,serie-a
kostas manolas,salernitana,6,3,0,75.0,9,5,10,7,3,2023-2024,serie-a
riccardo marchizza,frosinone,4,3,0,23.1,7,6,10,2,8,2023-2024,serie-a
gian marco ferrari,sassuolo,11,11,0,66.7,22,10,28,17,11,2023-2024,serie-a
pablo mari,monza,34,7,0,64.7,41,25,40,25,15,2023-2024,serie-a
mirko maric,monza,2,1,1,0.0,4,0,4,0,4,2023-2024,serie-a
razvan marin,empoli,13,23,4,65.5,40,22,16,4,12,2023-2024,serie-a
agustin martegani,salernitana,7,3,3,33.3,13,7,4,1,3,2023-2024,serie-a
aaron martin,genoa,7,10,4,40.9,21,10,12,4,8,2023-2024,serie-a
tommaso martinelli,fiorentina,0,0,0,,0,0,0,0,0,2023-2024,serie-a
josep martinez,genoa,0,0,0,,0,0,0,0,0,2023-2024,serie-a
lautaro martinez,inter,4,13,5,21.1,22,16,30,1,29,2023-2024,serie-a
lucas martinez quarta,fiorentina,43,28,4,66.7,75,47,38,14,24,2023-2024,serie-a
adam marusic,lazio,24,19,2,55.1,45,31,27,7,20,2023-2024,serie-a
adam masina,udinese,2,2,0,50.0,4,0,2,1,1,2023-2024,serie-a
adam masina,torino,8,8,1,25.0,17,12,12,6,6,2023-2024,serie-a
alan matturro,genoa,1,0,0,100.0,1,1,6,3,3,2023-2024,serie-a
luca mazzitelli,frosinone,15,24,6,53.1,45,23,23,7,16,2023-2024,serie-a
pasquale mazzocchi,salernitana,14,10,1,55.2,25,19,14,6,8,2023-2024,serie-a
pasquale mazzocchi,napoli,1,2,2,66.7,5,2,5,1,4,2023-2024,serie-a
jordi mboula,hellas verona,1,2,1,57.1,4,4,4,1,3,2023-2024,serie-a
weston mckennie,juventus,31,11,6,63.0,48,29,28,7,21,2023-2024,serie-a
arthur melo,fiorentina,17,24,4,61.9,45,30,27,3,24,2023-2024,serie-a
leonardo mendicino,atalanta,0,0,0,,0,0,0,0,0,2023-2024,serie-a
alex meret,napoli,1,0,0,50.0,1,0,0,0,0,2023-2024,serie-a
junior messias,genoa,19,5,2,42.1,26,20,9,1,8,2023-2024,serie-a
nikola milenkovic,fiorentina,24,14,3,61.1,41,21,22,14,8,2023-2024,serie-a
arkadiusz milik,juventus,2,5,2,60.0,9,5,7,1,6,2023-2024,serie-a
vanja milinkovicsavic,torino,1,0,0,100.0,1,0,0,0,0,2023-2024,serie-a
yerry mina,fiorentina,1,0,0,50.0,1,1,0,0,0,2023-2024,serie-a
yerry mina,cagliari,14,6,0,68.4,20,13,23,14,9,2023-2024,serie-a
aleksei miranchuk,atalanta,6,4,2,38.5,12,6,6,1,5,2023-2024,serie-a
kevin miranda,sassuolo,0,0,0,,0,0,0,0,0,2023-2024,serie-a
antonio mirante,milan,0,0,0,,0,0,0,0,0,2023-2024,serie-a
fabio miretti,juventus,6,8,4,38.5,18,14,10,1,9,2023-2024,serie-a
filippo missori,sassuolo,2,4,0,36.4,6,3,3,2,1,2023-2024,serie-a
stefan mitrovic,hellas verona,0,5,1,40.0,6,3,6,1,5,2023-2024,serie-a
henrikh mkhitaryan,inter,18,35,9,49.0,62,34,23,4,19,2023-2024,serie-a
ilario monterisi,frosinone,14,7,2,46.2,23,13,22,18,4,2023-2024,serie-a
lorenzo montipo,hellas verona,1,0,0,33.3,1,1,0,0,0,2023-2024,serie-a
nikola moro,bologna,8,12,1,53.3,21,16,14,1,13,2023-2024,serie-a
dany mota,monza,2,5,6,47.1,13,7,4,1,3,2023-2024,serie-a
samuele mulattieri,sassuolo,0,0,1,50.0,1,1,7,2,5,2023-2024,serie-a
luis muriel,atalanta,0,2,1,100.0,3,2,4,0,4,2023-2024,serie-a
yunus musah,milan,15,6,4,53.3,25,14,18,4,14,2023-2024,serie-a
juan musso,atalanta,1,0,0,100.0,1,0,0,0,0,2023-2024,serie-a
