club,club_id,player,player_id,market_value_str,market_value_eur,player_url,player_norm,club_norm,season,competition_code
Olympique Marseille,244,Lilian Brassier,485960,€10.00m,10000000.0,https://www.transfermarkt.com/lilian-brassier/profil/spieler/485960,lilian brassier,olympique marseille,2024,FR1
Olympique Marseille,244,Luiz Felipe,457931,€5.00m,5000000.0,https://www.transfermarkt.com/luiz-felipe/profil/spieler/457931,luiz felipe,olympique marseille,2024,FR1
Olympique Marseille,244,Derek Cornelius,328609,€5.00m,5000000.0,https://www.transfermarkt.com/derek-cornelius/profil/spieler/328609,derek cornelius,olympique marseille,2024,FR1
Olympique Marseille,244,Bamo Meïté,807165,€4.00m,4000000.0,https://www.transfermarkt.com/bamo-meite/profil/spieler/807165,bamo meite,olympique marseille,2024,FR1
Olympique Marseille,244,Chancel Mbemba,203348,€2.00m,2000000.0,https://www.transfermarkt.com/chancel-mbemba/profil/spieler/203348,chancel mbemba,olympique marseille,2024,FR1
Olympique Marseille,244,Roggerio Nyakossi,805484,€500k,500000.0,https://www.transfermarkt.com/roggerio-nyakossi/profil/spieler/805484,roggerio nyakossi,olympique marseille,2024,FR1
Olympique Marseille,244,Rony Mimb Baheng,1203035,-,,https://www.transfermarkt.com/rony-mimb-baheng/profil/spieler/1203035,rony mimb baheng,olympique marseille,2024,FR1
Olympique Marseille,244,Quentin Merlin,557613,€15.00m,15000000.0,https://www.transfermarkt.com/quentin-merlin/profil/spieler/557613,quentin merlin,olympique marseille,2024,FR1
Olympique Marseille,244,Ulisses Garcia,192616,€5.00m,5000000.0,https://www.transfermarkt.com/ulisses-garcia/profil/spieler/192616,ulisses garcia,olympique marseille,2024,FR1
Olympique Marseille,244,Alexi Koum,955449,€100k,100000.0,https://www.transfermarkt.com/alexi-koum/profil/spieler/955449,alexi koum,olympique marseille,2024,FR1
Olympique Marseille,244,Amar Dedić,519184,€12.00m,12000000.0,https://www.transfermarkt.com/amar-dedic/profil/spieler/519184,amar dedic,olympique marseille,2024,FR1
Olympique Marseille,244,Amir Murillo,354482,€10.00m,10000000.0,https://www.transfermarkt.com/amir-murillo/profil/spieler/354482,amir murillo,olympique marseille,2024,FR1
Olympique Marseille,244,Pol Lirola,298975,€4.00m,4000000.0,https://www.transfermarkt.com/pol-lirola/profil/spieler/298975,pol lirola,olympique marseille,2024,FR1
Olympique Marseille,244,Pierre-Emile Højbjerg,167799,€20.00m,20000000.0,https://www.transfermarkt.com/pierre-emile-hojbjerg/profil/spieler/167799,pierre-emile højbjerg,olympique marseille,2024,FR1
Olympique Marseille,244,Ismaël Bennacer,351816,€15.00m,15000000.0,https://www.transfermarkt.com/ismael-bennacer/profil/spieler/351816,ismael bennacer,olympique marseille,2024,FR1
Olympique Marseille,244,Geoffrey Kondogbia,127189,€7.00m,7000000.0,https://www.transfermarkt.com/geoffrey-kondogbia/profil/spieler/127189,geoffrey kondogbia,olympique marseille,2024,FR1
Olympique Marseille,244,Adrien Rabiot,182913,€25.00m,25000000.0,https://www.transfermarkt.com/adrien-rabiot/profil/spieler/182913,adrien rabiot,olympique marseille,2024,FR1
Olympique Marseille,244,Ismaël Koné,921655,€9.00m,9000000.0,https://www.transfermarkt.com/ismael-kone/profil/spieler/921655,ismael kone,olympique marseille,2024,FR1
Olympique Marseille,244,Valentin Rongier,332889,€9.00m,9000000.0,https://www.transfermarkt.com/valentin-rongier/profil/spieler/332889,valentin rongier,olympique marseille,2024,FR1
Olympique Marseille,244,Bilal Nadir,659520,€5.00m,5000000.0,https://www.transfermarkt.com/bilal-nadir/profil/spieler/659520,bilal nadir,olympique marseille,2024,FR1
Olympique Marseille,244,Gaël Lafont,955358,-,,https://www.transfermarkt.com/gael-lafont/profil/spieler/955358,gael lafont,olympique marseille,2024,FR1
Olympique Marseille,244,Luis Henrique,691316,€25.00m,25000000.0,https://www.transfermarkt.com/luis-henrique/profil/spieler/691316,luis henrique,olympique marseille,2024,FR1
Olympique Marseille,244,Valentín Carboni,787618,€12.00m,12000000.0,https://www.transfermarkt.com/valentin-carboni/profil/spieler/787618,valentin carboni,olympique marseille,2024,FR1
Olympique Marseille,244,Amine Harit,372711,€8.00m,8000000.0,https://www.transfermarkt.com/amine-harit/profil/spieler/372711,amine harit,olympique marseille,2024,FR1
Olympique Marseille,244,Enzo Sternal,1075589,€1.50m,1500000.0,https://www.transfermarkt.com/enzo-sternal/profil/spieler/1075589,enzo sternal,olympique marseille,2024,FR1
Olympique Marseille,244,Darryl Bakola,1170286,€200k,200000.0,https://www.transfermarkt.com/darryl-bakola/profil/spieler/1170286,darryl bakola,olympique marseille,2024,FR1
Olympique Marseille,244,Jonathan Rowe,672381,€12.00m,12000000.0,https://www.transfermarkt.com/jonathan-rowe/profil/spieler/672381,jonathan rowe,olympique marseille,2024,FR1
Olympique Marseille,244,Salim Ben Seghir,708681,€400k,400000.0,https://www.transfermarkt.com/salim-ben-seghir/profil/spieler/708681,salim ben seghir,olympique marseille,2024,FR1
Olympique Marseille,244,Mason Greenwood,532826,€40.00m,40000000.0,https://www.transfermarkt.com/mason-greenwood/profil/spieler/532826,mason greenwood,olympique marseille,2024,FR1
Olympique Marseille,244,Keyliane Abdallah,1183719,€100k,100000.0,https://www.transfermarkt.com/keyliane-abdallah/profil/spieler/1183719,keyliane abdallah,olympique marseille,2024,FR1
Olympique Marseille,244,Amine Gouiri,418659,€30.00m,30000000.0,https://www.transfermarkt.com/amine-gouiri/profil/spieler/418659,amine gouiri,olympique marseille,2024,FR1
Olympique Marseille,244,Elye Wahi,659542,€22.00m,22000000.0,https://www.transfermarkt.com/elye-wahi/profil/spieler/659542,elye wahi,olympique marseille,2024,FR1
Olympique Marseille,244,Neal Maupay,217115,€8.00m,8000000.0,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115,neal maupay,olympique marseille,2024,FR1
Olympique Marseille,244,Faris Moumbagna,599663,€5.00m,5000000.0,https://www.transfermarkt.com/faris-moumbagna/profil/spieler/599663,faris moumbagna,olympique marseille,2024,FR1
Olympique Marseille,244,Robinio Vaz,1131161,€150k,150000.0,https://www.transfermarkt.com/robinio-vaz/profil/spieler/1131161,robinio vaz,olympique marseille,2024,FR1
LOSC Lille,1082,Lucas Chevalier,463600,€30.00m,30000000.0,https://www.transfermarkt.com/lucas-chevalier/profil/spieler/463600,lucas chevalier,losc lille,2024,FR1
LOSC Lille,1082,Lisandru Olmeta,810789,€150k,150000.0,https://www.transfermarkt.com/lisandru-olmeta/profil/spieler/810789,lisandru olmeta,losc lille,2024,FR1
LOSC Lille,1082,Vito Mannone,33781,€150k,150000.0,https://www.transfermarkt.com/vito-mannone/profil/spieler/33781,vito mannone,losc lille,2024,FR1
LOSC Lille,1082,Marc-Aurèle Caillard,205465,€100k,100000.0,https://www.transfermarkt.com/marc-aurele-caillard/profil/spieler/205465,marc-aurele caillard,losc lille,2024,FR1
LOSC Lille,1082,Bafodé Diakité,463605,€28.00m,28000000.0,https://www.transfermarkt.com/bafode-diakite/profil/spieler/463605,bafode diakite,losc lille,2024,FR1
LOSC Lille,1082,Alexsandro,648020,€20.00m,20000000.0,https://www.transfermarkt.com/alexsandro/profil/spieler/648020,alexsandro,losc lille,2024,FR1
LOSC Lille,1082,Samuel Umtiti,126540,€1.50m,1500000.0,https://www.transfermarkt.com/samuel-umtiti/profil/spieler/126540,samuel umtiti,losc lille,2024,FR1
LOSC Lille,1082,Aïssa Mandi,80293,€1.20m,1200000.0,https://www.transfermarkt.com/aissa-mandi/profil/spieler/80293,aissa mandi,losc lille,2024,FR1
LOSC Lille,1082,Rafael Fernandes,744074,€1.00m,1000000.0,https://www.transfermarkt.com/rafael-fernandes/profil/spieler/744074,rafael fernandes,losc lille,2024,FR1
LOSC Lille,1082,Ousmane Touré,990732,€500k,500000.0,https://www.transfermarkt.com/ousmane-toure/profil/spieler/990732,ousmane toure,losc lille,2024,FR1
LOSC Lille,1082,Isaac Cossier,1160753,-,,https://www.transfermarkt.com/isaac-cossier/profil/spieler/1160753,isaac cossier,losc lille,2024,FR1
