comp_name,region,country,season_start_year,squad,player_num,player_name,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url,Season,Liga
LaLiga,Europe,Spain,2024,Atlético de Madrid,-,Julián Alvarez,Right Winger,,,Argentina,Atlético de Madrid,1.73,right,,Atlético Madrileño,,35000000,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024,2024-2025,La-Liga
Premier League,Europe,England,2024,AFC Bournemouth,-,Julián Araujo,Left Winger,,,England,Burnley FC,1.83,right,,AFC Bournemouth U23,,9000000,https://www.transfermarkt.com/julian-araujo/profil/spieler/513970,2024-2025,Premier-League
Bundesliga,Europe,Germany,2024,Borussia Dortmund,39,Julian Brandt,Centre-Back,,,Italy,Borussia Dortmund,1.88,right,,Borussia Dortmund II,,,https://www.transfermarkt.com/julian-brandt/profil/spieler/187492,2024-2025,Bundesliga
LaLiga,Europe,Spain,2024,CD Leganés,9,Julián Chicco,Centre-Forward,,,Spain,CD Leganés,1.82,right,,Deportivo Alavés,,2000000,https://www.transfermarkt.com/julian-chicco/profil/spieler/401583,2024-2025,La-Liga
Premier League,Europe,England,2024,Brentford FC,20,Julian Eyestone,Centre-Back,,,Norway,Brentford FC,1.98,right,,Celtic FC,,18000000,https://www.transfermarkt.com/julian-eyestone/profil/spieler/1008553,2024-2025,Premier-League
Bundesliga,Europe,Germany,2024,TSG 1899 Hoffenheim,19,Julian Justvan,Left-Back,,,Czech Republic,Besiktas JK,1.83,left,,SL Benfica,,5000000,https://www.transfermarkt.com/julian-justvan/profil/spieler/324861,2024-2025,Bundesliga
Bundesliga,Europe,Germany,2024,SV Werder Bremen,8,Julián Malatini,Right-Back,,,Germany,SV Werder Bremen,1.77,right,,Bayer 04 Leverkusen,,5000000,https://www.transfermarkt.com/julian-malatini/profil/spieler/830108,2024-2025,Bundesliga
Bundesliga,Europe,Germany,2024,1.FC Heidenheim 1846,14,Julian Niehues,Centre-Forward,,,Germany,1.FC Magdeburg,1.95,left,,SC Freiburg II,,1500000,https://www.transfermarkt.com/julian-niehues/profil/spieler/530173,2024-2025,Bundesliga
Bundesliga,Europe,Germany,2024,Borussia Dortmund,43,Julian Ryerson,Left Winger,,,England,Chelsea FC,1.78,right,,Borussia Dortmund U19,,50000000,https://www.transfermarkt.com/julian-ryerson/profil/spieler/370789,2024-2025,Bundesliga
Bundesliga,Europe,Germany,2024,Borussia Mönchengladbach,19,Julian Weigl,Right Winger,,,Cameroon,Borussia Mönchengladbach,1.85,right,,FC Toulouse,,4000000,https://www.transfermarkt.com/julian-weigl/profil/spieler/196792,2024-2025,Bundesliga
Bundesliga,Europe,Germany,2024,Borussia Dortmund,-,Julien Duranville,Right-Back,,,Germany,MSV Duisburg,1.82,both,,,,,https://www.transfermarkt.com/julien-duranville/profil/spieler/819215,2024-2025,Bundesliga
Ligue 1,Europe,France,2024,Stade Brestois 29,22,Julien Le Cardinal,Left-Back,,,Mali,Kocaelispor,1.79,left,,RC Lens,,1500000,https://www.transfermarkt.com/julien-le-cardinal/profil/spieler/794349,2024-2025,Ligue-1
Bundesliga,Europe,Germany,2024,FC St. Pauli,17,Julien Yanda,Right Winger,,,England,FC St. Pauli,1.8,right,,Bolton Wanderers,,4000000,https://www.transfermarkt.com/julien-yanda/profil/spieler/1137980,2024-2025,Bundesliga
Premier League,Europe,England,2024,Brighton & Hove Albion,2,Julio Enciso,Right-Back,,,Ghana,ACF Fiorentina,1.63,right,,Chelsea FC U23,,11000000,https://www.transfermarkt.com/julio-enciso/profil/spieler/660867,2024-2025,Premier-League
Premier League,Europe,England,2024,AFC Bournemouth,19,Julio Soler,Attacking Midfield,,,Netherlands,AFC Bournemouth,1.72,both,,AS Roma,,35000000,https://www.transfermarkt.com/julio-soler/profil/spieler/1009658,2024-2025,Premier-League
LaLiga,Europe,Spain,2024,Real Valladolid CF,16,Juma Bah,Centre-Back,,,Ghana,Celta de Vigo,1.81,right,,Celta de Vigo,,1200000,https://www.transfermarkt.com/juma-bah/profil/spieler/1121298,2024-2025,La-Liga
Bundesliga,Europe,Germany,2024,SC Freiburg,18,Junior Adamu,Right Winger,,,Türkiye,SC Freiburg,1.88,right,,SV Werder Bremen,,8000000,https://www.transfermarkt.com/junior-adamu/profil/spieler/452477,2024-2025,Bundesliga
Serie A,Europe,Italy,2024,Hellas Verona,14,Junior Ajayi,Centre-Forward,,,Cape Verde,Casa Pia AC,1.85,right,,MVV Maastricht,,,https://www.transfermarkt.com/junior-ajayi/profil/spieler/1111820,2024-2025,Serie-A
Bundesliga,Europe,Germany,2024,Eintracht Frankfurt,35,Junior Dina Ebimbe,Centre-Back,,,Brazil,Al-Duhail SC,1.85,right,,São Paulo FC U20,,15000000,https://www.transfermarkt.com/junior-dina-ebimbe/profil/spieler/536482,2024-2025,Bundesliga
Serie A,Europe,Italy,2024,Genoa CFC,2,Junior Messias,Central Midfield,,,Norway,Genoa CFC,1.88,right,,1.FC Union Berlin,,3000000,https://www.transfermarkt.com/junior-messias/profil/spieler/449151,2024-2025,Serie-A
Ligue 1,Europe,France,2024,RC Strasbourg Alsace,27,Junior Mwanga,Right Winger,,,England,RC Strasbourg Alsace,1.74,left,,Southampton FC,,4000000,https://www.transfermarkt.com/junior-mwanga/profil/spieler/1011200,2024-2025,Ligue-1
Ligue 1,Europe,France,2024,Montpellier HSC,-,Junior Ndiaye,Right Winger,,,France,Montpellier HSC,1.72,left,,Montpellier HSC B,,,https://www.transfermarkt.com/junior-ndiaye/profil/spieler/986262,2024-2025,Ligue-1
Serie A,Europe,Italy,2024,FC Empoli,20,Junior Sambia,Attacking Midfield,,,Ukraine,Aris Limassol,1.82,right,,Without Club,,1000000,https://www.transfermarkt.com/junior-sambia/profil/spieler/335147,2024-2025,Serie-A
