Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
stefan lainer,Gladbach,203,383,136,20,720,11,18.2,8,72.7,908,8,5,12,4,2022-2023,bundesliga
vassilis lambropoulos,Bochum,174,141,19,13,329,1,0.0,0,0.0,233,1,0,4,1,2022-2023,bundesliga
jordan larsson,Schalke 04,20,90,67,12,173,13,30.8,7,53.8,164,3,1,4,7,2022-2023,bundesliga
danny latza,Schalke 04,142,257,111,15,503,13,30.8,8,61.5,561,3,1,7,8,2022-2023,bundesliga
diogo leite,Union Berlin,765,765,110,20,1626,5,20.0,1,20.0,2430,18,1,20,10,2022-2023,bundesliga
maxim leitsch,Mainz 05,188,205,12,2,405,1,0.0,1,100.0,443,0,1,5,1,2022-2023,bundesliga
tim lemperle,Köln,13,37,38,9,85,8,37.5,5,62.5,82,2,2,6,6,2022-2023,bundesliga
christopher lenz,Eint Frankfurt,249,439,288,19,966,14,78.6,2,14.3,1297,24,3,11,5,2022-2023,bundesliga
jamie leweling,Union Berlin,12,33,82,18,123,25,20.0,17,68.0,167,11,2,14,8,2022-2023,bundesliga
philipp lienhart,Freiburg,999,812,63,20,1864,8,50.0,0,0.0,3580,12,2,19,1,2022-2023,bundesliga
matthijs de ligt,Bayern Munich,1018,1183,132,39,2322,4,0.0,4,100.0,3942,12,0,11,3,2022-2023,bundesliga
dimitris limnios,Köln,2,10,16,3,28,2,100.0,0,0.0,54,0,0,0,1,2022-2023,bundesliga
jesper lindstrm,Eint Frankfurt,106,316,383,94,791,86,32.6,52,60.5,1473,41,40,65,34,2022-2023,bundesliga
dejan ljubicic,Köln,116,376,334,58,808,47,40.4,25,53.2,1290,32,10,39,16,2022-2023,bundesliga
anthony losilla,Bochum,366,705,234,39,1286,20,45.0,10,50.0,645,14,1,24,10,2022-2023,bundesliga
dodi lukebakio,Hertha BSC,111,412,481,103,974,141,47.5,64,45.4,2513,59,48,82,48,2022-2023,bundesliga
andrey lunyov,Leverkusen,44,1,0,0,45,0,,0,,134,0,0,0,0,2022-2023,bundesliga
arne maier,Augsburg,167,380,320,38,862,37,43.2,17,45.9,1020,15,15,39,26,2022-2023,bundesliga
linton maina,Köln,81,349,523,99,932,68,32.4,38,55.9,2421,53,37,55,26,2022-2023,bundesliga
donyell malen,Dortmund,64,321,498,101,869,115,44.3,51,44.3,2138,37,38,38,40,2022-2023,bundesliga
sadio mane,Bayern Munich,39,218,375,130,620,53,45.3,25,47.2,1295,26,33,53,14,2022-2023,bundesliga
myziane maolida,Hertha BSC,3,13,10,3,26,4,50.0,2,50.0,26,1,0,3,5,2022-2023,bundesliga
omar marmoush,Wolfsburg,79,290,392,91,744,99,38.4,52,52.5,1076,31,22,75,42,2022-2023,bundesliga
eric martel,Köln,333,661,213,35,1196,13,53.8,5,38.5,839,20,1,35,25,2022-2023,bundesliga
aaron martin,Mainz 05,303,523,380,14,1191,21,47.6,8,38.1,1217,19,3,15,14,2022-2023,bundesliga
erhan masovic,Bochum,558,464,61,28,1078,5,40.0,3,60.0,911,1,0,10,3,2022-2023,bundesliga
henning matriciani,Schalke 04,505,463,137,6,1089,15,40.0,9,60.0,1077,17,1,17,10,2022-2023,bundesliga
konstantinos mavropanos,Stuttgart,874,875,157,47,1875,40,40.0,16,40.0,2663,26,2,31,5,2022-2023,bundesliga
philipp max,Eint Frankfurt,107,230,206,16,541,7,42.9,3,42.9,546,7,0,8,3,2022-2023,bundesliga
eric maxim choupomoting,Bayern Munich,19,175,214,68,406,29,69.0,6,20.7,247,5,7,32,16,2022-2023,bundesliga
keke maximilian topp,Schalke 04,0,2,8,1,10,2,0.0,2,100.0,38,1,0,0,0,2022-2023,bundesliga
ibrahim maza,Hertha BSC,11,6,8,3,24,1,0.0,0,0.0,52,1,1,2,0,2022-2023,bundesliga
noussair mazraoui,Bayern Munich,252,449,282,27,977,27,66.7,6,22.2,1478,26,8,11,5,2022-2023,bundesliga
