Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
arthur melo,Fiorentina,334,1026,320,8,1653,20,55.0,4,20.0,2393,43,2,14,15,2023-2024,serie-a
leonardo mendicino,Atalanta,0,0,0,0,0,0,,0,,0,0,0,0,0,2023-2024,serie-a
alex meret,Napoli,956,3,0,0,959,1,100.0,0,0.0,1302,0,0,0,0,2023-2024,serie-a
junior messias,Genoa,100,208,194,28,490,43,37.2,18,41.9,1138,29,6,24,13,2023-2024,serie-a
nikola milenkovic,Fiorentina,941,803,67,28,1810,3,66.7,1,33.3,2412,12,1,6,2,2023-2024,serie-a
arkadiusz milik,Juventus,36,182,175,52,391,10,50.0,5,50.0,331,8,3,30,12,2023-2024,serie-a
vanja milinkovicsavic,Torino,1610,11,0,0,1620,1,0.0,1,100.0,3199,0,0,0,0,2023-2024,serie-a
yerry mina,Fiorentina,8,11,2,1,21,0,,0,,4,0,0,0,0,2023-2024,serie-a
yerry mina,Cagliari,448,249,18,5,712,3,66.7,1,33.3,1068,0,0,10,0,2023-2024,serie-a
aleksei miranchuk,Atalanta,62,323,407,52,785,49,34.7,27,55.1,1421,35,10,37,15,2023-2024,serie-a
kevin miranda,Sassuolo,7,5,0,0,11,1,100.0,0,0.0,31,0,0,0,0,2023-2024,serie-a
antonio mirante,Milan,57,2,0,0,59,0,,0,,84,0,0,0,0,2023-2024,serie-a
fabio miretti,Juventus,86,291,237,35,604,42,50.0,18,42.9,1002,17,7,34,25,2023-2024,serie-a
filippo missori,Sassuolo,50,68,30,3,146,2,50.0,1,50.0,198,2,2,1,2,2023-2024,serie-a
stefan mitrovic,Hellas Verona,11,89,69,10,164,14,42.9,6,42.9,383,8,2,13,4,2023-2024,serie-a
henrikh mkhitaryan,Inter,301,1079,628,64,1982,38,50.0,17,44.7,3583,77,13,39,19,2023-2024,serie-a
ilario monterisi,Frosinone,607,457,76,12,1136,9,55.6,4,44.4,1220,5,0,4,3,2023-2024,serie-a
lorenzo montipo,Hellas Verona,1375,9,1,1,1385,0,,0,,1933,0,0,2,0,2023-2024,serie-a
nikola moro,Bologna,128,401,142,9,664,10,50.0,5,50.0,896,21,2,9,11,2023-2024,serie-a
dany mota,Monza,101,434,504,93,1028,49,32.7,28,57.1,2771,82,32,43,30,2023-2024,serie-a
samuele mulattieri,Sassuolo,11,102,77,21,188,16,25.0,8,50.0,240,8,7,20,13,2023-2024,serie-a
luis muriel,Atalanta,6,129,180,25,313,22,31.8,9,40.9,645,16,5,14,18,2023-2024,serie-a
yunus musah,Milan,173,383,291,20,831,47,46.8,20,42.6,2034,39,6,32,15,2023-2024,serie-a
juan musso,Atalanta,392,5,0,0,396,0,,0,,921,0,0,2,0,2023-2024,serie-a
kingstone mutandwa,Cagliari,4,12,7,2,22,3,33.3,2,66.7,28,1,0,3,0,2023-2024,serie-a
obite ndicka,Roma,860,843,81,13,1770,3,66.7,1,33.3,3599,22,1,7,4,2023-2024,serie-a
nahitan nandez,Cagliari,229,476,463,45,1142,49,57.1,17,34.7,1808,22,10,40,37,2023-2024,serie-a
natan,Napoli,327,384,50,8,756,5,40.0,2,40.0,1512,7,0,10,1,2023-2024,serie-a
lapo nava,Milan,2,0,0,0,2,0,,0,,0,0,0,0,0,2023-2024,serie-a
michel ndary adopo,Atalanta,14,58,29,4,99,2,100.0,0,0.0,151,3,1,6,2,2023-2024,serie-a
dan ndoye,Bologna,127,346,423,74,872,93,36.6,43,46.2,2713,56,30,57,26,2023-2024,serie-a
cyril ngonge,Hellas Verona,49,226,306,56,567,66,43.9,33,50.0,1197,29,19,53,19,2023-2024,serie-a
cyril ngonge,Napoli,14,74,113,16,198,16,50.0,7,43.8,482,9,6,11,3,2023-2024,serie-a
mbaye niang,Empoli,27,110,118,36,249,16,31.3,9,56.3,292,8,10,34,12,2023-2024,serie-a
hans nicolussi caviglia,Juventus,26,101,36,0,163,6,0.0,4,66.7,161,0,0,2,3,2023-2024,serie-a
joseph nonge,Juventus,3,2,6,0,11,2,50.0,0,0.0,28,1,0,0,0,2023-2024,serie-a
tijjani noslin,Hellas Verona,53,198,282,54,526,25,32.0,16,64.0,721,22,13,52,13,2023-2024,serie-a
simeon nwankwo,Salernitana,11,115,94,34,219,2,50.0,1,50.0,89,3,6,31,19,2023-2024,serie-a
