Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
jake obrien,Lyon,856,724,63,28,1631,9,77.8,1,11.1,3451,8,0,7,5,2023-2024,ligue-1
florent ogier,Clermont Foot,354,246,19,12,616,1,100.0,0,0.0,957,3,0,3,0,2023-2024,ligue-1
joseph okumu,Reims,765,755,34,15,1542,10,70.0,1,10.0,3561,16,1,13,5,2023-2024,ligue-1
warmed omari,Rennes,664,791,55,8,1499,8,75.0,2,25.0,4341,17,1,11,7,2023-2024,ligue-1
becir omeragic,Montpellier,614,616,69,19,1283,9,66.7,3,33.3,3032,13,2,9,3,2023-2024,ligue-1
jean onana,Marseille,122,355,61,2,534,6,33.3,3,50.0,1123,14,0,8,3,2023-2024,ligue-1
royce openda owaga,Lorient,1,3,1,1,5,2,50.0,1,50.0,16,0,0,1,0,2023-2024,ligue-1
christopher operi,Le Havre,589,763,527,15,1864,55,52.7,21,38.2,2139,49,2,30,23,2023-2024,ligue-1
gift orban,Lyon,12,70,80,25,159,13,38.5,7,53.8,194,4,8,21,7,2023-2024,ligue-1
kassoum ouattara,Monaco,94,174,180,21,440,19,42.1,9,47.4,736,17,8,19,11,2023-2024,ligue-1
alexandre oukidja,Metz,1105,7,0,0,1112,3,100.0,0,0.0,2557,0,0,0,0,2023-2024,ligue-1
azzedine ounahi,Marseille,142,519,302,23,959,27,29.6,18,66.7,1963,41,9,21,17,2023-2024,ligue-1
adam ounas,Lille,27,102,133,15,253,25,64.0,6,24.0,616,12,8,13,16,2023-2024,ligue-1
patrick ouotro,Strasbourg,1,1,1,0,3,0,,0,,18,0,0,0,0,2023-2024,ligue-1
pablo pagis,Lorient,15,45,29,2,89,2,50.0,1,50.0,105,2,0,5,1,2023-2024,ligue-1
nicolas pallois,Nantes,521,450,42,7,1005,12,75.0,3,25.0,1623,6,0,6,3,2023-2024,ligue-1
andy pelmard,Clermont Foot,844,1011,94,4,1928,10,70.0,2,20.0,4757,24,2,10,3,2023-2024,ligue-1
aurelien pelon,Lorient,31,12,1,0,44,1,100.0,0,0.0,30,0,0,0,0,2023-2024,ligue-1
faris pemi moumbagna,Marseille,6,75,88,37,168,7,14.3,6,85.7,165,4,4,19,7,2023-2024,ligue-1
danilo pereira,Paris S-G,827,1543,70,15,2430,5,60.0,2,40.0,6336,23,0,4,1,2023-2024,ligue-1
