Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
maximiliano caufriez,Valencia,17,6,0,0,23,0,,0,,3,0,0,0,0,2024-2025,laliga
dani ceballos,Real Madrid,267,940,277,9,1473,15,53.3,3,20.0,2951,30,2,11,7,2024-2025,laliga
franco cervi,Celta Vigo,37,78,45,1,160,2,50.0,1,50.0,173,2,0,3,2,2024-2025,laliga
raul chasco,Valladolid,36,32,7,0,74,2,0.0,2,100.0,54,0,0,3,1,2024-2025,laliga
pep chavarria,Rayo Vallecano,602,801,500,31,1884,32,31.3,18,56.3,2300,34,6,39,6,2024-2025,laliga
walid cheddira,Espanyol,21,99,86,33,203,20,20.0,14,70.0,219,6,8,25,9,2024-2025,laliga
chema,Real Madrid,1,1,1,0,3,0,,0,,0,0,0,1,0,2024-2025,laliga
julian chicco,Leganés,47,109,42,3,196,4,50.0,1,25.0,231,5,0,12,5,2024-2025,laliga
chiquinho,Mallorca,6,23,48,9,76,13,38.5,7,53.8,96,2,1,17,8,2024-2025,laliga
andreas christensen,Barcelona,75,160,12,1,246,0,,0,,362,3,0,1,0,2024-2025,laliga
jasper cillessen,Las Palmas,1066,13,0,0,1079,0,,0,,2050,0,0,4,0,2024-2025,laliga
pathe ciss,Rayo Vallecano,453,854,154,18,1449,23,60.9,8,34.8,1550,24,1,16,20,2024-2025,laliga
seydouba cisse,Leganés,273,869,287,28,1409,45,66.7,10,22.2,1797,34,3,32,33,2024-2025,laliga
silvi clua,Girona,32,72,16,3,116,4,50.0,2,50.0,217,3,1,1,0,2024-2025,laliga
eray comert,Valladolid,613,474,32,7,1114,4,100.0,0,0.0,1543,3,0,16,2,2024-2025,laliga
santi comesana,Villarreal,453,958,333,64,1734,34,52.9,14,41.2,2451,30,6,35,44,2024-2025,laliga
diego conde,Villarreal,691,5,0,0,696,0,,0,,1157,0,0,1,0,2024-2025,laliga
tomas conechny,Alavés,66,197,196,34,457,13,46.2,7,53.8,413,18,2,31,9,2024-2025,laliga
copete,Mallorca,512,446,31,12,987,5,80.0,0,0.0,1360,3,0,7,2,2024-2025,laliga
iker cordoba,Valencia,5,6,1,0,12,0,,0,,27,0,0,0,0,2024-2025,laliga
angel correa,Atlético Madrid,54,129,243,82,419,38,34.2,24,63.2,768,20,13,29,16,2024-2025,laliga
thierry correia,Valencia,177,215,170,12,555,23,34.8,12,52.2,785,9,6,17,0,2024-2025,laliga
coba da costa,Getafe,75,191,245,47,504,56,33.9,33,58.9,1076,23,25,26,23,2024-2025,laliga
logan costa,Villarreal,965,758,69,12,1785,2,0.0,2,100.0,2994,16,0,7,0,2024-2025,laliga
samu costa,Mallorca,446,1100,298,34,1834,33,39.4,16,48.5,1591,18,1,42,35,2024-2025,laliga
thibaut courtois,Real Madrid,1083,5,0,0,1088,1,0.0,1,100.0,1989,0,0,0,0,2024-2025,laliga
juan cruz armada,Osasuna,296,401,127,4,819,4,25.0,2,50.0,668,7,2,10,3,2024-2025,laliga
juan cruz,Leganés,176,381,413,41,951,78,51.3,32,41.0,1661,43,21,40,24,2024-2025,laliga
pau cubarsi,Barcelona,1045,1672,93,17,2805,8,75.0,2,25.0,4999,16,0,7,1,2024-2025,laliga
cucho,Betis,23,210,237,61,467,26,65.4,9,34.6,507,9,14,46,14,2024-2025,laliga
arnaut danjuma,Villarreal,1,13,34,8,48,4,0.0,4,100.0,98,3,2,3,0,2024-2025,laliga
arnaut danjuma,Girona,60,144,389,81,588,67,35.8,35,52.2,2010,42,38,33,11,2024-2025,laliga
sergi darder,Mallorca,173,887,518,29,1558,74,45.9,30,40.5,2211,58,7,36,30,2024-2025,laliga
rodrigo de paul,Atlético Madrid,308,1144,517,20,1950,35,40.0,15,42.9,4286,66,3,33,24,2024-2025,laliga
mouctar diakhaby,Valencia,271,143,29,19,440,4,50.0,2,50.0,486,6,0,5,2,2024-2025,laliga
assane diao,Betis,12,42,68,19,122,11,18.2,9,81.8,145,3,3,15,2,2024-2025,laliga
moussa diarra,Alavés,383,495,139,9,1012,14,50.0,5,35.7,1080,10,2,17,15,2024-2025,laliga
brahim diaz,Real Madrid,76,417,350,66,833,47,51.1,19,40.4,1223,16,12,44,27,2024-2025,laliga
daniel diaz,Real Sociedad,2,1,3,1,6,1,0.0,1,100.0,0,0,0,0,0,2024-2025,laliga
pedro diaz,Rayo Vallecano,116,337,265,19,706,34,58.8,13,38.2,1177,30,2,24,8,2024-2025,laliga
diego,Leganés,20,135,171,44,322,10,40.0,6,60.0,291,11,5,45,12,2024-2025,laliga
stole dimitrievski,Valencia,135,9,0,0,143,0,,0,,240,0,0,1,0,2024-2025,laliga
yan diomande,Leganés,49,108,161,42,309,38,60.5,14,36.8,966,16,20,26,16,2024-2025,laliga
alvaro djalo,Athletic Club,26,77,134,25,230,36,38.9,17,47.2,562,23,6,29,13,2024-2025,laliga
djene,Getafe,406,606,168,17,1164,17,41.2,7,41.2,1275,10,1,23,17,2024-2025,laliga
marko dmitrovic,Leganés,1132,13,0,0,1145,1,100.0,0,0.0,1877,0,0,1,0,2024-2025,laliga
marc domenech,Mallorca,11,26,49,13,84,2,50.0,1,50.0,62,2,0,11,3,2024-2025,laliga
carlos dominguez,Celta Vigo,488,609,25,7,1116,3,66.7,1,33.3,1981,12,0,5,0,2024-2025,laliga
israel dominguez,Sevilla,0,2,0,0,2,0,,0,,0,0,0,0,0,2024-2025,laliga
sergi dominguez,Barcelona,69,121,3,0,191,0,,0,,284,1,0,0,0,2024-2025,laliga
anastasios douvikas,Celta Vigo,18,84,94,32,192,13,30.8,7,53.8,150,7,4,23,19,2024-2025,laliga
domingos duarte,Getafe,454,412,22,9,878,0,,0,,626,2,0,2,2,2024-2025,laliga
duk,Leganés,12,29,56,9,95,19,52.6,8,42.1,207,4,5,12,5,2024-2025,laliga
pablo duran,Celta Vigo,68,257,265,64,584,42,28.6,28,66.7,643,14,13,42,20,2024-2025,laliga
hugo duro,Valencia,47,328,265,90,633,20,35.0,13,65.0,364,8,7,58,32,2024-2025,laliga
chidera ejuke,Sevilla,66,272,292,43,612,85,55.3,33,38.8,1898,35,26,35,22,2024-2025,laliga
aritz elustondo,Real Sociedad,462,581,53,12,1092,8,37.5,4,50.0,1854,6,1,14,6,2024-2025,laliga
adri embarba,Rayo Vallecano,104,333,433,44,847,56,35.7,30,53.6,1257,33,12,61,24,2024-2025,laliga
endrick,Real Madrid,7,41,80,23,127,11,36.4,6,54.5,308,5,10,10,3,2024-2025,laliga
alfonso espino,Rayo Vallecano,217,288,139,10,637,14,35.7,7,50.0,675,13,4,10,9,2024-2025,laliga
dario essugo,Las Palmas,362,732,148,10,1228,18,66.7,5,27.8,1382,21,2,35,21,2024-2025,laliga
etienne etoo,Rayo Vallecano,1,5,7,2,13,2,0.0,2,100.0,0,0,0,2,0,2024-2025,laliga
karl etta,Villarreal,1,2,6,1,9,0,,0,,0,0,0,4,0,2024-2025,laliga
edu exposito,Espanyol,105,308,230,26,630,28,53.6,13,46.4,954,20,4,29,18,2024-2025,laliga
abde ezzalzouli,Betis,120,407,585,151,1080,103,44.7,37,35.9,3025,75,58,64,50,2024-2025,laliga
ansu fati,Barcelona,8,59,105,22,170,11,45.5,5,45.5,234,7,4,10,4,2024-2025,laliga
nabil fekir,Betis,3,52,53,6,108,5,0.0,4,80.0,259,4,2,4,6,2024-2025,laliga
kiko femenia,Villarreal,630,812,280,9,1710,24,70.8,6,25.0,2602,30,0,22,10,2024-2025,laliga
aitor fernandez,Osasuna,50,0,0,0,50,0,,0,,105,0,0,0,0,2024-2025,laliga
alvaro fernandez,Sevilla,347,2,0,0,349,0,,0,,400,0,0,0,0,2024-2025,laliga
pelayo fernandez,Rayo Vallecano,26,14,0,0,39,0,,0,,38,0,0,0,1,2024-2025,laliga
roberto fernandez,Espanyol,70,222,151,37,436,27,40.7,16,59.3,283,10,3,55,16,2024-2025,laliga
valery fernandez,Mallorca,22,69,44,8,133,6,16.7,5,83.3,126,3,1,5,3,2024-2025,laliga
andre ferreira,Valladolid,215,1,0,0,216,0,,0,,280,0,0,0,0,2024-2025,laliga
mateo flores,Betis,27,47,11,1,84,0,,0,,55,0,0,3,3,2024-2025,laliga
pablo fornals,Betis,171,684,428,36,1272,28,28.6,20,71.4,1523,34,7,24,16,2024-2025,laliga
hector fort,Barcelona,111,300,166,17,573,9,22.2,7,77.8,679,15,2,4,4,2024-2025,laliga
dimitri foulquier,Valencia,451,770,319,26,1530,33,24.2,16,48.5,2372,33,7,30,16,2024-2025,laliga
juan foyth,Villarreal,631,460,111,21,1190,9,44.4,4,44.4,2328,14,0,11,2,2024-2025,laliga
fran,Real Madrid,22,0,0,0,22,0,,0,,23,0,0,0,0,2024-2025,laliga
alejandro frances,Girona,343,503,130,7,969,14,50.0,6,42.9,1469,9,1,8,1,2024-2025,laliga
enric franquesa,Leganés,89,157,68,6,306,21,42.9,7,33.3,337,10,2,21,2,2024-2025,laliga
jorge de frutos,Rayo Vallecano,165,328,544,107,1010,104,30.8,62,59.6,2074,50,28,81,38,2024-2025,laliga
dario fuentes,Sevilla,0,0,2,0,2,0,,0,,0,0,0,0,0,2024-2025,laliga
manuel fuster,Las Palmas,93,364,288,23,742,17,29.4,9,52.9,1016,15,3,20,16,2024-2025,laliga
javi galan,Atlético Madrid,406,529,344,16,1270,78,35.9,38,48.7,2315,34,6,22,15,2024-2025,laliga
inigo ruiz de galarreta,Athletic Club,153,618,222,8,978,23,69.6,5,21.7,1266,14,3,17,16,2024-2025,laliga
conor gallagher,Atlético Madrid,232,555,287,38,1062,42,40.5,18,42.9,1104,23,7,25,23,2024-2025,laliga
facundo garces,Alavés,122,137,21,13,280,0,,0,,187,0,0,2,0,2024-2025,laliga
alvaro garcia,Rayo Vallecano,204,357,611,127,1164,27,37.0,15,55.6,1484,28,25,61,16,2024-2025,laliga
eric garcia,Barcelona,369,927,225,25,1517,12,41.7,5,41.7,1877,12,1,17,5,2024-2025,laliga
fran garcia,Real Madrid,498,703,606,33,1792,23,34.8,15,65.2,2683,52,15,20,10,2024-2025,laliga
gonzalo garcia,Real Madrid,1,6,15,5,22,0,,0,,19,0,0,0,3,2024-2025,laliga
joan garcia,Espanyol,1341,7,1,1,1348,0,,0,,3182,0,0,2,0,2024-2025,laliga
pablo garcia,Betis,3,7,14,2,23,2,50.0,1,50.0,59,0,1,3,1,2024-2025,laliga
ruben garcia,Osasuna,205,649,629,64,1467,36,33.3,20,55.6,1382,46,13,39,21,2024-2025,laliga
unai garcia,Osasuna,25,16,2,1,43,0,,0,,41,0,0,1,0,2024-2025,laliga
yarek gasiorowski,Valencia,295,309,22,6,620,0,,0,,736,2,0,1,0,2024-2025,laliga
gavi,Barcelona,107,601,240,34,943,18,50.0,5,27.8,1128,16,1,19,9,2024-2025,laliga
paulo gazzaniga,Girona,1283,6,0,0,1289,4,75.0,1,25.0,2167,0,0,1,0,2024-2025,laliga
bryan gil,Girona,110,356,568,82,1019,104,39.4,52,50.0,2103,43,34,56,39,2024-2025,laliga
dani gomez,Valencia,12,49,78,22,137,10,30.0,7,70.0,103,4,2,11,8,2024-2025,laliga
moi gomez,Osasuna,92,337,146,7,571,26,53.8,11,42.3,524,10,1,10,8,2024-2025,laliga
sergi gomez,Espanyol,280,131,8,4,419,0,,0,,376,0,0,1,0,2024-2025,laliga
sergio gomez,Real Sociedad,292,746,708,52,1724,51,43.1,25,49.0,1912,46,6,45,16,2024-2025,laliga
unai gomez,Athletic Club,63,215,168,21,439,29,41.4,12,41.4,617,17,3,23,21,2024-2025,laliga
fabio gonzalez,Las Palmas,5,41,11,2,57,0,,0,,85,0,0,1,0,2024-2025,laliga
peter gonzalez,Getafe,29,68,119,16,211,15,20.0,10,66.7,187,5,4,17,15,2024-2025,laliga
urko gonzalez,Espanyol,205,334,83,11,610,17,35.3,10,58.8,1133,14,3,18,12,2024-2025,laliga
urko gonzalez,Real Sociedad,7,10,3,1,20,0,,0,,5,0,0,1,2,2024-2025,laliga
andoni gorosabel,Athletic Club,292,547,252,13,1084,14,50.0,7,50.0,691,18,3,18,14,2024-2025,laliga
