Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
jesus owono,Alavés,0,0,,0.0,0.0,,0.0,2024-2025,laliga
mikel oyarzabal,Real Sociedad,39,13,0.13,9.9,6.8,0.17,-0.9,2024-2025,laliga
cenk ozkacar,Valladolid,2,0,0.0,0.1,0.1,0.06,-0.1,2024-2025,laliga
jon pacheco,Real Sociedad,1,0,0.0,0.1,0.1,0.09,-0.1,2024-2025,laliga
alex padilla,Athletic Club,0,0,,0.0,0.0,,0.0,2024-2025,laliga
isaac palazon camacho,Rayo Vallecano,61,18,0.07,4.7,4.7,0.08,-0.7,2024-2025,laliga
aitor paredes,Athletic Club,6,3,0.5,2.3,2.3,0.38,0.7,2024-2025,laliga
daniel parejo,Villarreal,12,2,0.17,2.5,0.8,0.07,0.5,2024-2025,laliga
iago parente,Valladolid,0,0,,0.0,0.0,,0.0,2024-2025,laliga
alvaro pascual,Sevilla,11,4,0.09,1.1,1.1,0.1,-0.1,2024-2025,laliga
alfonso pedraza,Villarreal,5,2,0.0,0.5,0.5,0.09,-0.5,2024-2025,laliga
pedri,Barcelona,25,11,0.16,2.2,2.2,0.09,1.8,2024-2025,laliga
adria pedrosa,Sevilla,24,7,0.04,0.9,0.9,0.04,0.1,2024-2025,laliga
pejino,Las Palmas,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,laliga
andy pelmard,Las Palmas,1,0,0.0,0.0,0.0,0.01,0.0,2024-2025,laliga
inaki pena,Barcelona,0,0,,0.0,0.0,,0.0,2024-2025,laliga
ruben pena,Osasuna,10,3,0.0,0.7,0.7,0.07,-0.7,2024-2025,laliga
nicolas pepe,Villarreal,38,17,0.08,3.8,3.8,0.1,-0.8,2024-2025,laliga
peque,Sevilla,19,4,0.05,2.5,2.5,0.13,-1.5,2024-2025,laliga
ayoze perez,Villarreal,75,31,0.25,12.7,12.7,0.18,6.3,2024-2025,laliga
carles perez,Getafe,34,9,0.09,2.4,2.4,0.07,0.6,2024-2025,laliga
francisco perez,Valencia,6,1,0.0,0.3,0.3,0.05,-0.3,2024-2025,laliga
kike perez,Valladolid,20,4,0.1,2.1,2.1,0.11,-0.1,2024-2025,laliga
luis perez,Valladolid,5,2,0.0,0.2,0.2,0.03,-0.2,2024-2025,laliga
romain perraud,Betis,20,5,0.1,0.6,0.6,0.03,1.4,2024-2025,laliga
valentin pezzolesi,Las Palmas,0,0,,0.0,0.0,,0.0,2024-2025,laliga
pica,Alavés,4,1,0.0,0.3,0.3,0.08,-0.3,2024-2025,laliga
yeremi pino,Villarreal,29,8,0.14,3.9,3.9,0.13,0.1,2024-2025,laliga
portu,Girona,8,3,0.13,1.6,1.6,0.21,-0.6,2024-2025,laliga
benat prados,Athletic Club,16,5,0.06,1.0,1.0,0.06,0.0,2024-2025,laliga
abdon prats,Mallorca,13,4,0.08,2.2,1.5,0.11,-0.2,2024-2025,laliga
javi puado,Espanyol,66,19,0.11,11.6,7.7,0.12,0.4,2024-2025,laliga
dani raba,Leganés,39,12,0.1,7.5,3.6,0.09,0.5,2024-2025,laliga
arnau rafus,Valladolid,0,0,,0.0,0.0,,0.0,2024-2025,laliga
antonio raillo,Mallorca,35,8,0.06,2.0,2.0,0.06,0.0,2024-2025,laliga
benito ramirez,Las Palmas,10,1,0.0,0.3,0.3,0.03,-0.3,2024-2025,laliga
sandro ramirez,Las Palmas,51,20,0.16,4.1,3.3,0.06,4.9,2024-2025,laliga
jacobo ramon,Real Madrid,2,1,0.5,0.2,0.2,0.08,0.8,2024-2025,laliga
raphinha,Barcelona,112,40,0.14,19.2,17.6,0.16,-1.2,2024-2025,laliga
andrei ratiu,Rayo Vallecano,31,7,0.06,1.8,1.8,0.06,0.2,2024-2025,laliga
raul,Osasuna,25,12,0.16,3.5,3.5,0.14,0.5,2024-2025,laliga
abderrahman rebbach,Alavés,6,1,0.0,0.2,0.2,0.03,-0.2,2024-2025,laliga
alex remiro,Real Sociedad,0,0,,0.0,0.0,,0.0,2024-2025,laliga
daniel requena,Villarreal,0,0,,0.0,0.0,,0.0,2024-2025,laliga
diego rico,Getafe,16,3,0.0,0.4,0.4,0.02,-0.4,2024-2025,laliga
luis rioja,Alavés,0,0,,0.0,0.0,,0.0,2024-2025,laliga
luis rioja,Valencia,28,12,0.11,3.3,1.7,0.06,1.7,2024-2025,laliga
