Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
josh doig,Hellas Verona,18,6,0.11,1.8,1.8,0.1,0.2,2022-2023,serie-a
nicolas dominguez,Bologna,42,17,0.07,2.6,2.6,0.06,0.4,2022-2023,serie-a
giulio donati,Monza,2,1,0.5,0.4,0.4,0.2,0.6,2022-2023,serie-a
bartomiej dragowski,Spezia,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
ondrej duda,Hellas Verona,13,4,0.0,0.8,0.8,0.07,-0.8,2022-2023,serie-a
denzel dumfries,Inter,33,13,0.03,3.6,3.6,0.11,-2.6,2022-2023,serie-a
alfred duncan,Fiorentina,9,2,0.11,0.5,0.5,0.05,0.5,2022-2023,serie-a
paulo dybala,Roma,60,18,0.12,9.3,5.3,0.09,2.7,2022-2023,serie-a
edin dzeko,Inter,73,24,0.12,9.7,9.7,0.13,-0.7,2022-2023,serie-a
festy ebosele,Udinese,4,1,0.0,0.2,0.2,0.05,-0.2,2022-2023,serie-a
enzo ebosse,Udinese,3,0,0.0,0.1,0.1,0.03,-0.1,2022-2023,serie-a
tyronne ebuehi,Empoli,19,4,0.11,3.1,3.1,0.16,-1.1,2022-2023,serie-a
ederson,Atalanta,36,10,0.03,2.0,2.0,0.06,-1.0,2022-2023,serie-a
kingsley ehizibue,Udinese,13,6,0.15,2.0,2.0,0.16,0.0,2022-2023,serie-a
albin ekdal,Spezia,19,4,0.0,2.9,2.9,0.16,-2.9,2022-2023,serie-a
emmanuel ekong,Empoli,1,0,0.0,0.0,0.0,0.04,0.0,2022-2023,serie-a
mikael ellertsson,Spezia,2,0,0.0,0.1,0.1,0.07,-0.1,2022-2023,serie-a
elif elmas,Napoli,32,10,0.16,4.0,3.3,0.1,2.0,2022-2023,serie-a
martin erlic,Sassuolo,4,0,0.0,0.5,0.5,0.12,-0.5,2022-2023,serie-a
gonzalo escalante,Cremonese,6,1,0.0,0.2,0.2,0.03,-0.2,2022-2023,serie-a
salvatore esposito,Spezia,14,2,0.07,0.7,0.7,0.05,0.3,2022-2023,serie-a
nicolo fagioli,Juventus,13,8,0.23,1.5,1.5,0.12,1.5,2022-2023,serie-a
wladimiro falcone,Lecce,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
davide faraoni,Hellas Verona,20,5,0.1,2.7,2.7,0.14,-0.7,2022-2023,serie-a
federico fazio,Salernitana,11,2,0.09,0.7,0.7,0.06,0.3,2022-2023,serie-a
jacopo fazzini,Empoli,14,1,0.0,1.0,1.0,0.07,-1.0,2022-2023,serie-a
lewis ferguson,Bologna,43,18,0.16,4.7,4.7,0.11,2.3,2022-2023,serie-a
alex ferrari,Sampdoria,5,0,0.0,0.2,0.2,0.04,-0.2,2022-2023,serie-a
alex ferrari,Cremonese,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
salvador ferrer,Spezia,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
vincenzo fiorillo,Salernitana,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
alessandro florenzi,Milan,5,1,0.0,0.8,0.8,0.15,-0.8,2022-2023,serie-a
davide frattesi,Sassuolo,64,24,0.11,7.8,7.8,0.12,-0.8,2022-2023,serie-a
matteo gabbia,Milan,1,0,0.0,0.0,0.0,0.04,0.0,2022-2023,serie-a
manolo gabbiadini,Sampdoria,72,28,0.1,7.4,7.4,0.1,-0.4,2022-2023,serie-a
gianluca gaetano,Napoli,7,5,0.14,1.1,1.1,0.15,-0.1,2022-2023,serie-a
roberto gagliardini,Inter,16,2,0.0,0.9,0.9,0.05,-0.9,2022-2023,serie-a
adolfo gaich,Hellas Verona,24,8,0.08,2.5,2.5,0.1,-0.5,2022-2023,serie-a
pablo galdames millan,Cremonese,7,4,0.14,0.3,0.3,0.05,0.7,2022-2023,serie-a
antonino gallo,Lecce,10,2,0.0,0.6,0.6,0.06,-0.6,2022-2023,serie-a
federico gatti,Juventus,13,4,0.0,0.6,0.6,0.04,-0.6,2022-2023,serie-a
valentin gendrey,Lecce,10,0,0.0,0.6,0.6,0.06,-0.6,2022-2023,serie-a
paolo ghiglione,Cremonese,7,2,0.14,0.8,0.8,0.12,0.2,2022-2023,serie-a
mario gila,Lazio,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
gvidas gineitis,Torino,1,0,0.0,0.0,0.0,0.02,0.0,2022-2023,serie-a
olivier giroud,Milan,77,29,0.13,12.7,10.4,0.14,0.3,2022-2023,serie-a
pierluigi gollini,Fiorentina,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
pierluigi gollini,Napoli,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
joan gonzalez,Lecce,17,4,0.06,1.5,1.5,0.09,-0.5,2022-2023,serie-a
nicolas gonzalez,Fiorentina,58,17,0.07,6.7,5.4,0.09,-0.7,2022-2023,serie-a
robin gosens,Inter,26,5,0.12,3.0,3.0,0.11,0.0,2022-2023,serie-a
alberto grassi,Empoli,10,3,0.0,0.6,0.6,0.06,-0.6,2022-2023,serie-a
andrew gravillon,Torino,1,0,0.0,0.0,0.0,0.01,0.0,2022-2023,serie-a
axel guessand,Udinese,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
koray gunter,Hellas Verona,9,1,0.11,0.9,0.9,0.1,0.1,2022-2023,serie-a
koray gunter,Sampdoria,1,0,0.0,0.1,0.1,0.07,-0.1,2022-2023,serie-a
emmanuel gyasi,Spezia,34,13,0.06,4.0,4.0,0.12,-2.0,2022-2023,serie-a
norbert gyomber,Salernitana,8,0,0.0,0.7,0.7,0.09,-0.7,2022-2023,serie-a
christian gytkjr,Monza,12,5,0.08,3.9,3.1,0.26,-2.9,2022-2023,serie-a
nicolas haas,Empoli,8,3,0.13,1.2,1.2,0.15,-0.2,2022-2023,serie-a
samir handanovic,Inter,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
abdou harroui,Sassuolo,14,4,0.14,1.5,1.5,0.1,0.5,2022-2023,serie-a
hans hateboer,Atalanta,12,4,0.08,1.3,1.3,0.11,-0.3,2022-2023,serie-a
liam henderson,Empoli,12,5,0.0,0.5,0.5,0.04,-0.5,2022-2023,serie-a
jack hendry,Cremonese,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
matheus henrique,Sassuolo,25,12,0.16,2.9,2.9,0.11,1.1,2022-2023,serie-a
thomas henry,Hellas Verona,18,5,0.11,1.7,1.7,0.1,0.3,2022-2023,serie-a
theo hernandez,Milan,51,11,0.06,4.1,3.3,0.06,-0.1,2022-2023,serie-a
isak hien,Hellas Verona,3,0,0.0,0.3,0.3,0.09,-0.3,2022-2023,serie-a
morten hjulmand,Lecce,17,4,0.0,0.6,0.6,0.03,-0.6,2022-2023,serie-a
emil holm,Spezia,15,5,0.07,1.2,1.2,0.08,-0.2,2022-2023,serie-a
martin hongla,Hellas Verona,5,2,0.0,0.2,0.2,0.03,-0.2,2022-2023,serie-a
petko hristov,Spezia,1,0,0.0,0.1,0.1,0.08,-0.1,2022-2023,serie-a
ajdin hrustic,Hellas Verona,3,0,0.0,0.3,0.3,0.11,-0.3,2022-2023,serie-a
elseid hysaj,Lazio,4,2,0.25,0.2,0.2,0.04,0.8,2022-2023,serie-a
rasmus hjlund,Atalanta,54,28,0.17,9.5,9.5,0.18,-0.5,2022-2023,serie-a
roger ibanez,Roma,29,10,0.1,3.0,3.0,0.1,0.0,2022-2023,serie-a
zlatan ibrahimovic,Milan,5,2,0.0,1.2,0.4,0.08,-0.2,2022-2023,serie-a
antonio iervolino,Salernitana,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
igor,Fiorentina,7,0,0.0,0.5,0.5,0.08,-0.5,2022-2023,serie-a
jonathan ikone,Fiorentina,51,9,0.08,4.1,4.1,0.08,-0.1,2022-2023,serie-a
ivan ilic,Hellas Verona,9,2,0.0,0.4,0.4,0.04,-0.4,2022-2023,serie-a
ivan ilic,Torino,5,2,0.4,0.2,0.2,0.04,1.8,2022-2023,serie-a
samuel ilingjunior,Juventus,4,1,0.25,0.7,0.7,0.19,0.3,2022-2023,serie-a
emirhan ilkhan,Torino,2,0,0.0,0.0,0.0,0.02,0.0,2022-2023,serie-a
emirhan ilkhan,Sampdoria,1,0,0.0,0.0,0.0,0.03,0.0,2022-2023,serie-a
ciro immobile,Lazio,72,30,0.11,14.2,10.3,0.14,-2.2,2022-2023,serie-a
ardian ismajli,Empoli,9,2,0.0,0.7,0.7,0.08,-0.7,2022-2023,serie-a
mihailo ivanovic,Sampdoria,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
armando izzo,Monza,16,4,0.06,2.1,2.1,0.13,-1.1,2022-2023,serie-a
mato jajalo,Udinese,2,0,0.0,0.0,0.0,0.02,0.0,2022-2023,serie-a
jese,Sampdoria,3,2,0.33,0.3,0.3,0.1,0.7,2022-2023,serie-a
juan jesus,Napoli,5,1,0.2,0.2,0.2,0.04,0.8,2022-2023,serie-a
orir johann helgason,Lecce,2,0,0.0,0.1,0.1,0.03,-0.1,2022-2023,serie-a
luka jovic,Fiorentina,56,19,0.11,7.9,7.1,0.13,-1.9,2022-2023,serie-a
hamed junior traore,Sassuolo,8,4,0.0,1.0,1.0,0.12,-1.0,2022-2023,serie-a
yayah kallon,Hellas Verona,20,6,0.05,1.7,1.7,0.08,-0.7,2022-2023,serie-a
pierre kalulu,Milan,11,2,0.09,1.5,1.5,0.14,-0.5,2022-2023,serie-a
yann karamoh,Torino,20,12,0.2,3.3,3.3,0.16,0.7,2022-2023,serie-a
rick karsdorp,Roma,2,0,0.0,0.3,0.3,0.14,-0.3,2022-2023,serie-a
denso kasius,Bologna,4,0,0.0,0.1,0.1,0.03,-0.1,2022-2023,serie-a
grigoris kastanos,Salernitana,30,9,0.07,1.9,1.9,0.06,0.1,2022-2023,serie-a
moise kean,Juventus,38,14,0.16,6.3,6.3,0.16,-0.3,2022-2023,serie-a
jakub kiwior,Spezia,10,2,0.0,0.6,0.6,0.06,-0.6,2022-2023,serie-a
simon kjr,Milan,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
teun koopmeiners,Atalanta,55,23,0.15,7.6,4.3,0.08,2.4,2022-2023,serie-a
filip kostic,Juventus,37,11,0.08,2.4,2.4,0.06,0.6,2022-2023,serie-a
christian kouame,Fiorentina,42,13,0.1,5.3,5.3,0.13,-1.3,2022-2023,serie-a
viktor kovalenko,Spezia,11,1,0.0,1.6,1.6,0.15,-1.6,2022-2023,serie-a
julian kristoffersen,Salernitana,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
raimonds krollis,Spezia,2,1,0.0,0.1,0.1,0.05,-0.1,2022-2023,serie-a
rade krunic,Milan,14,2,0.0,1.1,1.1,0.08,-1.1,2022-2023,serie-a
marash kumbulla,Roma,1,0,0.0,0.0,0.0,0.02,0.0,2022-2023,serie-a
