Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
jamie leweling,Stuttgart,29,16,0.07,1.6,1.6,0.05,0.4,2024-2025,bundesliga
philipp lienhart,Freiburg,8,1,0.13,0.5,0.5,0.06,0.5,2024-2025,bundesliga
marin ljubicic,Union Berlin,2,1,0.5,0.4,0.4,0.22,0.6,2024-2025,bundesliga
anthony losilla,Bochum,5,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,bundesliga
yannik luhrs,Dortmund,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
castello lukeba,RB Leipzig,4,1,0.0,0.4,0.4,0.1,-0.4,2024-2025,bundesliga
senne lynen,Werder Bremen,24,3,0.0,1.1,1.1,0.05,-1.1,2024-2025,bundesliga
shuto machino,Holstein Kiel,49,21,0.18,6.5,4.9,0.1,4.5,2024-2025,bundesliga
arne maier,Augsburg,18,6,0.0,1.5,1.5,0.08,-1.5,2024-2025,bundesliga
patrick mainka,Heidenheim,25,8,0.04,1.9,1.9,0.08,-0.9,2024-2025,bundesliga
lovro majer,Wolfsburg,6,4,0.17,1.4,0.6,0.1,0.6,2024-2025,bundesliga
jordy makengo,Freiburg,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
jarzinho malanga,Stuttgart,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
julian malatini,Werder Bremen,3,1,0.33,0.2,0.2,0.08,0.8,2024-2025,bundesliga
donyell malen,Dortmund,19,6,0.16,2.9,2.9,0.15,0.1,2024-2025,bundesliga
lennard maloney,Heidenheim,3,0,0.0,0.3,0.3,0.11,-0.3,2024-2025,bundesliga
lennard maloney,Mainz 05,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
johan manzambi,Freiburg,11,3,0.18,1.3,1.3,0.12,0.7,2024-2025,bundesliga
omar marmoush,Eint Frankfurt,75,34,0.17,8.8,7.3,0.1,6.2,2024-2025,bundesliga
giorgos masouras,Bochum,30,15,0.07,3.9,3.9,0.13,-1.9,2024-2025,bundesliga
erhan masovic,Bochum,7,4,0.14,0.6,0.6,0.09,0.4,2024-2025,bundesliga
igor matanovic,Eint Frankfurt,12,4,0.08,1.1,1.1,0.1,-0.1,2024-2025,bundesliga
chrislain matsima,Augsburg,14,2,0.07,1.8,1.8,0.13,-0.8,2024-2025,bundesliga
jean matteo bahoya,Eint Frankfurt,10,3,0.2,1.9,1.9,0.19,0.1,2024-2025,bundesliga
maurides,St. Pauli,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
keke maximilian topp,Werder Bremen,7,4,0.29,1.0,1.0,0.14,1.0,2024-2025,bundesliga
jakov medic,Bochum,14,3,0.07,0.9,0.9,0.06,0.1,2024-2025,bundesliga
connor metcalfe,St. Pauli,6,3,0.0,0.7,0.7,0.12,-0.7,2024-2025,bundesliga
karol mets,St. Pauli,3,0,0.0,0.1,0.1,0.04,-0.1,2024-2025,bundesliga
alexander meyer,Dortmund,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
florian micheler,Hoffenheim,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
enzo millot,Stuttgart,43,17,0.14,7.6,6.7,0.16,-1.6,2024-2025,bundesliga
kim minjae,Bayern Munich,7,5,0.29,1.6,1.6,0.23,0.4,2024-2025,bundesliga
maximilian mittelstadt,Stuttgart,21,4,0.05,0.9,0.9,0.04,0.1,2024-2025,bundesliga
koji miyoshi,Bochum,12,5,0.08,1.1,1.1,0.09,-0.1,2024-2025,bundesliga
max moerstedt,Hoffenheim,12,4,0.0,0.8,0.8,0.06,-0.8,2024-2025,bundesliga
david mokwa,Hoffenheim,2,2,0.0,0.3,0.3,0.15,-0.3,2024-2025,bundesliga
steve mounie,Augsburg,22,7,0.05,3.2,3.2,0.15,-2.2,2024-2025,bundesliga
nordi mukiele,Leverkusen,7,3,0.14,1.4,1.4,0.2,-0.4,2024-2025,bundesliga
florian muller,Freiburg,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
kevin muller,Heidenheim,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
marius muller,Wolfsburg,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
thomas muller,Bayern Munich,30,11,0.03,3.8,3.8,0.13,-2.8,2024-2025,bundesliga
jamal musiala,Bayern Munich,68,31,0.18,9.3,9.3,0.14,2.7,2024-2025,bundesliga
florent muslija,Freiburg,3,2,0.0,0.3,0.3,0.09,-0.3,2024-2025,bundesliga
phillipp mwene,Mainz 05,21,4,0.05,1.5,1.5,0.07,-0.5,2024-2025,bundesliga
joakim mhle,Wolfsburg,18,7,0.17,2.0,2.0,0.11,1.0,2024-2025,bundesliga
nathan ngoumou,Gladbach,24,13,0.08,1.9,1.9,0.08,0.1,2024-2025,bundesliga
stanley nsoki,Hoffenheim,3,1,0.0,0.1,0.1,0.03,-0.1,2024-2025,bundesliga
nikolas nartey,Stuttgart,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
paul nebel,Mainz 05,44,18,0.23,5.8,5.8,0.13,4.2,2024-2025,bundesliga
kosta nedeljkovic,RB Leipzig,4,0,0.0,0.5,0.5,0.13,-0.5,2024-2025,bundesliga
ivan nekic,Holstein Kiel,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
david nemeth,St. Pauli,5,1,0.0,0.2,0.2,0.04,-0.2,2024-2025,bundesliga
luca netz,Gladbach,3,0,0.0,0.2,0.2,0.07,-0.2,2024-2025,bundesliga
manuel neuer,Bayern Munich,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
florian neuhaus,Gladbach,9,3,0.0,0.6,0.6,0.07,-0.6,2024-2025,bundesliga
moritz nicolas,Gladbach,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
julian niehues,Heidenheim,2,1,0.0,0.2,0.2,0.12,-0.2,2024-2025,bundesliga
justin njinmah,Werder Bremen,31,8,0.1,3.7,3.7,0.12,-0.7,2024-2025,bundesliga
niels nkounkou,Eint Frankfurt,4,0,0.0,0.2,0.2,0.04,-0.2,2024-2025,bundesliga
felix nmecha,Dortmund,18,6,0.22,1.3,1.3,0.07,2.7,2024-2025,bundesliga
lukas nmecha,Wolfsburg,20,9,0.15,4.5,4.5,0.23,-1.5,2024-2025,bundesliga
arnaud nordin,Mainz 05,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,bundesliga
alexander nubel,Stuttgart,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
antonio nusa,RB Leipzig,24,7,0.13,1.6,1.6,0.07,1.4,2024-2025,bundesliga
david odogu,Wolfsburg,2,0,0.0,0.2,0.2,0.11,-0.2,2024-2025,bundesliga
tim oermann,Bochum,9,0,0.0,0.2,0.2,0.02,-0.2,2024-2025,bundesliga
ifechukwu ogbus,Freiburg,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
finn ole becker,Hoffenheim,4,2,0.0,0.1,0.1,0.03,-0.1,2024-2025,bundesliga
michael olise,Bayern Munich,86,36,0.14,9.7,9.7,0.11,2.3,2024-2025,bundesliga
jonas omlin,Gladbach,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
karim onisiwo,Mainz 05,3,0,0.0,0.1,0.1,0.02,-0.1,2024-2025,bundesliga
frank onyeka,Augsburg,24,6,0.0,1.4,1.4,0.06,-1.4,2024-2025,bundesliga
lois openda,RB Leipzig,77,31,0.12,9.0,8.2,0.11,0.0,2024-2025,bundesliga
gift orban,Hoffenheim,11,4,0.36,3.4,3.4,0.31,0.6,2024-2025,bundesliga
willi orban,RB Leipzig,22,7,0.23,4.0,4.0,0.18,1.0,2024-2025,bundesliga
ivan ordets,Bochum,11,0,0.0,0.7,0.7,0.07,-0.7,2024-2025,bundesliga
patrick osterhage,Freiburg,21,3,0.05,1.7,1.7,0.08,-0.7,2024-2025,bundesliga
assan ouedraogo,RB Leipzig,1,0,0.0,0.1,0.1,0.06,-0.1,2024-2025,bundesliga
salih ozcan,Wolfsburg,2,0,0.0,0.1,0.1,0.06,-0.1,2024-2025,bundesliga
salih ozcan,Dortmund,4,0,0.0,0.3,0.3,0.08,-0.3,2024-2025,bundesliga
exequiel palacios,Leverkusen,13,8,0.08,1.5,1.5,0.12,-0.5,2024-2025,bundesliga
joao palhinha,Bayern Munich,10,3,0.0,0.7,0.7,0.07,-0.7,2024-2025,bundesliga
mats pannewig,Bochum,9,3,0.0,0.8,0.8,0.09,-0.8,2024-2025,bundesliga
kevin paredes,Wolfsburg,4,0,0.0,0.4,0.4,0.09,-0.4,2024-2025,bundesliga
felix passlack,Bochum,26,6,0.04,1.3,1.3,0.05,-0.3,2024-2025,bundesliga
aleksandar pavlovic,Bayern Munich,9,4,0.11,0.6,0.6,0.06,0.4,2024-2025,bundesliga
mads pedersen,Augsburg,2,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,bundesliga
