Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
patson daka,Leicester City,6,9,4,38.9,7,10,1,7,1,6,12,0,2024-2025,premier-league
diogo dalot,Manchester Utd,40,22,6,65.4,34,40,37,22,9,13,72,0,2024-2025,premier-league
mikkel damsgaard,Brentford,27,29,27,38.3,31,44,27,40,3,37,31,2,2024-2025,premier-league
danilo,Nott'ham Forest,7,1,0,50.0,3,4,4,2,1,1,3,0,2024-2025,premier-league
jayden danns,Liverpool,0,0,0,0.0,0,0,0,0,0,0,0,0,2024-2025,premier-league
kevin danso,Tottenham,4,3,0,54.5,6,5,6,15,14,1,71,1,2024-2025,premier-league
ben davies,Tottenham,8,8,1,52.9,9,11,12,28,19,9,81,1,2024-2025,premier-league
leif davis,Ipswich Town,33,9,4,62.5,30,27,25,25,8,17,77,3,2024-2025,premier-league
craig dawson,Wolves,8,6,1,80.0,12,3,9,16,11,5,52,1,2024-2025,premier-league
kevin de bruyne,Manchester City,7,5,5,21.7,5,9,7,8,0,8,10,1,2024-2025,premier-league
bobby de cordovareid,Leicester City,3,6,0,28.6,4,4,0,6,1,5,10,0,2024-2025,premier-league
liam delap,Ipswich Town,3,3,5,13.3,2,8,2,8,0,8,28,0,2024-2025,premier-league
sepp van den berg,Brentford,25,10,4,65.5,19,24,21,52,38,14,134,3,2024-2025,premier-league
justin devenny,Crystal Palace,7,9,1,42.1,8,12,0,6,1,5,11,0,2024-2025,premier-league
kiernan dewsburyhall,Chelsea,1,1,6,66.7,4,5,2,2,0,2,9,1,2024-2025,premier-league
amad diallo,Manchester Utd,9,20,9,59.4,19,31,11,15,2,13,19,1,2024-2025,premier-league
ruben dias,Manchester City,7,9,1,53.8,7,11,20,23,20,3,71,4,2024-2025,premier-league
luis diaz,Liverpool,13,20,6,38.5,15,26,7,19,0,19,7,1,2024-2025,premier-league
tyler dibling,Southampton,13,18,3,61.5,16,20,8,19,5,14,16,1,2024-2025,premier-league
lucas digne,Aston Villa,40,16,9,66.7,44,38,25,23,4,19,89,1,2024-2025,premier-league
issa diop,Fulham,18,8,0,72.2,13,12,9,10,7,3,72,2,2024-2025,premier-league
axel disasi,Aston Villa,7,1,0,42.9,3,5,5,4,1,3,18,0,2024-2025,premier-league
axel disasi,Chelsea,5,1,1,54.5,6,4,2,4,1,3,11,1,2024-2025,premier-league
roman dixon,Everton,3,2,0,100.0,4,5,1,1,0,1,3,0,2024-2025,premier-league
nasser djiga,Wolves,0,0,0,0.0,0,0,2,0,0,0,4,1,2024-2025,premier-league
matt doherty,Wolves,25,13,0,68.0,17,21,22,28,15,13,102,3,2024-2025,premier-league
jeremy doku,Manchester City,9,12,10,53.3,8,22,4,11,1,10,2,0,2024-2025,premier-league
nicolas dominguez,Nott'ham Forest,40,35,11,47.4,36,45,29,38,12,26,54,1,2024-2025,premier-league
patrick dorgu,Manchester Utd,15,14,2,69.6,16,24,4,11,0,11,23,2,2024-2025,premier-league
alfie dorrington,Tottenham,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,premier-league
abdoulaye doucoure,Everton,21,20,7,32.6,14,28,10,31,6,25,20,1,2024-2025,premier-league
cheick doucoure,Crystal Palace,6,8,2,45.5,5,8,11,4,0,4,10,1,2024-2025,premier-league
flynn downes,Southampton,23,21,5,41.7,15,25,32,28,9,19,51,4,2024-2025,premier-league
tommy doyle,Wolves,6,3,2,40.0,6,6,5,11,5,6,11,1,2024-2025,premier-league
radu dragusin,Tottenham,8,2,0,50.0,6,6,15,22,16,6,49,4,2024-2025,premier-league
martin dubravka,Newcastle Utd,0,0,0,,0,0,0,0,0,0,3,0,2024-2025,premier-league
lewis dunk,Brighton,8,7,2,57.9,11,10,13,28,18,10,79,2,2024-2025,premier-league
jader duran,Aston Villa,1,2,5,25.0,1,7,0,5,0,5,13,0,2024-2025,premier-league
claudio echeverri,Manchester City,0,1,0,100.0,1,0,0,0,0,0,0,0,2024-2025,premier-league
ederson,Manchester City,0,0,0,0.0,0,0,1,0,0,0,11,4,2024-2025,premier-league
george edmundson,Ipswich Town,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,premier-league
odsonne edouard,Crystal Palace,0,1,0,0.0,0,0,0,1,0,1,1,0,2024-2025,premier-league
odsonne edouard,Leicester City,1,0,0,,0,1,0,0,0,0,1,0,2024-2025,premier-league
samuel edozie,Southampton,0,1,2,100.0,2,1,0,0,0,0,0,0,2024-2025,premier-league
ronnie edwards,Southampton,0,0,0,,0,0,0,1,1,0,0,0,2024-2025,premier-league
anthony elanga,Nott'ham Forest,8,8,3,29.4,5,14,6,11,1,10,25,0,2024-2025,premier-league
harvey elliott,Liverpool,3,1,1,25.0,2,3,1,7,2,5,3,1,2024-2025,premier-league
yunus emre konak,Brentford,0,4,0,50.0,1,4,0,2,0,2,0,0,2024-2025,premier-league
julio enciso,Ipswich Town,3,6,3,36.4,4,9,1,8,1,7,6,0,2024-2025,premier-league
julio enciso,Brighton,0,0,0,0.0,0,0,0,2,0,2,1,0,2024-2025,premier-league
wataru endo,Liverpool,7,5,0,60.0,6,8,6,8,1,7,9,0,2024-2025,premier-league
christian eriksen,Manchester Utd,4,12,3,40.7,11,9,7,15,5,10,8,0,2024-2025,premier-league
romain esse,Crystal Palace,4,3,2,100.0,5,6,1,2,0,2,2,0,2024-2025,premier-league
pervis estupinan,Brighton,33,25,7,66.7,34,43,37,20,5,15,65,2,2024-2025,premier-league
evanilson,Bournemouth,6,5,5,66.7,8,10,1,11,2,9,21,0,2024-2025,premier-league
jake evans,Leicester City,0,0,1,0.0,0,1,0,0,0,0,1,0,2024-2025,premier-league
jonny evans,Manchester Utd,4,4,0,50.0,3,6,5,3,2,1,15,0,2024-2025,premier-league
eberechi eze,Crystal Palace,14,16,9,47.2,17,22,11,27,0,27,10,3,2024-2025,premier-league
ukasz fabianski,West Ham,0,0,0,0.0,0,0,0,0,0,0,5,1,2024-2025,premier-league
wout faes,Leicester City,26,14,2,52.1,25,26,26,48,35,13,185,4,2024-2025,premier-league
abdul fatawu issahaku,Leicester City,13,2,6,57.9,11,15,4,7,0,7,12,0,2024-2025,premier-league
joao felix,Chelsea,2,5,1,55.6,5,3,3,2,0,2,2,0,2024-2025,premier-league
evan ferguson,West Ham,0,1,2,,0,1,1,2,1,1,1,0,2024-2025,premier-league
evan ferguson,Brighton,0,3,1,40.0,2,3,0,3,1,2,4,0,2024-2025,premier-league
bruno fernandes,Manchester Utd,27,38,19,40.0,34,50,26,35,6,29,35,3,2024-2025,premier-league
mateus fernandes,Southampton,45,28,16,45.8,33,48,28,43,8,35,35,7,2024-2025,premier-league
enzo fernandez,Chelsea,17,30,18,36.9,31,33,13,43,7,36,23,4,2024-2025,premier-league
mark flekken,Brentford,4,0,0,33.3,3,4,0,2,0,2,26,4,2024-2025,premier-league
phil foden,Manchester City,5,4,4,38.9,7,5,9,13,1,12,7,1,2024-2025,premier-league
wesley fofana,Chelsea,6,7,0,42.9,6,12,14,14,9,5,55,2,2024-2025,premier-league
carlos forbs,Wolves,5,2,1,66.7,4,5,1,3,0,3,2,1,2024-2025,premier-league
fraser forster,Tottenham,0,0,0,0.0,0,0,0,0,0,0,7,3,2024-2025,premier-league
matheus franca,Crystal Palace,0,2,0,,0,0,1,1,1,0,1,0,2024-2025,premier-league
ryan fraser,Southampton,2,4,0,66.7,4,2,1,1,1,0,9,0,2024-2025,premier-league
tyler fredricson,Manchester Utd,3,2,0,50.0,1,3,1,2,0,2,11,0,2024-2025,premier-league
niclas fullkrug,West Ham,0,1,3,75.0,3,3,1,1,0,1,16,0,2024-2025,premier-league
cody gakpo,Liverpool,6,13,9,52.0,13,16,12,23,3,20,19,1,2024-2025,premier-league
idrissa gana gueye,Everton,61,55,17,58.6,58,80,48,48,9,39,36,1,2024-2025,premier-league
andres garcia,Aston Villa,5,3,1,50.0,4,5,2,2,0,2,10,2,2024-2025,premier-league
alejandro garnacho,Manchester Utd,11,6,13,32.4,12,18,13,19,0,19,11,2,2024-2025,premier-league
james garner,Everton,25,20,2,58.5,24,31,23,20,4,16,37,0,2024-2025,premier-league
tyrique george,Chelsea,2,0,0,66.7,2,0,2,1,0,1,1,0,2024-2025,premier-league
morgan gibbswhite,Nott'ham Forest,14,23,6,51.5,17,22,23,18,5,13,29,1,2024-2025,premier-league
billy gilmour,Brighton,2,1,0,75.0,3,3,0,1,0,1,1,0,2024-2025,premier-league
ben godfrey,Ipswich Town,1,0,0,100.0,1,0,2,1,1,0,3,0,2024-2025,premier-league
martial godo,Fulham,0,0,0,,0,0,1,1,0,1,0,0,2024-2025,premier-league
michael golding,Leicester City,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,premier-league
joao gomes,Wolves,55,53,8,43.6,48,71,25,42,4,38,33,0,2024-2025,premier-league
rodrigo gomes,Wolves,14,9,0,57.1,12,15,7,8,1,7,20,1,2024-2025,premier-league
toti gomes,Wolves,42,15,4,80.4,37,43,25,29,17,12,152,5,2024-2025,premier-league
diego gomez,Brighton,11,8,2,54.5,12,13,8,13,0,13,10,1,2024-2025,premier-league
joe gomez,Liverpool,5,7,1,68.8,11,10,7,9,6,3,20,2,2024-2025,premier-league
nicolas gonzalez,Manchester City,5,7,4,54.5,6,6,8,9,0,9,21,0,2024-2025,premier-league
anthony gordon,Newcastle Utd,9,18,5,32.4,12,18,7,25,2,23,9,3,2024-2025,premier-league
ryan gravenberch,Liverpool,27,29,13,57.1,32,35,60,35,10,25,59,2,2024-2025,premier-league
archie gray,Tottenham,4,8,4,41.2,7,8,19,22,11,11,50,2,2024-2025,premier-league
jack grealish,Manchester City,4,2,3,40.0,2,5,2,12,2,10,6,1,2024-2025,premier-league
jacob greaves,Ipswich Town,20,17,3,62.9,22,21,21,41,26,15,148,3,2024-2025,premier-league
brajan gruda,Brighton,6,6,4,50.0,7,8,2,8,0,8,5,1,2024-2025,premier-league
albert grnbaek,Southampton,1,1,2,30.0,3,1,0,1,1,0,1,0,2024-2025,premier-league
goncalo guedes,Wolves,2,6,8,25.0,4,5,5,11,0,11,4,0,2024-2025,premier-league
marc guehi,Crystal Palace,36,23,2,66.0,31,34,28,55,23,32,163,2,2024-2025,premier-league
luis guilherme,West Ham,1,0,0,0.0,0,0,3,7,0,7,2,0,2024-2025,premier-league
bruno guimaraes,Newcastle Utd,41,30,12,47.8,33,47,29,36,10,26,44,5,2024-2025,premier-league
marc guiu,Chelsea,0,1,0,100.0,1,1,0,0,0,0,0,0,2024-2025,premier-league
ilkay gundogan,Manchester City,5,15,5,41.7,10,13,13,15,0,15,23,0,2024-2025,premier-league
