Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
diego conde,Villarreal,0,0,0,30,100.0,2024-2025,laliga
tomas conechny,Alavés,28,5,31,45,53.5,2024-2025,laliga
copete,Mallorca,27,0,7,46,62.8,2024-2025,laliga
iker cordoba,Valencia,0,0,1,1,100.0,2024-2025,laliga
angel correa,Atlético Madrid,18,4,24,40,11.1,2024-2025,laliga
thierry correia,Valencia,15,0,18,38,33.3,2024-2025,laliga
coba da costa,Getafe,10,0,41,35,50.0,2024-2025,laliga
logan costa,Villarreal,19,2,5,104,55.4,2024-2025,laliga
samu costa,Mallorca,62,2,20,129,63.0,2024-2025,laliga
thibaut courtois,Real Madrid,0,0,0,45,100.0,2024-2025,laliga
juan cruz armada,Osasuna,16,2,11,46,47.4,2024-2025,laliga
juan cruz,Leganés,14,7,92,109,44.1,2024-2025,laliga
pau cubarsi,Barcelona,24,0,2,102,58.5,2024-2025,laliga
cucho,Betis,10,5,12,28,45.3,2024-2025,laliga
arnaut danjuma,Villarreal,1,3,0,2,100.0,2024-2025,laliga
arnaut danjuma,Girona,16,14,76,40,25.0,2024-2025,laliga
sergi darder,Mallorca,21,3,163,122,56.5,2024-2025,laliga
rodrigo de paul,Atlético Madrid,19,0,59,128,36.4,2024-2025,laliga
mouctar diakhaby,Valencia,2,0,1,23,78.3,2024-2025,laliga
assane diao,Betis,4,2,4,12,57.1,2024-2025,laliga
moussa diarra,Alavés,28,1,23,76,51.7,2024-2025,laliga
brahim diaz,Real Madrid,14,1,8,54,17.6,2024-2025,laliga
daniel diaz,Real Sociedad,1,0,0,0,100.0,2024-2025,laliga
pedro diaz,Rayo Vallecano,7,0,42,80,38.5,2024-2025,laliga
diego,Leganés,22,7,5,25,34.1,2024-2025,laliga
stole dimitrievski,Valencia,0,0,0,7,,2024-2025,laliga
yan diomande,Leganés,8,2,12,41,20.0,2024-2025,laliga
alvaro djalo,Athletic Club,19,5,14,28,34.5,2024-2025,laliga
djene,Getafe,40,1,32,102,58.9,2024-2025,laliga
marko dmitrovic,Leganés,1,0,0,37,100.0,2024-2025,laliga
marc domenech,Mallorca,5,0,4,8,53.3,2024-2025,laliga
carlos dominguez,Celta Vigo,8,0,0,45,65.1,2024-2025,laliga
israel dominguez,Sevilla,0,1,0,0,0.0,2024-2025,laliga
sergi dominguez,Barcelona,2,0,0,8,25.0,2024-2025,laliga
anastasios douvikas,Celta Vigo,10,9,1,15,37.8,2024-2025,laliga
domingos duarte,Getafe,24,0,0,63,60.9,2024-2025,laliga
duk,Leganés,5,0,8,11,28.6,2024-2025,laliga
pablo duran,Celta Vigo,32,7,18,46,28.9,2024-2025,laliga
hugo duro,Valencia,38,7,7,46,36.9,2024-2025,laliga
chidera ejuke,Sevilla,6,4,22,63,30.8,2024-2025,laliga
aritz elustondo,Real Sociedad,25,1,4,53,53.7,2024-2025,laliga
adri embarba,Rayo Vallecano,25,14,114,67,28.3,2024-2025,laliga
endrick,Real Madrid,10,2,2,7,60.0,2024-2025,laliga
alfonso espino,Rayo Vallecano,18,0,24,55,56.0,2024-2025,laliga
dario essugo,Las Palmas,37,0,1,118,48.4,2024-2025,laliga
etienne etoo,Rayo Vallecano,0,1,0,0,75.0,2024-2025,laliga
karl etta,Villarreal,0,0,0,0,100.0,2024-2025,laliga
edu exposito,Espanyol,14,2,66,63,50.0,2024-2025,laliga
abde ezzalzouli,Betis,23,4,49,102,41.3,2024-2025,laliga
ansu fati,Barcelona,2,2,0,7,22.2,2024-2025,laliga
nabil fekir,Betis,3,0,10,3,0.0,2024-2025,laliga
kiko femenia,Villarreal,21,1,47,102,29.4,2024-2025,laliga
aitor fernandez,Osasuna,0,0,0,2,,2024-2025,laliga
alvaro fernandez,Sevilla,0,0,0,11,100.0,2024-2025,laliga
pelayo fernandez,Rayo Vallecano,2,0,0,4,50.0,2024-2025,laliga
roberto fernandez,Espanyol,28,9,2,33,38.6,2024-2025,laliga
valery fernandez,Mallorca,3,1,3,19,20.0,2024-2025,laliga
andre ferreira,Valladolid,0,0,0,6,0.0,2024-2025,laliga
mateo flores,Betis,4,0,1,12,0.0,2024-2025,laliga
pablo fornals,Betis,12,3,54,114,46.2,2024-2025,laliga
hector fort,Barcelona,8,0,12,32,30.0,2024-2025,laliga
dimitri foulquier,Valencia,24,1,57,97,39.4,2024-2025,laliga
juan foyth,Villarreal,16,0,4,61,59.4,2024-2025,laliga
fran,Real Madrid,0,0,0,1,,2024-2025,laliga
alejandro frances,Girona,20,1,25,37,31.6,2024-2025,laliga
enric franquesa,Leganés,8,0,16,29,50.0,2024-2025,laliga
jorge de frutos,Rayo Vallecano,41,9,69,111,38.5,2024-2025,laliga
dario fuentes,Sevilla,0,0,0,0,,2024-2025,laliga
manuel fuster,Las Palmas,12,1,67,63,18.8,2024-2025,laliga
javi galan,Atlético Madrid,38,4,57,71,50.0,2024-2025,laliga
inigo ruiz de galarreta,Athletic Club,43,1,29,120,40.0,2024-2025,laliga
conor gallagher,Atlético Madrid,32,1,13,107,30.0,2024-2025,laliga
facundo garces,Alavés,7,0,1,14,48.1,2024-2025,laliga
alvaro garcia,Rayo Vallecano,18,16,109,94,33.3,2024-2025,laliga
eric garcia,Barcelona,20,0,7,54,51.9,2024-2025,laliga
fran garcia,Real Madrid,13,4,66,106,44.7,2024-2025,laliga
gonzalo garcia,Real Madrid,0,0,0,1,100.0,2024-2025,laliga
joan garcia,Espanyol,0,0,0,35,95.5,2024-2025,laliga
pablo garcia,Betis,0,1,2,3,,2024-2025,laliga
ruben garcia,Osasuna,36,10,136,122,43.1,2024-2025,laliga
unai garcia,Osasuna,3,0,0,2,16.7,2024-2025,laliga
yarek gasiorowski,Valencia,5,0,3,40,64.9,2024-2025,laliga
gavi,Barcelona,38,1,9,61,44.7,2024-2025,laliga
paulo gazzaniga,Girona,1,0,0,47,33.3,2024-2025,laliga
bryan gil,Girona,22,4,78,78,0.0,2024-2025,laliga
dani gomez,Valencia,7,10,0,14,22.6,2024-2025,laliga
moi gomez,Osasuna,14,1,28,66,36.8,2024-2025,laliga
sergi gomez,Espanyol,6,0,1,15,33.3,2024-2025,laliga
sergio gomez,Real Sociedad,29,9,231,146,47.6,2024-2025,laliga
unai gomez,Athletic Club,12,0,23,42,48.3,2024-2025,laliga
fabio gonzalez,Las Palmas,1,0,1,3,100.0,2024-2025,laliga
peter gonzalez,Getafe,9,2,14,20,43.5,2024-2025,laliga
urko gonzalez,Espanyol,15,1,3,71,57.1,2024-2025,laliga
urko gonzalez,Real Sociedad,1,0,1,0,0.0,2024-2025,laliga
andoni gorosabel,Athletic Club,24,1,41,56,41.7,2024-2025,laliga
jose gragera,Espanyol,18,0,0,18,68.8,2024-2025,laliga
dominik greif,Mallorca,0,0,0,42,77.8,2024-2025,laliga
antoine griezmann,Atlético Madrid,11,14,138,93,47.7,2024-2025,laliga
florian grillitsch,Valladolid,6,0,6,42,55.6,2024-2025,laliga
vicente guaita,Celta Vigo,0,0,0,75,100.0,2024-2025,laliga
sergi guardiola,Rayo Vallecano,9,2,4,7,33.3,2024-2025,laliga
nemanja gudelj,Sevilla,26,0,31,74,63.9,2024-2025,laliga
javier guerra,Valencia,34,1,45,168,48.6,2024-2025,laliga
ander guevara,Alavés,39,0,5,120,43.5,2024-2025,laliga
pape gueye,Villarreal,31,4,20,126,57.4,2024-2025,laliga
hugo guillamon,Valencia,6,1,1,21,55.6,2024-2025,laliga
carlos guirao,Betis,4,0,0,6,66.7,2024-2025,laliga
arda guler,Real Madrid,15,4,57,56,38.9,2024-2025,laliga
gerard gumbau,Rayo Vallecano,21,2,38,27,43.6,2024-2025,laliga
jon guridi,Alavés,35,5,17,86,41.6,2024-2025,laliga
gorka guruzeta,Athletic Club,40,7,5,61,34.3,2024-2025,laliga
miguel gutierrez,Girona,29,6,153,144,20.0,2024-2025,laliga
munir el haddadi,Leganés,14,7,13,33,29.4,2024-2025,laliga
sebastien haller,Leganés,4,7,0,10,60.5,2024-2025,laliga
henrique,Valladolid,5,0,3,9,33.3,2024-2025,laliga
javi hernandez,Leganés,49,5,52,112,47.7,2024-2025,laliga
aridane hernandez,Rayo Vallecano,5,0,0,48,67.8,2024-2025,laliga
jorge herrando,Osasuna,25,0,2,36,72.5,2024-2025,laliga
ander herrera,Athletic Club,6,0,1,14,60.0,2024-2025,laliga
sergio herrera,Osasuna,1,0,0,33,83.3,2024-2025,laliga
yangel herrera,Girona,72,5,44,106,52.6,2024-2025,laliga
juan herzog,Las Palmas,6,0,0,41,63.8,2024-2025,laliga
omar el hilali,Espanyol,52,7,57,132,54.5,2024-2025,laliga
roger hinojo,Espanyol,0,0,2,0,0.0,2024-2025,laliga
dinko horkas,Las Palmas,1,0,0,14,,2024-2025,laliga
pablo ibanez,Osasuna,28,0,13,56,44.2,2024-2025,laliga
stanis idumbo,Sevilla,1,0,0,19,100.0,2024-2025,laliga
iglesias,Getafe,45,1,84,107,47.9,2024-2025,laliga
borja iglesias,Celta Vigo,40,14,6,46,34.1,2024-2025,laliga
kelechi iheanacho,Sevilla,5,7,0,7,20.0,2024-2025,laliga
isco,Betis,23,4,92,71,38.2,2024-2025,laliga
diego iturralde,Sevilla,1,0,0,1,100.0,2024-2025,laliga
ivan jaime pajuelo,Valencia,8,1,6,19,50.0,2024-2025,laliga
karl jakob hein,Valladolid,0,0,0,43,100.0,2024-2025,laliga
adnan januzaj,Las Palmas,5,0,65,30,22.2,2024-2025,laliga
mikel jauregizar,Athletic Club,46,0,27,144,49.3,2024-2025,laliga
john joe,Getafe,1,0,0,3,50.0,2024-2025,laliga
jofre,Espanyol,28,3,54,105,22.7,2024-2025,laliga
frenkie de jong,Barcelona,14,0,6,57,58.8,2024-2025,laliga
joan jordan,Alavés,28,1,106,61,55.2,2024-2025,laliga
juanmi,Getafe,19,6,0,23,42.9,2024-2025,laliga
juanmi,Betis,6,1,1,14,85.7,2024-2025,laliga
juanpe,Girona,4,0,1,22,73.5,2024-2025,laliga
luiz lucio reis junior,Villarreal,0,0,0,18,85.7,2024-2025,laliga
vinicius junior,Real Madrid,30,10,56,71,12.5,2024-2025,laliga
stanko juric,Valladolid,38,0,0,92,69.4,2024-2025,laliga
willy kambwala,Villarreal,5,0,0,30,47.1,2024-2025,laliga
abdoulaye keita,Getafe,6,0,1,6,50.0,2024-2025,laliga
kenedy,Valladolid,0,0,0,1,,2024-2025,laliga
kike,Alavés,49,22,13,90,52.4,2024-2025,laliga
koke,Atlético Madrid,23,0,22,122,47.1,2024-2025,laliga
jules kounde,Barcelona,22,7,63,107,56.6,2024-2025,laliga
alex kral,Espanyol,31,0,38,127,57.6,2024-2025,laliga
ladislav krejci,Girona,24,0,11,101,69.6,2024-2025,laliga
takefusa kubo,Real Sociedad,21,8,85,118,36.7,2024-2025,laliga
marash kumbulla,Espanyol,37,0,6,74,61.7,2024-2025,laliga
luca de la torre,Celta Vigo,1,0,0,0,0.0,2024-2025,laliga
yoel lago,Celta Vigo,16,0,0,22,33.3,2024-2025,laliga
cyle larin,Mallorca,32,24,6,46,43.4,2024-2025,laliga
juanmi latasa,Valladolid,40,7,5,24,60.8,2024-2025,laliga
toni lato,Mallorca,12,2,23,30,46.2,2024-2025,laliga
robin le normand,Atlético Madrid,35,3,1,82,58.1,2024-2025,laliga
florian lejeune,Rayo Vallecano,50,0,8,156,60.5,2024-2025,laliga
inigo lekue,Athletic Club,5,0,16,39,75.0,2024-2025,laliga
thomas lemar,Atlético Madrid,1,0,3,3,0.0,2024-2025,laliga
clement lenglet,Atlético Madrid,29,2,4,74,49.3,2024-2025,laliga
robert lewandowski,Barcelona,30,17,5,45,48.7,2024-2025,laliga
samuel lino,Atlético Madrid,15,3,41,85,52.0,2024-2025,laliga
javier llabres,Mallorca,0,1,4,3,100.0,2024-2025,laliga
diego llorente,Betis,20,0,1,93,63.1,2024-2025,laliga
marcos llorente,Atlético Madrid,23,4,62,131,50.0,2024-2025,laliga
giovani lo celso,Betis,13,0,95,76,31.3,2024-2025,laliga
enzo loiodice,Las Palmas,10,1,10,29,46.7,2024-2025,laliga
david lopez,Mallorca,0,0,0,2,28.6,2024-2025,laliga
david lopez,Girona,12,1,3,95,50.8,2024-2025,laliga
diego lopez,Valencia,21,13,67,105,20.3,2024-2025,laliga
fer lopez,Celta Vigo,13,2,2,25,18.2,2024-2025,laliga
fermin lopez,Barcelona,27,5,47,66,33.3,2024-2025,laliga
javi lopez,Real Sociedad,30,1,60,92,34.5,2024-2025,laliga
pau lopez,Girona,0,0,0,1,,2024-2025,laliga
roberto lopez,Leganés,1,0,24,28,16.7,2024-2025,laliga
