Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
samuel chukwueze,Milan,7,7,20,59,34.6,2023-2024,serie-a
alphadjo cisse,Hellas Verona,1,0,0,0,,2023-2024,serie-a
giorgio cittadini,Monza,1,0,0,1,,2023-2024,serie-a
giorgio cittadini,Genoa,2,0,0,8,33.3,2023-2024,serie-a
patrick ciurria,Monza,29,4,53,56,43.8,2023-2024,serie-a
lorenzo colombo,Monza,25,6,2,35,22.9,2023-2024,serie-a
andrea colpani,Monza,23,2,111,86,26.5,2023-2024,serie-a
pietro comuzzo,Fiorentina,1,0,0,5,72.7,2023-2024,serie-a
andrea consigli,Sassuolo,0,0,0,32,100.0,2023-2024,serie-a
nikita contini baranovsky,Napoli,0,0,0,1,,2023-2024,serie-a
diego coppola,Hellas Verona,32,0,0,70,63.6,2023-2024,serie-a
tommaso corazza,Bologna,1,0,8,8,0.0,2023-2024,serie-a
jeppe corfitzen,Lecce,0,0,0,0,0.0,2023-2024,serie-a
giacomo corona,Empoli,1,0,0,0,,2023-2024,serie-a
joao costa,Roma,2,0,1,0,,2023-2024,serie-a
benoit costil,Salernitana,0,0,1,14,,2023-2024,serie-a
lassana coulibaly,Salernitana,33,1,8,129,47.5,2023-2024,serie-a
mamadou coulibaly,Salernitana,0,0,0,0,,2023-2024,serie-a
alessio cragno,Sassuolo,0,0,0,3,100.0,2023-2024,serie-a
bryan cristante,Roma,77,4,29,203,57.7,2023-2024,serie-a
juan cruz,Hellas Verona,1,0,1,2,25.0,2023-2024,serie-a
juan cuadrado,Inter,4,1,18,11,,2023-2024,serie-a
marvin cuni,Frosinone,13,3,4,18,32.7,2023-2024,serie-a
danilo dambrosio,Monza,18,1,7,77,57.4,2023-2024,serie-a
flavius daniliuc,Salernitana,14,0,1,52,57.1,2023-2024,serie-a
danilo,Juventus,26,1,18,142,57.8,2023-2024,serie-a
matteo darmian,Inter,27,1,21,74,54.1,2023-2024,serie-a
juan david cabal,Hellas Verona,27,1,33,68,73.4,2023-2024,serie-a
keinan davis,Udinese,5,3,0,5,64.3,2023-2024,serie-a
pawe dawidowicz,Hellas Verona,33,0,2,139,69.1,2023-2024,serie-a
charles de ketelaere,Atalanta,17,6,47,93,52.1,2023-2024,serie-a
mattia de sciglio,Juventus,0,0,0,2,,2023-2024,serie-a
lorenzo de silvestri,Bologna,3,0,9,21,64.3,2023-2024,serie-a
koni de winter,Genoa,37,0,5,120,60.4,2023-2024,serie-a
gregoire defrel,Sassuolo,9,1,2,30,22.2,2023-2024,serie-a
alessandro deiola,Cagliari,25,0,15,87,53.8,2023-2024,serie-a
alessandro dellavalle,Torino,0,0,0,1,100.0,2023-2024,serie-a
diego demme,Napoli,1,0,3,8,100.0,2023-2024,serie-a
leander dendoncker,Napoli,0,0,0,4,100.0,2023-2024,serie-a
mattia destro,Empoli,6,4,0,9,43.3,2023-2024,serie-a
federico di francesco,Lecce,0,0,1,2,,2023-2024,serie-a
raffaele di gennaro,Inter,0,0,0,0,,2023-2024,serie-a
michele di gregorio,Monza,0,0,0,33,85.7,2023-2024,serie-a
giovanni di lorenzo,Napoli,28,5,126,141,40.9,2023-2024,serie-a
alessandro di pardo,Cagliari,3,1,18,26,66.7,2023-2024,serie-a
boulaye dia,Salernitana,11,3,1,41,18.2,2023-2024,serie-a
federico dimarco,Inter,12,5,196,99,40.0,2023-2024,serie-a
tiago djalo,Juventus,0,0,0,1,0.0,2023-2024,serie-a
koffi djidji,Torino,11,0,2,37,57.1,2023-2024,serie-a
berat djimsiti,Atalanta,17,0,6,171,62.6,2023-2024,serie-a
dodo,Fiorentina,7,0,19,34,66.7,2023-2024,serie-a
josh doig,Hellas Verona,7,1,30,36,41.7,2023-2024,serie-a
josh doig,Sassuolo,15,0,47,49,51.7,2023-2024,serie-a
nicolas dominguez,Bologna,3,0,0,7,100.0,2023-2024,serie-a
giulio donati,Monza,1,0,4,2,0.0,2023-2024,serie-a
patrick dorgu,Lecce,25,2,41,78,51.9,2023-2024,serie-a
alberto dossena,Cagliari,38,0,1,190,63.4,2023-2024,serie-a
radu dragusin,Genoa,14,0,1,62,69.9,2023-2024,serie-a
ondrej duda,Hellas Verona,54,0,94,195,26.9,2023-2024,serie-a
denzel dumfries,Inter,25,5,47,58,66.7,2023-2024,serie-a
alfred duncan,Fiorentina,26,3,65,117,50.0,2023-2024,serie-a
paulo dybala,Roma,12,5,88,83,25.0,2023-2024,serie-a
festy ebosele,Udinese,29,1,45,74,47.1,2023-2024,serie-a
enzo ebosse,Udinese,0,0,0,3,,2023-2024,serie-a
tyronne ebuehi,Empoli,7,3,23,70,30.8,2023-2024,serie-a
ederson,Atalanta,45,0,17,188,58.3,2023-2024,serie-a
kingsley ehizibue,Udinese,12,5,17,44,48.0,2023-2024,serie-a
emmanuel ekong,Empoli,0,0,0,0,,2023-2024,serie-a
caleb ekuban,Genoa,17,3,4,36,49.3,2023-2024,serie-a
elif elmas,Napoli,7,1,6,19,14.3,2023-2024,serie-a
martin erlic,Sassuolo,30,0,5,110,53.4,2023-2024,serie-a
giovanni fabbian,Bologna,16,2,4,30,43.6,2023-2024,serie-a
nicolo fagioli,Juventus,3,1,19,23,100.0,2023-2024,serie-a
wladimiro falcone,Lecce,0,0,0,30,100.0,2023-2024,serie-a
davide faraoni,Hellas Verona,11,0,19,38,56.3,2023-2024,serie-a
davide faraoni,Fiorentina,3,0,17,10,36.4,2023-2024,serie-a
federico fazio,Salernitana,9,0,0,54,70.4,2023-2024,serie-a
jacopo fazzini,Empoli,23,1,54,78,32.6,2023-2024,serie-a
lewis ferguson,Bologna,52,4,11,142,45.9,2023-2024,serie-a
andrea ferraris,Monza,0,0,0,0,0.0,2023-2024,serie-a
joao ferreira,Udinese,35,2,21,106,56.3,2023-2024,serie-a
seydou fini,Genoa,0,0,1,1,33.3,2023-2024,serie-a
vincenzo fiorillo,Salernitana,0,0,0,2,100.0,2023-2024,serie-a
alessandro florenzi,Milan,11,2,122,97,29.2,2023-2024,serie-a
michael folorunsho,Hellas Verona,50,11,64,145,49.0,2023-2024,serie-a
davide frattesi,Inter,12,1,11,38,48.3,2023-2024,serie-a
morten frendrup,Genoa,49,1,12,197,51.7,2023-2024,serie-a
remo freuler,Bologna,44,0,9,137,42.6,2023-2024,serie-a
gerardo fusco,Salernitana,0,0,1,0,,2023-2024,serie-a
matteo gabbia,Milan,27,0,0,62,66.0,2023-2024,serie-a
gianluca gaetano,Cagliari,10,3,15,41,14.3,2023-2024,serie-a
gianluca gaetano,Napoli,3,0,3,15,25.0,2023-2024,serie-a
roberto gagliardini,Monza,26,1,8,140,56.1,2023-2024,serie-a
pablo galdames millan,Genoa,1,0,0,2,50.0,2023-2024,serie-a
antonino gallo,Lecce,9,3,138,161,43.1,2023-2024,serie-a
luca garritano,Frosinone,6,0,16,34,30.0,2023-2024,serie-a
federico gatti,Juventus,39,0,19,116,61.7,2023-2024,serie-a
francesco gelli,Frosinone,15,1,53,82,48.4,2023-2024,serie-a
luca gemello,Torino,0,0,0,4,,2023-2024,serie-a
valentin gendrey,Lecce,27,3,61,104,57.6,2023-2024,serie-a
fares ghedjemis,Frosinone,2,1,6,10,33.3,2023-2024,serie-a
lautaro gianetti,Udinese,9,0,0,25,50.0,2023-2024,serie-a
mario gila,Lazio,21,1,8,109,40.3,2023-2024,serie-a
gvidas gineitis,Torino,9,0,22,37,58.3,2023-2024,serie-a
olivier giroud,Milan,31,14,3,29,50.9,2023-2024,serie-a
edoardo goldaniga,Cagliari,14,3,10,37,50.0,2023-2024,serie-a
pierluigi gollini,Napoli,0,0,0,12,100.0,2023-2024,serie-a
papu gomez,Monza,0,0,5,3,,2023-2024,serie-a
iron gomis,Salernitana,2,1,1,10,100.0,2023-2024,serie-a
joan gonzalez,Lecce,15,1,10,81,41.0,2023-2024,serie-a
nicolas gonzalez,Fiorentina,21,2,39,84,56.1,2023-2024,serie-a
alberto grassi,Empoli,22,0,5,124,48.3,2023-2024,serie-a
matteo guendouzi,Lazio,26,0,42,120,32.4,2023-2024,serie-a
axel guessand,Udinese,0,0,0,3,50.0,2023-2024,serie-a
albert gumundsson,Genoa,28,11,179,136,12.0,2023-2024,serie-a
emmanuel gyasi,Empoli,40,6,23,90,31.5,2023-2024,serie-a
norbert gyomber,Salernitana,33,0,0,111,52.5,2023-2024,serie-a
nicolas haas,Empoli,1,0,0,9,100.0,2023-2024,serie-a
ridgeciano haps,Genoa,3,1,16,33,62.5,2023-2024,serie-a
abdou harroui,Frosinone,18,1,12,53,60.0,2023-2024,serie-a
hans hateboer,Atalanta,16,0,34,34,62.1,2023-2024,serie-a
pantelis hatzidiakos,Cagliari,7,0,6,50,35.7,2023-2024,serie-a
silvan hefti,Genoa,2,0,2,3,50.0,2023-2024,serie-a
liam henderson,Empoli,0,0,1,0,,2023-2024,serie-a
matheus henrique,Sassuolo,21,2,26,141,53.8,2023-2024,serie-a
thomas henry,Hellas Verona,15,3,3,8,48.7,2023-2024,serie-a
theo hernandez,Milan,38,2,68,172,61.7,2023-2024,serie-a
isak hien,Hellas Verona,11,0,0,66,58.6,2023-2024,serie-a
isak hien,Atalanta,18,2,0,60,70.6,2023-2024,serie-a
emil holm,Atalanta,14,1,35,57,53.8,2023-2024,serie-a
martin hongla,Hellas Verona,6,1,4,79,47.4,2023-2024,serie-a
sydney van hooijdonk,Bologna,6,1,1,3,29.4,2023-2024,serie-a
dean huijsen,Roma,10,0,1,24,56.3,2023-2024,serie-a
dean huijsen,Juventus,0,0,0,1,,2023-2024,serie-a
elseid hysaj,Lazio,14,3,18,72,51.9,2023-2024,serie-a
arijon ibrahimovic,Frosinone,3,2,7,19,38.5,2023-2024,serie-a
