Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
reiss nelson,Arsenal,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
reiss nelson,Fulham,12,6,0.08,1.1,1.1,0.09,-0.1,2024-2025,premier-league
neto,Bournemouth,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
pedro neto,Chelsea,59,17,0.07,3.5,3.5,0.06,0.5,2024-2025,premier-league
eddie nketiah,Crystal Palace,43,16,0.07,5.8,5.8,0.13,-2.8,2024-2025,premier-league
christopher nkunku,Chelsea,25,11,0.12,4.8,4.8,0.19,-1.8,2024-2025,premier-league
gustavo nunes,Brentford,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
matheus nunes,Manchester City,9,4,0.11,1.2,1.2,0.14,-0.2,2024-2025,premier-league
darwin nunez,Liverpool,34,13,0.15,5.8,5.8,0.17,-0.8,2024-2025,premier-league
ethan nwaneri,Arsenal,24,9,0.17,1.2,1.2,0.05,2.8,2024-2025,premier-league
christian nrgaard,Brentford,39,15,0.13,4.3,4.3,0.11,0.7,2024-2025,premier-league
jake obrien,Everton,6,3,0.33,0.8,0.8,0.13,1.2,2024-2025,premier-league
matt oriley,Brighton,21,6,0.05,2.8,2.0,0.1,-0.8,2024-2025,premier-league
dara oshea,Ipswich Town,22,2,0.0,1.3,1.3,0.06,-1.3,2024-2025,premier-league
chidozie obimartin,Manchester Utd,5,1,0.0,0.7,0.7,0.13,-0.7,2024-2025,premier-league
wilson odobert,Tottenham,13,4,0.08,1.6,1.6,0.12,-0.6,2024-2025,premier-league
chiedozie ogbene,Ipswich Town,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
caleb okoli,Leicester City,4,2,0.25,0.6,0.6,0.15,0.4,2024-2025,premier-league
robin olsen,Aston Villa,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
amadou onana,Aston Villa,17,6,0.18,2.1,2.1,0.12,0.9,2024-2025,premier-league
