Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
alex kral,Schalke 04,32,2,0.0,1.5,1.5,0.05,-1.5,2022-2023,bundesliga
andrej kramaric,Hoffenheim,57,21,0.14,13.2,8.5,0.15,-1.2,2022-2023,bundesliga
christoph kramer,Gladbach,6,1,0.0,0.4,0.4,0.06,-0.4,2022-2023,bundesliga
tom krau,Schalke 04,25,9,0.08,2.2,2.2,0.09,-0.2,2022-2023,bundesliga
max kruse,Wolfsburg,9,2,0.0,0.7,0.7,0.08,-0.7,2022-2023,bundesliga
lukas kubler,Freiburg,9,4,0.22,0.9,0.9,0.1,1.1,2022-2023,bundesliga
pierre kunde,Bochum,4,1,0.25,0.3,0.3,0.08,0.7,2022-2023,bundesliga
alou kuol,Stuttgart,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
daniel kyereh,Freiburg,11,5,0.18,2.2,2.2,0.2,-0.2,2022-2023,bundesliga
maxence lacroix,Wolfsburg,4,1,0.25,0.5,0.5,0.13,0.5,2022-2023,bundesliga
aissa laidouni,Union Berlin,6,2,0.33,0.8,0.8,0.14,1.2,2022-2023,bundesliga
konrad laimer,RB Leipzig,20,10,0.15,2.4,2.4,0.12,0.6,2022-2023,bundesliga
stefan lainer,Gladbach,6,4,0.0,0.8,0.8,0.13,-0.8,2022-2023,bundesliga
vassilis lambropoulos,Bochum,6,0,0.0,0.4,0.4,0.07,-0.4,2022-2023,bundesliga
jordan larsson,Schalke 04,10,0,0.0,1.2,1.2,0.12,-1.2,2022-2023,bundesliga
danny latza,Schalke 04,16,2,0.0,0.9,0.9,0.06,-0.9,2022-2023,bundesliga
diogo leite,Union Berlin,12,0,0.0,0.8,0.8,0.07,-0.8,2022-2023,bundesliga
maxim leitsch,Mainz 05,2,1,0.0,0.2,0.2,0.09,-0.2,2022-2023,bundesliga
tim lemperle,Köln,2,0,0.0,0.1,0.1,0.06,-0.1,2022-2023,bundesliga
christopher lenz,Eint Frankfurt,12,2,0.0,0.6,0.6,0.05,-0.6,2022-2023,bundesliga
jamie leweling,Union Berlin,9,5,0.11,0.7,0.7,0.07,0.3,2022-2023,bundesliga
philipp lienhart,Freiburg,17,3,0.06,1.4,1.4,0.08,-0.4,2022-2023,bundesliga
matthijs de ligt,Bayern Munich,23,8,0.13,1.1,1.1,0.05,1.9,2022-2023,bundesliga
dimitris limnios,Köln,1,0,0.0,0.0,0.0,0.02,0.0,2022-2023,bundesliga
jesper lindstrm,Eint Frankfurt,45,19,0.16,5.9,5.9,0.13,1.1,2022-2023,bundesliga
dejan ljubicic,Köln,34,14,0.12,3.3,2.6,0.08,1.7,2022-2023,bundesliga
anthony losilla,Bochum,27,8,0.07,1.9,1.9,0.07,0.1,2022-2023,bundesliga
dodi lukebakio,Hertha BSC,59,22,0.1,8.6,4.7,0.08,2.4,2022-2023,bundesliga
andrey lunyov,Leverkusen,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
arne maier,Augsburg,28,10,0.18,1.6,1.6,0.06,3.4,2022-2023,bundesliga
linton maina,Köln,35,13,0.09,4.6,4.6,0.13,-1.6,2022-2023,bundesliga
donyell malen,Dortmund,64,30,0.14,9.1,9.1,0.15,-0.1,2022-2023,bundesliga
sadio mane,Bayern Munich,53,20,0.11,8.9,7.2,0.14,-1.9,2022-2023,bundesliga
myziane maolida,Hertha BSC,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
omar marmoush,Wolfsburg,48,16,0.1,6.1,6.1,0.13,-1.1,2022-2023,bundesliga
eric martel,Köln,28,8,0.04,1.7,1.7,0.06,-0.7,2022-2023,bundesliga
