Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
wahbi khazri,Montpellier,36,6,0.03,2.3,2.3,0.06,-1.3,2024-2025,ligue-1
abdukodir khusanov,Lens,6,4,0.0,0.2,0.2,0.04,-0.2,2024-2025,ligue-1
presnel kimpembe,Paris S-G,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
joshua king,Toulouse,50,20,0.12,6.6,6.6,0.13,-0.6,2024-2025,ligue-1
cedric kipre,Reims,9,1,0.0,0.6,0.6,0.07,-0.6,2024-2025,ligue-1
herve koffi,Lens,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
philipp kohn,Monaco,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
koka,Le Havre,20,8,0.1,4.9,4.2,0.21,-1.9,2024-2025,ligue-1
randal kolo muani,Paris S-G,15,6,0.07,4.7,3.9,0.26,-2.7,2024-2025,ligue-1
geoffrey kondogbia,Marseille,8,1,0.0,0.5,0.5,0.06,-0.5,2024-2025,ligue-1
abdoul kone,Reims,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
amadou kone,Reims,14,4,0.0,0.5,0.5,0.04,-0.5,2024-2025,ligue-1
ismael kone,Marseille,4,0,0.0,0.3,0.3,0.07,-0.3,2024-2025,ligue-1
ismael kone,Rennes,6,3,0.33,0.2,0.2,0.03,1.8,2024-2025,ligue-1
emmanuel koum mbondo,Marseille,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
boubakar kouyate,Montpellier,8,0,0.0,0.5,0.5,0.07,-0.5,2024-2025,ligue-1
goduine koyalipou,Lens,42,14,0.1,4.8,4.8,0.12,-0.8,2024-2025,ligue-1
sael kumbedi,Lyon,4,2,0.0,0.3,0.3,0.08,-0.3,2024-2025,ligue-1
daler kuzyaev,Le Havre,4,3,0.25,0.2,0.2,0.05,0.8,2024-2025,ligue-1
khvicha kvaratskhelia,Paris S-G,34,15,0.12,3.3,3.3,0.1,0.7,2024-2025,ligue-1
remy labeau lascary,Lens,14,5,0.14,2.5,2.5,0.18,-0.5,2024-2025,ligue-1
gaetan laborde,Nice,70,20,0.1,11.7,8.6,0.12,-0.7,2024-2025,ligue-1
alexandre lacazette,Lyon,53,31,0.19,16.3,11.7,0.22,-1.3,2024-2025,ligue-1
younes lachaab,Lille,1,0,0.0,0.1,0.1,0.09,-0.1,2024-2025,ligue-1
alban lafont,Nantes,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
kenny lala,Brest,9,4,0.0,3.0,0.6,0.07,0.0,2024-2025,ligue-1
mohamed lamine bayo,Lille,10,4,0.2,2.2,2.2,0.22,-0.2,2024-2025,ligue-1
gautier larsonneur,Saint-Étienne,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
julien le cardinal,Brest,10,3,0.0,0.4,0.4,0.04,-0.4,2024-2025,ligue-1
jeremy le douaron,Brest,2,1,0.0,0.2,0.2,0.08,-0.2,2024-2025,ligue-1
benjamin lecomte,Montpellier,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
pierre leesmelou,Brest,22,8,0.09,1.3,1.3,0.06,0.7,2024-2025,ligue-1
jordan lefort,Angers,9,1,0.0,0.6,0.6,0.06,-0.6,2024-2025,ligue-1
felix lemarechal,Strasbourg,25,9,0.16,3.5,3.5,0.14,0.5,2024-2025,ligue-1
donovan leon,Auxerre,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
esteban lepaul,Angers,41,17,0.22,5.1,5.1,0.13,3.9,2024-2025,ligue-1
johann lepenant,Nantes,20,5,0.1,1.4,1.4,0.07,0.6,2024-2025,ligue-1
louis leroux,Nantes,9,5,0.22,1.5,1.5,0.17,0.5,2024-2025,ligue-1
pol lirola,Marseille,6,1,0.17,0.6,0.6,0.1,0.4,2024-2025,ligue-1
gautier lloris,Le Havre,11,2,0.18,1.2,1.2,0.11,0.8,2024-2025,ligue-1
bradley locko,Brest,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,ligue-1
elysee logbo,Le Havre,1,0,0.0,0.2,0.2,0.18,-0.2,2024-2025,ligue-1
anthony lopes,Nantes,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
jordan lotomba,Nice,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
tom louchet,Nice,12,4,0.08,0.8,0.8,0.07,0.2,2024-2025,ligue-1
milos lukovic,Strasbourg,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
othmane maamma,Montpellier,10,3,0.1,0.7,0.7,0.1,0.3,2024-2025,ligue-1
deiver machado,Lens,23,5,0.04,2.3,2.3,0.1,-1.3,2024-2025,ligue-1
lanroy machine,Angers,1,0,0.0,0.1,0.1,0.06,-0.1,2024-2025,ligue-1
yvann macon,Saint-Étienne,10,2,0.0,0.3,0.3,0.03,-0.3,2024-2025,ligue-1
eros maddy,Auxerre,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
soungoutou magassa,Monaco,8,3,0.0,0.5,0.5,0.06,-0.5,2024-2025,ligue-1
hugo magnetti,Brest,19,6,0.05,0.8,0.8,0.04,0.2,2024-2025,ligue-1
frank magri,Toulouse,44,18,0.11,6.0,6.0,0.14,-1.0,2024-2025,ligue-1
ainsley maitlandniles,Lyon,22,7,0.05,2.9,2.9,0.13,-1.9,2024-2025,ligue-1
radosaw majecki,Monaco,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
hamidou makalou,Brest,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
nikola maksimovic,Montpellier,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,ligue-1
aaron malouda,Lille,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
