Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
nikola moro,Bologna,14,2,0.0,0.5,0.5,0.03,-0.5,2024-2025,serie-a
daniel mosquera,Hellas Verona,57,15,0.09,6.6,6.6,0.12,-1.6,2024-2025,serie-a
dany mota,Monza,42,11,0.12,5.1,5.1,0.12,-0.1,2024-2025,serie-a
bob murphy omoregbe,Milan,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
yunus musah,Milan,22,5,0.0,1.9,1.9,0.09,-1.9,2024-2025,serie-a
juan musso,Atalanta,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
kingstone mutandwa,Cagliari,4,0,0.0,0.4,0.4,0.09,-0.4,2024-2025,serie-a
obite ndicka,Roma,18,5,0.0,1.0,1.0,0.06,-1.0,2024-2025,serie-a
konan ndri,Lecce,9,2,0.0,0.5,0.5,0.06,-0.5,2024-2025,serie-a
michel ndary adopo,Cagliari,20,4,0.05,1.1,1.1,0.06,-0.1,2024-2025,serie-a
cher ndour,Fiorentina,4,0,0.0,0.1,0.1,0.04,-0.1,2024-2025,serie-a
dan ndoye,Bologna,50,17,0.12,7.0,5.4,0.11,1.0,2024-2025,serie-a
victor nelsson,Roma,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,serie-a
david neres,Napoli,29,7,0.07,2.7,2.7,0.09,-0.7,2024-2025,serie-a
cyril ngonge,Napoli,13,6,0.0,0.7,0.7,0.05,-0.7,2024-2025,serie-a
hans nicolussi caviglia,Venezia,53,20,0.08,2.4,2.4,0.04,1.6,2024-2025,serie-a
oliver nielsen,Lazio,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
eybi nije,Torino,9,5,0.11,1.5,1.5,0.17,-0.5,2024-2025,serie-a
brooke nortoncuffy,Genoa,5,2,0.0,0.3,0.3,0.05,-0.3,2024-2025,serie-a
tijjani noslin,Lazio,19,6,0.11,2.0,2.0,0.11,0.0,2024-2025,serie-a
adam obert,Cagliari,9,2,0.11,0.9,0.9,0.11,0.1,2024-2025,serie-a
jens odgaard,Bologna,49,22,0.12,3.6,3.6,0.07,2.4,2024-2025,serie-a
noah okafor,Milan,13,7,0.08,1.5,1.5,0.12,-0.5,2024-2025,serie-a
noah okafor,Napoli,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,serie-a
yllan okou,Hellas Verona,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
maduka okoye,Udinese,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
mathias olivera,Napoli,16,2,0.0,1.1,1.1,0.07,-1.1,2024-2025,serie-a
jean onana,Genoa,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,serie-a
jacob ondrejka,Parma,14,10,0.36,1.3,1.3,0.09,3.7,2024-2025,serie-a
gaetano oristanio,Venezia,44,12,0.07,4.1,4.1,0.09,-1.1,2024-2025,serie-a
riccardo orsolini,Bologna,72,25,0.17,10.1,7.8,0.11,4.9,2024-2025,serie-a
yordan osorio,Parma,1,0,0.0,0.0,0.0,0.01,0.0,2024-2025,serie-a
sebastian otoa,Genoa,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
remi oudin,Lecce,3,1,0.0,0.1,0.1,0.04,-0.1,2024-2025,serie-a
cheick oumar conde,Venezia,1,0,0.0,0.0,0.0,0.01,0.0,2024-2025,serie-a
daniel oyegoke,Hellas Verona,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,serie-a
daniele padelli,Udinese,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
simone pafundi,Udinese,2,1,0.0,0.1,0.1,0.03,-0.1,2024-2025,serie-a
tomas palacios,Monza,1,0,0.0,0.0,0.0,0.04,0.0,2024-2025,serie-a
tomas palacios,Inter,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
alberto paleari,Torino,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
marco palestra,Atalanta,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
matteo palma,Udinese,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
leandro paredes,Roma,24,7,0.04,2.3,0.7,0.03,0.7,2024-2025,serie-a
fabiano parisi,Fiorentina,9,5,0.22,0.5,0.5,0.05,1.5,2024-2025,serie-a
mario pasalic,Atalanta,45,11,0.07,6.6,5.8,0.13,-3.6,2024-2025,serie-a
patric,Lazio,2,1,0.5,1.1,1.1,0.53,-0.1,2024-2025,serie-a
rui patricio,Atalanta,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
benjamin pavard,Inter,8,1,0.0,0.5,0.5,0.07,-0.5,2024-2025,serie-a
strahinja pavlovic,Milan,17,8,0.12,1.8,1.8,0.11,0.2,2024-2025,serie-a
leonardo pavoletti,Cagliari,18,7,0.11,2.7,2.7,0.15,-0.7,2024-2025,serie-a
martin payero,Udinese,31,5,0.03,1.2,1.2,0.04,-0.2,2024-2025,serie-a
nicolas paz,Como,109,37,0.06,9.3,8.5,0.08,-3.3,2024-2025,serie-a
marcus pedersen,Torino,8,3,0.0,0.6,0.6,0.07,-0.6,2024-2025,serie-a
pedro,Lazio,37,16,0.22,5.3,3.8,0.1,4.7,2024-2025,serie-a
pietro pellegri,Empoli,8,4,0.38,0.3,0.3,0.04,2.7,2024-2025,serie-a
lorenzo pellegrini,Roma,41,13,0.02,4.7,3.9,0.1,-2.7,2024-2025,serie-a
luca pellegrini,Lazio,13,4,0.0,0.7,0.7,0.05,-0.7,2024-2025,serie-a
mateo pellegrino,Parma,22,9,0.14,3.3,3.3,0.15,-0.3,2024-2025,serie-a
andy pelmard,Lecce,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
sergiu perciun,Torino,2,1,0.0,0.0,0.0,0.02,0.0,2024-2025,serie-a
pedro pereira,Monza,13,6,0.08,1.2,1.2,0.09,-0.2,2024-2025,serie-a
gaston pereiro,Genoa,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
kike perez,Venezia,13,7,0.08,0.9,0.9,0.07,0.1,2024-2025,serie-a
