Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
antonio blanco,Alavés,23,37,7,38.6,32,40,42,30,7,23,48,1,2024-2025,laliga
daley blind,Girona,26,19,4,64.6,31,27,32,32,9,23,94,2,2024-2025,laliga
adama boiro,Athletic Club,11,7,2,66.7,10,11,12,10,3,7,27,1,2024-2025,laliga
enzo boyomo,Osasuna,46,18,4,76.9,30,43,44,34,19,15,137,3,2024-2025,laliga
enzo boyomo,Valladolid,4,2,0,100.0,3,2,1,4,3,1,7,0,2024-2025,laliga
darko brasanac,Leganés,5,15,6,52.9,9,11,16,24,11,13,34,0,2024-2025,laliga
tajon buchanan,Villarreal,6,4,0,66.7,6,5,1,6,0,6,1,0,2024-2025,laliga
ante budimir,Osasuna,3,11,6,23.1,3,9,2,19,4,15,26,0,2024-2025,laliga
manu bueno,Sevilla,0,1,3,50.0,1,3,0,0,0,0,2,0,2024-2025,laliga
endika bujan,Athletic Club,0,0,0,0.0,0,0,0,0,0,0,0,0,2024-2025,laliga
pau cabanes,Villarreal,0,3,1,75.0,3,4,3,5,0,5,2,1,2024-2025,laliga
pau cabanes,Alavés,4,3,1,46.2,6,2,0,2,0,2,1,0,2024-2025,laliga
leandro cabrera,Espanyol,29,8,3,57.6,19,23,30,35,25,10,199,2,2024-2025,laliga
fernando calero,Espanyol,13,4,1,66.7,8,10,16,16,9,7,50,1,2024-2025,laliga
eduardo camavinga,Real Madrid,23,16,3,57.6,19,26,18,24,8,16,23,0,2024-2025,laliga
sergio camello,Rayo Vallecano,2,5,2,66.7,4,3,4,8,1,7,16,0,2024-2025,laliga
jose campana,Las Palmas,8,11,2,55.0,11,16,19,9,1,8,19,2,2024-2025,laliga
peio canales,Athletic Club,0,1,2,100.0,1,2,2,3,0,3,2,0,2024-2025,laliga
antonio candela,Valladolid,6,2,1,36.4,4,6,6,11,6,5,33,0,2024-2025,laliga
sergi canos,Valencia,3,4,4,40.0,4,7,5,6,1,5,5,0,2024-2025,laliga
dani cardenas,Rayo Vallecano,0,0,0,,0,0,0,0,0,0,3,0,2024-2025,laliga
irvin cardona,Espanyol,2,4,2,37.5,6,5,4,5,1,4,10,0,2024-2025,laliga
marc cardona,Las Palmas,1,3,0,0.0,0,2,0,0,0,0,0,0,2024-2025,laliga
sergi cardona,Villarreal,44,20,7,62.0,49,48,40,52,7,45,122,1,2024-2025,laliga
johnny cardoso,Betis,12,35,8,38.5,20,31,48,27,12,15,64,1,2024-2025,laliga
jose carlos gonzalez,Las Palmas,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,laliga
carmona,Sevilla,53,21,9,53.2,41,59,68,37,11,26,92,3,2024-2025,laliga
sergio carreira,Celta Vigo,16,6,6,53.8,14,16,17,20,2,18,37,0,2024-2025,laliga
dani carvajal,Real Madrid,7,3,2,75.0,9,8,10,8,3,5,19,1,2024-2025,laliga
william carvalho,Betis,3,6,0,66.7,4,6,3,6,2,4,6,0,2024-2025,laliga
marc casado,Barcelona,7,30,7,48.8,20,25,22,20,5,15,22,1,2024-2025,laliga
catena,Osasuna,34,10,2,61.4,27,28,35,40,25,15,221,2,2024-2025,laliga
maximiliano caufriez,Valencia,1,0,0,100.0,1,1,1,2,1,1,4,0,2024-2025,laliga
dani ceballos,Real Madrid,17,18,6,50.0,20,21,14,16,4,12,10,2,2024-2025,laliga
franco cervi,Celta Vigo,2,6,0,37.5,3,3,8,4,0,4,7,0,2024-2025,laliga
raul chasco,Valladolid,3,1,0,50.0,2,1,2,1,0,1,2,0,2024-2025,laliga
pep chavarria,Rayo Vallecano,30,14,2,62.2,28,36,30,35,9,26,108,1,2024-2025,laliga
walid cheddira,Espanyol,1,1,3,0.0,0,0,1,4,0,4,6,0,2024-2025,laliga
chema,Real Madrid,0,0,0,,0,0,0,0,0,0,1,0,2024-2025,laliga
julian chicco,Leganés,3,6,2,62.5,5,7,4,2,0,2,10,0,2024-2025,laliga
chiquinho,Mallorca,0,1,0,0.0,0,0,2,3,0,3,0,0,2024-2025,laliga
andreas christensen,Barcelona,4,1,1,100.0,4,4,4,2,0,2,9,0,2024-2025,laliga
