Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
federico baschirotto,Lecce,16,5,0,53.3,8,12,23,42,26,16,144,1,2023-2024,serie-a
toma basic,Salernitana,10,9,1,37.0,10,13,14,18,6,12,29,0,2023-2024,serie-a
alessandro bastoni,Inter,31,12,3,65.0,26,33,23,25,11,14,48,1,2023-2024,serie-a
simone bastoni,Empoli,12,7,3,50.0,11,13,11,8,0,8,18,0,2023-2024,serie-a
reda belahyane,Hellas Verona,0,1,0,100.0,1,1,1,0,0,0,0,0,2023-2024,serie-a
raoul bellanova,Torino,15,17,4,58.1,18,26,15,21,4,17,36,3,2023-2024,serie-a
andrea belotti,Fiorentina,1,5,2,41.7,5,3,2,8,1,7,3,0,2023-2024,serie-a
andrea belotti,Roma,2,3,3,50.0,3,4,2,7,0,7,3,0,2023-2024,serie-a
lucas beltran,Fiorentina,4,18,5,55.0,11,14,2,29,3,26,11,0,2023-2024,serie-a
ismael bennacer,Milan,11,16,2,50.0,11,19,12,12,4,8,9,2,2023-2024,serie-a
domenico berardi,Sassuolo,7,9,1,9.5,2,8,13,17,0,17,9,0,2023-2024,serie-a
bartosz bereszynski,Empoli,25,13,3,60.0,24,25,21,22,10,12,52,0,2023-2024,serie-a
etrit berisha,Empoli,0,0,0,0.0,0,0,0,0,0,0,7,1,2023-2024,serie-a
medon berisha,Lecce,3,0,0,0.0,0,1,1,2,2,0,0,0,2023-2024,serie-a
victor bernth kristiansen,Bologna,23,22,7,57.1,20,34,12,35,8,27,45,1,2023-2024,serie-a
beto,Udinese,0,0,1,,0,0,0,0,0,0,0,0,2023-2024,serie-a
davide bettella,Monza,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
sam beukema,Bologna,14,11,2,64.0,16,11,15,35,21,14,99,2,2023-2024,serie-a
jaka bijol,Udinese,34,9,0,62.9,22,27,23,36,21,15,140,1,2023-2024,serie-a
el bilal toure,Atalanta,0,1,0,0.0,0,1,1,0,0,0,2,0,2023-2024,serie-a
cristiano biraghi,Fiorentina,20,24,3,53.8,28,28,14,30,5,25,43,0,2023-2024,serie-a
