Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
maxim leitsch,Mainz 05,6,4,2,77.8,7,4,10,12,4,8,42,1,2024-2025,bundesliga
jamie leweling,Stuttgart,6,3,7,44.0,11,6,11,22,1,21,17,1,2024-2025,bundesliga
philipp lienhart,Freiburg,12,10,0,48.4,15,13,36,31,20,11,124,3,2024-2025,bundesliga
marin ljubicic,Union Berlin,0,2,0,33.3,1,1,0,2,0,2,7,0,2024-2025,bundesliga
anthony losilla,Bochum,15,12,3,51.5,17,16,18,22,7,15,27,1,2024-2025,bundesliga
yannik luhrs,Dortmund,1,0,0,,0,1,2,0,0,0,4,0,2024-2025,bundesliga
castello lukeba,RB Leipzig,15,12,4,70.8,17,17,17,29,12,17,74,0,2024-2025,bundesliga
senne lynen,Werder Bremen,36,30,6,56.5,39,39,65,56,13,43,75,5,2024-2025,bundesliga
shuto machino,Holstein Kiel,4,3,1,37.5,6,5,7,12,3,9,28,1,2024-2025,bundesliga
arne maier,Augsburg,4,8,1,53.8,7,7,6,15,1,14,14,1,2024-2025,bundesliga
patrick mainka,Heidenheim,36,20,2,63.6,35,30,68,61,36,25,206,0,2024-2025,bundesliga
lovro majer,Wolfsburg,0,1,1,20.0,1,1,1,5,1,4,2,1,2024-2025,bundesliga
jordy makengo,Freiburg,10,5,1,62.5,10,9,7,8,3,5,29,0,2024-2025,bundesliga
jarzinho malanga,Stuttgart,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,bundesliga
julian malatini,Werder Bremen,5,5,1,45.5,5,9,7,8,3,5,17,0,2024-2025,bundesliga
donyell malen,Dortmund,0,0,0,0.0,0,0,3,2,0,2,6,0,2024-2025,bundesliga
lennard maloney,Heidenheim,12,7,1,60.9,14,11,14,9,2,7,38,0,2024-2025,bundesliga
lennard maloney,Mainz 05,0,1,1,100.0,1,1,0,2,0,2,3,0,2024-2025,bundesliga
johan manzambi,Freiburg,1,3,4,25.0,1,2,4,6,0,6,7,0,2024-2025,bundesliga
omar marmoush,Eint Frankfurt,0,3,9,42.9,3,8,2,7,1,6,2,0,2024-2025,bundesliga
giorgos masouras,Bochum,6,7,5,43.8,7,10,4,9,1,8,3,1,2024-2025,bundesliga
erhan masovic,Bochum,10,4,0,46.4,13,10,12,17,11,6,55,0,2024-2025,bundesliga
igor matanovic,Eint Frankfurt,0,2,0,0.0,0,0,1,3,0,3,9,0,2024-2025,bundesliga
chrislain matsima,Augsburg,19,11,1,65.4,17,20,52,48,29,19,163,0,2024-2025,bundesliga
jean matteo bahoya,Eint Frankfurt,11,13,5,61.5,16,18,4,14,2,12,10,1,2024-2025,bundesliga
maurides,St. Pauli,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,bundesliga
keke maximilian topp,Werder Bremen,0,2,1,50.0,1,1,1,0,0,0,4,0,2024-2025,bundesliga
jakov medic,Bochum,9,3,1,44.4,8,11,22,32,21,11,111,4,2024-2025,bundesliga
connor metcalfe,St. Pauli,1,1,0,0.0,0,0,3,4,0,4,8,0,2024-2025,bundesliga
karol mets,St. Pauli,6,7,0,57.1,4,8,12,9,3,6,60,0,2024-2025,bundesliga
alexander meyer,Dortmund,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,bundesliga
florian micheler,Hoffenheim,0,0,0,0.0,0,0,0,0,0,0,0,0,2024-2025,bundesliga
enzo millot,Stuttgart,10,15,5,34.3,12,13,13,27,0,27,6,1,2024-2025,bundesliga
kim minjae,Bayern Munich,18,13,4,52.4,11,20,37,23,10,13,91,4,2024-2025,bundesliga
maximilian mittelstadt,Stuttgart,42,30,7,72.6,53,54,47,47,11,36,96,2,2024-2025,bundesliga
koji miyoshi,Bochum,2,1,5,44.4,4,5,2,10,1,9,2,0,2024-2025,bundesliga
max moerstedt,Hoffenheim,1,3,1,50.0,1,5,0,4,0,4,5,0,2024-2025,bundesliga
david mokwa,Hoffenheim,1,0,0,,0,0,0,0,0,0,0,0,2024-2025,bundesliga
steve mounie,Augsburg,0,1,3,0.0,0,4,1,1,1,0,5,1,2024-2025,bundesliga
nordi mukiele,Leverkusen,8,8,4,66.7,12,16,16,10,0,10,37,2,2024-2025,bundesliga
florian muller,Freiburg,0,0,0,,0,0,0,0,0,0,3,0,2024-2025,bundesliga
kevin muller,Heidenheim,3,0,0,100.0,3,2,0,0,0,0,13,4,2024-2025,bundesliga
marius muller,Wolfsburg,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,bundesliga
thomas muller,Bayern Munich,2,3,3,25.0,4,5,2,10,0,10,14,0,2024-2025,bundesliga
jamal musiala,Bayern Munich,7,16,13,41.4,12,21,8,30,0,30,5,1,2024-2025,bundesliga
florent muslija,Freiburg,3,1,1,100.0,2,4,1,0,0,0,1,0,2024-2025,bundesliga
phillipp mwene,Mainz 05,23,22,6,41.3,19,29,24,27,6,21,51,1,2024-2025,bundesliga
joakim mhle,Wolfsburg,26,6,2,37.8,17,15,25,24,3,21,57,2,2024-2025,bundesliga
nathan ngoumou,Gladbach,11,4,2,54.5,6,11,4,8,2,6,16,0,2024-2025,bundesliga
stanley nsoki,Hoffenheim,13,7,2,52.2,12,16,26,22,7,15,58,3,2024-2025,bundesliga
nikolas nartey,Stuttgart,0,0,0,,0,0,0,0,0,0,4,0,2024-2025,bundesliga
paul nebel,Mainz 05,11,18,9,31.4,11,24,13,54,4,50,30,2,2024-2025,bundesliga
kosta nedeljkovic,RB Leipzig,5,6,0,60.0,6,8,2,6,4,2,14,0,2024-2025,bundesliga
ivan nekic,Holstein Kiel,1,0,0,50.0,1,1,3,1,0,1,2,0,2024-2025,bundesliga
david nemeth,St. Pauli,25,16,2,58.1,25,29,18,29,11,18,94,2,2024-2025,bundesliga
luca netz,Gladbach,14,8,2,68.4,13,14,10,17,4,13,36,0,2024-2025,bundesliga
manuel neuer,Bayern Munich,1,0,0,100.0,1,0,0,0,0,0,9,1,2024-2025,bundesliga
florian neuhaus,Gladbach,7,3,0,41.2,7,3,6,9,2,7,5,1,2024-2025,bundesliga
moritz nicolas,Gladbach,0,0,0,,0,0,1,1,0,1,8,1,2024-2025,bundesliga
julian niehues,Heidenheim,3,0,0,20.0,1,1,0,1,0,1,8,0,2024-2025,bundesliga
justin njinmah,Werder Bremen,1,4,1,60.0,3,2,3,5,0,5,1,0,2024-2025,bundesliga
niels nkounkou,Eint Frankfurt,7,3,3,57.1,4,10,7,5,2,3,15,0,2024-2025,bundesliga
felix nmecha,Dortmund,6,19,9,54.5,12,22,23,20,5,15,30,1,2024-2025,bundesliga
lukas nmecha,Wolfsburg,1,1,0,0.0,0,0,2,3,0,3,4,0,2024-2025,bundesliga
arnaud nordin,Mainz 05,0,2,0,100.0,1,0,0,2,1,1,2,0,2024-2025,bundesliga
alexander nubel,Stuttgart,0,0,0,0.0,0,0,0,0,0,0,18,3,2024-2025,bundesliga
antonio nusa,RB Leipzig,16,9,5,50.0,18,17,8,22,2,20,11,0,2024-2025,bundesliga
david odogu,Wolfsburg,4,2,0,60.0,3,4,2,2,2,0,25,1,2024-2025,bundesliga
tim oermann,Bochum,25,21,4,60.5,26,31,22,32,16,16,64,0,2024-2025,bundesliga
ifechukwu ogbus,Freiburg,0,0,1,0.0,0,1,1,0,0,0,2,0,2024-2025,bundesliga
finn ole becker,Hoffenheim,4,6,1,25.0,1,5,10,7,3,4,20,0,2024-2025,bundesliga
michael olise,Bayern Munich,10,21,5,44.7,17,23,8,23,1,22,16,2,2024-2025,bundesliga
jonas omlin,Gladbach,0,0,0,0.0,0,0,0,0,0,0,5,1,2024-2025,bundesliga
karim onisiwo,Mainz 05,0,0,1,,0,1,0,0,0,0,0,0,2024-2025,bundesliga
frank onyeka,Augsburg,22,28,8,55.0,22,45,36,36,9,27,36,2,2024-2025,bundesliga
lois openda,RB Leipzig,3,4,2,27.3,3,4,5,19,1,18,12,0,2024-2025,bundesliga
gift orban,Hoffenheim,2,1,0,16.7,1,1,0,7,0,7,3,0,2024-2025,bundesliga
willi orban,RB Leipzig,23,14,1,71.9,23,21,21,45,31,14,169,4,2024-2025,bundesliga
ivan ordets,Bochum,13,5,0,76.9,10,8,41,29,16,13,139,3,2024-2025,bundesliga
patrick osterhage,Freiburg,16,27,2,46.7,14,29,18,27,3,24,37,0,2024-2025,bundesliga
assan ouedraogo,RB Leipzig,0,0,0,,0,0,0,1,0,1,0,0,2024-2025,bundesliga
salih ozcan,Wolfsburg,1,0,1,20.0,1,2,7,5,1,4,5,0,2024-2025,bundesliga
salih ozcan,Dortmund,6,4,1,53.8,7,7,11,7,0,7,10,0,2024-2025,bundesliga
exequiel palacios,Leverkusen,8,10,4,55.6,10,15,13,14,1,13,15,1,2024-2025,bundesliga
joao palhinha,Bayern Munich,6,11,3,68.8,11,14,4,13,1,12,9,1,2024-2025,bundesliga
mats pannewig,Bochum,7,3,0,25.0,3,6,2,8,1,7,8,0,2024-2025,bundesliga
kevin paredes,Wolfsburg,3,0,0,66.7,2,1,1,2,2,0,0,0,2024-2025,bundesliga
felix passlack,Bochum,32,13,8,54.5,30,23,18,42,11,31,63,1,2024-2025,bundesliga
aleksandar pavlovic,Bayern Munich,13,15,10,68.8,22,21,5,18,3,15,14,0,2024-2025,bundesliga
mads pedersen,Augsburg,5,2,1,80.0,4,7,2,4,0,4,6,0,2024-2025,bundesliga
jordan pefok,Union Berlin,6,0,5,42.9,3,6,4,9,2,7,18,0,2024-2025,bundesliga
daniel peretz,Bayern Munich,0,0,0,0.0,0,0,0,0,0,0,2,0,2024-2025,bundesliga
noah pesch,Gladbach,0,0,1,,0,0,0,0,0,0,0,0,2024-2025,bundesliga
luca philipp,Hoffenheim,1,0,0,100.0,1,0,0,0,0,0,1,0,2024-2025,bundesliga
maximilian philipp,Freiburg,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,bundesliga
benedikt pichler,Holstein Kiel,1,0,4,50.0,2,2,2,4,2,2,11,0,2024-2025,bundesliga
amos pieper,Werder Bremen,16,11,5,63.6,21,17,24,28,17,11,98,1,2024-2025,bundesliga
marvin pieringer,Heidenheim,5,12,6,50.0,5,13,8,21,2,19,32,0,2024-2025,bundesliga
alassane plea,Gladbach,0,2,5,30.8,4,3,2,11,0,11,7,1,2024-2025,bundesliga
finn porath,Holstein Kiel,24,14,7,49.1,26,26,21,27,9,18,67,0,2024-2025,bundesliga
yussuf poulsen,RB Leipzig,2,6,2,50.0,4,5,0,7,2,5,14,0,2024-2025,bundesliga
alexander prass,Hoffenheim,24,15,3,40.7,24,23,9,33,6,27,53,4,2024-2025,bundesliga
david preu,Union Berlin,0,1,0,0.0,0,1,0,4,2,2,2,0,2024-2025,bundesliga
grischa promel,Hoffenheim,0,0,0,0.0,0,0,2,1,1,0,4,0,2024-2025,bundesliga
ivan prtajin,Union Berlin,0,1,2,,0,2,0,2,0,2,3,0,2024-2025,bundesliga
tymoteusz puchacz,Holstein Kiel,6,3,0,71.4,5,4,3,4,1,3,11,0,2024-2025,bundesliga
leopold querfeld,Union Berlin,21,4,0,72.2,13,12,19,25,10,15,144,2,2024-2025,bundesliga
grant ranos,Gladbach,0,1,0,0.0,0,0,0,2,0,2,0,0,2024-2025,bundesliga
david raum,RB Leipzig,16,14,8,57.1,20,28,9,25,8,17,47,4,2024-2025,bundesliga
rocco reitz,Gladbach,24,24,4,55.8,24,24,53,39,16,23,59,2,2024-2025,bundesliga
nicolai remberg,Holstein Kiel,24,17,4,46.3,19,25,29,46,20,26,100,0,2024-2025,bundesliga
elvis rexhbecaj,Augsburg,9,14,4,42.9,15,19,16,40,9,31,22,1,2024-2025,bundesliga
gio reyna,Dortmund,3,0,4,80.0,4,0,0,3,1,2,9,0,2024-2025,bundesliga
fabian rieder,Stuttgart,4,9,4,30.4,7,14,10,10,1,9,7,1,2024-2025,bundesliga
lasse rie,Mainz 05,0,0,0,,0,0,0,0,0,0,5,0,2024-2025,bundesliga
lars ritzka,St. Pauli,28,16,5,61.0,25,29,11,16,2,14,41,0,2024-2025,bundesliga
mads roerslev,Wolfsburg,8,1,1,66.7,6,9,5,2,2,0,16,0,2024-2025,bundesliga
merlin rohl,Freiburg,4,10,2,81.8,9,10,6,9,1,8,2,0,2024-2025,bundesliga
lasse rosenboom,Holstein Kiel,25,16,6,68.1,32,35,19,28,9,19,71,3,2024-2025,bundesliga
max rosenfelder,Freiburg,17,10,0,73.7,14,17,7,17,9,8,65,0,2024-2025,bundesliga
tom rothe,Union Berlin,27,15,3,56.9,29,28,18,41,5,36,57,1,2024-2025,bundesliga
anthony rouault,Stuttgart,10,3,2,66.7,10,11,19,18,9,9,63,1,2024-2025,bundesliga
jerome roussillon,Union Berlin,0,0,0,0.0,0,0,2,0,0,0,7,0,2024-2025,bundesliga
julian ryerson,Dortmund,26,13,7,56.8,25,30,22,29,2,27,26,1,2024-2025,bundesliga
frederik rnnow,Union Berlin,0,0,0,0.0,0,0,0,0,0,0,22,2,2024-2025,bundesliga
elias saad,St. Pauli,7,8,5,50.0,10,13,3,14,0,14,1,0,2024-2025,bundesliga
marcel sabitzer,Dortmund,7,15,7,59.3,16,19,10,19,6,13,29,1,2024-2025,bundesliga
faik sakar,RB Leipzig,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,bundesliga
manolis saliakas,St. Pauli,24,18,4,51.0,25,22,20,38,8,30,62,0,2024-2025,bundesliga
roland sallai,Freiburg,1,1,0,,0,1,1,0,0,0,0,0,2024-2025,bundesliga
diadie samassekou,Hoffenheim,1,2,2,50.0,2,5,5,4,2,2,5,0,2024-2025,bundesliga
philipp sander,Gladbach,16,15,2,43.5,10,17,23,16,7,9,44,3,2024-2025,bundesliga
james sands,St. Pauli,5,8,2,100.0,4,6,5,5,1,4,8,0,2024-2025,bundesliga
leroy sane,Bayern Munich,4,8,11,52.2,12,15,7,8,0,8,3,0,2024-2025,bundesliga
kaishu sano,Mainz 05,22,31,8,48.1,25,36,65,66,14,52,56,1,2024-2025,bundesliga
kaua santos,Eint Frankfurt,0,0,0,,0,0,0,0,0,0,10,2,2024-2025,bundesliga
joe scally,Gladbach,25,18,2,58.7,27,32,16,35,11,24,86,2,2024-2025,bundesliga
andras schafer,Union Berlin,23,24,5,61.0,25,26,22,33,6,27,36,0,2024-2025,bundesliga
patrik schick,Leverkusen,1,3,2,20.0,1,5,4,9,1,8,17,1,2024-2025,bundesliga
stefan schimmer,Heidenheim,1,1,0,50.0,1,0,0,1,0,1,4,0,2024-2025,bundesliga
xaver schlager,RB Leipzig,2,1,1,42.9,3,2,0,7,0,7,3,0,2024-2025,bundesliga
keven schlotterbeck,Augsburg,9,9,1,75.0,12,17,15,13,6,7,73,1,2024-2025,bundesliga
nico schlotterbeck,Dortmund,21,16,1,60.0,27,24,22,31,15,16,79,1,2024-2025,bundesliga
romano schmid,Werder Bremen,10,22,11,47.1,24,25,11,42,3,39,9,2,2024-2025,bundesliga
