Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
sacha delaye,Montpellier,0,0,1,100.0,1,0,0,0,0,0,0,0,2022-2023,ligue1
andy delort,Nice,1,1,0,50.0,1,0,1,0,0,0,7,0,2022-2023,ligue1
andy delort,Nantes,1,2,2,33.3,2,4,0,3,0,3,2,0,2022-2023,ligue1
karamoko dembele,Brest,1,1,0,100.0,2,0,1,1,0,1,0,0,2022-2023,ligue1
moussa dembele,Lyon,3,3,2,57.1,4,4,2,5,0,5,6,0,2022-2023,ligue1
siriki dembele,Auxerre,4,3,3,33.3,4,6,1,2,0,2,2,0,2022-2023,ligue1
branco van den boomen,Toulouse,26,32,13,40.4,36,36,10,27,4,23,27,2,2022-2023,ligue1
remy descamps,Nantes,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,ligue1
mikkel desler,Toulouse,36,27,8,64.2,43,38,36,35,6,29,48,2,2022-2023,ligue1
mamadou diakhon,Reims,2,0,0,0.0,0,0,1,1,0,1,0,0,2022-2023,ligue1
bafode diakite,Lille,23,24,7,56.1,32,35,17,37,8,29,58,0,2022-2023,ligue1
ibrahim diakite,Reims,3,0,0,66.7,2,3,5,0,0,0,6,0,2022-2023,ligue1
baila diallo,Clermont Foot,1,0,0,,0,0,0,1,1,0,1,0,2022-2023,ligue1
habib diallo,Strasbourg,8,7,3,37.5,6,10,12,19,4,15,26,0,2022-2023,ligue1
ismael diallo,Ajaccio,35,9,2,55.6,35,33,30,26,12,14,46,1,2022-2023,ligue1
habib diarra,Strasbourg,10,11,3,51.7,15,16,11,17,1,16,13,0,2022-2023,ligue1
moussa diarra,Toulouse,9,9,2,60.0,9,9,19,25,10,15,27,1,2022-2023,ligue1
stephane diarra,Lorient,14,9,2,37.9,11,17,22,13,1,12,9,0,2022-2023,ligue1
krepin diatta,Monaco,4,17,9,40.6,13,21,17,29,1,28,12,0,2022-2023,ligue1
mory diaw,Clermont Foot,0,0,0,0.0,0,0,2,0,0,0,13,5,2022-2023,ligue1
bamba dieng,Marseille,2,1,1,75.0,3,4,0,5,1,4,0,0,2022-2023,ligue1
bamba dieng,Lorient,5,12,2,27.3,3,10,2,6,0,6,6,0,2022-2023,ligue1
tristan dingome,Troyes,0,1,0,0.0,0,1,0,0,0,0,0,0,2022-2023,ligue1
sinaly diomande,Lyon,26,15,1,63.3,31,24,49,26,13,13,75,1,2022-2023,ligue1
lois diony,Angers,0,1,0,33.3,1,0,0,2,0,2,1,0,2022-2023,ligue1
edan diop,Monaco,3,3,7,46.7,7,8,4,7,1,6,1,0,2022-2023,ligue1
