Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
dominic calvertlewin,Everton,1,0,3,20.0,1,2,3,5,1,4,18,0,2022-2023,premierleague
chem campbell,Wolves,1,1,0,0.0,0,1,1,2,0,2,0,0,2022-2023,premierleague
joao cancelo,Manchester City,16,9,4,70.8,17,21,19,7,1,6,9,1,2022-2023,premierleague
thomas cannon,Everton,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,premierleague
sergi canos,Brentford,0,0,0,0.0,0,0,0,3,1,2,1,0,2022-2023,premierleague
diego carlos,Aston Villa,0,1,0,0.0,0,0,1,2,2,0,2,0,2022-2023,premierleague
fabio carvalho,Liverpool,3,3,2,50.0,3,8,6,6,0,6,0,0,2022-2023,premierleague
casemiro,Manchester Utd,43,35,10,51.1,47,46,34,49,11,38,64,0,2022-2023,premierleague
matty cash,Aston Villa,36,15,4,70.3,26,32,26,20,5,15,43,0,2022-2023,premierleague
timothy castagne,Leicester City,53,27,7,48.8,41,44,43,50,13,37,110,0,2022-2023,premierleague
jonny castro,Wolves,22,10,1,44.7,17,15,14,26,5,21,28,2,2022-2023,premierleague
nathaniel chalobah,Fulham,1,0,0,100.0,1,1,0,0,0,0,2,0,2022-2023,premierleague
trevoh chalobah,Chelsea,22,6,3,68.6,24,20,24,17,7,10,56,1,2022-2023,premierleague
calum chambers,Aston Villa,7,2,0,75.0,6,6,7,5,4,1,10,1,2022-2023,premierleague
shea charles,Manchester City,4,0,0,100.0,1,0,1,0,0,0,2,0,2022-2023,premierleague
ben chilwell,Chelsea,12,8,1,52.0,13,17,18,21,2,19,26,0,2022-2023,premierleague
ryan christie,Bournemouth,10,23,1,28.0,14,22,26,16,4,12,20,0,2022-2023,premierleague
carney chukwuemeka,Chelsea,7,6,0,60.0,3,7,6,7,0,7,1,0,2022-2023,premierleague
bobby clark,Liverpool,0,0,0,,0,0,0,2,0,2,0,0,2022-2023,premierleague
nathaniel clyne,Crystal Palace,13,9,5,60.9,14,16,19,22,4,18,34,0,2022-2023,premierleague
conor coady,Everton,8,6,0,46.7,7,9,14,21,17,4,88,3,2022-2023,premierleague
jack colback,Nott'ham Forest,12,6,0,62.5,5,13,3,3,0,3,9,0,2022-2023,premierleague
seamus coleman,Everton,21,10,4,65.5,19,26,22,14,7,7,58,2,2022-2023,premierleague
