Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
samuel chukwueze,Villarreal,7,2,5,30.4,7,7,12,13,0,13,16,0,2022-2023,laliga
chumi,Almería,18,9,2,60.9,14,16,15,20,7,13,53,0,2022-2023,laliga
victor chust,Cádiz,7,2,0,57.1,4,6,10,8,3,5,53,0,2022-2023,laliga
pathe ciss,Rayo Vallecano,11,23,5,44.1,15,29,22,23,10,13,34,0,2022-2023,laliga
carlos clerc,Elche,55,16,4,62.0,31,51,28,29,7,22,94,1,2022-2023,laliga
alex collado,Elche,13,11,2,61.5,8,14,2,12,1,11,4,0,2022-2023,laliga
diego collado,Villarreal,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,laliga
eray comert,Valencia,24,10,1,51.5,17,23,29,23,8,15,76,1,2022-2023,laliga
santi comesana,Rayo Vallecano,24,41,6,46.3,38,44,32,39,3,36,17,0,2022-2023,laliga
copete,Mallorca,35,16,2,72.2,26,28,44,38,17,21,111,2,2022-2023,laliga
francis coquelin,Villarreal,7,9,2,100.0,7,13,9,8,2,6,7,0,2022-2023,laliga
jesus corona,Sevilla,1,0,0,0.0,0,0,1,0,0,0,1,0,2022-2023,laliga
angel correa,Atlético Madrid,6,3,3,31.3,5,6,10,17,0,17,6,1,2022-2023,laliga
thierry correia,Valencia,46,22,3,57.4,31,52,24,25,2,23,54,2,2022-2023,laliga
jaume costa,Mallorca,26,17,7,56.9,29,34,22,13,5,8,44,1,2022-2023,laliga
samu costa,Almería,35,20,6,47.5,29,31,37,29,7,22,64,4,2022-2023,laliga
thibaut courtois,Real Madrid,1,0,0,100.0,1,0,3,0,0,0,7,1,2022-2023,laliga
yan couto,Girona,11,11,3,60.0,12,18,5,7,2,5,10,0,2022-2023,laliga
juan cruz armada,Osasuna,17,4,3,56.5,13,14,13,21,8,13,58,0,2022-2023,laliga
juan cruz,Betis,0,1,0,33.3,1,0,0,1,0,1,0,0,2022-2023,laliga
jorge cuenca,Villarreal,7,2,0,57.1,4,7,6,10,8,2,44,0,2022-2023,laliga
braian cufre,Mallorca,2,1,2,40.0,2,2,2,2,1,1,1,0,2022-2023,laliga
matheus cunha,Atlético Madrid,1,3,0,0.0,0,1,2,4,1,3,3,0,2022-2023,laliga
curro,Almería,1,1,0,50.0,1,0,0,0,0,0,0,0,2022-2023,laliga
arnaut danjuma,Villarreal,1,0,2,50.0,1,3,0,0,0,0,1,1,2022-2023,laliga
sergi darder,Espanyol,12,43,14,39.7,29,38,24,34,2,32,23,0,2022-2023,laliga
rodrigo de paul,Atlético Madrid,11,18,6,51.4,18,21,8,20,3,17,7,0,2022-2023,laliga
alberto del moral,Villarreal,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,laliga
thomas delaney,Sevilla,0,4,0,60.0,3,2,4,3,2,1,3,0,2022-2023,laliga
fran delgado,Betis,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,laliga
ousmane dembele,Barcelona,4,8,7,26.7,4,12,0,10,1,9,2,0,2022-2023,laliga
mouctar diakhaby,Valencia,19,11,0,65.0,13,16,20,30,17,13,111,2,2022-2023,laliga
mamady diarra,Cádiz,2,0,0,50.0,1,1,0,2,0,2,0,0,2022-2023,laliga
youba diarra,Cádiz,2,1,0,20.0,1,0,2,7,1,6,3,0,2022-2023,laliga
stole dimitrievski,Rayo Vallecano,1,0,0,50.0,1,0,1,2,0,2,17,3,2022-2023,laliga
djene,Getafe,23,17,1,57.9,22,28,42,25,10,15,81,1,2022-2023,laliga
marko dmitrovic,Sevilla,0,0,0,,0,0,0,0,0,0,6,0,2022-2023,laliga
matt doherty,Atlético Madrid,0,0,0,,0,0,0,2,0,2,0,0,2022-2023,laliga
kasper dolberg,Sevilla,0,1,0,33.3,1,0,0,0,0,0,5,0,2022-2023,laliga
carlos dominguez,Celta Vigo,0,1,0,50.0,1,1,0,1,1,0,7,0,2022-2023,laliga
john donald,Elche,9,9,2,50.0,7,11,14,14,7,7,23,1,2022-2023,laliga
domingos duarte,Getafe,21,5,0,73.1,19,18,39,29,23,6,145,0,2022-2023,laliga
pablo duran,Celta Vigo,0,0,0,,0,0,1,2,1,1,2,0,2022-2023,laliga
hugo duro,Valencia,2,6,7,41.2,7,12,2,11,1,10,7,1,2022-2023,laliga
inigo eguaras,Almería,4,6,1,27.8,5,8,6,9,3,6,15,0,2022-2023,laliga
aritz elustondo,Real Sociedad,15,10,1,53.8,14,17,20,15,6,9,43,1,2022-2023,laliga
rodrigo ely,Almería,26,4,0,72.0,18,21,31,46,33,13,203,1,2022-2023,laliga
adri embarba,Almería,21,26,3,47.8,22,27,9,23,0,23,9,0,2022-2023,laliga
adri embarba,Espanyol,0,1,0,100.0,1,0,0,1,0,1,0,0,2022-2023,laliga
youssef ennesyri,Sevilla,3,7,6,28.6,4,8,4,6,2,4,16,0,2022-2023,laliga
gonzalo escalante,Cádiz,15,20,1,51.7,15,24,17,18,4,14,26,1,2022-2023,laliga
sergio escudero,Valladolid,21,8,4,42.9,15,19,26,26,6,20,46,0,2022-2023,laliga
alfonso espino,Cádiz,55,20,12,50.0,48,56,48,52,11,41,99,3,2022-2023,laliga
bernardo espinosa,Girona,2,4,0,33.3,3,2,12,17,10,7,70,2,2022-2023,laliga
edu exposito,Espanyol,16,15,3,56.5,13,20,12,7,0,7,20,0,2022-2023,laliga
nicolas ezequiel fernandez,Elche,10,7,6,52.9,9,12,5,7,0,7,2,1,2022-2023,laliga
abde ezzalzouli,Osasuna,13,12,4,56.5,13,19,4,20,0,20,6,0,2022-2023,laliga
radamel falcao,Rayo Vallecano,1,3,0,12.5,1,4,2,5,1,4,10,0,2022-2023,laliga
fali,Cádiz,19,8,0,62.1,18,19,13,24,15,9,70,1,2022-2023,laliga
mamadou fall,Villarreal,0,0,0,,0,0,0,1,0,1,1,0,2022-2023,laliga
ansu fati,Barcelona,8,4,4,27.8,5,9,5,19,0,19,6,0,2022-2023,laliga
zouhair feddal,Valladolid,1,3,0,75.0,3,2,5,9,9,0,27,0,2022-2023,laliga
nabil fekir,Betis,3,3,5,22.2,2,5,1,6,2,4,0,0,2022-2023,laliga
felipe,Atlético Madrid,1,2,0,50.0,2,2,0,2,2,0,7,0,2022-2023,laliga
luiz felipe,Betis,23,11,0,52.9,18,23,28,43,24,19,106,0,2022-2023,laliga
joao felix,Atlético Madrid,2,3,5,16.7,1,7,3,1,0,1,2,0,2022-2023,laliga
kiko femenia,Villarreal,14,3,1,72.2,13,9,20,15,6,9,22,0,2022-2023,laliga
aitor fernandez,Osasuna,1,0,0,0.0,0,1,2,0,0,0,17,0,2022-2023,laliga
alex fernandez,Cádiz,6,4,3,28.6,4,7,8,14,1,13,19,0,2022-2023,laliga
alvaro fernandez,Espanyol,0,0,0,,0,0,0,0,0,0,7,2,2022-2023,laliga
carlos fernandez,Real Sociedad,1,3,2,6.7,1,4,1,1,0,1,4,0,2022-2023,laliga
