nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
tomas cvancara,gladbach,FW,2000,21,7,896,4,1,4,0,12,13,47,2023-2024,bundesliga
finn dahmen,augsburg,GK,1998,31,31,2790,0,0,4,0,0,3,0,2023-2024,bundesliga
mahmoud dahoud,stuttgart,MF,1996,13,1,227,1,0,0,0,1,19,5,2023-2024,bundesliga
lukas daschner,bochum,"MF,FW",1998,20,3,536,1,1,2,0,11,17,37,2023-2024,bundesliga
david datro fofana,union berlin,"FW,MF",2002,12,8,682,1,0,0,0,20,14,66,2023-2024,bundesliga
alphonso davies,bayern munich,DF,2000,29,24,2065,2,5,0,0,121,117,139,2023-2024,bundesliga
olivier deman,werder bremen,DF,2000,29,14,1365,2,1,5,0,26,40,53,2023-2024,bundesliga
ermedin demirovic,augsburg,"FW,MF",1998,33,33,2873,15,9,7,0,28,60,167,2023-2024,bundesliga
sepp van den berg,mainz,DF,2001,33,31,2839,3,0,9,0,7,95,6,2023-2024,bundesliga
samuele di benedetto,stuttgart,MF,2005,1,0,7,0,0,0,0,0,0,1,2023-2024,bundesliga
justin diehl,koln,"FW,MF",2004,7,1,168,0,0,0,0,6,2,17,2023-2024,bundesliga
eric dier,bayern munich,DF,1994,15,13,1166,0,0,1,0,8,53,1,2023-2024,bundesliga
florian dietz,koln,"FW,MF",1998,5,0,70,0,0,0,0,0,0,8,2023-2024,bundesliga
junior dina ebimbe,eint frankfurt,"MF,DF",2000,31,25,1956,5,3,5,0,57,79,157,2023-2024,bundesliga
eren dinkci,heidenheim,"FW,MF",2001,33,33,2650,10,5,8,0,85,89,143,2023-2024,bundesliga
ritsu doan,freiburg,"DF,MF",1998,30,26,2246,7,2,2,0,49,78,139,2023-2024,bundesliga
danilho doekhi,union berlin,DF,1998,24,24,2160,2,0,2,0,7,65,6,2023-2024,bundesliga
niklas dorsch,augsburg,MF,1998,21,16,1386,0,0,5,0,12,47,12,2023-2024,bundesliga
nikola dovedan,heidenheim,"MF,FW",1994,21,5,656,3,1,0,1,12,22,25,2023-2024,bundesliga
damion downs,koln,"FW,MF",2004,10,0,181,2,0,0,0,1,0,5,2023-2024,bundesliga
dion drena beljo,augsburg,"FW,MF",2002,26,3,581,2,0,2,0,16,20,35,2023-2024,bundesliga
tim drexler,hoffenheim,DF,2005,8,6,573,0,0,1,0,6,12,0,2023-2024,bundesliga
marvin ducksch,werder bremen,FW,1994,33,32,2696,12,9,9,0,17,88,150,2023-2024,bundesliga
julien duranville,dortmund,"FW,MF",2006,2,0,12,0,0,0,0,2,0,1,2023-2024,bundesliga
maximilian eggestein,freiburg,MF,1996,33,33,2914,1,2,6,0,42,162,72,2023-2024,bundesliga
lilian egloff,stuttgart,"MF,DF",2002,5,1,106,0,0,1,0,2,2,2,2023-2024,bundesliga
hugo ekitike,eint frankfurt,FW,2002,14,7,716,4,2,3,0,16,9,60,2023-2024,bundesliga
elif elmas,rb leipzig,"MF,FW",1999,14,2,266,0,0,0,0,9,9,18,2023-2024,bundesliga
nico elvedi,gladbach,DF,1996,30,28,2482,2,1,5,0,37,109,6,2023-2024,bundesliga
arne engels,augsburg,"MF,DF",2003,32,13,1405,3,2,1,1,23,52,62,2023-2024,bundesliga
ohis felix uduokhai,augsburg,DF,1997,33,33,2921,2,0,5,1,25,101,6,2023-2024,bundesliga
edimilson fernandes,mainz,DF,1996,21,13,1290,0,2,4,0,9,53,9,2023-2024,bundesliga
nacho ferri,eint frankfurt,"FW,MF",2004,8,0,74,1,0,0,0,0,2,8,2023-2024,bundesliga
max finkgrafe,koln,"DF,FW",2004,24,18,1756,1,0,4,0,51,53,59,2023-2024,bundesliga
kilian fischer,wolfsburg,"DF,MF",2000,6,4,291,0,0,1,0,6,6,9,2023-2024,bundesliga
jonas fohrenbach,heidenheim,DF,1996,33,32,2788,0,0,2,0,44,96,69,2023-2024,bundesliga
emil forsberg,rb leipzig,"MF,FW",1991,14,5,464,2,1,0,0,8,22,38,2023-2024,bundesliga
philipp forster,bochum,"MF,FW",1995,13,3,385,0,0,1,0,7,21,19,2023-2024,bundesliga
bartol franjic,darmstadt,MF,2000,20,14,1229,0,1,5,0,13,50,14,2023-2024,bundesliga
marco friedl,werder bremen,DF,1998,25,25,2197,1,0,6,0,4,59,2,2023-2024,bundesliga
marvin friedrich,gladbach,DF,1995,24,17,1566,0,0,1,0,2,34,4,2023-2024,bundesliga
jeremie frimpong,leverkusen,DF,2000,31,27,2251,9,7,6,0,153,49,348,2023-2024,bundesliga
chris fuhrich,stuttgart,"FW,MF",1998,34,33,2567,8,7,2,0,153,145,259,2023-2024,bundesliga
shio fukuda,gladbach,"FW,MF",2004,5,0,36,0,0,0,0,0,0,2,2023-2024,bundesliga
