nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
alvaro negredo,cadiz,FW,1985,21,9,757,1,2,0,0,4,17,22,2022-2023,laliga
tanguy nianzou,sevilla,DF,2002,19,16,1366,1,0,1,1,4,66,0,2022-2023,laliga
saul niguez,atletico madrid,"MF,DF",1994,31,11,1100,3,1,8,0,12,34,47,2022-2023,laliga
fernando nino,villarreal,"MF,FW",2000,3,0,22,0,0,0,0,0,0,4,2022-2023,laliga
randy nteka,elche,"FW,MF",1997,14,10,726,0,0,1,0,13,13,43,2022-2023,laliga
randy nteka,rayo vallecano,"FW,MF",1997,10,0,116,0,0,0,1,3,6,7,2022-2023,laliga
unai nunez,celta vigo,DF,1997,36,35,3151,0,0,8,0,31,146,5,2022-2023,laliga
jan oblak,atletico madrid,GK,1993,28,28,2492,0,0,1,0,0,0,0,2022-2023,laliga
brian ocampo,cadiz,"MF,FW",1999,18,15,1119,1,1,2,0,40,22,81,2022-2023,laliga
lucas ocampos,sevilla,"FW,MF",1994,19,11,1165,4,0,7,0,33,37,113,2022-2023,laliga
alvaro odriozola,real madrid,DF,1995,3,0,39,0,0,0,0,4,2,5,2022-2023,laliga
olasagasti,real sociedad,"MF,DF",2000,3,0,65,0,0,0,0,2,2,3,2022-2023,laliga
lucas olaza,valladolid,DF,1994,23,16,1494,0,1,3,0,12,66,90,2022-2023,laliga
brian olivan,espanyol,DF,1994,30,29,2403,1,7,7,0,48,80,139,2022-2023,laliga
lucas oliveira rosa,valladolid,DF,2000,17,11,931,0,1,3,0,24,22,61,2022-2023,laliga
aimar oroz,osasuna,"MF,FW",2001,31,23,2013,3,6,6,0,35,86,144,2022-2023,laliga
pedro ortiz,sevilla,MF,2000,1,0,1,0,0,0,0,0,0,0,2022-2023,laliga
mikel oyarzabal,real sociedad,"FW,MF",1997,23,14,1214,4,1,1,0,27,29,122,2022-2023,laliga
cenk ozkacar,valencia,DF,2000,17,14,1365,0,0,1,0,23,61,2,2022-2023,laliga
fernando pacheco,almeria,GK,1992,1,1,90,0,0,0,0,0,0,0,2022-2023,laliga
fernando pacheco,espanyol,GK,1992,16,16,1440,0,0,0,0,0,2,0,2022-2023,laliga
jon pacheco,real sociedad,DF,2001,17,12,1193,0,1,2,0,18,48,0,2022-2023,laliga
goncalo paciencia,celta vigo,"FW,MF",1994,25,5,662,2,0,2,1,7,11,43,2022-2023,laliga
helibelton palacios,elche,DF,1993,24,23,1915,0,0,6,0,25,51,25,2022-2023,laliga
isaac palazon camacho,rayo vallecano,"FW,MF",1994,37,36,2965,9,5,4,0,49,127,181,2022-2023,laliga
aitor paredes,athletic club,DF,2000,16,9,859,0,0,3,0,4,33,8,2022-2023,laliga
daniel parejo,villarreal,MF,1989,37,37,3285,3,4,6,0,26,250,32,2022-2023,laliga
moises parra gutierrez,getafe,FW,2002,1,0,10,0,0,0,0,0,0,0,2022-2023,laliga
raul parra,cadiz,DF,1999,6,4,310,0,0,1,0,0,7,4,2022-2023,laliga
pascu,villarreal,"DF,FW",2003,2,0,10,1,0,0,0,1,1,2,2022-2023,laliga
javier pastore,elche,MF,1989,1,0,5,0,0,0,0,2,1,2,2022-2023,laliga
gabriel paulista,valencia,DF,1990,21,18,1504,1,0,4,2,12,61,1,2022-2023,laliga
alfonso pedraza,villarreal,DF,1996,26,20,1633,0,3,5,0,68,31,145,2022-2023,laliga
pedri,barcelona,MF,2002,26,22,1976,6,1,2,0,67,184,99,2022-2023,laliga
adria pedrosa,espanyol,"DF,MF",1998,7,2,229,0,0,0,0,7,4,21,2022-2023,laliga
inaki pena,barcelona,GK,1999,2,0,73,0,0,0,0,0,0,0,2022-2023,laliga
ruben pena,osasuna,"DF,MF",1991,20,14,1277,0,1,2,1,32,61,59,2022-2023,laliga
alberto perea,cadiz,MF,1990,1,1,45,0,0,0,0,0,2,2,2022-2023,laliga
ayoze perez,betis,"FW,MF",1993,19,17,1386,3,1,3,0,51,39,102,2022-2023,laliga
carles perez,celta vigo,"MF,FW",1998,35,23,2144,3,5,5,0,93,66,185,2022-2023,laliga
francisco perez,valencia,"FW,MF",2002,7,0,141,0,0,2,0,7,8,15,2022-2023,laliga
kike perez,valladolid,MF,1997,36,28,2307,1,2,9,0,54,134,82,2022-2023,laliga
lucas perez,cadiz,FW,1988,14,5,628,3,0,3,0,8,14,24,2022-2023,laliga
luis perez,valladolid,DF,1995,18,15,1213,0,1,2,0,24,42,84,2022-2023,laliga
german pezzella,betis,DF,1991,31,29,2511,0,0,4,3,8,54,3,2022-2023,laliga
ronael pierregabriel,espanyol,DF,1998,8,2,236,1,0,2,1,7,7,16,2022-2023,laliga
yeremi pino,villarreal,"FW,MF",2002,36,31,2447,4,6,8,0,65,62,256,2022-2023,laliga
gerard pique,barcelona,DF,1987,6,4,384,0,0,2,1,3,35,1,2022-2023,laliga
oscar plano,valladolid,"FW,MF",1991,33,22,2038,1,1,3,0,30,73,95,2022-2023,laliga
gonzalo plata,valladolid,FW,2000,34,26,2302,1,5,1,0,97,54,213,2022-2023,laliga
ezequiel ponce,elche,"FW,MF",1997,34,8,1129,4,0,2,1,10,19,51,2022-2023,laliga
francisco portillo,almeria,"MF,FW",1990,27,4,722,2,1,1,0,16,74,37,2022-2023,laliga
portu,getafe,"MF,DF",1992,34,17,1770,0,3,7,1,42,40,130,2022-2023,laliga
jose pozo,rayo vallecano,"MF,FW",1996,8,1,88,0,0,0,0,5,6,7,2022-2023,laliga
manuel pozo,valladolid,FW,2001,1,0,19,0,0,0,0,0,1,1,2022-2023,laliga
alejandro pozo pozo,almeria,DF,1999,30,20,1880,0,3,2,0,44,64,90,2022-2023,laliga
abdon prats,mallorca,"FW,MF",1992,26,2,416,1,1,1,0,1,8,15,2022-2023,laliga
javi puado,espanyol,"FW,MF",1998,37,25,2340,7,2,4,0,60,58,117,2022-2023,laliga
arnau puigmal,almeria,"MF,FW",2001,22,7,763,1,0,4,0,24,16,57,2022-2023,laliga
domingos quina,elche,MF,1999,10,2,275,0,0,3,1,12,17,7,2022-2023,laliga
ruben quintanilla,mallorca,DF,2002,1,0,4,0,0,0,0,0,1,0,2022-2023,laliga
antonio raillo,mallorca,DF,1991,31,31,2766,2,3,11,1,8,50,5,2022-2023,laliga
predrag rajkovic,mallorca,GK,1995,36,36,3240,0,0,3,0,0,3,0,2022-2023,laliga
ivan rakitic,sevilla,MF,1988,31,21,1788,1,3,3,1,42,148,84,2022-2023,laliga
largie ramazani,almeria,"FW,MF",2001,33,13,1403,3,1,6,0,59,30,94,2022-2023,laliga
chris ramos,cadiz,FW,1997,15,7,710,1,0,2,0,9,6,35,2022-2023,laliga
raphinha,barcelona,FW,1996,36,25,2072,7,7,9,0,97,104,339,2022-2023,laliga
sergio reguilon,atletico madrid,DF,1996,11,2,309,0,0,3,1,16,11,30,2022-2023,laliga
pepe reina,villarreal,GK,1982,22,22,1980,0,0,2,0,0,0,0,2022-2023,laliga
reinier,girona,"MF,FW",2002,18,5,647,2,1,1,1,13,25,27,2022-2023,laliga
karim rekik,sevilla,DF,1994,16,15,1181,1,1,2,0,13,50,7,2022-2023,laliga
alex remiro,real sociedad,GK,1995,38,38,3420,0,0,1,0,0,1,0,2022-2023,laliga
alejandro revuelta montero,getafe,DF,2000,1,0,1,0,0,0,0,0,0,0,2022-2023,laliga
chadi riad,barcelona,MF,2003,1,0,2,0,0,0,0,0,0,0,2022-2023,laliga
nico ribaudo,espanyol,"MF,FW",2001,32,16,1248,1,2,4,0,40,57,92,2022-2023,laliga
diego rico,real sociedad,DF,1993,20,18,1646,0,0,3,0,32,64,72,2022-2023,laliga
rodrigo riquelme,girona,"MF,FW",2000,34,25,2179,4,4,1,0,116,85,171,2022-2023,laliga
sergi roberto,barcelona,"DF,MF",1992,23,15,1308,4,1,3,0,48,97,72,2022-2023,laliga
lucas robertone,almeria,MF,1997,37,34,2843,2,7,7,0,47,155,97,2022-2023,laliga
joel roca,girona,"MF,FW",2005,5,0,84,0,0,1,0,3,0,14,2022-2023,laliga
enzo roco,elche,DF,1992,22,19,1652,0,0,7,1,6,42,2,2022-2023,laliga
rodri,betis,"FW,MF",2000,30,19,1601,2,3,0,0,57,102,104,2022-2023,laliga
alvaro rodriguez,real madrid,FW,2004,6,0,79,1,1,0,0,0,1,3,2022-2023,laliga
angel rodriguez,mallorca,"FW,MF",1987,17,2,394,1,0,1,0,4,6,19,2022-2023,laliga
oscar rodriguez arnaiz,celta vigo,MF,1998,33,19,1775,2,0,6,0,29,118,37,2022-2023,laliga
dani rodriguez,mallorca,MF,1988,35,26,2100,3,6,8,0,43,76,64,2022-2023,laliga
guido rodriguez,betis,MF,1994,34,33,2872,1,0,8,0,11,123,18,2022-2023,laliga
miguel rodriguez,celta vigo,"MF,FW",2003,7,3,252,1,1,0,0,10,6,22,2022-2023,laliga
rodrygo,real madrid,"FW,MF",2001,34,25,2379,9,8,4,0,146,81,268,2022-2023,laliga
leo roman,mallorca,GK,2000,1,1,90,0,0,0,0,0,0,0,2022-2023,laliga
ivan romero,sevilla,MF,2001,1,0,11,0,0,1,0,0,0,0,2022-2023,laliga
oriol romeu,girona,MF,1991,33,33,2950,2,0,10,1,15,133,16,2022-2023,laliga
ruben,espanyol,"DF,MF",2001,18,9,888,0,2,1,0,34,14,57,2022-2023,laliga
antonio rudiger,real madrid,DF,1993,33,26,2415,1,0,1,0,21,59,10,2022-2023,laliga
aitor ruibal,betis,"DF,FW",1996,26,15,1454,0,0,4,1,39,62,70,2022-2023,laliga
victor ruiz,betis,DF,1989,10,5,560,0,0,0,0,4,10,0,2022-2023,laliga
geronimo rulli,villarreal,GK,1992,14,14,1260,0,0,1,0,0,0,0,2022-2023,laliga
franco russo,mallorca,DF,1994,3,2,145,0,0,0,0,0,1,0,2022-2023,laliga
youssouf sabaly,betis,DF,1993,23,19,1680,1,1,2,0,41,72,64,2022-2023,laliga
umar sadiq,almeria,FW,1997,3,3,240,2,0,1,0,5,2,7,2022-2023,laliga
umar sadiq,real sociedad,FW,1997,2,1,82,1,0,0,0,0,1,6,2022-2023,laliga
