nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
lorenzo colombo,monza,FW,2002,25,16,1359,4,1,3,0,16,24,75,2023-2024,serie-a
andrea colpani,monza,"MF,FW",1999,38,36,2657,8,4,1,0,90,120,193,2023-2024,serie-a
pietro comuzzo,fiorentina,"DF,FW",2005,4,0,43,0,0,1,0,0,3,0,2023-2024,serie-a
andrea consigli,sassuolo,GK,1987,35,35,3150,0,0,1,0,0,1,0,2023-2024,serie-a
nikita contini baranovsky,napoli,GK,1996,1,0,17,0,0,0,0,0,0,0,2023-2024,serie-a
diego coppola,hellas verona,DF,2003,24,18,1634,2,0,9,0,1,40,0,2023-2024,serie-a
tommaso corazza,bologna,DF,2004,9,1,195,0,0,1,0,10,14,9,2023-2024,serie-a
jeppe corfitzen,lecce,FW,2004,1,0,9,0,0,0,0,1,0,0,2023-2024,serie-a
giacomo corona,empoli,FW,2004,1,0,5,0,0,0,0,0,0,0,2023-2024,serie-a
joao costa,roma,"MF,FW",2005,3,0,14,0,0,1,0,0,1,1,2023-2024,serie-a
benoit costil,salernitana,GK,1987,13,13,1170,0,0,0,0,0,0,0,2023-2024,serie-a
lassana coulibaly,salernitana,MF,1996,28,25,2082,0,1,5,0,29,88,38,2023-2024,serie-a
mamadou coulibaly,salernitana,DF,1999,1,0,3,0,0,0,0,0,0,0,2023-2024,serie-a
alessio cragno,sassuolo,GK,1994,3,3,270,0,0,0,0,0,0,0,2023-2024,serie-a
bryan cristante,roma,"MF,DF",1995,37,37,3289,3,4,8,0,47,234,80,2023-2024,serie-a
juan cruz,hellas verona,"FW,MF",1999,4,1,109,0,0,0,0,3,4,4,2023-2024,serie-a
juan cuadrado,inter,DF,1988,10,0,267,0,2,1,0,17,11,35,2023-2024,serie-a
marvin cuni,frosinone,FW,2001,22,6,534,1,0,0,0,6,11,45,2023-2024,serie-a
danilo dambrosio,monza,DF,1988,24,16,1536,0,0,5,1,12,61,25,2023-2024,serie-a
flavius daniliuc,salernitana,DF,2001,14,8,744,0,0,2,0,8,37,2,2023-2024,serie-a
danilo,juventus,DF,1991,29,27,2452,1,1,7,0,18,161,21,2023-2024,serie-a
matteo darmian,inter,DF,1989,33,27,2404,2,1,2,0,18,72,82,2023-2024,serie-a
juan david cabal,hellas verona,DF,2001,22,17,1497,0,0,6,0,26,70,48,2023-2024,serie-a
keinan davis,udinese,"FW,MF",1998,8,0,186,1,0,2,0,2,6,15,2023-2024,serie-a
pawe dawidowicz,hellas verona,DF,1995,28,25,2143,0,0,5,0,11,89,5,2023-2024,serie-a
charles de ketelaere,atalanta,"FW,MF",2001,35,25,2026,10,8,1,0,88,126,219,2023-2024,serie-a
mattia de sciglio,juventus,DF,1992,1,1,45,0,0,0,0,0,3,1,2023-2024,serie-a
lorenzo de silvestri,bologna,DF,1988,15,7,674,2,0,0,0,14,27,12,2023-2024,serie-a
koni de winter,genoa,DF,2002,29,26,2380,0,1,8,1,21,76,15,2023-2024,serie-a
gregoire defrel,sassuolo,"FW,MF",1991,20,7,757,1,2,0,0,7,17,42,2023-2024,serie-a
alessandro deiola,cagliari,MF,1995,27,19,1608,1,0,7,0,9,64,21,2023-2024,serie-a
alessandro dellavalle,torino,DF,2004,1,0,15,0,0,0,0,0,1,0,2023-2024,serie-a
diego demme,napoli,MF,1991,2,1,73,0,0,1,0,3,5,0,2023-2024,serie-a
leander dendoncker,napoli,MF,1995,3,0,24,0,0,0,0,0,2,0,2023-2024,serie-a
mattia destro,empoli,"FW,MF",1991,15,3,366,0,0,2,0,4,4,19,2023-2024,serie-a
federico di francesco,lecce,"FW,MF",1994,2,0,15,1,0,0,0,1,1,3,2023-2024,serie-a
raffaele di gennaro,inter,GK,1993,1,0,23,0,0,0,0,0,0,0,2023-2024,serie-a
michele di gregorio,monza,GK,1997,33,33,2872,0,0,0,0,0,1,0,2023-2024,serie-a
giovanni di lorenzo,napoli,DF,1993,36,36,3234,1,6,6,0,95,304,250,2023-2024,serie-a
alessandro di pardo,cagliari,"DF,MF",1999,15,2,359,0,0,0,0,6,11,19,2023-2024,serie-a
boulaye dia,salernitana,"FW,MF",1996,17,12,1143,4,0,1,0,18,22,57,2023-2024,serie-a
federico dimarco,inter,DF,1997,30,29,2077,5,6,0,0,51,100,198,2023-2024,serie-a
tiago djalo,juventus,DF,2000,1,0,17,0,0,0,0,1,2,0,2023-2024,serie-a
koffi djidji,torino,DF,1992,13,8,759,0,0,2,0,4,19,3,2023-2024,serie-a
berat djimsiti,atalanta,DF,1993,37,32,2832,0,1,5,0,6,79,10,2023-2024,serie-a
dodo,fiorentina,DF,1998,9,7,523,0,0,0,0,20,39,21,2023-2024,serie-a
josh doig,hellas verona,DF,2002,12,11,830,0,0,2,0,23,15,22,2023-2024,serie-a
josh doig,sassuolo,DF,2002,16,15,1343,0,2,5,0,30,33,45,2023-2024,serie-a
nicolas dominguez,bologna,MF,1998,2,1,102,0,0,0,0,1,9,3,2023-2024,serie-a
