nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
ansu fati,brighton,"MF,FW",2002,19,3,521,2,0,2,0,16,28,50,2023-2024,premier-league
felipe,nottham forest,DF,1989,7,4,375,0,0,4,0,1,6,0,2023-2024,premier-league
evan ferguson,brighton,FW,2004,27,15,1367,6,0,1,0,13,15,62,2023-2024,premier-league
bruno fernandes,manchester utd,"MF,FW",1994,35,35,3118,10,8,9,0,86,297,182,2023-2024,premier-league
enzo fernandez,chelsea,MF,2001,28,26,2209,3,2,7,0,52,210,54,2023-2024,premier-league
john fleck,sheffield utd,"MF,DF",1991,4,1,92,0,0,1,0,2,3,0,2023-2024,premier-league
mark flekken,brentford,GK,1993,37,37,3285,0,1,3,0,0,5,0,2023-2024,premier-league
phil foden,manchester city,"FW,MF",2000,35,33,2857,19,8,2,0,93,168,269,2023-2024,premier-league
wes foderingham,sheffield utd,GK,1991,30,29,2649,0,0,2,0,0,0,0,2023-2024,premier-league
pablo fornals,west ham,"MF,FW",1996,15,4,426,0,0,0,0,4,29,27,2023-2024,premier-league
omari forson,manchester utd,FW,2004,4,1,70,0,1,0,0,1,2,2,2023-2024,premier-league
lyle foster,burnley,"FW,MF",2000,24,22,1899,5,3,0,1,55,37,104,2023-2024,premier-league
matheus franca,crystal palace,"MF,FW",2004,10,1,232,0,1,1,0,12,8,12,2023-2024,premier-league
nathan fraser,wolves,FW,2005,7,1,186,0,0,1,0,1,2,21,2023-2024,premier-league
cody gakpo,liverpool,"FW,MF",1999,35,17,1649,8,5,1,0,43,83,130,2023-2024,premier-league
conor gallagher,chelsea,MF,2000,37,37,3128,5,7,9,1,62,172,122,2023-2024,premier-league
idrissa gana gueye,everton,MF,1989,25,24,1884,4,0,8,0,29,83,41,2023-2024,premier-league
alejandro garnacho,manchester utd,FW,2004,36,30,2565,7,4,4,0,178,62,281,2023-2024,premier-league
james garner,everton,MF,2001,37,34,3004,1,2,7,0,36,100,76,2023-2024,premier-league
saman ghoddos,brentford,DF,1993,19,7,739,1,0,5,0,22,36,31,2023-2024,premier-league
morgan gibbswhite,nottham forest,"MF,FW",2000,37,35,3156,5,10,9,0,79,171,181,2023-2024,premier-league
bryan gil,tottenham,"FW,MF",2001,11,2,209,0,0,0,0,11,16,49,2023-2024,premier-league
alfie gilchrist,chelsea,DF,2003,11,2,207,1,0,1,0,1,7,4,2023-2024,premier-league
ryan giles,luton town,"DF,MF",2000,11,5,503,0,0,0,0,9,17,30,2023-2024,premier-league
billy gilmour,brighton,MF,2001,30,24,2120,0,1,8,1,39,193,33,2023-2024,premier-league
ben godfrey,everton,DF,1998,15,13,1120,0,0,2,0,11,43,26,2023-2024,premier-league
andre gomes,everton,"MF,FW",1993,12,3,508,1,0,4,0,8,36,29,2023-2024,premier-league
joao gomes,wolves,MF,2001,34,32,2649,2,1,11,0,28,101,44,2023-2024,premier-league
toti gomes,wolves,DF,1999,35,31,2772,1,3,7,0,22,79,11,2023-2024,premier-league
joe gomez,liverpool,DF,1997,32,17,1786,0,1,5,0,44,100,105,2023-2024,premier-league
sergio gomez,manchester city,"FW,MF",2000,6,0,53,0,1,0,0,4,2,4,2023-2024,premier-league
enso gonzalez,wolves,"MF,DF",2005,1,0,1,0,0,0,0,0,0,2,2023-2024,premier-league
anthony gordon,newcastle utd,FW,2001,35,34,2890,11,10,12,1,138,101,232,2023-2024,premier-league
kaide gordon,liverpool,FW,2004,1,0,1,0,0,0,0,0,1,0,2023-2024,premier-league
daniel gore,manchester utd,MF,2004,1,0,1,0,0,0,0,0,0,0,2023-2024,premier-league
ryan gravenberch,liverpool,MF,2002,26,12,1121,1,0,0,0,39,78,71,2023-2024,premier-league
ivo grbic,sheffield utd,GK,1996,9,9,771,0,0,1,0,0,0,0,2023-2024,premier-league
jack grealish,manchester city,"FW,MF",1995,20,10,1009,3,1,6,0,87,50,146,2023-2024,premier-league
pascal gro,brighton,"MF,DF",1991,36,34,3114,4,10,6,0,83,302,180,2023-2024,premier-league
marc guehi,crystal palace,DF,2000,25,23,2021,0,1,2,0,15,67,7,2023-2024,premier-league
bruno guimaraes,newcastle utd,MF,1997,37,37,3263,7,8,9,0,65,283,73,2023-2024,premier-league
malo gusto,chelsea,DF,2003,27,19,1751,0,6,7,1,78,86,135,2023-2024,premier-league
josko gvardiol,manchester city,DF,2002,28,26,2328,4,1,3,0,63,136,115,2023-2024,premier-league
erling haaland,manchester city,FW,2000,31,29,2552,27,5,1,0,35,26,126,2023-2024,premier-league
antwoine hackford,sheffield utd,FW,2004,2,0,13,0,0,0,0,0,0,0,2023-2024,premier-league
lewis hall,newcastle utd,DF,2004,18,8,781,1,0,2,0,19,46,27,2023-2024,premier-league
gustavo hamer,sheffield utd,MF,1997,36,34,2910,4,6,9,0,36,135,86,2023-2024,premier-league
luke harris,fulham,MF,2005,1,0,75,0,0,0,0,0,1,0,2023-2024,premier-league
jack harrison,everton,"MF,FW",1996,29,25,2214,3,3,1,0,65,62,135,2023-2024,premier-league
daiki hashioka,luton town,DF,1999,10,6,595,0,0,0,0,3,21,16,2023-2024,premier-league
kai havertz,arsenal,"MF,FW",1999,37,30,2634,13,7,11,0,55,99,191,2023-2024,premier-league
jan paul van hecke,brighton,DF,2000,28,26,2369,0,0,4,0,25,147,7,2023-2024,premier-league
hwang heechan,wolves,"FW,MF",1996,29,25,2119,12,3,6,0,37,37,120,2023-2024,premier-league
dean henderson,crystal palace,GK,1997,18,18,1620,0,0,2,0,0,0,0,2023-2024,premier-league
rico henry,brentford,DF,1997,5,5,401,0,1,1,0,13,20,12,2023-2024,premier-league
son heungmin,tottenham,FW,1992,35,34,2934,17,10,1,0,119,139,325,2023-2024,premier-league
aaron hickey,brentford,DF,2002,9,9,713,0,0,5,0,9,21,13,2023-2024,premier-league
james hill,bournemouth,DF,2002,5,1,76,0,0,0,0,0,5,1,2023-2024,premier-league
jack hinshelwood,brighton,DF,2005,12,8,869,3,0,1,0,16,19,38,2023-2024,premier-league
mason holgate,sheffield utd,DF,1996,10,9,710,0,0,3,1,0,13,0,2023-2024,premier-league
callum hudsonodoi,nottham forest,"FW,MF",2000,29,20,1854,8,1,0,0,111,58,173,2023-2024,premier-league
will hughes,crystal palace,MF,1995,30,23,1891,0,1,6,0,14,76,17,2023-2024,premier-league
pierre hjbjerg,tottenham,MF,1995,36,8,1311,0,0,4,0,17,134,29,2023-2024,premier-league
rasmus hjlund,manchester utd,FW,2003,30,25,2158,10,2,2,0,35,33,111,2023-2024,premier-league
