"comp_name","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url","Season"
"Ligue 2","France",2024,"Montpellier HSC","12","Jordan Ferri","Central Midfield",NA,33,"France","UC Sampdoria","1.73","right",NA,"Olympique Lyon",NA,2e+06,"https://www.transfermarkt.com/jordan-ferri/profil/spieler/118284","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","-","Stefan Dzodic","Central Midfield",NA,20,"Serbia","UD Almería","1.9","right",NA,NA,NA,2e+05,"https://www.transfermarkt.com/stefan-dzodic/profil/spieler/854097","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","11","Téji Savanier","Attacking Midfield",NA,33,"France","Montpellier HSC","1.72","right",NA,"Nîmes Olympique",NA,2500000,"https://www.transfermarkt.com/teji-savanier/profil/spieler/127156","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","18","Nicolas Pays","Attacking Midfield",NA,21,"France","Montpellier HSC","1.77","left",NA,"Le Puy Foot 43 Auvergne",NA,7e+05,"https://www.transfermarkt.com/nicolas-pays/profil/spieler/1093482","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","-","Théo Chennahi","Attacking Midfield",NA,20,"France","Montpellier HSC","1.82","right",NA,"Montpellier HSC B",NA,150000,"https://www.transfermarkt.com/theo-chennahi/profil/spieler/1019950","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","-","Simon Cara","Attacking Midfield",NA,20,"France","Istres Football Club","1.82","right",NA,NA,NA,50000,"https://www.transfermarkt.com/simon-cara/profil/spieler/1017912","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","10","Wahbi Khazri","Left Winger",NA,34,"Tunisia","Without Club","1.76","right",NA,"AS Saint-Étienne",NA,1e+06,"https://www.transfermarkt.com/wahbi-khazri/profil/spieler/103565","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","-","Mousa Tamari","Right Winger",NA,28,"Jordan","Stade Rennais FC","1.78","left",NA,"Oud-Heverlee Leuven",NA,6e+06,"https://www.transfermarkt.com/mousa-tamari/profil/spieler/551505","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","-","Arnaud Nordin","Right Winger",NA,27,"France","1.FSV Mainz 05","1.7","both",NA,"AS Saint-Étienne",NA,5e+06,"https://www.transfermarkt.com/arnaud-nordin/profil/spieler/324811","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","70","Tanguy Coulibaly","Right Winger",NA,24,"France","Montpellier HSC","1.79","left",NA,"Without Club",NA,1500000,"https://www.transfermarkt.com/tanguy-coulibaly/profil/spieler/618425","2024-2025"
