Player,Squad,Liga,Season,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle
hugo guillamon,Valencia,La-Liga,2024-2025,62,129,37,1,228,2,0.5,1,0.5,129,1,0,3,3
carlos guirao,Betis,La-Liga,2024-2025,14,38,10,1,60,1,1.0,0,0.0,60,1,0,1,2
arda guler,Real Madrid,La-Liga,2024-2025,131,477,460,50,1058,45,0.444,20,0.444,1720,33,10,23,9
gerard gumbau,Rayo Vallecano,La-Liga,2024-2025,104,276,129,10,507,4,0.5,2,0.5,365,9,0,8,2
jon guridi,Alavés,La-Liga,2024-2025,122,493,335,60,939,26,0.308,16,0.615,1129,31,4,38,17
gorka guruzeta,Athletic Club,La-Liga,2024-2025,67,342,240,78,643,20,0.55,9,0.45,375,12,2,48,20
miguel gutierrez,Girona,La-Liga,2024-2025,365,671,722,50,1741,55,0.527,24,0.436,2320,48,11,37,25
munir el haddadi,Leganés,La-Liga,2024-2025,34,176,164,17,372,21,0.33299999999999996,12,0.5710000000000001,357,9,1,22,25
sebastien haller,Leganés,La-Liga,2024-2025,21,66,45,11,129,3,0.33299999999999996,1,0.33299999999999996,105,2,0,17,5
henrique,Valladolid,La-Liga,2024-2025,75,139,24,1,237,7,0.429,3,0.429,355,3,0,3,4
javi hernandez,Leganés,La-Liga,2024-2025,425,607,309,27,1323,29,0.552,12,0.414,1835,32,5,27,26
aridane hernandez,Rayo Vallecano,La-Liga,2024-2025,394,270,17,12,680,6,0.5,2,0.33299999999999996,566,0,0,4,1
jorge herrando,Osasuna,La-Liga,2024-2025,419,422,34,17,871,1,1.0,0,0.0,1149,3,0,4,1
ander herrera,Athletic Club,La-Liga,2024-2025,37,151,49,6,236,5,0.4,1,0.2,196,4,0,3,2
sergio herrera,Osasuna,La-Liga,2024-2025,1344,14,0,0,1358,1,1.0,0,0.0,2294,0,0,2,0
yangel herrera,Girona,La-Liga,2024-2025,317,739,362,60,1405,47,0.40399999999999997,19,0.40399999999999997,1760,35,3,54,35
juan herzog,Las Palmas,La-Liga,2024-2025,492,297,27,20,812,2,0.0,1,0.5,569,1,0,2,0
