Player,Squad,Liga,Season,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err
iker benito,Osasuna,La-Liga,2024-2025,0,0,0,0.0,0,0,1,0,0,0,2,0
yuri berchiche,Athletic Club,La-Liga,2024-2025,19,11,3,0.5760000000000001,19,21,27,25,5,20,72,3
alex berenguer,Athletic Club,La-Liga,2024-2025,6,16,10,0.452,14,16,10,23,2,21,18,0
marc bernal,Barcelona,La-Liga,2024-2025,2,5,1,0.875,7,6,1,5,1,4,4,0
juan bernat,Villarreal,La-Liga,2024-2025,7,1,1,0.8,4,7,1,3,1,2,4,0
juan bernat,Getafe,La-Liga,2024-2025,9,5,5,0.583,7,13,2,9,3,6,12,0
juan berrocal,Getafe,La-Liga,2024-2025,10,4,0,0.7140000000000001,10,7,15,6,3,3,59,0
antonio blanco,Alavés,La-Liga,2024-2025,23,37,7,0.386,32,40,42,30,7,23,48,1
daley blind,Girona,La-Liga,2024-2025,26,19,4,0.6459999999999999,31,27,32,32,9,23,94,2
adama boiro,Athletic Club,La-Liga,2024-2025,11,7,2,0.667,10,11,12,10,3,7,27,1
enzo boyomo,Osasuna,La-Liga,2024-2025,46,18,4,0.769,30,43,44,34,19,15,137,3
enzo boyomo,Valladolid,La-Liga,2024-2025,4,2,0,1.0,3,2,1,4,3,1,7,0
darko brasanac,Leganés,La-Liga,2024-2025,5,15,6,0.529,9,11,16,24,11,13,34,0
tajon buchanan,Villarreal,La-Liga,2024-2025,6,4,0,0.667,6,5,1,6,0,6,1,0
ante budimir,Osasuna,La-Liga,2024-2025,3,11,6,0.231,3,9,2,19,4,15,26,0
manu bueno,Sevilla,La-Liga,2024-2025,0,1,3,0.5,1,3,0,0,0,0,2,0
endika bujan,Athletic Club,La-Liga,2024-2025,0,0,0,0.0,0,0,0,0,0,0,0,0
pau cabanes,Villarreal,La-Liga,2024-2025,0,3,1,0.75,3,4,3,5,0,5,2,1
pau cabanes,Alavés,La-Liga,2024-2025,4,3,1,0.462,6,2,0,2,0,2,1,0
leandro cabrera,Espanyol,La-Liga,2024-2025,29,8,3,0.5760000000000001,19,23,30,35,25,10,199,2
fernando calero,Espanyol,La-Liga,2024-2025,13,4,1,0.667,8,10,16,16,9,7,50,1
eduardo camavinga,Real Madrid,La-Liga,2024-2025,23,16,3,0.5760000000000001,19,26,18,24,8,16,23,0
sergio camello,Rayo Vallecano,La-Liga,2024-2025,2,5,2,0.667,4,3,4,8,1,7,16,0
jose campana,Las Palmas,La-Liga,2024-2025,8,11,2,0.55,11,16,19,9,1,8,19,2
peio canales,Athletic Club,La-Liga,2024-2025,0,1,2,1.0,1,2,2,3,0,3,2,0
antonio candela,Valladolid,La-Liga,2024-2025,6,2,1,0.364,4,6,6,11,6,5,33,0
sergi canos,Valencia,La-Liga,2024-2025,3,4,4,0.4,4,7,5,6,1,5,5,0
dani cardenas,Rayo Vallecano,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,3,0
irvin cardona,Espanyol,La-Liga,2024-2025,2,4,2,0.375,6,5,4,5,1,4,10,0
marc cardona,Las Palmas,La-Liga,2024-2025,1,3,0,0.0,0,2,0,0,0,0,0,0
sergi cardona,Villarreal,La-Liga,2024-2025,44,20,7,0.62,49,48,40,52,7,45,122,1
johnny cardoso,Betis,La-Liga,2024-2025,12,35,8,0.385,20,31,48,27,12,15,64,1
jose carlos gonzalez,Las Palmas,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,0,0
carmona,Sevilla,La-Liga,2024-2025,53,21,9,0.532,41,59,68,37,11,26,92,3
sergio carreira,Celta Vigo,La-Liga,2024-2025,16,6,6,0.5379999999999999,14,16,17,20,2,18,37,0
dani carvajal,Real Madrid,La-Liga,2024-2025,7,3,2,0.75,9,8,10,8,3,5,19,1
william carvalho,Betis,La-Liga,2024-2025,3,6,0,0.667,4,6,3,6,2,4,6,0
marc casado,Barcelona,La-Liga,2024-2025,7,30,7,0.488,20,25,22,20,5,15,22,1
catena,Osasuna,La-Liga,2024-2025,34,10,2,0.614,27,28,35,40,25,15,221,2
maximiliano caufriez,Valencia,La-Liga,2024-2025,1,0,0,1.0,1,1,1,2,1,1,4,0
dani ceballos,Real Madrid,La-Liga,2024-2025,17,18,6,0.5,20,21,14,16,4,12,10,2
franco cervi,Celta Vigo,La-Liga,2024-2025,2,6,0,0.375,3,3,8,4,0,4,7,0
raul chasco,Valladolid,La-Liga,2024-2025,3,1,0,0.5,2,1,2,1,0,1,2,0
pep chavarria,Rayo Vallecano,La-Liga,2024-2025,30,14,2,0.622,28,36,30,35,9,26,108,1
walid cheddira,Espanyol,La-Liga,2024-2025,1,1,3,0.0,0,0,1,4,0,4,6,0
chema,Real Madrid,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,1,0
julian chicco,Leganés,La-Liga,2024-2025,3,6,2,0.625,5,7,4,2,0,2,10,0
chiquinho,Mallorca,La-Liga,2024-2025,0,1,0,0.0,0,0,2,3,0,3,0,0
andreas christensen,Barcelona,La-Liga,2024-2025,4,1,1,1.0,4,4,4,2,0,2,9,0
jasper cillessen,Las Palmas,La-Liga,2024-2025,1,0,0,0.25,1,0,0,0,0,0,11,2
pathe ciss,Rayo Vallecano,La-Liga,2024-2025,26,22,1,0.488,20,24,40,31,10,21,61,3
seydouba cisse,Leganés,La-Liga,2024-2025,18,27,14,0.46,23,37,12,25,1,24,45,1
silvi clua,Girona,La-Liga,2024-2025,4,3,1,0.667,4,7,2,1,0,1,6,0
eray comert,Valladolid,La-Liga,2024-2025,15,9,0,0.5710000000000001,12,14,24,28,15,13,75,2
santi comesana,Villarreal,La-Liga,2024-2025,44,32,9,0.5529999999999999,42,49,19,56,22,34,56,1
diego conde,Villarreal,La-Liga,2024-2025,2,0,0,0.5,2,2,1,0,0,0,9,2
tomas conechny,Alavés,La-Liga,2024-2025,6,7,2,0.33299999999999996,9,12,6,14,2,12,10,0
copete,Mallorca,La-Liga,2024-2025,18,10,1,0.917,11,17,17,24,16,8,123,2
iker cordoba,Valencia,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,1,0
angel correa,Atlético Madrid,La-Liga,2024-2025,4,1,4,0.33299999999999996,5,3,4,10,0,10,8,0
thierry correia,Valencia,La-Liga,2024-2025,19,5,3,0.565,13,18,4,10,1,9,18,0
coba da costa,Getafe,La-Liga,2024-2025,9,16,4,0.5,13,13,8,24,0,24,10,0
logan costa,Villarreal,La-Liga,2024-2025,25,12,1,0.828,24,21,21,25,14,11,115,2
samu costa,Mallorca,La-Liga,2024-2025,45,42,3,0.44299999999999995,35,44,32,48,15,33,85,1
thibaut courtois,Real Madrid,La-Liga,2024-2025,0,0,0,,0,0,1,0,0,0,15,1
juan cruz armada,Osasuna,La-Liga,2024-2025,11,13,2,0.625,15,14,9,15,4,11,68,0
juan cruz,Leganés,La-Liga,2024-2025,14,16,2,0.486,17,19,13,18,2,16,31,0
pau cubarsi,Barcelona,La-Liga,2024-2025,21,10,3,0.633,19,23,16,12,9,3,86,1
cucho,Betis,La-Liga,2024-2025,2,5,8,0.545,6,10,7,13,1,12,4,0
arnaut danjuma,Villarreal,La-Liga,2024-2025,0,1,1,0.0,0,1,0,1,0,1,0,0
arnaut danjuma,Girona,La-Liga,2024-2025,3,3,2,0.28600000000000003,2,6,2,5,1,4,4,0
sergi darder,Mallorca,La-Liga,2024-2025,15,16,9,0.37,17,26,16,19,1,18,23,1
rodrigo de paul,Atlético Madrid,La-Liga,2024-2025,12,16,5,0.424,14,26,6,25,2,23,15,3
mouctar diakhaby,Valencia,La-Liga,2024-2025,8,0,0,0.667,4,3,11,8,6,2,56,0
assane diao,Betis,La-Liga,2024-2025,1,3,1,0.444,4,3,0,3,0,3,3,0
moussa diarra,Alavés,La-Liga,2024-2025,19,18,3,0.586,17,24,21,15,5,10,46,1
brahim diaz,Real Madrid,La-Liga,2024-2025,9,13,3,0.368,7,19,4,16,1,15,2,1
daniel diaz,Real Sociedad,La-Liga,2024-2025,1,0,0,,0,1,0,1,0,1,0,0
pedro diaz,Rayo Vallecano,La-Liga,2024-2025,7,14,2,0.341,14,15,7,16,0,16,7,1
diego,Leganés,La-Liga,2024-2025,0,0,1,0.14300000000000002,1,1,2,4,1,3,11,0
stole dimitrievski,Valencia,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,3,1
