Player,Liga,Pos,Squad,Height,Value
igor zubeldia,LaLiga,Centre-Back,Real Sociedad,1.81,12000000.0
jon martin,LaLiga,Centre-Back,Real Sociedad,1.87,8000000.0
jon pacheco,LaLiga,Centre-Back,Real Sociedad,1.84,6000000.0
aritz elustondo,LaLiga,Centre-Back,Real Sociedad,1.8,3000000.0
luken beitia,LaLiga,Centre-Back,Real Sociedad,,300000.0
javi lopez,LaLiga,Left-Back,Real Sociedad,1.83,7500000.0
aihen munoz,LaLiga,Left-Back,Real Sociedad,1.75,4000000.0
jon balda,LaLiga,Left-Back,Real Sociedad,1.74,300000.0
jon aramburu,LaLiga,Right-Back,Real Sociedad,1.76,15000000.0
hamari traore,LaLiga,Right-Back,Real Sociedad,1.75,2000000.0
alvaro odriozola,LaLiga,Right-Back,Real Sociedad,1.76,1000000.0
inaki ruperez,LaLiga,Right-Back,Real Sociedad,,300000.0
martin zubimendi,LaLiga,Defensive Midfield,Real Sociedad,1.81,60000000.0
urko gonzalez de zarate,LaLiga,Defensive Midfield,Real Sociedad,1.89,5000000.0
luka sucic,LaLiga,Central Midfield,Real Sociedad,1.85,15000000.0
benat turrientes,LaLiga,Central Midfield,Real Sociedad,1.81,10000000.0
jon ander olasagasti,LaLiga,Central Midfield,Real Sociedad,1.76,4000000.0
mikel rodriguez,LaLiga,Central Midfield,Real Sociedad,,250000.0
brais mendez,LaLiga,Attacking Midfield,Real Sociedad,1.84,22000000.0
arsen zakharyan,LaLiga,Attacking Midfield,Real Sociedad,1.83,9000000.0
pablo marin,LaLiga,Attacking Midfield,Real Sociedad,1.78,8000000.0
jon magunazelaia,LaLiga,Attacking Midfield,Real Sociedad,1.8,600000.0
mikel goti,LaLiga,Attacking Midfield,Real Sociedad,1.85,400000.0
sergio gomez,LaLiga,Left Winger,Real Sociedad,1.71,20000000.0
ander barrenetxea,LaLiga,Left Winger,Real Sociedad,1.75,15000000.0
sheraldo becker,LaLiga,Left Winger,Real Sociedad,1.8,2500000.0
arkaitz mariezkurrena,LaLiga,Left Winger,Real Sociedad,,700000.0
alex marchal,LaLiga,Left Winger,Real Sociedad,,500000.0
takefusa kubo,LaLiga,Right Winger,Real Sociedad,1.73,30000000.0
dani diaz,LaLiga,Right Winger,Real Sociedad,1.67,300000.0
mikel oyarzabal,LaLiga,Centre-Forward,Real Sociedad,1.81,25000000.0
orri oskarsson,LaLiga,Centre-Forward,Real Sociedad,1.86,15000000.0
umar sadiq,LaLiga,Centre-Forward,Real Sociedad,1.91,5000000.0
ekain orobengoa,LaLiga,Centre-Forward,Real Sociedad,,250000.0
rui silva,LaLiga,Goalkeeper,Real Betis Balompié,1.91,7000000.0
fran vieites,LaLiga,Goalkeeper,Real Betis Balompié,1.96,2000000.0
adrian,LaLiga,Goalkeeper,Real Betis Balompié,1.9,500000.0
guilherme fernandes,LaLiga,Goalkeeper,Real Betis Balompié,1.91,150000.0
german garcia,LaLiga,Goalkeeper,Real Betis Balompié,,50000.0
manu gonzalez,LaLiga,Goalkeeper,Real Betis Balompié,,
natan,LaLiga,Centre-Back,Real Betis Balompié,1.88,9000000.0
diego llorente,LaLiga,Centre-Back,Real Betis Balompié,1.86,6000000.0
nobel mendy,LaLiga,Centre-Back,Real Betis Balompié,1.87,4000000.0
marc bartra,LaLiga,Centre-Back,Real Betis Balompié,1.84,1000000.0
sergio arribas,LaLiga,Centre-Back,Real Betis Balompié,1.85,400000.0
rudy kohon,LaLiga,Centre-Back,Real Betis Balompié,1.87,400000.0
romain perraud,LaLiga,Left-Back,Real Betis Balompié,1.73,5000000.0
ricardo rodriguez,LaLiga,Left-Back,Real Betis Balompié,1.82,2000000.0
lucas alcazar,LaLiga,Left-Back,Real Betis Balompié,1.82,300000.0
xavi pleguezuelo,LaLiga,Left-Back,Real Betis Balompié,1.78,100000.0
aitor ruibal,LaLiga,Right-Back,Real Betis Balompié,1.76,3500000.0
angel ortiz,LaLiga,Right-Back,Real Betis Balompié,1.67,2500000.0
hector bellerin,LaLiga,Right-Back,Real Betis Balompié,1.78,2000000.0
youssouf sabaly,LaLiga,Right-Back,Real Betis Balompié,1.73,1800000.0
pablo busto,LaLiga,Right-Back,Real Betis Balompié,1.8,300000.0
marc roca,LaLiga,Defensive Midfield,Real Betis Balompié,1.84,6000000.0
william carvalho,LaLiga,Defensive Midfield,Real Betis Balompié,1.87,1500000.0
carlos guirao,LaLiga,Defensive Midfield,Real Betis Balompié,1.75,300000.0
johnny cardoso,LaLiga,Central Midfield,Real Betis Balompié,1.86,25000000.0
sergi altimira,LaLiga,Central Midfield,Real Betis Balompié,1.88,15000000.0
pablo fornals,LaLiga,Central Midfield,Real Betis Balompié,1.78,6000000.0
mateo flores,LaLiga,Central Midfield,Real Betis Balompié,1.78,1000000.0
giovani lo celso,LaLiga,Attacking Midfield,Real Betis Balompié,1.77,15000000.0
nabil fekir,LaLiga,Attacking Midfield,Real Betis Balompié,1.73,7000000.0
isco,LaLiga,Attacking Midfield,Real Betis Balompié,1.76,6000000.0
dani perez,LaLiga,Attacking Midfield,Real Betis Balompié,1.73,500000.0
carlos reina,LaLiga,Attacking Midfield,Real Betis Balompié,1.76,300000.0
assane diao,LaLiga,Left Winger,Real Betis Balompié,1.85,30000000.0
jesus rodriguez,LaLiga,Left Winger,Real Betis Balompié,1.85,30000000.0
abde ezzalzouli,LaLiga,Left Winger,Real Betis Balompié,1.77,12000000.0
juanmi,LaLiga,Left Winger,Real Betis Balompié,1.72,2000000.0
antony,LaLiga,Right Winger,Real Betis Balompié,1.72,35000000.0
pablo garcia,LaLiga,Right Winger,Real Betis Balompié,,5000000.0
rodri sanchez,LaLiga,Right Winger,Real Betis Balompié,1.75,2700000.0
iker losada,LaLiga,Second Striker,Real Betis Balompié,1.75,1500000.0
vitor roque,LaLiga,Centre-Forward,Real Betis Balompié,1.74,20000000.0
cucho hernandez,LaLiga,Centre-Forward,Real Betis Balompié,1.76,18000000.0
chimy avila,LaLiga,Centre-Forward,Real Betis Balompié,1.72,2000000.0
cedric bakambu,LaLiga,Centre-Forward,Real Betis Balompié,1.82,1500000.0
marcos fernandez,LaLiga,Centre-Forward,Real Betis Balompié,1.76,400000.0
luiz junior,LaLiga,Goalkeeper,Villarreal CF,1.92,10000000.0
diego conde,LaLiga,Goalkeeper,Villarreal CF,1.88,7500000.0
iker alvarez,LaLiga,Goalkeeper,Villarreal CF,1.9,800000.0
ruben gomez,LaLiga,Goalkeeper,Villarreal CF,1.85,100000.0
logan costa,LaLiga,Centre-Back,Villarreal CF,1.9,18000000.0
willy kambwala,LaLiga,Centre-Back,Villarreal CF,1.92,4000000.0
pau navarro,LaLiga,Centre-Back,Villarreal CF,1.85,3000000.0
eric bailly,LaLiga,Centre-Back,Villarreal CF,1.87,2000000.0
raul albiol,LaLiga,Centre-Back,Villarreal CF,1.9,1000000.0
antonio espigares,LaLiga,Centre-Back,Villarreal CF,1.87,500000.0
jean ives valou,LaLiga,Centre-Back,Villarreal CF,1.88,200000.0
sergi cardona,LaLiga,Left-Back,Villarreal CF,1.86,10000000.0
alfonso pedraza,LaLiga,Left-Back,Villarreal CF,1.84,2500000.0
juan bernat,LaLiga,Left-Back,Villarreal CF,1.7,2000000.0
arnau sola,LaLiga,Left-Back,Villarreal CF,1.79,400000.0
juan foyth,LaLiga,Right-Back,Villarreal CF,1.87,15000000.0
kiko femenia,LaLiga,Right-Back,Villarreal CF,1.74,900000.0
pape gueye,LaLiga,Defensive Midfield,Villarreal CF,1.89,15000000.0
santi comesana,LaLiga,Central Midfield,Villarreal CF,1.88,8000000.0
ramon terrats,LaLiga,Central Midfield,Villarreal CF,1.81,4000000.0
dani parejo,LaLiga,Central Midfield,Villarreal CF,1.82,1500000.0
dani requena,LaLiga,Central Midfield,Villarreal CF,1.86,400000.0
thiago ojeda,LaLiga,Central Midfield,Villarreal CF,1.87,250000.0
alassane diatta,LaLiga,Central Midfield,Villarreal CF,1.9,200000.0
denis suarez,LaLiga,Attacking Midfield,Villarreal CF,1.76,1200000.0
alex baena,LaLiga,Left Winger,Villarreal CF,1.74,55000000.0
arnaut danjuma,LaLiga,Left Winger,Villarreal CF,1.78,4000000.0
yeremy pino,LaLiga,Right Winger,Villarreal CF,1.72,30000000.0
ilias akhomach,LaLiga,Right Winger,Villarreal CF,1.75,15000000.0
tajon buchanan,LaLiga,Right Winger,Villarreal CF,1.83,6000000.0
nicolas pepe,LaLiga,Right Winger,Villarreal CF,1.83,6000000.0
thierno barry,LaLiga,Centre-Forward,Villarreal CF,1.95,20000000.0
ayoze perez,LaLiga,Centre-Forward,Villarreal CF,1.78,10000000.0
etta eyong,LaLiga,Centre-Forward,Villarreal CF,1.81,5000000.0
gerard moreno,LaLiga,Centre-Forward,Villarreal CF,1.8,4000000.0
pau cabanes,LaLiga,Centre-Forward,Villarreal CF,1.79,800000.0
giorgi mamardashvili,LaLiga,Goalkeeper,Valencia CF,1.97,30000000.0
stole dimitrievski,LaLiga,Goalkeeper,Valencia CF,1.88,2500000.0
jaume domenech,LaLiga,Goalkeeper,Valencia CF,1.85,400000.0
vicent abril,LaLiga,Goalkeeper,Valencia CF,1.87,200000.0
raul jimenez,LaLiga,Goalkeeper,Valencia CF,1.88,
cristhian mosquera,LaLiga,Centre-Back,Valencia CF,1.91,30000000.0
cesar tarrega,LaLiga,Centre-Back,Valencia CF,1.94,10000000.0
yarek gasiorowski,LaLiga,Centre-Back,Valencia CF,1.91,7500000.0
mouctar diakhaby,LaLiga,Centre-Back,Valencia CF,1.92,2000000.0
cenk ozkacar,LaLiga,Centre-Back,Valencia CF,1.9,1200000.0
maximiliano caufriez,LaLiga,Centre-Back,Valencia CF,1.89,1000000.0
ruben iranzo,LaLiga,Centre-Back,Valencia CF,1.82,300000.0
alex serradell,LaLiga,Centre-Back,Valencia CF,1.89,150000.0
iker cordoba,LaLiga,Centre-Back,Valencia CF,1.9,100000.0
jose gaya,LaLiga,Left-Back,Valencia CF,1.72,9000000.0
jesus vazquez,LaLiga,Left-Back,Valencia CF,1.82,3000000.0
ro abajas,LaLiga,Left-Back,Valencia CF,1.86,100000.0
max aarons,LaLiga,Right-Back,Valencia CF,1.77,6000000.0
thierry correia,LaLiga,Right-Back,Valencia CF,1.76,3000000.0
dimitri foulquier,LaLiga,Right-Back,Valencia CF,1.83,1500000.0
enzo barrenechea,LaLiga,Defensive Midfield,Valencia CF,1.86,10000000.0
pepelu,LaLiga,Defensive Midfield,Valencia CF,1.86,9000000.0
hugo guillamon,LaLiga,Defensive Midfield,Valencia CF,1.78,2500000.0
javi guerra,LaLiga,Central Midfield,Valencia CF,1.87,25000000.0
lucas nunez,LaLiga,Central Midfield,Valencia CF,1.83,25000.0
andre almeida,LaLiga,Attacking Midfield,Valencia CF,1.76,10000000.0
ivan jaime,LaLiga,Attacking Midfield,Valencia CF,1.8,5000000.0
martin tejon,LaLiga,Attacking Midfield,Valencia CF,1.65,500000.0
pedro aleman,LaLiga,Attacking Midfield,Valencia CF,1.82,200000.0
luis rioja,LaLiga,Left Winger,Valencia CF,1.76,2000000.0
sergi canos,LaLiga,Left Winger,Valencia CF,1.77,1000000.0
pablo lopez,LaLiga,Left Winger,Valencia CF,1.75,50000.0
diego lopez,LaLiga,Right Winger,Valencia CF,1.72,15000000.0
fran perez,LaLiga,Right Winger,Valencia CF,1.76,3000000.0
german valera,LaLiga,Right Winger,Valencia CF,1.7,1500000.0
david otorbi,LaLiga,Right Winger,Valencia CF,1.8,500000.0
hamza bellari,LaLiga,Right Winger,Valencia CF,,100000.0
ismael santana,LaLiga,Right Winger,Valencia CF,,25000.0
hugo duro,LaLiga,Centre-Forward,Valencia CF,1.77,14000000.0
umar sadiq,LaLiga,Centre-Forward,Valencia CF,1.91,5000000.0
dani gomez,LaLiga,Centre-Forward,Valencia CF,1.78,1000000.0
alberto mari,LaLiga,Centre-Forward,Valencia CF,1.83,1000000.0
rafa mir,LaLiga,Centre-Forward,Valencia CF,1.91,800000.0
warren madrigal,LaLiga,Centre-Forward,Valencia CF,1.85,400000.0
alvaro fernandez,LaLiga,Goalkeeper,Sevilla FC,1.85,2000000.0
rjan nyland,LaLiga,Goalkeeper,Sevilla FC,1.92,900000.0
alberto flores,LaLiga,Goalkeeper,Sevilla FC,1.87,300000.0
matias arbol,LaLiga,Goalkeeper,Sevilla FC,1.84,100000.0
rafael romero,LaLiga,Goalkeeper,Sevilla FC,1.9,
loic bade,LaLiga,Centre-Back,Sevilla FC,1.91,25000000.0
kike salas,LaLiga,Centre-Back,Sevilla FC,1.88,8000000.0
marcao,LaLiga,Centre-Back,Sevilla FC,1.85,2000000.0
tanguy nianzou,LaLiga,Centre-Back,Sevilla FC,1.91,1500000.0
ramon martinez,LaLiga,Centre-Back,Sevilla FC,1.85,1000000.0
andres castrin,LaLiga,Centre-Back,Sevilla FC,1.88,250000.0
adria pedrosa,LaLiga,Left-Back,Sevilla FC,1.72,7000000.0
diego hormigo,LaLiga,Left-Back,Sevilla FC,1.82,300000.0
oso,LaLiga,Left-Back,Sevilla FC,1.83,200000.0
jose angel carmona,LaLiga,Right-Back,Sevilla FC,1.84,12000000.0
juanlu sanchez,LaLiga,Right-Back,Sevilla FC,1.86,12000000.0
gonzalo montiel,LaLiga,Right-Back,Sevilla FC,1.75,5000000.0
dario benavides,LaLiga,Right-Back,Sevilla FC,1.78,300000.0
jesus navas,LaLiga,Right-Back,Sevilla FC,1.7,
lucien agoume,LaLiga,Defensive Midfield,Sevilla FC,1.85,8000000.0
nemanja gudelj,LaLiga,Defensive Midfield,Sevilla FC,1.87,3000000.0
valentin barco,LaLiga,Central Midfield,Sevilla FC,1.7,12000000.0
albert sambi lokonga,LaLiga,Central Midfield,Sevilla FC,1.83,8000000.0
djibril sow,LaLiga,Central Midfield,Sevilla FC,1.84,7500000.0
saul niguez,LaLiga,Central Midfield,Sevilla FC,1.84,3000000.0
manu bueno,LaLiga,Central Midfield,Sevilla FC,1.78,1500000.0
pedro ortiz,LaLiga,Central Midfield,Sevilla FC,1.84,600000.0
pablo rivera,LaLiga,Central Midfield,Sevilla FC,1.78,200000.0
alberto collado,LaLiga,Central Midfield,Sevilla FC,,200000.0
lulo dasilva,LaLiga,Central Midfield,Sevilla FC,1.89,150000.0
stanis idumbo,LaLiga,Attacking Midfield,Sevilla FC,1.71,2500000.0
ruben vargas,LaLiga,Left Winger,Sevilla FC,1.79,7000000.0
lucas ocampos,LaLiga,Left Winger,Sevilla FC,1.87,6000000.0
chidera ejuke,LaLiga,Left Winger,Sevilla FC,1.76,4000000.0
isra dominguez,LaLiga,Left Winger,Sevilla FC,1.75,200000.0
dodi lukebakio,LaLiga,Right Winger,Sevilla FC,1.87,20000000.0
suso,LaLiga,Right Winger,Sevilla FC,1.77,1500000.0
peque fernandez,LaLiga,Second Striker,Sevilla FC,1.72,3500000.0
isaac romero,LaLiga,Centre-Forward,Sevilla FC,1.83,6000000.0
akor adams,LaLiga,Centre-Forward,Sevilla FC,1.9,5000000.0
kelechi iheanacho,LaLiga,Centre-Forward,Sevilla FC,1.85,4500000.0
garcia pascual,LaLiga,Centre-Forward,Sevilla FC,1.9,1000000.0
mateo mejia,LaLiga,Centre-Forward,Sevilla FC,1.81,400000.0
leandro antonetti,LaLiga,Centre-Forward,Sevilla FC,1.89,300000.0
pau lopez,LaLiga,Goalkeeper,Girona FC,1.89,2500000.0
paulo gazzaniga,LaLiga,Goalkeeper,Girona FC,1.95,2500000.0
vladyslav krapyvtsov,LaLiga,Goalkeeper,Girona FC,1.88,200000.0
juan carlos,LaLiga,Goalkeeper,Girona FC,1.87,100000.0
aleksandar andreev,LaLiga,Goalkeeper,Girona FC,1.9,
lucas garcia,LaLiga,Goalkeeper,Girona FC,,
jordi danso,LaLiga,Goalkeeper,Girona FC,,
pau funallet,LaLiga,Goalkeeper,Girona FC,,
ladislav krejci,LaLiga,Centre-Back,Girona FC,1.91,12000000.0
daley blind,LaLiga,Centre-Back,Girona FC,1.8,1500000.0
david lopez,LaLiga,Centre-Back,Girona FC,1.85,1000000.0
juanpe,LaLiga,Centre-Back,Girona FC,1.9,600000.0
oriol comas,LaLiga,Centre-Back,Girona FC,1.9,
antal yaakobishvili,LaLiga,Centre-Back,Girona FC,1.93,
marc aznar,LaLiga,Centre-Back,Girona FC,1.79,
miguel gutierrez,LaLiga,Left-Back,Girona FC,1.8,20000000.0
arnau martinez,LaLiga,Right-Back,Girona FC,1.82,10000000.0
alejandro frances,LaLiga,Right-Back,Girona FC,1.82,2000000.0
ferran ruiz,LaLiga,Right-Back,Girona FC,1.72,
arthur melo,LaLiga,Defensive Midfield,Girona FC,1.72,5000000.0
oriol romeu,LaLiga,Defensive Midfield,Girona FC,1.83,1200000.0
selvi clua,LaLiga,Defensive Midfield,Girona FC,1.89,300000.0
yangel herrera,LaLiga,Central Midfield,Girona FC,1.84,15000000.0
donny van de beek,LaLiga,Central Midfield,Girona FC,1.84,5000000.0
jhon solis,LaLiga,Central Midfield,Girona FC,1.86,2500000.0
enric garcia,LaLiga,Central Midfield,Girona FC,,
raul martinez,LaLiga,Central Midfield,Girona FC,,
ivan martin,LaLiga,Attacking Midfield,Girona FC,1.78,6000000.0
gabriel misehouy,LaLiga,Attacking Midfield,Girona FC,1.73,1000000.0
ricard artero,LaLiga,Attacking Midfield,Girona FC,1.81,
bryan gil,LaLiga,Left Winger,Girona FC,1.75,15000000.0
arnaut danjuma,LaLiga,Left Winger,Girona FC,1.78,4000000.0
joel roca,LaLiga,Left Winger,Girona FC,1.76,1000000.0
toni villa,LaLiga,Left Winger,Girona FC,1.72,800000.0
minsu kim,LaLiga,Left Winger,Girona FC,1.77,300000.0
juan arango,LaLiga,Left Winger,Girona FC,1.75,
jastin garcia,LaLiga,Left Winger,Girona FC,1.8,
viktor tsygankov,LaLiga,Right Winger,Girona FC,1.78,18000000.0
yaser asprilla,LaLiga,Right Winger,Girona FC,1.76,15000000.0
portu,LaLiga,Right Winger,Girona FC,1.67,1800000.0
iker almena,LaLiga,Right Winger,Girona FC,1.77,1300000.0
papa ba,LaLiga,Right Winger,Girona FC,1.8,
abel ruiz,LaLiga,Centre-Forward,Girona FC,1.82,4000000.0
bojan miovski,LaLiga,Centre-Forward,Girona FC,1.89,2500000.0
cristhian stuani,LaLiga,Centre-Forward,Girona FC,1.84,1000000.0
dawda camara,LaLiga,Centre-Forward,Girona FC,,
ivan villar,LaLiga,Goalkeeper,Celta de Vigo,1.86,900000.0
vicente guaita,LaLiga,Goalkeeper,Celta de Vigo,1.9,700000.0
marc vidal,LaLiga,Goalkeeper,Celta de Vigo,1.85,300000.0
coke carrillo,LaLiga,Goalkeeper,Celta de Vigo,1.88,200000.0
cesar fernandez,LaLiga,Goalkeeper,Celta de Vigo,1.81,200000.0
javi rodriguez,LaLiga,Centre-Back,Celta de Vigo,1.78,15000000.0
carl starfelt,LaLiga,Centre-Back,Celta de Vigo,1.87,6000000.0
carlos dominguez,LaLiga,Centre-Back,Celta de Vigo,1.87,3000000.0
joseph aidoo,LaLiga,Centre-Back,Celta de Vigo,1.81,1200000.0
yoel lago,LaLiga,Centre-Back,Celta de Vigo,1.85,1000000.0
marcos alonso,LaLiga,Left-Back,Celta de Vigo,1.88,1500000.0
mihailo ristic,LaLiga,Left-Back,Celta de Vigo,1.8,900000.0
tincho conde,LaLiga,Left-Back,Celta de Vigo,,300000.0
oscar mingueza,LaLiga,Right-Back,Celta de Vigo,1.84,20000000.0
sergio carreira,LaLiga,Right-Back,Celta de Vigo,1.7,4000000.0
javier manquillo,LaLiga,Right-Back,Celta de Vigo,1.78,1000000.0
damian rodriguez,LaLiga,Defensive Midfield,Celta de Vigo,1.8,3000000.0
jailson,LaLiga,Defensive Midfield,Celta de Vigo,1.87,1000000.0
fran beltran,LaLiga,Central Midfield,Celta de Vigo,1.65,8000000.0
ilaix moriba,LaLiga,Central Midfield,Celta de Vigo,1.85,6000000.0
hugo sotelo,LaLiga,Central Midfield,Celta de Vigo,1.8,4000000.0
luca de la torre,LaLiga,Central Midfield,Celta de Vigo,1.77,2000000.0
miguel roman,LaLiga,Central Midfield,Celta de Vigo,1.78,400000.0
hugo alvarez,LaLiga,Left Winger,Celta de Vigo,1.76,7500000.0
alfon gonzalez,LaLiga,Left Winger,Celta de Vigo,1.72,5000000.0
williot swedberg,LaLiga,Left Winger,Celta de Vigo,1.87,5000000.0
jonathan bamba,LaLiga,Left Winger,Celta de Vigo,1.75,3500000.0
franco cervi,LaLiga,Left Winger,Celta de Vigo,1.66,800000.0
fer lopez,LaLiga,Right Winger,Celta de Vigo,1.88,5000000.0
tadeo allende,LaLiga,Right Winger,Celta de Vigo,1.83,2000000.0
jones elabdellaoui,LaLiga,Right Winger,Celta de Vigo,1.84,1500000.0
iker losada,LaLiga,Second Striker,Celta de Vigo,1.75,1500000.0
anastasios douvikas,LaLiga,Centre-Forward,Celta de Vigo,1.86,10000000.0
pablo duran,LaLiga,Centre-Forward,Celta de Vigo,1.76,3500000.0
borja iglesias,LaLiga,Centre-Forward,Celta de Vigo,1.87,3000000.0
iago aspas,LaLiga,Centre-Forward,Celta de Vigo,1.76,2000000.0
joan garcia,LaLiga,Goalkeeper,RCD Espanyol Barcelona,1.94,25000000.0
fernando pacheco,LaLiga,Goalkeeper,RCD Espanyol Barcelona,1.87,800000.0
angel fortuno,LaLiga,Goalkeeper,RCD Espanyol Barcelona,1.83,300000.0
pol tristan,LaLiga,Goalkeeper,RCD Espanyol Barcelona,1.88,100000.0
llorenc serred,LaLiga,Goalkeeper,RCD Espanyol Barcelona,,25000.0
marash kumbulla,LaLiga,Centre-Back,RCD Espanyol Barcelona,1.91,7500000.0
fernando calero,LaLiga,Centre-Back,RCD Espanyol Barcelona,1.84,1500000.0
leandro cabrera,LaLiga,Centre-Back,RCD Espanyol Barcelona,1.9,1000000.0
sergi gomez,LaLiga,Centre-Back,RCD Espanyol Barcelona,1.85,600000.0
jose luis catala,LaLiga,Centre-Back,RCD Espanyol Barcelona,1.88,150000.0
pablo ramon,LaLiga,Centre-Back,RCD Espanyol Barcelona,1.84,100000.0
carlos romero,LaLiga,Left-Back,RCD Espanyol Barcelona,1.74,5000000.0
brian olivan,LaLiga,Left-Back,RCD Espanyol Barcelona,1.75,1800000.0
roger hinojo,LaLiga,Left-Back,RCD Espanyol Barcelona,,50000.0
omar el hilali,LaLiga,Right-Back,RCD Espanyol Barcelona,1.83,15000000.0
alvaro tejero,LaLiga,Right-Back,RCD Espanyol Barcelona,1.74,1800000.0
jose angel lopez,LaLiga,Right-Back,RCD Espanyol Barcelona,,150000.0
urko gonzalez de zarate,LaLiga,Defensive Midfield,RCD Espanyol Barcelona,1.89,5000000.0
alex kral,LaLiga,Central Midfield,RCD Espanyol Barcelona,1.86,6000000.0
pol lozano,LaLiga,Central Midfield,RCD Espanyol Barcelona,1.76,5000000.0
edu exposito,LaLiga,Central Midfield,RCD Espanyol Barcelona,1.78,3000000.0
jose gragera,LaLiga,Central Midfield,RCD Espanyol Barcelona,1.86,2000000.0
alvaro aguado,LaLiga,Central Midfield,RCD Espanyol Barcelona,1.75,1800000.0
justin smith,LaLiga,Central Midfield,RCD Espanyol Barcelona,1.89,300000.0
rafel bauza,LaLiga,Central Midfield,RCD Espanyol Barcelona,1.83,200000.0
javi puado,LaLiga,Left Winger,RCD Espanyol Barcelona,1.77,10000000.0
naci unuvar,LaLiga,Left Winger,RCD Espanyol Barcelona,1.68,2000000.0
pere milla,LaLiga,Left Winger,RCD Espanyol Barcelona,1.8,1200000.0
alex almansa,LaLiga,Left Winger,RCD Espanyol Barcelona,1.86,200000.0
jofre carreras,LaLiga,Right Winger,RCD Espanyol Barcelona,1.75,3000000.0
antoniu roca,LaLiga,Right Winger,RCD Espanyol Barcelona,1.8,1800000.0
salvi sanchez,LaLiga,Right Winger,RCD Espanyol Barcelona,1.7,600000.0
roberto fernandez,LaLiga,Centre-Forward,RCD Espanyol Barcelona,1.86,6000000.0
irvin cardona,LaLiga,Centre-Forward,RCD Espanyol Barcelona,1.85,2500000.0
alejo veliz,LaLiga,Centre-Forward,RCD Espanyol Barcelona,1.86,2500000.0
walid cheddira,LaLiga,Centre-Forward,RCD Espanyol Barcelona,1.87,2500000.0
omar sadik,LaLiga,Centre-Forward,RCD Espanyol Barcelona,,500000.0
sergio herrera,LaLiga,Goalkeeper,CA Osasuna,1.92,3000000.0
aitor fernandez,LaLiga,Goalkeeper,CA Osasuna,1.82,700000.0
pablo valencia,LaLiga,Goalkeeper,CA Osasuna,1.88,200000.0
dimitrios stamatakis,LaLiga,Goalkeeper,CA Osasuna,1.91,200000.0
rafa fernandez,LaLiga,Goalkeeper,CA Osasuna,1.87,25000.0
enzo boyomo,LaLiga,Centre-Back,CA Osasuna,1.84,20000000.0
jorge herrando,LaLiga,Centre-Back,CA Osasuna,1.92,4000000.0
alejandro catena,LaLiga,Centre-Back,CA Osasuna,1.94,3000000.0
unai garcia,LaLiga,Centre-Back,CA Osasuna,1.86,800000.0
ismael sierra,LaLiga,Centre-Back,CA Osasuna,1.92,200000.0
abel bretones,LaLiga,Left-Back,CA Osasuna,1.88,4000000.0
juan cruz,LaLiga,Left-Back,CA Osasuna,1.82,1500000.0
jesus areso,LaLiga,Right-Back,CA Osasuna,1.82,12000000.0
nacho vidal,LaLiga,Right-Back,CA Osasuna,1.8,1800000.0
ruben pena,LaLiga,Right-Back,CA Osasuna,1.7,1200000.0
inigo arguibide,LaLiga,Right-Back,CA Osasuna,1.78,200000.0
lucas torro,LaLiga,Defensive Midfield,CA Osasuna,1.9,3000000.0
iker munoz,LaLiga,Defensive Midfield,CA Osasuna,1.8,3000000.0
jon moncayola,LaLiga,Central Midfield,CA Osasuna,1.82,7000000.0
pablo ibanez,LaLiga,Central Midfield,CA Osasuna,1.79,2000000.0
aimar oroz,LaLiga,Attacking Midfield,CA Osasuna,1.77,15000000.0
javi martinez,LaLiga,Attacking Midfield,CA Osasuna,1.81,800000.0
asier osambela,LaLiga,Attacking Midfield,CA Osasuna,1.86,500000.0
jon garcia,LaLiga,Attacking Midfield,CA Osasuna,1.82,300000.0
bryan zaragoza,LaLiga,Left Winger,CA Osasuna,1.64,12000000.0
moi gomez,LaLiga,Left Winger,CA Osasuna,1.76,2000000.0
jose manuel arnaiz,LaLiga,Left Winger,CA Osasuna,1.73,1500000.0
ruben garcia,LaLiga,Right Winger,CA Osasuna,1.72,2000000.0
iker benito,LaLiga,Right Winger,CA Osasuna,1.76,1500000.0
kike barja,LaLiga,Right Winger,CA Osasuna,1.79,1500000.0
ante budimir,LaLiga,Centre-Forward,CA Osasuna,1.9,5000000.0
raul garcia,LaLiga,Centre-Forward,CA Osasuna,1.92,3000000.0
sixtus ogbuehi,LaLiga,Centre-Forward,CA Osasuna,1.92,200000.0
carlos lumbreras,LaLiga,Centre-Forward,CA Osasuna,1.8,150000.0
antonio sivera,LaLiga,Goalkeeper,Deportivo Alavés,1.85,6000000.0
jesus owono,LaLiga,Goalkeeper,Deportivo Alavés,1.86,900000.0
adrian rodriguez,LaLiga,Goalkeeper,Deportivo Alavés,1.95,200000.0
gregoire swiderski,LaLiga,Goalkeeper,Deportivo Alavés,1.87,150000.0
abdel abqar,LaLiga,Centre-Back,Deportivo Alavés,1.88,7500000.0
santiago mourino,LaLiga,Centre-Back,Deportivo Alavés,1.86,3000000.0
facundo garces,LaLiga,Centre-Back,Deportivo Alavés,1.91,2000000.0
moussa diarra,LaLiga,Centre-Back,Deportivo Alavés,1.85,1800000.0
adrian pica,LaLiga,Centre-Back,Deportivo Alavés,1.9,1200000.0
aleksandar sedlar,LaLiga,Centre-Back,Deportivo Alavés,1.8,300000.0
