Player,Liga,Pos,Squad,Height,Value
lukas hradecky,Bundesliga,Goalkeeper,Bayer 04 Leverkusen,1.92,2000000.0
niklas lomb,Bundesliga,Goalkeeper,Bayer 04 Leverkusen,1.86,250000.0
simeon rapsch,Bundesliga,Goalkeeper,Bayer 04 Leverkusen,1.9,
luca novodomsky,Bundesliga,Goalkeeper,Bayer 04 Leverkusen,,
piero hincapie,Bundesliga,Centre-Back,Bayer 04 Leverkusen,1.84,50000000.0
edmond tapsoba,Bundesliga,Centre-Back,Bayer 04 Leverkusen,1.94,35000000.0
jonathan tah,Bundesliga,Centre-Back,Bayer 04 Leverkusen,1.95,30000000.0
odilon kossounou,Bundesliga,Centre-Back,Bayer 04 Leverkusen,1.91,25000000.0
jeanuel belocian,Bundesliga,Centre-Back,Bayer 04 Leverkusen,1.86,15000000.0
mario hermoso,Bundesliga,Centre-Back,Bayer 04 Leverkusen,1.84,7000000.0
andrea natali,Bundesliga,Centre-Back,Bayer 04 Leverkusen,1.86,
ben hawighorst,Bundesliga,Centre-Back,Bayer 04 Leverkusen,1.85,
alejandro grimaldo,Bundesliga,Left-Back,Bayer 04 Leverkusen,1.71,30000000.0
jeremie frimpong,Bundesliga,Right-Back,Bayer 04 Leverkusen,1.72,50000000.0
nordi mukiele,Bundesliga,Right-Back,Bayer 04 Leverkusen,1.87,10000000.0
arthur,Bundesliga,Right-Back,Bayer 04 Leverkusen,1.74,7000000.0
othniel raterink,Bundesliga,Right-Back,Bayer 04 Leverkusen,1.89,
granit xhaka,Bundesliga,Defensive Midfield,Bayer 04 Leverkusen,1.86,12000000.0
robert andrich,Bundesliga,Defensive Midfield,Bayer 04 Leverkusen,1.87,9000000.0
exequiel palacios,Bundesliga,Central Midfield,Bayer 04 Leverkusen,1.78,40000000.0
aleix garcia,Bundesliga,Central Midfield,Bayer 04 Leverkusen,1.73,20000000.0
florian wirtz,Bundesliga,Attacking Midfield,Bayer 04 Leverkusen,1.77,140000000.0
emiliano buendia,Bundesliga,Attacking Midfield,Bayer 04 Leverkusen,1.72,15000000.0
jonas hofmann,Bundesliga,Attacking Midfield,Bayer 04 Leverkusen,1.76,2000000.0
francis onyeka,Bundesliga,Attacking Midfield,Bayer 04 Leverkusen,1.86,500000.0
amine adli,Bundesliga,Left Winger,Bayer 04 Leverkusen,1.8,18000000.0
martin terrier,Bundesliga,Left Winger,Bayer 04 Leverkusen,1.84,17000000.0
