Player,Pos,Squad,Height,Value,Season,Competition
romain perraud,Left-Back,Real Betis Balompié,1.73,5000000.0,2024-2025,laliga
ricardo rodriguez,Left-Back,Real Betis Balompié,1.82,2000000.0,2024-2025,laliga
lucas alcazar,Left-Back,Real Betis Balompié,1.82,300000.0,2024-2025,laliga
xavi pleguezuelo,Left-Back,Real Betis Balompié,1.78,100000.0,2024-2025,laliga
aitor ruibal,Right-Back,Real Betis Balompié,1.76,3500000.0,2024-2025,laliga
angel ortiz,Right-Back,Real Betis Balompié,1.67,2500000.0,2024-2025,laliga
hector bellerin,Right-Back,Real Betis Balompié,1.78,2000000.0,2024-2025,laliga
youssouf sabaly,Right-Back,Real Betis Balompié,1.73,1800000.0,2024-2025,laliga
pablo busto,Right-Back,Real Betis Balompié,1.8,300000.0,2024-2025,laliga
marc roca,Defensive Midfield,Real Betis Balompié,1.84,6000000.0,2024-2025,laliga
william carvalho,Defensive Midfield,Real Betis Balompié,1.87,1500000.0,2024-2025,laliga
carlos guirao,Defensive Midfield,Real Betis Balompié,,300000.0,2024-2025,laliga
johnny cardoso,Central Midfield,Real Betis Balompié,1.86,25000000.0,2024-2025,laliga
sergi altimira,Central Midfield,Real Betis Balompié,1.88,15000000.0,2024-2025,laliga
pablo fornals,Central Midfield,Real Betis Balompié,1.78,6000000.0,2024-2025,laliga
mateo flores,Central Midfield,Real Betis Balompié,1.78,1000000.0,2024-2025,laliga
giovani lo celso,Attacking Midfield,Real Betis Balompié,1.77,15000000.0,2024-2025,laliga
nabil fekir,Attacking Midfield,Real Betis Balompié,1.73,7000000.0,2024-2025,laliga
isco,Attacking Midfield,Real Betis Balompié,1.76,6000000.0,2024-2025,laliga
dani perez,Attacking Midfield,Real Betis Balompié,1.73,500000.0,2024-2025,laliga
carlos reina,Attacking Midfield,Real Betis Balompié,1.76,300000.0,2024-2025,laliga
assane diao,Left Winger,Real Betis Balompié,1.85,30000000.0,2024-2025,laliga
jesus rodriguez,Left Winger,Real Betis Balompié,1.85,30000000.0,2024-2025,laliga
abde ezzalzouli,Left Winger,Real Betis Balompié,1.77,12000000.0,2024-2025,laliga
juanmi,Left Winger,Real Betis Balompié,1.72,2000000.0,2024-2025,laliga
antony,Right Winger,Real Betis Balompié,1.72,35000000.0,2024-2025,laliga
pablo garcia,Right Winger,Real Betis Balompié,,5000000.0,2024-2025,laliga
rodri sanchez,Right Winger,Real Betis Balompié,1.75,2700000.0,2024-2025,laliga
iker losada,Second Striker,Real Betis Balompié,1.75,1500000.0,2024-2025,laliga
vitor roque,Centre-Forward,Real Betis Balompié,1.74,20000000.0,2024-2025,laliga
cucho hernandez,Centre-Forward,Real Betis Balompié,1.76,18000000.0,2024-2025,laliga
chimy avila,Centre-Forward,Real Betis Balompié,1.72,2000000.0,2024-2025,laliga
cedric bakambu,Centre-Forward,Real Betis Balompié,1.82,1500000.0,2024-2025,laliga
marcos fernandez,Centre-Forward,Real Betis Balompié,1.76,400000.0,2024-2025,laliga
luiz junior,Goalkeeper,Villarreal CF,1.92,10000000.0,2024-2025,laliga
diego conde,Goalkeeper,Villarreal CF,1.88,7500000.0,2024-2025,laliga
iker alvarez,Goalkeeper,Villarreal CF,1.9,800000.0,2024-2025,laliga
ruben gomez,Goalkeeper,Villarreal CF,1.85,100000.0,2024-2025,laliga
logan costa,Centre-Back,Villarreal CF,1.9,18000000.0,2024-2025,laliga
willy kambwala,Centre-Back,Villarreal CF,1.92,4000000.0,2024-2025,laliga
pau navarro,Centre-Back,Villarreal CF,1.85,3000000.0,2024-2025,laliga
eric bailly,Centre-Back,Villarreal CF,1.87,2000000.0,2024-2025,laliga
raul albiol,Centre-Back,Villarreal CF,1.9,1000000.0,2024-2025,laliga
antonio espigares,Centre-Back,Villarreal CF,1.87,500000.0,2024-2025,laliga
jean ives valou,Centre-Back,Villarreal CF,1.88,200000.0,2024-2025,laliga
sergi cardona,Left-Back,Villarreal CF,1.86,10000000.0,2024-2025,laliga
alfonso pedraza,Left-Back,Villarreal CF,1.84,2500000.0,2024-2025,laliga
juan bernat,Left-Back,Villarreal CF,1.7,2000000.0,2024-2025,laliga
arnau sola,Left-Back,Villarreal CF,1.79,400000.0,2024-2025,laliga
juan foyth,Right-Back,Villarreal CF,1.87,15000000.0,2024-2025,laliga
kiko femenia,Right-Back,Villarreal CF,1.74,900000.0,2024-2025,laliga
pape gueye,Defensive Midfield,Villarreal CF,1.89,15000000.0,2024-2025,laliga
santi comesana,Central Midfield,Villarreal CF,1.88,8000000.0,2024-2025,laliga
ramon terrats,Central Midfield,Villarreal CF,1.81,4000000.0,2024-2025,laliga
dani parejo,Central Midfield,Villarreal CF,1.82,1500000.0,2024-2025,laliga
dani requena,Central Midfield,Villarreal CF,1.86,400000.0,2024-2025,laliga
thiago ojeda,Central Midfield,Villarreal CF,1.87,250000.0,2024-2025,laliga
alassane diatta,Central Midfield,Villarreal CF,1.9,200000.0,2024-2025,laliga
tajon buchanan,Right Midfield,Villarreal CF,1.83,6000000.0,2024-2025,laliga
denis suarez,Attacking Midfield,Villarreal CF,1.76,1200000.0,2024-2025,laliga
alex baena,Left Winger,Villarreal CF,1.74,55000000.0,2024-2025,laliga
arnaut danjuma,Left Winger,Villarreal CF,1.78,4000000.0,2024-2025,laliga
yeremy pino,Right Winger,Villarreal CF,1.72,30000000.0,2024-2025,laliga
ilias akhomach,Right Winger,Villarreal CF,1.75,15000000.0,2024-2025,laliga
nicolas pepe,Right Winger,Villarreal CF,1.83,6000000.0,2024-2025,laliga
thierno barry,Centre-Forward,Villarreal CF,1.95,20000000.0,2024-2025,laliga
ayoze perez,Centre-Forward,Villarreal CF,1.78,10000000.0,2024-2025,laliga
etta eyong,Centre-Forward,Villarreal CF,1.81,5000000.0,2024-2025,laliga
gerard moreno,Centre-Forward,Villarreal CF,1.8,4000000.0,2024-2025,laliga
pau cabanes,Centre-Forward,Villarreal CF,1.79,800000.0,2024-2025,laliga
giorgi mamardashvili,Goalkeeper,Valencia CF,1.97,30000000.0,2024-2025,laliga
stole dimitrievski,Goalkeeper,Valencia CF,1.88,2500000.0,2024-2025,laliga
jaume domenech,Goalkeeper,Valencia CF,1.85,400000.0,2024-2025,laliga
vicent abril,Goalkeeper,Valencia CF,1.87,200000.0,2024-2025,laliga
raul jimenez,Goalkeeper,Valencia CF,1.88,,2024-2025,laliga
cristhian mosquera,Centre-Back,Valencia CF,1.91,30000000.0,2024-2025,laliga
cesar tarrega,Centre-Back,Valencia CF,1.94,10000000.0,2024-2025,laliga
yarek gasiorowski,Centre-Back,Valencia CF,1.91,7500000.0,2024-2025,laliga
mouctar diakhaby,Centre-Back,Valencia CF,1.92,2000000.0,2024-2025,laliga
cenk ozkacar,Centre-Back,Valencia CF,1.9,1200000.0,2024-2025,laliga
maximiliano caufriez,Centre-Back,Valencia CF,1.89,1000000.0,2024-2025,laliga
ruben iranzo,Centre-Back,Valencia CF,1.82,300000.0,2024-2025,laliga
