Player,Pos,Squad,Height,Value,Season,Competition
matias fernandezpardo,Centre-Forward,LOSC Lille,1.88,15000000.0,2024-2025,ligue-1
chuba akpom,Centre-Forward,LOSC Lille,1.83,7000000.0,2024-2025,ligue-1
andrej ilic,Centre-Forward,LOSC Lille,1.89,4000000.0,2024-2025,ligue-1
mohamed bayo,Centre-Forward,LOSC Lille,1.87,2800000.0,2024-2025,ligue-1
lucas perri,Goalkeeper,Olympique Lyon,1.97,10000000.0,2024-2025,ligue-1
anthony lopes,Goalkeeper,Olympique Lyon,1.84,1200000.0,2024-2025,ligue-1
remy descamps,Goalkeeper,Olympique Lyon,1.96,1200000.0,2024-2025,ligue-1
justin bengui,Goalkeeper,Olympique Lyon,1.9,400000.0,2024-2025,ligue-1
lassine diarra,Goalkeeper,Olympique Lyon,1.9,50000.0,2024-2025,ligue-1
matthias da silva,Goalkeeper,Olympique Lyon,,,2024-2025,ligue-1
moussa niakhate,Centre-Back,Olympique Lyon,1.9,15000000.0,2024-2025,ligue-1
duje caletacar,Centre-Back,Olympique Lyon,1.93,7000000.0,2024-2025,ligue-1
adryelson,Centre-Back,Olympique Lyon,1.82,3500000.0,2024-2025,ligue-1
clinton mata,Centre-Back,Olympique Lyon,1.8,3500000.0,2024-2025,ligue-1
warmed omari,Centre-Back,Olympique Lyon,1.88,3000000.0,2024-2025,ligue-1
abner,Left-Back,Olympique Lyon,1.81,7000000.0,2024-2025,ligue-1
nicolas tagliafico,Left-Back,Olympique Lyon,1.71,6000000.0,2024-2025,ligue-1
ainsley maitlandniles,Right-Back,Olympique Lyon,1.8,12000000.0,2024-2025,ligue-1
sael kumbedi,Right-Back,Olympique Lyon,1.75,7000000.0,2024-2025,ligue-1
teo barisic,Right-Back,Olympique Lyon,1.85,,2024-2025,ligue-1
orel mangala,Defensive Midfield,Olympique Lyon,1.78,18000000.0,2024-2025,ligue-1
tanner tessmann,Defensive Midfield,Olympique Lyon,1.88,6000000.0,2024-2025,ligue-1
nemanja matic,Defensive Midfield,Olympique Lyon,1.94,2000000.0,2024-2025,ligue-1
paul akouokou,Defensive Midfield,Olympique Lyon,1.81,800000.0,2024-2025,ligue-1
mathys de carvalho,Defensive Midfield,Olympique Lyon,1.83,,2024-2025,ligue-1
maxence caqueret,Central Midfield,Olympique Lyon,1.74,16000000.0,2024-2025,ligue-1
corentin tolisso,Central Midfield,Olympique Lyon,1.81,12000000.0,2024-2025,ligue-1
jordan veretout,Central Midfield,Olympique Lyon,1.77,4000000.0,2024-2025,ligue-1
mahamadou diawara,Central Midfield,Olympique Lyon,1.87,2000000.0,2024-2025,ligue-1
thiago almada,Attacking Midfield,Olympique Lyon,1.71,25000000.0,2024-2025,ligue-1
malick fofana,Left Winger,Olympique Lyon,1.69,30000000.0,2024-2025,ligue-1
said benrahma,Left Winger,Olympique Lyon,1.72,10000000.0,2024-2025,ligue-1
wilfried zaha,Left Winger,Olympique Lyon,1.8,5000000.0,2024-2025,ligue-1
rayan cherki,Right Winger,Olympique Lyon,1.77,45000000.0,2024-2025,ligue-1
ernest nuamah,Right Winger,Olympique Lyon,1.78,15000000.0,2024-2025,ligue-1
georges mikautadze,Centre-Forward,Olympique Lyon,1.76,22000000.0,2024-2025,ligue-1
gift orban,Centre-Forward,Olympique Lyon,1.78,10000000.0,2024-2025,ligue-1
alexandre lacazette,Centre-Forward,Olympique Lyon,1.75,6000000.0,2024-2025,ligue-1
mama balde,Centre-Forward,Olympique Lyon,1.76,4000000.0,2024-2025,ligue-1
alejandro gomes rodriguez,Centre-Forward,Olympique Lyon,1.76,100000.0,2024-2025,ligue-1
enzo molebe,Centre-Forward,Olympique Lyon,,100000.0,2024-2025,ligue-1
djordje petrovic,Goalkeeper,RC Strasbourg Alsace,1.94,20000000.0,2024-2025,ligue-1
robin risser,Goalkeeper,RC Strasbourg Alsace,1.93,1500000.0,2024-2025,ligue-1
alaa bellaarouch,Goalkeeper,RC Strasbourg Alsace,1.89,400000.0,2024-2025,ligue-1
karljohan johnsson,Goalkeeper,RC Strasbourg Alsace,1.88,300000.0,2024-2025,ligue-1
mamadou sarr,Centre-Back,RC Strasbourg Alsace,1.94,20000000.0,2024-2025,ligue-1
ismael doukoure,Centre-Back,RC Strasbourg Alsace,1.83,18000000.0,2024-2025,ligue-1
abakar sylla,Centre-Back,RC Strasbourg Alsace,1.88,10000000.0,2024-2025,ligue-1
andrew omobamidele,Centre-Back,RC Strasbourg Alsace,1.88,8000000.0,2024-2025,ligue-1
saidou sow,Centre-Back,RC Strasbourg Alsace,1.87,6000000.0,2024-2025,ligue-1
yoni gomis,Centre-Back,RC Strasbourg Alsace,1.86,700000.0,2024-2025,ligue-1
amadou cisse,Centre-Back,RC Strasbourg Alsace,,,2024-2025,ligue-1
sacha lung,Centre-Back,RC Strasbourg Alsace,,,2024-2025,ligue-1
caleb wiley,Left-Back,RC Strasbourg Alsace,1.8,8000000.0,2024-2025,ligue-1
eduard sobol,Left-Back,RC Strasbourg Alsace,1.86,900000.0,2024-2025,ligue-1
thomas delaine,Left-Back,RC Strasbourg Alsace,1.8,600000.0,2024-2025,ligue-1
guela doue,Right-Back,RC Strasbourg Alsace,1.87,18000000.0,2024-2025,ligue-1
marvin senaya,Right-Back,RC Strasbourg Alsace,1.81,1800000.0,2024-2025,ligue-1
karol fila,Right-Back,RC Strasbourg Alsace,1.83,600000.0,2024-2025,ligue-1
junior mwanga,Defensive Midfield,RC Strasbourg Alsace,1.84,6000000.0,2024-2025,ligue-1
rabby nzingoula,Defensive Midfield,RC Strasbourg Alsace,1.83,2500000.0,2024-2025,ligue-1
