Player,Squad,Season,Competition,Pos,Min,MP,Starts,Value,performance_score,penalty_score,adjusted_score,Evaluated_Position
pontus almqvist,parma,2024-2025,serie-a,Right Winger,1112.0,29.0,10.0,2500000.0,0.18462983994736457,0.07339999999999999,0.11122983994736457,Right Winger
nathan tella,leverkusen,2024-2025,bundesliga,Right Winger,1359.0,27.0,17.0,15000000.0,0.1821623158530814,0.07690000000000001,0.10526231585308139,Right Winger
jorge de frutos,rayo vallecano,2024-2025,laliga,Right Winger,2495.0,36.0,30.0,4000000.0,0.2219226779492413,0.08710000000000001,0.1348226779492413,Right Winger
alexis saelemaekers,roma,2024-2025,serie-a,Right Winger,1389.0,22.0,17.0,17000000.0,0.25903005615271407,0.0627,0.19633005615271407,Right Winger
konan ndri,lecce,2024-2025,serie-a,Right Winger,306.0,11.0,2.0,1400000.0,0.19735118803603505,0.1,0.09735118803603504,Right Winger
loum tchaouna,lazio,2024-2025,serie-a,Right Winger,660.0,24.0,6.0,10000000.0,0.2138937088680882,0.10949999999999999,0.10439370886808821,Right Winger
fer lopez,celta vigo,2024-2025,laliga,Right Winger,671.0,17.0,7.0,5000000.0,0.24198254700970084,0.1288,0.11318254700970085,Right Winger
daniel yanez,real madrid,2024-2025,laliga,Right Winger,2.0,1.0,0.0,150000.0,0.027568421052631582,0.0,0.027568421052631582,Right Winger
dodi lukebakio,sevilla,2024-2025,laliga,Right Winger,3092.0,38.0,36.0,20000000.0,0.3061896155673446,0.10320000000000001,0.20298961556734457,Right Winger
anthony elanga,nott'ham forest,2024-2025,premier-league,Right Winger,2501.0,38.0,31.0,42000000.0,0.25441985130484807,0.0768,0.1776198513048481,Right Winger
tadeo allende,celta vigo,2024-2025,laliga,Right Winger,2.0,1.0,0.0,2000000.0,0.01860204265982249,1.3499999999999999,-1.3313979573401773,Right Winger
joao felix,atlético madrid,2022-2023,laliga,Second Striker,650.0,14.0,7.0,50000000.0,0.3223239875230288,0.11220000000000001,0.2101239875230288,Second Striker
manu vallejo,girona,2022-2023,laliga,Second Striker,206.0,7.0,2.0,2400000.0,0.20539938958597703,0.06130000000000001,0.144099389585977,Second Striker
paulo dybala,roma,2023-2024,serie-a,Second Striker,1959.0,28.0,25.0,20000000.0,0.6228543801955496,0.08660000000000001,0.5362543801955496,Second Striker
florian thauvin,udinese,2023-2024,serie-a,Second Striker,1710.0,29.0,19.0,3000000.0,0.4743880871678763,0.0879,0.3864880871678763,Second Striker
lorenzo anghele,juventus,2024-2025,serie-a,Second Striker,6.0,1.0,0.0,700000.0,0.10715844117806106,0.0,0.10715844117806106,Second Striker
paulo dybala,roma,2024-2025,serie-a,Second Striker,1417.0,24.0,16.0,8000000.0,0.4058238555726146,0.07629999999999999,0.3295238555726146,Second Striker
yussuf poulsen,rb leipzig,2022-2023,bundesliga,Centre-Forward,411.0,19.0,3.0,7000000.0,0.18621829324693087,0.14020000000000002,0.04601829324693085,Centre-Forward
carlos fernandez,real sociedad,2022-2023,laliga,Centre-Forward,631.0,24.0,8.0,3000000.0,0.13875351798698474,0.1369,0.001853517986984743,Centre-Forward
jose luis morales,villarreal,2022-2023,laliga,Centre-Forward,1211.0,29.0,11.0,3000000.0,0.17064330182918552,0.0596,0.11104330182918552,Centre-Forward
jonas wind,wolfsburg,2022-2023,bundesliga,Centre-Forward,1291.0,24.0,15.0,14000000.0,0.16435050560544684,0.0711,0.09325050560544684,Centre-Forward
danny ings,aston villa,2022-2023,premier-league,Centre-Forward,824.0,18.0,8.0,12000000.0,0.16364877579020018,0.09720000000000001,0.06644877579020017,Centre-Forward
olivier giroud,milan,2022-2023,serie-a,Centre-Forward,2139.0,33.0,25.0,4000000.0,0.1771596657405627,0.08349999999999999,0.0936596657405627,Centre-Forward
jamal lowe,bournemouth,2022-2023,premier-league,Centre-Forward,12.0,2.0,0.0,1500000.0,0.016157452872745514,0.0,0.016157452872745514,Centre-Forward
david okereke,cremonese,2022-2023,serie-a,Centre-Forward,2266.0,33.0,25.0,4000000.0,0.14700558649539439,0.0731,0.07390558649539439,Centre-Forward
odsonne edouard,crystal palace,2022-2023,premier-league,Centre-Forward,1803.0,35.0,20.0,15000000.0,0.14227988179842743,0.11249999999999999,0.029779881798427443,Centre-Forward
lukas nmecha,wolfsburg,2022-2023,bundesliga,Centre-Forward,899.0,16.0,10.0,12000000.0,0.1461195104838164,0.09100000000000001,0.0551195104838164,Centre-Forward
steffen tigges,köln,2022-2023,bundesliga,Centre-Forward,1596.0,30.0,17.0,3500000.0,0.13279674530000077,0.06080000000000001,0.07199674530000076,Centre-Forward
angel rodriguez,mallorca,2022-2023,laliga,Centre-Forward,394.0,17.0,2.0,1000000.0,0.15126694050165002,0.08230000000000001,0.06896694050165,Centre-Forward
marcus ingvartsen,mainz 05,2022-2023,bundesliga,Centre-Forward,1314.0,28.0,16.0,5500000.0,0.1461999747900874,0.1022,0.043999974790087396,Centre-Forward
marvin ducksch,werder bremen,2022-2023,bundesliga,Centre-Forward,2852.0,34.0,34.0,7500000.0,0.18989091953420817,0.043800000000000006,0.14609091953420816,Centre-Forward
mathys tel,bayern munich,2022-2023,bundesliga,Centre-Forward,417.0,22.0,1.0,20000000.0,0.21718719268706024,0.1487,0.06848719268706024,Centre-Forward
chris wood,nott'ham forest,2022-2023,premier-league,Centre-Forward,372.0,7.0,5.0,8000000.0,0.07819897990149992,0.075,0.003198979901499921,Centre-Forward
cameron archer,aston villa,2022-2023,premier-league,Centre-Forward,49.0,6.0,0.0,12000000.0,0.059572562690780005,0.2204,-0.16082743730922,Centre-Forward
dominic solanke,bournemouth,2022-2023,premier-league,Centre-Forward,2860.0,33.0,32.0,20000000.0,0.1631301339793241,0.11019999999999999,0.05293013397932411,Centre-Forward
dion drena beljo,augsburg,2022-2023,bundesliga,Centre-Forward,1128.0,18.0,16.0,6500000.0,0.10136829569227802,0.0998,0.001568295692278024,Centre-Forward
cristhian stuani,girona,2022-2023,laliga,Centre-Forward,1090.0,32.0,8.0,2000000.0,0.1538297014489408,0.0926,0.061229701448940785,Centre-Forward
dusan vlahovic,juventus,2022-2023,serie-a,Centre-Forward,1925.0,27.0,22.0,70000000.0,0.1544219826658044,0.09659999999999999,0.057821982665804406,Centre-Forward
duvan zapata,atalanta,2023-2024,serie-a,Centre-Forward,112.0,2.0,2.0,8000000.0,0.16716426977487694,0.06420000000000001,0.10296426977487694,Centre-Forward
joel imasuen,werder bremen,2023-2024,bundesliga,Centre-Forward,2.0,1.0,0.0,,0.03912571736212187,0.0,0.03912571736212187,Centre-Forward
alexander srloth,villarreal,2023-2024,laliga,Centre-Forward,2489.0,34.0,30.0,25000000.0,0.1993454113121761,0.11150000000000002,0.08784541131217607,Centre-Forward
ciro immobile,lazio,2023-2024,serie-a,Centre-Forward,1652.0,31.0,21.0,4000000.0,0.14813465944494023,0.0839,0.06423465944494022,Centre-Forward
nikola krstovic,lecce,2023-2024,serie-a,Centre-Forward,2373.0,35.0,30.0,6000000.0,0.17747177692100333,0.10450000000000001,0.07297177692100332,Centre-Forward
zito luvumbo,cagliari,2023-2024,serie-a,Centre-Forward,1946.0,30.0,19.0,7500000.0,0.1490179144776363,0.1095,0.03951791447763629,Centre-Forward
danny welbeck,brighton,2023-2024,premier-league,Centre-Forward,1693.0,29.0,21.0,5000000.0,0.1694934170798577,0.0717,0.09779341707985771,Centre-Forward
leonardo pavoletti,cagliari,2023-2024,serie-a,Centre-Forward,628.0,19.0,5.0,800000.0,0.14064589551071122,0.0973,0.04334589551071122,Centre-Forward
nicolas jackson,chelsea,2023-2024,premier-league,Centre-Forward,2799.0,35.0,31.0,35000000.0,0.20769809281507182,0.107,0.10069809281507182,Centre-Forward
zeki amdouni,burnley,2023-2024,premier-league,Centre-Forward,1953.0,34.0,27.0,12000000.0,0.14928326270070225,0.0749,0.07438326270070225,Centre-Forward
andrea belotti,roma,2023-2024,serie-a,Centre-Forward,679.0,14.0,6.0,5000000.0,0.13715560907225477,0.1033,0.033855609072254766,Centre-Forward
marcus muller,mainz 05,2023-2024,bundesliga,Centre-Forward,18.0,1.0,0.0,200000.0,0.18121190242213928,0.05,0.13121190242213926,Centre-Forward
alejo veliz,tottenham,2023-2024,premier-league,Centre-Forward,50.0,8.0,0.0,9000000.0,0.13262158591721926,0.27,-0.13737841408278076,Centre-Forward
eric maxim choupomoting,bayern munich,2023-2024,bundesliga,Centre-Forward,717.0,27.0,7.0,2500000.0,0.22746511154718727,0.09179999999999999,0.13566511154718727,Centre-Forward
ermedin demirovic,augsburg,2023-2024,bundesliga,Centre-Forward,2873.0,33.0,33.0,28000000.0,0.17880392148902566,0.08389999999999999,0.09490392148902567,Centre-Forward
brenner,udinese,2023-2024,serie-a,Centre-Forward,189.0,8.0,2.0,7000000.0,0.09286053401644372,0.0715,0.021360534016443722,Centre-Forward
abdellah raihani,atlético madrid,2023-2024,laliga,Centre-Forward,10.0,1.0,0.0,300000.0,0.028111820303383897,0.09,-0.0618881796966161,Centre-Forward
thomas henry,hellas verona,2023-2024,serie-a,Centre-Forward,334.0,18.0,2.0,2000000.0,0.1471189764687181,0.1726,-0.0254810235312819,Centre-Forward
serhou guirassy,stuttgart,2023-2024,bundesliga,Centre-Forward,2208.0,28.0,25.0,40000000.0,0.24168649687098184,0.08180000000000001,0.15988649687098183,Centre-Forward
marko arnautovic,inter,2023-2024,serie-a,Centre-Forward,801.0,27.0,5.0,4000000.0,0.17116969179322583,0.07750000000000001,0.09366969179322582,Centre-Forward
alvaro rodriguez,real madrid,2023-2024,laliga,Centre-Forward,1.0,1.0,0.0,3500000.0,0.011945302911129219,2.7,-2.688054697088871,Centre-Forward
vitinha,genoa,2023-2024,serie-a,Centre-Forward,285.0,9.0,2.0,14000000.0,0.14166309081779707,0.12630000000000002,0.015363090817797048,Centre-Forward
tommaso gabellini,torino,2024-2025,serie-a,Centre-Forward,10.0,1.0,0.0,800000.0,0.026615481024613682,0.0,0.026615481024613682,Centre-Forward
orri steinn oskarsson,real sociedad,2024-2025,laliga,Centre-Forward,944.0,23.0,9.0,15000000.0,0.061301744308230974,0.0659,-0.0045982556917690265,Centre-Forward
roberto piccoli,cagliari,2024-2025,serie-a,Centre-Forward,3127.0,37.0,37.0,12000000.0,0.08020604823648488,0.09480000000000001,-0.014593951763515134,Centre-Forward
yoane wissa,brentford,2024-2025,premier-league,Centre-Forward,2919.0,35.0,34.0,32000000.0,0.12926322868236162,0.07339999999999999,0.055863228682361626,Centre-Forward
eldor shomurodov,roma,2024-2025,serie-a,Centre-Forward,1097.0,27.0,11.0,5000000.0,0.09049016269976179,0.0903,0.0001901626997617839,Centre-Forward
mathys tel,tottenham,2024-2025,premier-league,Centre-Forward,911.0,13.0,11.0,35000000.0,0.09655291587799986,0.08910000000000001,0.007452915877999844,Centre-Forward
alexis sanchez,udinese,2024-2025,serie-a,Centre-Forward,437.0,13.0,6.0,1500000.0,0.04017955646477682,0.1031,-0.06292044353522318,Centre-Forward
jay stansfield,fulham,2024-2025,premier-league,Centre-Forward,1.0,1.0,0.0,11000000.0,0.0,0.9,-0.9,Centre-Forward
stefan schimmer,heidenheim,2024-2025,bundesliga,Centre-Forward,247.0,13.0,0.0,500000.0,0.040849710369473685,0.0509,-0.010050289630526316,Centre-Forward
endrick,real madrid,2024-2025,laliga,Centre-Forward,363.0,22.0,3.0,35000000.0,0.09724079373694305,0.08189999999999999,0.015340793736943067,Centre-Forward
will lankshear,tottenham,2024-2025,premier-league,Centre-Forward,11.0,3.0,0.0,3000000.0,0.0056760111111111115,0.3272,-0.3215239888888889,Centre-Forward
benjamin sesko,rb leipzig,2024-2025,bundesliga,Centre-Forward,2380.0,33.0,30.0,70000000.0,0.11528189162669662,0.09640000000000001,0.01888189162669661,Centre-Forward
nathan butleroyedeji,arsenal,2024-2025,premier-league,Centre-Forward,7.0,1.0,0.0,1000000.0,0.046944544444444444,0.0,0.046944544444444444,Centre-Forward
pau cabanes,alavés,2024-2025,laliga,Centre-Forward,188.0,6.0,2.0,800000.0,0.06792868944782884,0.11499999999999999,-0.04707131055217115,Centre-Forward
isaac romero,sevilla,2024-2025,laliga,Centre-Forward,2156.0,31.0,26.0,6000000.0,0.08365032895397746,0.12569999999999998,-0.042049671046022516,Centre-Forward
evan ferguson,brighton,2024-2025,premier-league,Centre-Forward,246.0,13.0,2.0,25000000.0,0.06342324504227248,0.0733,-0.009876754957727524,Centre-Forward
carlos martin,alavés,2024-2025,laliga,Centre-Forward,1333.0,26.0,16.0,2800000.0,0.09565577329562734,0.083,0.012655773295627337,Centre-Forward
damian pizarro,udinese,2024-2025,serie-a,Centre-Forward,16.0,2.0,0.0,3200000.0,0.0030305847488153745,0.0,0.0030305847488153745,Centre-Forward
adrian nino,atlético madrid,2024-2025,laliga,Centre-Forward,12.0,1.0,0.0,800000.0,0.045575000000000004,0.0,0.045575000000000004,Centre-Forward
gianluca lapadula,cagliari,2024-2025,serie-a,Centre-Forward,310.0,12.0,1.0,750000.0,0.07079241271246937,0.0638,0.0069924127124693786,Centre-Forward
jonathan burkardt,mainz 05,2024-2025,bundesliga,Centre-Forward,2109.0,29.0,28.0,35000000.0,0.1126415723100333,0.07980000000000001,0.03284157231003329,Centre-Forward
ivo grbic,atlético madrid,2022-2023,laliga,Goalkeeper,922.0,12.0,10.0,3500000.0,0.3997121931380874,0.014700000000000001,0.38501219313808743,Goalkeeper
keylor navas,nott'ham forest,2022-2023,premier-league,Goalkeeper,1529.0,17.0,17.0,4000000.0,0.1509223007688522,0.0102,0.14072230076885223,Goalkeeper
juan musso,atalanta,2022-2023,serie-a,Goalkeeper,2077.0,24.0,24.0,8000000.0,0.15589130249214173,0.0040999999999999995,0.15179130249214173,Goalkeeper
fabian bredlow,stuttgart,2022-2023,bundesliga,Goalkeeper,1350.0,15.0,15.0,1500000.0,0.3543234959332558,0.0111,0.3432234959332558,Goalkeeper
aitor fernandez,osasuna,2022-2023,laliga,Goalkeeper,1890.0,21.0,21.0,3000000.0,0.40746343035755345,0.002,0.40546343035755344,Goalkeeper
fraser forster,tottenham,2022-2023,premier-league,Goalkeeper,1215.0,14.0,13.0,1500000.0,0.15113630222702026,0.006300000000000001,0.14483630222702026,Goalkeeper
diego lopez,rayo vallecano,2022-2023,laliga,Goalkeeper,96.0,2.0,1.0,300000.0,0.28411071931484255,0.047,0.23711071931484257,Goalkeeper
marko dmitrovic,sevilla,2022-2023,laliga,Goalkeeper,1269.0,15.0,13.0,4000000.0,0.36310096645218104,0.0028000000000000004,0.360300966452181,Goalkeeper
emiliano martinez,aston villa,2022-2023,premier-league,Goalkeeper,3139.0,36.0,36.0,28000000.0,0.16872290124607087,0.0084,0.16032290124607088,Goalkeeper
marvin schwabe,köln,2022-2023,bundesliga,Goalkeeper,3060.0,34.0,34.0,7000000.0,0.3499157287593357,0.0042,0.3457157287593357,Goalkeeper
illan meslier,leeds united,2022-2023,premier-league,Goalkeeper,3060.0,34.0,34.0,20000000.0,0.16880089992046354,0.0084,0.16040089992046355,Goalkeeper
agustin marchesin,celta vigo,2022-2023,laliga,Goalkeeper,1710.0,19.0,19.0,2000000.0,0.3828174952958084,0.0033,0.37951749529580836,Goalkeeper
david raya,arsenal,2023-2024,premier-league,Goalkeeper,2880.0,32.0,32.0,35000000.0,0.1318955793458102,0.0101,0.1217955793458102,Goalkeeper
lukas hradecky,leverkusen,2023-2024,bundesliga,Goalkeeper,2970.0,33.0,33.0,2500000.0,0.3559626407895512,0.0051,0.3508626407895512,Goalkeeper
marcandre ter stegen,barcelona,2023-2024,laliga,Goalkeeper,2520.0,28.0,28.0,28000000.0,0.3390780718668991,0.0092,0.3298780718668991,Goalkeeper
marco carnesecchi,atalanta,2023-2024,serie-a,Goalkeeper,2425.0,27.0,27.0,16000000.0,0.13145501750549524,0.006300000000000001,0.12515501750549524,Goalkeeper
robin zentner,mainz 05,2023-2024,bundesliga,Goalkeeper,2700.0,30.0,30.0,3000000.0,0.383941173465101,0.0051,0.378841173465101,Goalkeeper
guglielmo vicario,tottenham,2023-2024,premier-league,Goalkeeper,3420.0,38.0,38.0,35000000.0,0.14031997571461904,0.004,0.13631997571461904,Goalkeeper
rui patricio,roma,2023-2024,serie-a,Goalkeeper,2070.0,23.0,23.0,1000000.0,0.13069191412737485,0.0036,0.12709191412737486,Goalkeeper
finn dahmen,augsburg,2023-2024,bundesliga,Goalkeeper,2790.0,31.0,31.0,5000000.0,0.39034632191988694,0.0128,0.37754632191988696,Goalkeeper
alexander meyer,dortmund,2023-2024,bundesliga,Goalkeeper,695.0,8.0,7.0,800000.0,0.3068181377066245,0.006500000000000001,0.3003181377066245,Goalkeeper
alexander schwolow,union berlin,2023-2024,bundesliga,Goalkeeper,90.0,1.0,1.0,700000.0,0.2496536562002725,0.0,0.2496536562002725,Goalkeeper
alphonse areola,west ham,2023-2024,premier-league,Goalkeeper,2699.0,31.0,31.0,10000000.0,0.12375721944797138,0.0016,0.12215721944797138,Goalkeeper
michael zetterer,werder bremen,2023-2024,bundesliga,Goalkeeper,2430.0,27.0,27.0,3000000.0,0.3627825250137543,0.008700000000000001,0.3540825250137543,Goalkeeper
stefan ortega,manchester city,2024-2025,premier-league,Goalkeeper,1100.0,13.0,12.0,8000000.0,0.11031482026925235,0.0072,0.10311482026925235,Goalkeeper
nick pope,newcastle utd,2024-2025,premier-league,Goalkeeper,2520.0,28.0,28.0,8000000.0,0.10996740152053282,0.0126,0.09736740152053282,Goalkeeper
giorgi mamardashvili,valencia,2024-2025,laliga,Goalkeeper,3060.0,34.0,34.0,30000000.0,0.3984564657034692,0.0066,0.3918564657034692,Goalkeeper
aitor fernandez,osasuna,2024-2025,laliga,Goalkeeper,90.0,1.0,1.0,700000.0,0.46554337037197335,0.0,0.46554337037197335,Goalkeeper
simone scuffet,cagliari,2024-2025,serie-a,Goalkeeper,1170.0,13.0,13.0,2000000.0,0.10752431181021323,0.0075,0.10002431181021323,Goalkeeper
maduka okoye,udinese,2024-2025,serie-a,Goalkeeper,2250.0,25.0,25.0,7500000.0,0.12111965145391819,0.0031999999999999997,0.1179196514539182,Goalkeeper
caoimhin kelleher,liverpool,2024-2025,premier-league,Goalkeeper,900.0,10.0,10.0,20000000.0,0.11211758519696045,0.011000000000000003,0.10111758519696046,Goalkeeper
ederson,manchester city,2024-2025,premier-league,Goalkeeper,2320.0,26.0,26.0,20000000.0,0.12289432253889056,0.0136,0.10929432253889056,Goalkeeper
nediljko labrovic,augsburg,2024-2025,bundesliga,Goalkeeper,1350.0,15.0,15.0,2500000.0,0.35043360795439227,0.0035000000000000005,0.34693360795439226,Goalkeeper
alexander schwolow,union berlin,2024-2025,bundesliga,Goalkeeper,540.0,6.0,6.0,500000.0,0.3069748504565972,0.0085,0.2984748504565972,Goalkeeper
thibaut courtois,real madrid,2024-2025,laliga,Goalkeeper,2700.0,30.0,30.0,20000000.0,0.3363258408796188,0.0024000000000000002,0.3339258408796188,Goalkeeper
jean butez,como,2024-2025,serie-a,Goalkeeper,1666.0,19.0,18.0,3500000.0,0.13093701586585316,0.0035000000000000005,0.12743701586585315,Goalkeeper
jason steele,brighton,2024-2025,premier-league,Goalkeeper,180.0,2.0,2.0,1500000.0,0.1502553554776455,0.0,0.1502553554776455,Goalkeeper
dominik kohr,mainz 05,2022-2023,bundesliga,Centre-Back,2292.0,30.0,27.0,3500000.0,0.24282498789894866,0.0463,0.19652498789894865,Centre-Back
marcos senesi,bournemouth,2022-2023,premier-league,Centre-Back,2491.0,31.0,29.0,22000000.0,0.27871472118108825,0.029700000000000004,0.24901472118108825,Centre-Back
felipe,nott'ham forest,2022-2023,premier-league,Centre-Back,1418.0,16.0,15.0,2000000.0,0.2741484075125719,0.0296,0.2445484075125719,Centre-Back
joaquin sosa,bologna,2022-2023,serie-a,Centre-Back,688.0,10.0,7.0,3000000.0,0.16823680620178866,0.0404,0.12783680620178867,Centre-Back
wilfried singo,torino,2022-2023,serie-a,Centre-Back,2046.0,31.0,24.0,12000000.0,0.22206050334640037,0.0605,0.16156050334640037,Centre-Back
rodrigo becao,udinese,2022-2023,serie-a,Centre-Back,2484.0,28.0,28.0,10000000.0,0.3428176693141343,0.0405,0.30231766931413434,Centre-Back
igor,fiorentina,2022-2023,serie-a,Centre-Back,2057.0,27.0,23.0,10000000.0,0.26329454694614574,0.0479,0.21539454694614574,Centre-Back
james tarkowski,everton,2022-2023,premier-league,Centre-Back,3420.0,38.0,38.0,18000000.0,0.3254293429271122,0.027700000000000002,0.2977293429271122,Centre-Back
adam masina,udinese,2022-2023,serie-a,Centre-Back,789.0,14.0,8.0,2500000.0,0.1990421647467208,0.031700000000000006,0.16734216474672078,Centre-Back
joachim andersen,crystal palace,2022-2023,premier-league,Centre-Back,2782.0,32.0,32.0,30000000.0,0.3280865143403587,0.022600000000000006,0.3054865143403587,Centre-Back
eric dier,tottenham,2022-2023,premier-league,Centre-Back,2818.0,33.0,31.0,18000000.0,0.28273042560929573,0.019200000000000002,0.26353042560929574,Centre-Back
marc guehi,crystal palace,2022-2023,premier-league,Centre-Back,3329.0,37.0,37.0,35000000.0,0.309496247133272,0.025500000000000002,0.283996247133272,Centre-Back
gonzalo verdu,elche,2022-2023,laliga,Centre-Back,703.0,16.0,9.0,700000.0,0.1938284818428475,0.0465,0.14732848184284753,Centre-Back
ibrahima konate,liverpool,2022-2023,premier-league,Centre-Back,1552.0,18.0,17.0,38000000.0,0.2588519729279233,0.0486,0.21025197292792328,Centre-Back
tosin adarabioyo,fulham,2022-2023,premier-league,Centre-Back,2085.0,25.0,23.0,16000000.0,0.2917528363973657,0.019500000000000003,0.2722528363973657,Centre-Back
aissa mandi,villarreal,2022-2023,laliga,Centre-Back,1461.0,21.0,16.0,3000000.0,0.21158311193356794,0.0159,0.19568311193356794,Centre-Back
ethan pinnock,brentford,2022-2023,premier-league,Centre-Back,2700.0,30.0,30.0,14000000.0,0.29026360819656916,0.012100000000000001,0.27816360819656916,Centre-Back
emanuel aiwum,cremonese,2022-2023,serie-a,Centre-Back,1653.0,23.0,17.0,3000000.0,0.2893088420724132,0.0329,0.2564088420724132,Centre-Back
karim rekik,sevilla,2022-2023,laliga,Centre-Back,1181.0,16.0,15.0,4000000.0,0.20214254661228448,0.0326,0.1695425466122845,Centre-Back
trevoh chalobah,chelsea,2022-2023,premier-league,Centre-Back,1608.0,25.0,18.0,18000000.0,0.2464617073719035,0.0248,0.22166170737190352,Centre-Back
ronald araujo,barcelona,2022-2023,laliga,Centre-Back,1800.0,22.0,21.0,70000000.0,0.2206686808028363,0.0335,0.1871686808028363,Centre-Back
pedro bigas,elche,2022-2023,laliga,Centre-Back,2020.0,28.0,25.0,1000000.0,0.2743732080694695,0.0314,0.24297320806946954,Centre-Back
marcel halstenberg,rb leipzig,2022-2023,bundesliga,Centre-Back,1557.0,31.0,17.0,3500000.0,0.24737750208901294,0.033600000000000005,0.21377750208901292,Centre-Back
axel guessand,udinese,2022-2023,serie-a,Centre-Back,79.0,1.0,1.0,250000.0,0.12659960657838967,0.022799999999999997,0.10379960657838967,Centre-Back
niklas stark,werder bremen,2022-2023,bundesliga,Centre-Back,2077.0,27.0,23.0,5500000.0,0.26837849130260266,0.0377,0.23067849130260265,Centre-Back
lisandro martinez,manchester utd,2022-2023,premier-league,Centre-Back,2114.0,27.0,24.0,50000000.0,0.3097487167774701,0.028999999999999998,0.28074871677747015,Centre-Back
cenk ozkacar,valencia,2022-2023,laliga,Centre-Back,1365.0,17.0,14.0,5000000.0,0.2187970190452056,0.0302,0.1885970190452056,Centre-Back
danilo dambrosio,inter,2022-2023,serie-a,Centre-Back,733.0,15.0,8.0,1500000.0,0.21284278281010413,0.0563,0.15654278281010414,Centre-Back
robin koch,leeds united,2022-2023,premier-league,Centre-Back,3175.0,36.0,36.0,18000000.0,0.2754096835640896,0.0223,0.25310968356408964,Centre-Back
matthias ginter,freiburg,2023-2024,bundesliga,Centre-Back,1913.0,23.0,22.0,10000000.0,0.23315239807968585,0.0136,0.21955239807968585,Centre-Back
giorgio cittadini,genoa,2023-2024,serie-a,Centre-Back,106.0,5.0,1.0,2400000.0,0.0950427677787814,0.07650000000000001,0.01854276777878139,Centre-Back
giangiacomo magnani,hellas verona,2023-2024,serie-a,Centre-Back,2444.0,33.0,27.0,3000000.0,0.20791596094018355,0.0246,0.18331596094018354,Centre-Back
calvin bassey,fulham,2023-2024,premier-league,Centre-Back,2303.0,29.0,25.0,16000000.0,0.23749248257456002,0.0357,0.20179248257456,Centre-Back
moritz jenz,wolfsburg,2023-2024,bundesliga,Centre-Back,1742.0,22.0,21.0,7500000.0,0.20874206439939014,0.034300000000000004,0.17444206439939014,Centre-Back
stefan de vrij,inter,2023-2024,serie-a,Centre-Back,1586.0,25.0,17.0,7000000.0,0.17646314509329736,0.0085,0.16796314509329735,Centre-Back
natan,napoli,2023-2024,serie-a,Centre-Back,952.0,14.0,11.0,12000000.0,0.15945593909454786,0.041,0.11845593909454785,Centre-Back
enzo ebosse,udinese,2023-2024,serie-a,Centre-Back,8.0,1.0,0.0,2500000.0,0.1372361674809185,0.0,0.1372361674809185,Centre-Back
jose maria gimenez,atlético madrid,2023-2024,laliga,Centre-Back,1326.0,22.0,14.0,22000000.0,0.161756372732823,0.023100000000000002,0.138656372732823,Centre-Back
gianluca mancini,roma,2023-2024,serie-a,Centre-Back,2869.0,36.0,34.0,25000000.0,0.21753036811719675,0.0328,0.18473036811719676,Centre-Back
ben godfrey,everton,2023-2024,premier-league,Centre-Back,1120.0,15.0,13.0,10000000.0,0.20030129863823576,0.0288,0.17150129863823577,Centre-Back
scott mckenna,nott'ham forest,2023-2024,premier-league,Centre-Back,416.0,5.0,5.0,9000000.0,0.16623394739830155,0.013000000000000001,0.15323394739830154,Centre-Back
lautaro gianetti,udinese,2023-2024,serie-a,Centre-Back,630.0,7.0,7.0,2500000.0,0.14592932415307547,0.0329,0.11302932415307547,Centre-Back
hannes delcroix,burnley,2023-2024,premier-league,Centre-Back,589.0,12.0,5.0,4000000.0,0.12777514207209822,0.0353,0.09247514207209823,Centre-Back
james hill,bournemouth,2023-2024,premier-league,Centre-Back,76.0,5.0,1.0,2000000.0,0.2155706377261185,0.0472,0.16837063772611852,Centre-Back
harry maguire,manchester utd,2023-2024,premier-league,Centre-Back,1653.0,22.0,18.0,18000000.0,0.2506757462368745,0.0276,0.22307574623687448,Centre-Back
alan matturro,genoa,2023-2024,serie-a,Centre-Back,106.0,6.0,1.0,4000000.0,0.1690061037508169,0.0255,0.1435061037508169,Centre-Back
nicolo casale,lazio,2023-2024,serie-a,Centre-Back,1559.0,20.0,16.0,14000000.0,0.1609529162160311,0.024999999999999998,0.13595291621603112,Centre-Back
nayef aguerd,west ham,2023-2024,premier-league,Centre-Back,1857.0,21.0,21.0,35000000.0,0.2301280605601111,0.026099999999999998,0.20402806056011108,Centre-Back
piero hincapie,leverkusen,2023-2024,bundesliga,Centre-Back,1484.0,26.0,16.0,40000000.0,0.24110653494606005,0.0248,0.21630653494606006,Centre-Back
jonathan tah,leverkusen,2023-2024,bundesliga,Centre-Back,2631.0,31.0,30.0,30000000.0,0.2396104697103148,0.0263,0.2133104697103148,Centre-Back
lukas klostermann,rb leipzig,2023-2024,bundesliga,Centre-Back,1436.0,25.0,16.0,8000000.0,0.1512930656865885,0.018099999999999998,0.1331930656865885,Centre-Back
adam obert,cagliari,2023-2024,serie-a,Centre-Back,941.0,17.0,10.0,3500000.0,0.14519937379819312,0.033800000000000004,0.11139937379819312,Centre-Back
djene,getafe,2023-2024,laliga,Centre-Back,2484.0,33.0,30.0,2500000.0,0.18146976300758466,0.0559,0.12556976300758466,Centre-Back
