Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
ezequiel avila,Betis,166,69.7,110,80.9,78,71.8,30,53.3,1.0,1.0,-1.0,1,11,6,2024-2025,laliga
adam aznou,Valladolid,245,71.4,161,85.7,118,71.2,37,43.2,0.3,0.4,-0.3,17,4,2,2024-2025,laliga
cesar azpilicueta,Atlético Madrid,581,86.6,320,93.8,269,89.2,63,44.4,0.1,0.4,-0.1,46,4,1,2024-2025,laliga
papa ba,Girona,5,38.5,8,37.5,2,50.0,2,50.0,0.0,0.0,0.0,1,0,0,2024-2025,laliga
loic bade,Sevilla,1562,85.7,572,93.7,911,94.0,307,53.4,0.7,0.2,0.3,94,3,0,2024-2025,laliga
alex baena,Villarreal,857,66.6,394,79.7,535,73.5,278,49.6,11.7,12.6,-2.7,95,72,19,2024-2025,laliga
juma bah,Valladolid,330,81.1,131,90.1,191,92.7,73,42.5,0.0,0.0,0.0,15,0,0,2024-2025,laliga
eric bailly,Villarreal,280,87.5,109,94.5,165,90.9,41,56.1,0.0,0.0,0.0,18,0,0,2024-2025,laliga
stefan bajcetic,Las Palmas,300,71.8,150,79.3,158,81.6,88,54.5,0.2,0.3,-0.2,28,8,0,2024-2025,laliga
cedric bakambu,Betis,84,66.7,78,76.9,28,53.6,4,50.0,0.6,0.8,1.4,9,5,0,2024-2025,laliga
alejandro balde,Barcelona,1306,88.0,785,93.5,547,90.5,71,60.6,3.4,2.8,0.6,51,39,11,2024-2025,laliga
ivan balliu,Rayo Vallecano,492,75.8,272,90.8,256,78.9,85,40.0,0.5,0.4,-0.5,38,6,4,2024-2025,laliga
jonathan bamba,Celta Vigo,287,78.8,197,86.3,102,83.3,24,58.3,1.8,1.6,-0.8,20,13,6,2024-2025,laliga
adrian baquerin,Valladolid,9,90.0,5,100.0,2,100.0,2,50.0,0.0,0.0,0.0,0,1,0,2024-2025,laliga
valentin barco,Sevilla,139,72.8,88,87.5,53,71.7,30,43.3,0.6,0.3,-0.6,12,3,0,2024-2025,laliga
borna barisic,Leganés,3,75.0,1,100.0,2,100.0,0,,0.0,0.0,0.0,0,0,0,2024-2025,laliga
kike barja,Osasuna,74,64.9,40,82.5,37,70.3,21,57.1,1.2,1.3,-0.2,3,8,7,2024-2025,laliga
enzo barrenechea,Valencia,1170,86.5,607,91.3,541,90.6,153,68.6,0.9,1.1,1.1,143,7,0,2024-2025,laliga
ander barrenetxea,Real Sociedad,375,70.9,241,83.8,163,72.4,71,59.2,1.9,2.5,1.1,23,22,4,2024-2025,laliga
pablo barrios,Atlético Madrid,1299,86.0,749,91.5,547,90.7,139,63.3,2.4,2.0,1.6,148,24,5,2024-2025,laliga
thierno barry,Villarreal,209,62.0,172,68.6,116,60.3,19,47.4,2.9,2.0,1.1,14,12,1,2024-2025,laliga
marc bartra,Betis,945,81.3,337,93.2,546,90.3,249,50.6,0.2,0.3,0.8,64,5,1,2024-2025,laliga
aboubacar bassinga,Las Palmas,2,50.0,1,100.0,0,,3,33.3,0.0,0.0,0.0,0,0,0,2024-2025,laliga
augusto batalla,Rayo Vallecano,784,66.6,122,99.2,403,98.5,645,41.1,0.0,0.1,0.0,25,1,0,2024-2025,laliga
rafael bauza,Espanyol,46,85.2,25,96.0,20,85.0,7,57.1,0.0,0.0,0.0,3,1,0,2024-2025,laliga
sheraldo becker,Real Sociedad,200,63.9,132,79.5,121,63.6,33,45.5,2.0,1.7,-1.0,6,17,5,2024-2025,laliga
donny van de beek,Girona,365,81.7,242,89.3,147,81.6,24,66.7,3.2,3.6,-1.2,21,11,0,2024-2025,laliga
luken beitia,Real Sociedad,5,100.0,1,100.0,2,100.0,2,100.0,0.0,0.0,0.0,0,0,0,2024-2025,laliga
ismael bekhoucha,Getafe,17,70.8,14,92.9,5,80.0,3,0.0,0.0,0.0,0.0,1,0,0,2024-2025,laliga
hector bellerin,Betis,270,82.3,153,91.5,144,81.3,21,47.6,2.0,2.1,0.0,16,4,2,2024-2025,laliga
jude bellingham,Real Madrid,1333,86.1,785,91.1,541,88.0,142,78.9,3.9,4.5,4.1,130,31,0,2024-2025,laliga
